act,reg,lam,seed,task,tensor,ndim,numel,sq_norm,norm,norm0,norm_ratio,cos_w0,dist_w0,pen_l2,pen_l2init,pen_shell,pen_angular,reg_loss,arm
R,none,0,0,0,W1,2,78400,33.19778038,5.761751502,5.761751502,1,1,0,0.03319778038,0,0,1.474277606e-17,0,l2rest
R,none,0,0,0,b1,1,100,0.0445198491,0.2109972727,0.2109972727,1,1,0,4.45198491e-05,0,0,0,0,l2rest
R,none,0,0,0,W2,2,10000,33.40909083,5.78005976,5.78005976,1,1,0,0.03340909083,0,0,0,0,l2rest
R,none,0,0,0,b2,1,100,0.3121393494,0.5586943256,0.5586943256,1,1,0,0.0003121393494,0,0,0,0,l2rest
R,none,0,0,0,W3,2,1000,3.260951522,1.805810489,1.805810489,1,1,0,0.003260951522,0,0,0,0,l2rest
R,none,0,0,0,b3,1,10,0.04022925306,0.2005723138,0.2005723138,1,1,0,4.022925306e-05,0,0,0,0,l2rest
R,none,0,0,1,W1,2,78400,890.6946067,29.84450714,5.761751502,5.179762982,0.2241248405,29.1000495,0.8906946067,0.8468128808,0.5799791193,0.2668337615,0,l2rest
R,none,0,0,1,b1,1,100,0.08021410555,0.2832209483,0.2109972727,1.342296726,0.257090681,0.3066057223,8.021410555e-05,9.400706896e-05,5.216259313e-06,8.879080965e-05,0,l2rest
R,none,0,0,1,W2,2,10000,462.7751317,21.5122089,5.78005976,3.72179697,0.43425252,19.70260634,0.4627751317,0.3881926965,0.2475005165,0.14069218,0,l2rest
R,none,0,0,1,b2,1,100,0.04113441734,0.2028162157,0.5586943256,0.363018213,0.4338071955,0.5049380275,4.113441734e-05,0.0002549624116,0.0001266492291,0.0001283131825,0,l2rest
R,none,0,0,1,W3,2,1000,22.02538209,4.69312072,1.805810489,2.598899911,0.6717141843,3.728395165,0.02202538209,0.0139009305,0.008336560369,0.005564370135,0,l2rest
R,none,0,0,1,b3,1,10,0.009282791092,0.09634724226,0.2005723138,0.4803616234,0.9073793006,0.1201772836,9.282791092e-06,1.444257949e-05,1.086286554e-05,3.579713955e-06,0,l2rest
