act,arm,seed,task,tensor,norm
LR,l2wt,3,0,W3,40
LR,l2wt,3,0,b1,2
LR,l2wt,3,1,W3,40
LR,l2wt,3,1,b1,2
LR,l2wt,3,2,W3,40
LR,l2wt,3,2,b1,2
LR,l2wt,3,3,W3,40
LR,l2wt,3,3,b1,2
LR,l2wt,3,4,W3,40
LR,l2wt,3,4,b1,2
LR,l2wt,3,5,W3,40
LR,l2wt,3,5,b1,2
LR,l2wt,3,6,W3,40
LR,l2wt,3,6,b1,2
LR,l2wt,3,7,W3,40
LR,l2wt,3,7,b1,2
LR,l2wt,3,8,W3,40
LR,l2wt,3,8,b1,2
LR,l2wt,3,9,W3,40
LR,l2wt,3,9,b1,2
LR,l2wt,3,10,W3,40
LR,l2wt,3,10,b1,2
LR,l2wt,3,11,W3,40
LR,l2wt,3,11,b1,2
LR,l2wt,3,12,W3,40
LR,l2wt,3,12,b1,2
LR,l2wt,3,13,W3,40
LR,l2wt,3,13,b1,2
LR,l2wt,3,14,W3,40
LR,l2wt,3,14,b1,2
LR,l2wt,3,15,W3,40
LR,l2wt,3,15,b1,2
LR,l2wt,3,16,W3,40
LR,l2wt,3,16,b1,2
LR,l2wt,3,17,W3,40
LR,l2wt,3,17,b1,2
LR,l2wt,3,18,W3,40
LR,l2wt,3,18,b1,2
LR,l2wt,3,19,W3,40
LR,l2wt,3,19,b1,2
LR,l2wt,3,20,W3,40
LR,l2wt,3,20,b1,2
LR,l2wt,3,21,W3,40
LR,l2wt,3,21,b1,2
LR,l2wt,3,22,W3,40
LR,l2wt,3,22,b1,2
LR,l2wt,3,23,W3,40
LR,l2wt,3,23,b1,2
LR,l2wt,3,24,W3,40
LR,l2wt,3,24,b1,2
LR,l2wt,3,25,W3,40
LR,l2wt,3,25,b1,2
LR,l2wt,3,26,W3,40
LR,l2wt,3,26,b1,2
LR,l2wt,3,27,W3,40
LR,l2wt,3,27,b1,2
LR,l2wt,3,28,W3,40
LR,l2wt,3,28,b1,2
LR,l2wt,3,29,W3,40
LR,l2wt,3,29,b1,2
LR,l2wt,3,30,W3,40
LR,l2wt,3,30,b1,2
LR,l2wt,3,31,W3,40
LR,l2wt,3,31,b1,2
LR,l2wt,3,32,W3,40
LR,l2wt,3,32,b1,2
LR,l2wt,3,33,W3,40
LR,l2wt,3,33,b1,2
LR,l2wt,3,34,W3,40
LR,l2wt,3,34,b1,2
LR,l2wt,3,35,W3,40
LR,l2wt,3,35,b1,2
LR,l2wt,3,36,W3,40
LR,l2wt,3,36,b1,2
LR,l2wt,3,37,W3,40
LR,l2wt,3,37,b1,2
LR,l2wt,3,38,W3,40
LR,l2wt,3,38,b1,2
LR,l2wt,3,39,W3,40
LR,l2wt,3,39,b1,2
LR,l2wt,3,40,W3,40
LR,l2wt,3,40,b1,2
LR,l2wt,3,41,W3,40
LR,l2wt,3,41,b1,2
LR,l2wt,3,42,W3,40
LR,l2wt,3,42,b1,2
LR,l2wt,3,43,W3,40
LR,l2wt,3,43,b1,2
LR,l2wt,3,44,W3,40
LR,l2wt,3,44,b1,2
LR,l2wt,3,45,W3,40
LR,l2wt,3,45,b1,2
LR,l2wt,3,46,W3,40
LR,l2wt,3,46,b1,2
LR,l2wt,3,47,W3,40
LR,l2wt,3,47,b1,2
LR,l2wt,3,48,W3,40
LR,l2wt,3,48,b1,2
LR,l2wt,3,49,W3,40
LR,l2wt,3,49,b1,2
LR,l2wt,3,50,W3,40
LR,l2wt,3,50,b1,2
