act,arm,seed,task,online_acc,memo_acc,dead_frac_l1,wt_med_l1,mob_l1,mob_l2,zbar_l1,zbar_l2,rowmean_abs_med_l1
R,ref,3,1,0.97,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,2,0.8755555556,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,3,0.7811111111,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,4,0.6866666667,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,5,0.5922222222,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,6,0.4977777778,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,7,0.4033333333,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,8,0.3088888889,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,9,0.2144444444,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,10,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,11,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,12,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,13,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,14,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,15,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,16,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,17,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,18,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,19,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,20,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,21,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,22,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,23,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,24,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,25,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,26,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,27,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,28,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,29,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,30,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,31,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,32,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,33,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,34,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,35,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,36,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,37,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,38,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,39,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,40,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,41,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,42,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,43,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,44,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,45,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,46,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,47,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,48,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,49,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,3,50,0.12,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
