act,arm,seed,task,online_acc,memo_acc,dead_frac_l1,wt_med_l1,mob_l1,mob_l2,zbar_l1,zbar_l2,rowmean_abs_med_l1
R,l2rest,7,1,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,2,0.9652777778,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,3,0.9605555556,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,4,0.9558333333,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,5,0.9511111111,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,6,0.9463888889,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,7,0.9416666667,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,8,0.9369444444,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,9,0.9322222222,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,10,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,11,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,12,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,13,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,14,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,15,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,16,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,17,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,18,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,19,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,20,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,21,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,22,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,23,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,24,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,25,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,26,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,27,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,28,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,29,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,30,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,31,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,32,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,33,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,34,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,35,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,36,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,37,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,38,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,39,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,40,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,41,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,42,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,43,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,44,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,45,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,46,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,47,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,48,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,49,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,7,50,0.9275,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
