act,arm,seed,task,online_acc,memo_acc,dead_frac_l1,wt_med_l1,mob_l1,mob_l2,zbar_l1,zbar_l2,rowmean_abs_med_l1
R,l2,4,1,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,2,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,3,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,4,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,5,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,6,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,7,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,8,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,9,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,10,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,11,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,12,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,13,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,14,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,15,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,16,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,17,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,18,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,19,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,20,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,21,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,22,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,23,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,24,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,25,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,26,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,27,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,28,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,29,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,30,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,31,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,32,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,33,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,34,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,35,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,36,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,37,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,38,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,39,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,40,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,41,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,42,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,43,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,44,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,45,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,46,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,47,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,48,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,49,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2,4,50,0.92,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
