act,arm,seed,task,online_acc,memo_acc,dead_frac_l1,wt_med_l1,mob_l1,mob_l2,zbar_l1,zbar_l2,rowmean_abs_med_l1
R,ref,7,1,0.92,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,2,0.8255555556,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,3,0.7311111111,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,4,0.6366666667,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,5,0.5422222222,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,6,0.4477777778,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,7,0.3533333333,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,8,0.2588888889,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,9,0.1644444444,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,10,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,11,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,12,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,13,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,14,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,15,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,16,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,17,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,18,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,19,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,20,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,21,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,22,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,23,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,24,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,25,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,26,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,27,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,28,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,29,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,30,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,31,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,32,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,33,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,34,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,35,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,36,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,37,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,38,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,39,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,40,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,41,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,42,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,43,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,44,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,45,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,46,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,47,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,48,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,49,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
R,ref,7,50,0.07,1,0.2,4,0.3,0.8,-0.2,0.2,0.001
