act,reg,lam,seed,task,tensor,ndim,numel,sq_norm,norm,norm0,norm_ratio,cos_w0,dist_w0,pen_l2,pen_l2init,pen_shell,pen_angular,reg_loss,arm
LR,none,0,1,0,W1,2,78400,33.31122314,5.771587575,5.771587575,1,1,0,0.03331122314,0,0,-1.479315476e-17,0,l2rest
LR,none,0,1,0,b1,1,100,0.04445929744,0.2108537347,0.2108537347,1,1,0,4.445929744e-05,0,0,-1.974389427e-20,0,l2rest
LR,none,0,1,0,W2,2,10000,32.59850817,5.709510326,5.709510326,1,1,0,0.03259850817,0,0,0,0,l2rest
LR,none,0,1,0,b2,1,100,0.3430667701,0.5857190198,0.5857190198,1,1,0,0.0003430667701,0,0,-1.523522509e-19,0,l2rest
LR,none,0,1,0,W3,2,1000,3.237631366,1.799341926,1.799341926,1,1,0,0.003237631366,0,0,7.188985775e-19,0,l2rest
LR,none,0,1,0,b3,1,10,0.02634508479,0.1623116902,0.1623116902,1,1,0,2.634508479e-05,0,0,-1.169956789e-20,0,l2rest
LR,none,0,1,1,W1,2,78400,55.32882818,7.438335041,5.771587575,1.288784922,0.7772962109,4.679726572,0.05532882818,0.02189984079,0.002778047115,0.01912179367,0,l2rest
LR,none,0,1,1,b1,1,100,0.03885753435,0.1971231451,0.2108537347,0.9348809753,0.8959223621,0.09402301036,3.885753435e-05,8.840326477e-06,1.885290896e-07,8.651797387e-06,0,l2rest
LR,none,0,1,1,W2,2,10000,36.13506123,6.011244566,5.709510326,1.052847656,0.9581160472,1.722226427,0.03613506123,0.002966063864,9.104355118e-05,0.002875020313,0,l2rest
LR,none,0,1,1,b2,1,100,0.3183595623,0.5642336061,0.5857190198,0.9633178829,0.9853241095,0.1008060945,0.0003183595623,1.016186868e-05,4.616230004e-07,9.700245682e-06,0,l2rest
LR,none,0,1,1,W3,2,1000,2.917679087,1.708121508,1.799341926,0.9493034559,0.9474367727,0.5756967603,0.002917679087,0.0003314267598,8.32116454e-06,0.0003231055953,0,l2rest
LR,none,0,1,1,b3,1,10,0.02369695377,0.1539381492,0.1623116902,0.9484107332,0.977919268,0.03425686522,2.369695377e-05,1.173532815e-06,7.011619043e-08,1.103416624e-06,0,l2rest
LR,none,0,1,2,W1,2,78400,69.55759259,8.340119459,5.771587575,1.445030392,0.6966234973,5.98363224,0.06955759259,0.03580385479,0.006597356038,0.02920649875,0,l2rest
LR,none,0,1,2,b1,1,100,0.03169085739,0.1780192613,0.2108537347,0.8442784357,0.890167453,0.09655805166,3.169085739e-05,9.32345734e-06,1.078102643e-06,8.245354697e-06,0,l2rest
LR,none,0,1,2,W2,2,10000,38.14844722,6.176442926,5.709510326,1.081781549,0.9370807474,2.157696359,0.03814844722,0.004655653577,0.000218026053,0.004437627524,0,l2rest
LR,none,0,1,2,b2,1,100,0.2667908059,0.5165179628,0.5857190198,0.8818528088,0.9775578416,0.1355279893,0.0002667908059,1.83678359e-05,4.788786289e-06,1.357904961e-05,0,l2rest
LR,none,0,1,2,W3,2,1000,2.793394823,1.671345214,1.799341926,0.9288647086,0.9040052885,0.7705563448,0.002793394823,0.0005937570805,1.638315834e-05,0.0005773739222,0,l2rest
LR,none,0,1,2,b3,1,10,0.02287098326,0.1512315551,0.1623116902,0.9317354459,0.9682841478,0.04098542667,2.287098326e-05,1.6798052e-06,1.227693951e-07,1.557035804e-06,0,l2rest
