act,reg,lam,seed,task,tensor,ndim,numel,sq_norm,norm,norm0,norm_ratio,cos_w0,dist_w0,pen_l2,pen_l2init,pen_shell,pen_angular,reg_loss,arm
R,none,0,1,0,W1,2,78400,33.31122314,5.771587575,5.771587575,1,1,0,0.03331122314,0,0,-1.479315476e-17,0,l2rest
R,none,0,1,0,b1,1,100,0.04445929744,0.2108537347,0.2108537347,1,1,0,4.445929744e-05,0,0,-1.974389427e-20,0,l2rest
R,none,0,1,0,W2,2,10000,32.59850817,5.709510326,5.709510326,1,1,0,0.03259850817,0,0,0,0,l2rest
R,none,0,1,0,b2,1,100,0.3430667701,0.5857190198,0.5857190198,1,1,0,0.0003430667701,0,0,-1.523522509e-19,0,l2rest
R,none,0,1,0,W3,2,1000,3.237631366,1.799341926,1.799341926,1,1,0,0.003237631366,0,0,7.188985775e-19,0,l2rest
R,none,0,1,0,b3,1,10,0.02634508479,0.1623116902,0.1623116902,1,1,0,2.634508479e-05,0,0,-1.169956789e-20,0,l2rest
R,none,0,1,1,W1,2,78400,48.33562105,6.952382401,5.771587575,1.204587527,0.8321612385,3.855355755,0.04833562105,0.014863768,0.001394276421,0.01346949158,0,l2rest
R,none,0,1,1,b1,1,100,0.03717956458,0.1928200316,0.2108537347,0.9144729253,0.8983482941,0.0926870295,3.717956458e-05,8.590885437e-06,3.252144484e-07,8.265670988e-06,0,l2rest
R,none,0,1,1,W2,2,10000,36.80965605,6.06709618,5.709510326,1.062629864,0.941979345,2.036554892,0.03680965605,0.004147555826,0.0001278676424,0.004019688184,0,l2rest
R,none,0,1,1,b2,1,100,0.2940694606,0.5422817171,0.5857190198,0.9258393509,0.9803090773,0.1199810266,0.0002940694606,1.439544675e-05,1.886799267e-06,1.250864748e-05,0,l2rest
R,none,0,1,1,W3,2,1000,2.562307531,1.600720941,1.799341926,0.8896146519,0.9178281393,0.7161008047,0.002562307531,0.0005128003624,3.945029563e-05,0.0004733500668,0,l2rest
R,none,0,1,1,b3,1,10,0.0236833068,0.1538938166,0.1623116902,0.9481376012,0.9824463818,0.03078629598,2.36833068e-05,9.477960201e-07,7.086059604e-08,8.769354241e-07,0,l2rest
R,none,0,1,2,W1,2,78400,61.83079465,7.863255983,5.771587575,1.362407809,0.7413729881,5.277296607,0.06183079465,0.02784985948,0.004375076728,0.02347478275,0,l2rest
R,none,0,1,2,b1,1,100,0.03088218987,0.1757332919,0.2108537347,0.8334369421,0.8268596181,0.118594014,3.088218987e-05,1.406454016e-05,1.233445505e-06,1.283109466e-05,0,l2rest
R,none,0,1,2,W2,2,10000,40.09379561,6.331966173,5.709510326,1.109020881,0.9086013571,2.644998426,0.04009379561,0.006996016675,0.0003874512807,0.006608565395,0,l2rest
R,none,0,1,2,b2,1,100,0.2408726822,0.4907878179,0.5857190198,0.8379236482,0.9556058876,0.185836837,0.0002408726822,3.453532998e-05,9.01193309e-06,2.552339689e-05,0,l2rest
R,none,0,1,2,W3,2,1000,2.61264927,1.616369163,1.799341926,0.8983112879,0.8475260281,0.9593695202,0.00261264927,0.0009203898763,3.347903205e-05,0.0008869108442,0,l2rest
R,none,0,1,2,b3,1,10,0.02201266879,0.1483666701,0.1623116902,0.9140849303,0.9777313973,0.03559484172,2.201266879e-05,1.266992757e-06,1.94463588e-07,1.072529169e-06,0,l2rest
