act,reg,lam,seed,task,tensor,ndim,numel,sq_norm,norm,norm0,norm_ratio,cos_w0,dist_w0,pen_l2,pen_l2init,pen_shell,pen_angular,reg_loss,arm
R,none,0,1,0,W1,2,78400,33.31122314,5.771587575,5.771587575,1,1,0,0.03331122314,0,0,-1.479315476e-17,0,l2wt
R,none,0,1,0,b1,1,100,0.04445929744,0.2108537347,0.2108537347,1,1,0,4.445929744e-05,0,0,-1.974389427e-20,0,l2wt
R,none,0,1,0,W2,2,10000,32.59850817,5.709510326,5.709510326,1,1,0,0.03259850817,0,0,0,0,l2wt
R,none,0,1,0,b2,1,100,0.3430667701,0.5857190198,0.5857190198,1,1,0,0.0003430667701,0,0,-1.523522509e-19,0,l2wt
R,none,0,1,0,W3,2,1000,3.237631366,1.799341926,1.799341926,1,1,0,0.003237631366,0,0,7.188985775e-19,0,l2wt
R,none,0,1,0,b3,1,10,0.02634508479,0.1623116902,0.1623116902,1,1,0,2.634508479e-05,0,0,-1.169956789e-20,0,l2wt
R,none,0,1,1,W1,2,78400,12.1708364,3.488672584,5.771587575,0.6044563196,0.4589985927,5.195962045,0.0121708364,0.02699802158,0.005211700857,0.02178632072,0,l2wt
R,none,0,1,1,b1,1,100,0.05653341839,0.2377675722,0.2108537347,1.127642214,0.9374502302,0.08364279741,5.653341839e-05,6.996117558e-06,7.243546492e-07,6.271762909e-06,0,l2wt
R,none,0,1,1,W2,2,10000,10.57264461,3.251560335,5.709510326,0.5694989848,0.7506757746,3.911372592,0.01057264461,0.01529883555,0.006041518161,0.00925731739,0,l2wt
R,none,0,1,1,b2,1,100,0.3773885841,0.6143196107,0.5857190198,1.048829883,0.9868586326,0.1013657377,0.0003773885841,1.027501277e-05,8.179938029e-07,9.457018967e-06,0,l2wt
R,none,0,1,1,W3,2,1000,3.41387198,1.847666631,1.799341926,1.026856877,0.9723992263,0.4311118886,0.00341387198,0.0001858574605,2.335277148e-06,0.0001835221833,0,l2wt
R,none,0,1,1,b3,1,10,0.02396488854,0.1548059706,0.1623116902,0.9537573689,0.9707171995,0.03908840066,2.396488854e-05,1.527903066e-06,5.633582691e-08,1.471567239e-06,0,l2wt
R,none,0,1,2,W1,2,78400,9.414917782,3.068373801,5.771587575,0.5316342793,0.3157453888,5.616299997,0.009414917782,0.03154282565,0.00730736471,0.02423546094,0,l2wt
R,none,0,1,2,b1,1,100,0.0567794956,0.2382844846,0.2108537347,1.130093735,0.9236066168,0.09180924818,5.67794956e-05,8.428938051e-06,7.524460397e-07,7.676492012e-06,0,l2wt
R,none,0,1,2,W2,2,10000,6.934857336,2.633411729,5.709510326,0.4612325013,0.6152331411,4.586142194,0.006934857336,0.02103270022,0.00946238258,0.01157031764,0,l2wt
R,none,0,1,2,b2,1,100,0.373851242,0.6114337593,0.5857190198,1.043902859,0.9725376216,0.1425880854,0.000373851242,2.033136209e-05,6.612478292e-07,1.967011426e-05,0,l2wt
R,none,0,1,2,W3,2,1000,3.4959205,1.869738083,1.799341926,1.03912328,0.9588274243,0.5310266073,0.0034959205,0.0002819892577,4.955619004e-06,0.0002770336387,0,l2wt
R,none,0,1,2,b3,1,10,0.02209995794,0.148660546,0.1623116902,0.9158954958,0.9555148302,0.04830268845,2.209995794e-05,2.333149711e-06,1.863537388e-07,2.146795972e-06,0,l2wt
