act,reg,lam,seed,task,tensor,ndim,numel,sq_norm,norm,norm0,norm_ratio,cos_w0,dist_w0,pen_l2,pen_l2init,pen_shell,pen_angular,reg_loss
SNA,l2,0.001,0,0,W1,2,78400,33.19778038,5.761751502,5.761751502,1,1,0,0.03319778038,0,0,1.474277606e-17,0.03319778038
SNA,l2,0.001,0,0,b1,1,100,0.0445198491,0.2109972727,0.2109972727,1,1,0,4.45198491e-05,0,0,0,4.45198491e-05
SNA,l2,0.001,0,0,W2,2,10000,33.40909083,5.78005976,5.78005976,1,1,0,0.03340909083,0,0,0,0.03340909083
SNA,l2,0.001,0,0,b2,1,100,0.3121393494,0.5586943256,0.5586943256,1,1,0,0.0003121393494,0,0,0,0.0003121393494
SNA,l2,0.001,0,0,W3,2,1000,3.260951522,1.805810489,1.805810489,1,1,0,0.003260951522,0,0,0,0.003260951522
SNA,l2,0.001,0,0,b3,1,10,0.04022925306,0.2005723138,0.2005723138,1,1,0,4.022925306e-05,0,0,0,4.022925306e-05
SNA,l2,0.001,0,1,W1,2,78400,25.66350523,5.065916031,5.761751502,0.8792319538,0.5488855997,5.178700303,0.02566350523,0.02681893683,0.0004841870034,0.02633474983,0.02566350523
SNA,l2,0.001,0,1,b1,1,100,0.04512477175,0.2124259206,0.2109972727,1.006770931,0.9384174586,0.07431324859,4.512477175e-05,5.522458915e-06,2.041034833e-09,5.520417881e-06,4.512477175e-05
SNA,l2,0.001,0,1,W2,2,10000,26.53921251,5.151622318,5.78005976,0.8912749231,0.9658052801,1.559276888,0.02653921251,0.002431344414,0.0003949336182,0.002036410796,0.02653921251
SNA,l2,0.001,0,1,b2,1,100,0.2742599597,0.523698348,0.5586943256,0.9373611366,0.9898958979,0.0844830294,0.0002742599597,7.137382257e-06,1.224718444e-06,5.912663813e-06,0.0002742599597
SNA,l2,0.001,0,1,W3,2,1000,3.124508253,1.767627861,1.805810489,0.9788556835,0.9722386644,0.4227130604,0.003124508253,0.0001786863315,1.457913123e-06,0.0001772284183,0.003124508253
SNA,l2,0.001,0,1,b3,1,10,0.03961838548,0.1990436773,0.2005723138,0.9923786267,0.9935605719,0.02272652208,3.961838548e-05,5.164948058e-07,2.336729465e-09,5.141580763e-07,3.961838548e-05
SNA,l2,0.001,0,2,W1,2,78400,27.4876556,5.242867117,5.761751502,0.9099432897,0.4392280418,5.843710206,0.0274876556,0.03414894897,0.0002692410056,0.03387970796,0.0274876556
SNA,l2,0.001,0,2,b1,1,100,0.04412649021,0.2100630625,0.2109972727,0.9955724059,0.9195802599,0.08443765825,4.412649021e-05,7.12971813e-06,8.7274883e-10,7.128845381e-06,4.412649021e-05
SNA,l2,0.001,0,2,W2,2,10000,22.71515139,4.76604148,5.78005976,0.8245661252,0.9245999346,2.276505165,0.02271515139,0.005182475764,0.001028233073,0.004154242692,0.02271515139
SNA,l2,0.001,0,2,b2,1,100,0.2631870978,0.5130176389,0.5586943256,0.9182438686,0.9761585451,0.1255119013,0.0002631870978,1.575323737e-05,2.086359707e-06,1.366687767e-05,0.0002631870978
SNA,l2,0.001,0,2,W3,2,1000,3.086105505,1.756731484,1.805810489,0.972821619,0.9463458015,0.5855132511,0.003086105505,0.0003428257672,2.408748785e-06,0.0003404170184,0.003086105505
SNA,l2,0.001,0,2,b3,1,10,0.034399281,0.1854704316,0.2005723138,0.9247060479,0.9854559276,0.03619603053,3.4399281e-05,1.310152626e-06,2.280668458e-07,1.08208578e-06,3.4399281e-05
