act,reg,lam,seed,task,tensor,ndim,numel,sq_norm,norm,norm0,norm_ratio,cos_w0,dist_w0,pen_l2,pen_l2init,pen_shell,pen_angular,reg_loss,arm
R,none,0,1,0,W1,2,78400,33.31122314,5.771587575,5.771587575,1,1,0,0.03331122314,0,0,-1.479315476e-17,0,cap2
R,none,0,1,0,b1,1,100,0.04445929744,0.2108537347,0.2108537347,1,1,0,4.445929744e-05,0,0,-1.974389427e-20,0,cap2
R,none,0,1,0,W2,2,10000,32.59850817,5.709510326,5.709510326,1,1,0,0.03259850817,0,0,0,0,cap2
R,none,0,1,0,b2,1,100,0.3430667701,0.5857190198,0.5857190198,1,1,0,0.0003430667701,0,0,-1.523522509e-19,0,cap2
R,none,0,1,0,W3,2,1000,3.237631366,1.799341926,1.799341926,1,1,0,0.003237631366,0,0,7.188985775e-19,0,cap2
R,none,0,1,0,b3,1,10,0.02634508479,0.1623116902,0.1623116902,1,1,0,2.634508479e-05,0,0,-1.169956789e-20,0,cap2
R,none,0,1,1,W1,2,78400,45.26609611,6.728008331,5.771587575,1.165711902,0.8611639283,3.420103506,0.04526609611,0.01169710799,0.0009147406627,0.01078236733,0,cap2
R,none,0,1,1,b1,1,100,0.05065359828,0.2250635428,0.2108537347,1.067391778,0.9286472809,0.08351092699,5.065359828e-05,6.974074927e-06,2.01918645e-07,6.772156282e-06,0,cap2
R,none,0,1,1,W2,2,10000,34.8989956,5.907537186,5.709510326,1.034683685,0.974092036,1.336757856,0.0348989956,0.001786921567,3.921463703e-05,0.00174770693,0,cap2
R,none,0,1,1,b2,1,100,0.3794236153,0.6159737131,0.5857190198,1.051653937,0.9850505452,0.1081780933,0.0003794236153,1.170249987e-05,9.15346471e-07,1.078715339e-05,0,cap2
R,none,0,1,1,W3,2,1000,3.562757302,1.887526769,1.799341926,1.049009497,0.9574895241,0.5445491158,0.003562757302,0.0002965337396,7.776566522e-06,0.000288757173,0,cap2
R,none,0,1,1,b3,1,10,0.02433094745,0.1559838051,0.1623116902,0.9610139901,0.9785242931,0.0335780555,2.433094745e-05,1.127485811e-06,4.00421307e-08,1.08744368e-06,0,cap2
R,none,0,1,2,W1,2,78400,57.42231582,7.57775137,5.771587575,1.312940551,0.7691096489,4.843398542,0.05742231582,0.02345850943,0.003262227653,0.02019628178,0,cap2
R,none,0,1,2,b1,1,100,0.05236312057,0.2288298944,0.2108537347,1.085254168,0.8929799718,0.1032012477,5.236312057e-05,1.065049753e-05,3.231423171e-07,1.032735521e-05,0,cap2
R,none,0,1,2,W2,2,10000,37.05818305,6.087543269,5.709510326,1.066211097,0.9496717503,1.908249434,0.03705818305,0.003641415903,0.0001429089058,0.003498506997,0,cap2
R,none,0,1,2,b2,1,100,0.3910705148,0.6253563103,0.5857190198,1.067672876,0.967791768,0.1586372465,0.0003910705148,2.516577596e-05,1.571114799e-06,2.359466117e-05,0,cap2
R,none,0,1,2,W3,2,1000,3.897271892,1.974150929,1.799341926,1.097151631,0.926782114,0.7421073477,0.003897271892,0.0005507233155,3.055818774e-05,0.0005201651278,0,cap2
R,none,0,1,2,b3,1,10,0.02445805494,0.1563907124,0.1623116902,0.9635209405,0.9808665017,0.03172426494,2.445805494e-05,1.006428986e-06,3.505797812e-08,9.713710078e-07,0,cap2
