arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
ELU1,0,0.001,1,none,0.9543625,1,1,0,0,-1.012503624,1.572881937,-5.312522888,0.4942938089,77.44542828,0,0,-0.295338124,1.815795422,-1.188797951,0.6265602112,63.72547351,4.587464333,1.924840331,2.836657286
ELU1,0,0.001,2,none,0.9452729167,1,1,0,0,-2.779138565,2.876697779,-9.760644913,0.2789769173,69.70748656,0,0,-0.9337450266,3.105714083,-7.266973495,0.492967844,57.01053093,6.410711288,2.664061308,3.646903515
ELU1,0,0.001,3,none,0.94799375,1,1,0,0,-3.982276678,3.618299007,-9.469195366,0.21729891,70.61400558,0,0,-2.823308945,4.085068226,-9.499435425,0.3308796883,62.08857349,7.806219578,3.11498189,4.019094467
ELU1,0,0.001,4,none,0.93289375,1,1,0,0,-4.328877926,4.269710541,-12.86065102,0.2039936334,71.15543199,0,0,-5.554429054,5.694941998,-20.54275322,0.1959372759,60.9099614,9.372125626,3.530695438,4.879494667
ELU1,0,0.001,5,none,0.906925,1,1,0,0,-4.588261604,5.018422604,-17.04759598,0.234207198,69.09305862,0,0,-9.825054169,8.147112846,-21.56505585,0.1411773562,67.95761255,10.78127289,4.029598713,5.324359417
ELU1,0,0.001,6,none,0.8975645833,1,1,0,0,-6.572867393,6.065333843,-18.61745262,0.1842948347,60.02269667,0,0,-18.6802597,11.29901218,-45.93854141,0.0447941348,63.83591903,12.72177792,4.401704788,5.70316267
ELU1,0,0.001,7,none,0.7307333333,0.9808333516,0.9808333516,0,0,-6.200857639,6.798279762,-14.15369511,0.2203640491,65.25076794,0,0,-24.54258156,15.78930187,-50.70420837,0.04890061915,71.63741751,14.71783161,4.943598747,6.045236588
ELU1,0,0.001,8,none,0.5593645833,0.8991666436,0.8991666436,0,0,-6.965078831,7.860046387,-15.84281254,0.2295722961,61.04163595,0,0,-37.6824379,22.21066284,-74.63102722,0.02276560105,65.23993591,16.64088249,5.601846218,6.135725498
ELU1,0,0.001,9,none,0.3211583333,0.5333333611,0.5333333611,0,0,-8.494094849,8.542878151,-24.16105843,0.1948833913,49.37210732,0.05000000075,0,-61.73851013,28.05747795,-100.396965,0.009553970769,59.26091132,18.0648365,5.959454536,6.128336906
ELU1,0,0.001,10,none,0.13356875,0.1908333302,0.1908333302,0,0,-10.67134094,8.936717033,-25.13065147,0.1471752673,30.01846437,0.3899999857,0,-106.553421,37.53094101,-164.1444092,6.742728687e-08,31.27493506,18.54852104,6.080564976,6.072971344
ELU1,0,0.001,11,none,0.11959375,0.1141666695,0.1141666695,0,0,-10.74185753,8.834158897,-24.60808182,0.1129086912,22.1207406,0.5099999905,0,-140.6983643,44.33944321,-217.7166595,3.775498802e-10,20.58279966,19.19480324,6.080564976,6.047662735
ELU1,0,0.001,12,none,0.1104791667,0.1158333346,0.1158333346,0,0,-14.22380161,9.042107582,-28.26745415,0.06673888117,15.83528717,0.7400000095,0,-164.9738617,49.54422379,-257.4450684,3.226011271e-16,8.989843723,19.34636116,6.099585533,6.017523766
ELU1,0,0.001,13,none,0.1113020833,0.1216666698,0.1216666698,0,0,-11.95763874,9.169284821,-30.0469265,0.09582801163,16.63387783,0.8199999928,0,-179.9723358,55.497612,-271.7280579,2.238186917e-20,6.723597634,19.2874279,6.080564976,6.027839661
ELU1,0,0.001,14,none,0.1071979167,0.1174999997,0.1174999997,0,0,-12.36700153,9.076325417,-28.07585335,0.07961320877,15.57421855,0.8000000119,0,-195.1496887,58.09423828,-294.353241,3.076275651e-20,6.982359857,19.36871719,6.099585533,6.006934166
ELU1,0,0.001,15,none,0.1033083333,0.1075000018,0.1075000018,0,0,-8.063088417,8.798206329,-33.46924591,0.1863351762,18.68038346,0.8000000119,0,-198.704483,62.51580429,-304.2776489,6.329862119e-19,8.762508716,19.64752007,6.099585533,5.989625454
ELU1,0,0.001,16,none,0.10484375,0.1116666645,0.1116666645,0,0,-11.58445168,9.068523407,-33.7767868,0.1117196158,14.42121939,0.9100000262,0,-218.0777435,65.56034851,-330.1053772,7.387739693e-26,6.123543311,19.62302971,6.102553368,5.975713253
