arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
ELU1,1,0.001,1,none,0.954525,1,1,0,0,-0.5110746026,1.481116772,-2.111597538,0.6133261919,75.98003475,0,0,0.6451013684,2.021192074,-0.2667503655,0.7697690725,53.84323539,4.408002853,1.940328956,2.972108841
ELU1,1,0.001,2,none,0.941875,1,1,0,0,-2.641306877,2.716367722,-8.062977791,0.314658761,67.07281599,0,0,-1.154446244,3.543958902,-5.685120583,0.4701946378,59.49009032,6.283725739,2.697673559,3.819277048
ELU1,1,0.001,3,none,0.94616875,1,1,0,0,-3.646774054,3.523075819,-9.958948135,0.2515735626,71.93682962,0,0,-3.464474201,4.558032513,-15.22553062,0.2919392288,67.60382634,7.582365513,3.26548624,4.396535397
ELU1,1,0.001,4,none,0.9327979167,0.9691666961,0.9691666961,0,0,-4.760855675,4.34855032,-12.72955418,0.209820658,67.17620896,0,0,-7.125927925,6.255813122,-19.92123413,0.1678384393,61.53992325,9.187664986,3.773299932,4.841657639
ELU1,1,0.001,5,none,0.9104104167,1,1,0,0,-5.681921959,5.190486908,-14.94219685,0.1740383059,64.78936795,0,0,-10.51167679,7.725365639,-33.34360504,0.08308997005,60.72097103,11.0902338,4.030946255,5.188760757
ELU1,1,0.001,6,none,0.894525,1,1,0,0,-6.213411808,5.862651825,-18.95966911,0.1769878715,63.11610028,0,0,-17.09410667,10.928092,-46.18065262,0.06217534468,66.73777447,12.97040749,4.437686443,5.923565865
ELU1,1,0.001,7,none,0.8049854167,0.9991666675,0.9991666675,0,0,-7.510812759,7.001862526,-18.68443298,0.1720807701,64.2846378,0,0,-23.80834579,14.39154148,-47.6296463,0.03761891276,70.98575421,14.69147015,4.954098701,6.225315094
ELU1,1,0.001,8,none,0.5998291667,0.9016666412,0.9016666412,0,0,-7.092306137,8.138674736,-19.8617897,0.2079534978,61.69618219,0,0,-34.2992897,20.67470551,-74.28022766,0.04279712215,71.87678145,16.49663734,5.432349205,6.242195606
ELU1,1,0.001,9,none,0.40656875,0.6899999976,0.6899999976,0,0,-8.970479012,8.770394325,-27.50929642,0.1904196143,55.50109116,0.009999999776,0,-50.22161865,26.04136276,-97.70030975,0.01572816446,68.20283857,18.21577072,5.777022362,6.314473152
ELU1,1,0.001,10,none,0.1871229167,0.296666652,0.296666652,0,0,-9.592457771,9.168336868,-31.54675484,0.1828124672,39.94250631,0.3000000119,0,-90.10569763,34.74644852,-177.3608856,0.001666951342,42.4526555,19.12678719,6.002038479,6.276689529
