arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
SMAXH,0,0.001,1,none,0.9542854167,1,1,0,0,-0.7337326407,1.51033318,-2.32201004,0.5627029538,76.33367387,0,0,-0.06772542,1.865045428,-1.245256305,0.6730524898,61.11206293,4.497549534,1.936387777,2.855666876
SMAXH,0,0.001,2,none,0.9524791667,1,1,0,0,-2.57773304,2.424227476,-7.239339828,0.3070328236,71.08130512,0,0,0.5146135688,2.16534543,-2.797827244,0.7529953122,57.63523746,5.961266041,2.382732868,3.638324499
SMAXH,0,0.001,3,none,0.9454666667,1,1,0,0,-3.859945774,3.00680089,-8.327698708,0.2259028107,69.32446033,0,0,-0.1637160182,2.208764553,-5.153331757,0.6553117633,64.77357732,6.978640079,2.672842503,3.892258883
SMAXH,0,0.001,4,none,0.9422645833,1,1,0,0,-4.838372707,3.420889616,-9.219573021,0.1996255964,68.30524557,0,0,0.4448753893,2.349478245,-7.705877304,0.7362881303,58.4252442,8.056285858,2.909084797,4.265249252
SMAXH,0,0.001,5,none,0.9242854167,1,1,0,0,-5.824695587,3.874876022,-10.9155817,0.1815619469,65.64834969,0,0,0.2259318978,2.535036325,-10.240942,0.6877944469,57.17791914,9.28301239,3.149263144,4.688420296
SMAXH,0,0.001,6,none,0.91685,1,1,0,0,-6.800197601,4.128082275,-11.31135464,0.1626950651,63.08818969,0,0,0.4213217795,2.535723448,-10.20051479,0.729254961,56.33979616,10.17389107,3.298591137,4.92068243
SMAXH,0,0.001,7,none,0.9071041667,1,1,0,0,-6.797858238,4.411678791,-11.94389629,0.1634123623,64.62483999,0,0,2.263026714,2.659363747,-11.03651428,0.9016805887,49.21746657,10.9432373,3.475070953,5.170035839
SMAXH,0,0.001,8,none,0.91000625,1,1,0,0,-7.459576607,4.68449688,-15.91451836,0.1597885191,61.91338449,0,0,-0.5639318824,3.081852913,-13.47883606,0.5806665421,55.03218223,11.86740112,3.561807394,5.215504646
SMAXH,0,0.001,9,none,0.8951520833,1,1,0,0,-7.744736195,4.910226822,-15.14025879,0.160080269,64.45680715,0,0,1.616972923,3.190864086,-11.19424725,0.8022482395,51.02427172,12.74138737,3.681787729,5.392054081
SMAXH,0,0.001,10,none,0.89806875,1,1,0,0,-8.482112885,5.259668827,-14.960042,0.1558846086,65.11858141,0,0,1.311791658,3.362184048,-16.87440681,0.809917748,49.42973632,13.64445782,3.780490875,5.639377117
SMAXH,0,0.001,11,none,0.8938333333,1,1,0,0,-9.409957886,5.499073029,-17.27313805,0.1391349584,63.44181841,0,0,-2.431018591,3.515702486,-14.99493122,0.3145501018,52.60008472,14.94002819,3.914243698,5.960082054
SMAXH,0,0.001,12,none,0.8922979167,0.7941666842,0.7941666842,0,0,-9.290225029,5.632571697,-17.13480186,0.1488207132,62.26982884,0,0,-6.581758976,4.271495342,-21.90695,0.1736579984,56.06189754,15.6366663,3.96512723,6.165570259
SMAXH,0,0.001,13,none,0.8821854167,1,1,0,0,-10.54165459,5.845211506,-15.87063789,0.1332834363,61.62325138,0,0,-7.265117168,4.165097713,-16.94127846,0.1522065699,55.29475118,16.86916351,4.038563728,6.339184761
SMAXH,0,0.001,14,none,0.8755083333,1,1,0,0,-10.62604046,6.091442585,-16.12151337,0.1358987242,63.17814002,0,0,-8.103473663,4.517861843,-19.24168587,0.141052559,54.41456156,18.19906807,4.180119038,6.646410465
SMAXH,0,0.001,15,none,0.87894375,1,1,0,0,-10.80416203,6.245582104,-19.25881577,0.1299738884,62.11799548,0,0,-7.654362202,4.860834599,-22.54093552,0.1521324217,54.03214637,19.42943382,4.220827103,6.944758415
SMAXH,0,0.001,16,none,0.8567333333,1,1,0,0,-11.38058186,6.549660206,-20.22838402,0.1425661147,64.26059134,0,0,-8.845246315,5.316254616,-22.23319817,0.1529511958,56.0235316,20.60900879,4.336268425,7.183288574
SMAXH,0,0.001,17,none,0.8634479167,1,1,0,0,-12.13596058,6.840992451,-19.41312599,0.1308228523,61.93599473,0,0,-11.7930069,5.648877144,-22.9903183,0.1207369268,51.70735651,21.47527885,4.273685455,7.214194775
SMAXH,0,0.001,18,none,0.8596145833,1,1,0,0,-12.75804329,6.966178417,-21.5199337,0.1256213188,60.97888508,0,0,-11.98316765,5.470957279,-22.93877411,0.1165324748,51.21499929,22.66731834,4.338247776,7.557387352
SMAXH,0,0.001,19,none,0.8528333333,1,1,0,0,-12.55396843,7.025481224,-24.23539162,0.1263415813,61.59688631,0,0,-12.73499393,5.954983234,-23.948452,0.1160256937,50.42485324,23.82600975,4.475473881,7.615187645
SMAXH,0,0.001,20,none,0.8436416667,1,1,0,0,-12.96565151,7.294349194,-22.1877861,0.1269550323,61.72584262,0,0,-13.50822926,6.142548084,-22.12725449,0.1157500595,50.72902968,25.36289406,4.545655251,7.657766819
SMAXH,0,0.001,21,none,0.8312333333,1,1,0,0,-14.13597679,7.338597775,-23.29972076,0.1212248877,59.81582398,0,0,-13.94503212,6.109199047,-24.7306633,0.1098046973,46.60919345,26.4828701,4.55876112,7.755057335
SMAXH,0,0.001,22,none,0.8227520833,1,1,0,0,-14.24902153,7.464846611,-22.44005585,0.1245561987,61.27245795,0,0,-14.34446907,6.239571095,-25.24551964,0.1128534675,49.44790678,28.07481384,4.569283485,7.794519424
SMAXH,0,0.001,23,none,0.81746875,1,1,0,0,-14.26697445,7.639129162,-22.77897835,0.123690106,59.83177648,0,0,-12.10496998,6.198974609,-24.14780998,0.1225211173,54.32331068,29.56667709,4.6095047,7.745024204
SMAXH,0,0.001,24,none,0.8262833333,1,1,0,0,-13.95762539,7.675701618,-23.08433533,0.1273780465,62.50149445,0,0,-13.65683937,6.414027214,-26.9330101,0.1171844229,52.59958305,30.51054573,4.615405083,7.636518002
SMAXH,0,0.001,25,none,0.8282708333,1,1,0,0,-14.58315754,7.787969589,-23.41114998,0.1225690469,62.15265667,0,0,-14.36830425,6.331855774,-28.0277729,0.1142885834,50.10741115,31.65400696,4.643975735,7.782511234
SMAXH,0,0.001,26,none,0.8222708333,1,1,0,0,-15.05753899,7.877087116,-27.99177742,0.1207412109,60.59004654,0,0,-14.24613953,6.388892651,-25.35735703,0.1134301648,51.74816936,32.84861374,4.640050888,7.819316864
SMAXH,0,0.001,27,none,0.8077895833,1,1,0,0,-15.13230133,8.023058891,-22.14539146,0.119605951,61.85654085,0,0,-13.20134163,6.458506584,-27.54172134,0.1190271005,55.33954557,33.93550873,4.643279552,7.865057945
SMAXH,0,0.001,28,none,0.81529375,1,1,0,0,-14.92392921,8.141561508,-24.3789978,0.123538956,60.73257309,0,0,-15.83685398,6.901980877,-27.15405273,0.112857312,50.62450684,35.365448,4.703039646,7.810960293
SMAXH,0,0.001,29,none,0.8169375,1,1,0,0,-15.08410835,8.200565338,-23.06859779,0.1259616017,63.47252438,0,0,-15.78092957,7.238291264,-26.38248444,0.1127032489,50.88434315,36.00667953,4.639086723,7.710080624
SMAXH,0,0.001,30,none,0.8270583333,1,1,0,0,-15.27918339,8.483659744,-25.48618698,0.1273680329,63.92138574,0,0,-15.02547836,7.522334099,-26.80955315,0.1144263223,51.71355244,37.42204285,4.695230007,7.668255329
SMAXH,0,0.001,31,none,0.8245270833,1,1,0,0,-15.89647102,8.765854836,-23.48960876,0.1277023554,64.12903089,0,0,-14.88458633,7.412231445,-32.97683716,0.1178881079,54.35774199,38.39894104,4.759663582,7.825734615
SMAXH,0,0.001,32,none,0.7986166667,1,1,0,0,-16.53107452,8.7725811,-24.71309662,0.123654671,63.59780223,0,0,-15.40627098,7.317276955,-25.86378288,0.1165893972,54.5620495,39.78022385,4.761739254,7.846907139
SMAXH,0,0.001,33,none,0.8097479167,1,1,0,0,-16.17137718,8.682712555,-27.19903564,0.1237926334,63.80368374,0,0,-15.83235168,7.761719704,-27.54180908,0.113822706,51.82616707,40.7108345,4.782196522,7.747312069
SMAXH,0,0.001,34,none,0.8166104167,1,1,0,0,-15.93892384,8.862783432,-28.73748016,0.1293863058,63.69696415,0,0,-14.85016155,7.68608284,-29.15621758,0.1215000376,58.15225154,41.55596924,4.684286594,7.621442318
SMAXH,0,0.001,35,none,0.8186583333,1,1,0,0,-16.22862244,9.162962914,-27.71298218,0.1247949451,64.81839971,0,0,-15.85974407,7.706081867,-29.62859726,0.1185576916,57.14328947,42.54803467,4.802221775,7.657069683
SMAXH,0,0.001,36,none,0.8106395833,1,1,0,0,-16.25326729,9.534909248,-28.60962296,0.1262702197,64.87983135,0,0,-18.16001511,8.180407524,-35.1000061,0.1122967675,53.17934418,43.78697968,4.875490189,7.613792419
