arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
SMINH,0,0.001,1,none,0.9705354167,1,1,0,0,-0.5870559812,1.45807445,-2.447435379,0.4004604518,77.95330135,0,0,1.048216581,1.426139474,0.2820547521,0.797100246,46.43129157,3.35963726,2.107923269,3.461371899
SMINH,0,0.001,2,none,0.9477708333,1,1,0,0,-2.917750835,2.311015129,-7.307433128,0.1501368284,78.13994681,0,0,0.6267572045,1.55000484,-1.752948761,0.6894026399,57.01019247,5.09335947,2.784336805,5.875008106
SMINH,0,0.001,3,none,0.9398895833,1,1,0,0,-4.140571594,2.962512493,-11.49900913,0.1014633998,74.63207345,0,0,-0.1464297622,1.86372292,-3.045301914,0.5152792931,62.63291523,6.441495895,3.22977972,7.281716824
SMINH,0,0.001,4,none,0.9156583333,0.8208333254,0.8208333254,0,0,-4.351275921,3.374364376,-11.43777561,0.1040012315,69.64425175,0,0,-1.628037333,2.516439676,-5.261263847,0.2764997184,69.19598646,7.563711643,3.60159421,8.22827816
SMINH,0,0.001,5,none,0.9040354167,1,1,0,0,-4.307615757,3.786405802,-11.76280785,0.1348189861,70.17021345,0,0,-3.130937815,4.11621809,-8.624492645,0.219431147,71.34287111,8.996716499,3.963821888,9.159594536
SMINH,0,0.001,6,none,0.8977354167,1,1,0,0,-4.630122185,4.168573856,-15.33059216,0.1535892189,63.92640964,0,0,-6.014862061,6.334871769,-18.7207489,0.153289929,72.82656639,10.34283352,4.299068451,9.742513657
SMINH,0,0.001,7,none,0.8711958333,0.9991666675,0.9991666675,0,0,-5.908830643,5.0927701,-13.80490875,0.1341241002,59.51181376,0,0,-12.38020325,9.091724396,-26.08872032,0.07179760188,70.44423421,11.80897903,4.780619621,9.92141819
SMINH,0,0.001,8,none,0.8215625,1,1,0,0,-6.341759205,5.895939827,-15.81120968,0.1314256489,57.65188041,0,0,-18.01766586,12.34393883,-37.87243652,0.04830701649,67.56409898,13.41059589,5.247190475,10.1406889
SMINH,0,0.001,9,none,0.7322083333,0.9708333611,0.9708333611,0,0,-7.230112076,6.739562988,-26.73974991,0.1459686756,54.27039353,0,0,-28.60688782,17.68861771,-63.30670547,0.036319796,66.96686408,15.30272293,5.873912811,10.76424026
SMINH,0,0.001,10,none,0.55785,0.8516666889,0.8516666889,0,0,-7.585350037,7.634649754,-27.54687119,0.1468468308,51.52237282,0,0,-35.09959793,22.04931641,-67.92404938,0.03046321496,74.62169018,16.83672905,6.319377899,10.8316946
SMINH,0,0.001,11,none,0.4379916667,0.6700000167,0.6700000167,0,0,-8.883529663,8.426253319,-23.43722153,0.1499578357,44.02202819,0.02999999933,0,-52.45645142,28.40517426,-98.9503479,0.01234028582,63.66735998,17.9292717,6.521728992,11.00231075
SMINH,0,0.001,12,none,0.3087270833,0.4933333397,0.4933333397,0,0,-9.903506279,8.952549934,-24.82152748,0.1189108416,37.45716754,0.05999999866,0,-66.76970673,33.10984802,-120.6474762,0.007595567033,59.56981339,19.23256493,6.884306908,11.09189892
SMINH,0,0.001,13,none,0.2682479167,0.4174999893,0.4174999893,0,0,-10.00475788,9.417860985,-29.27206612,0.1406508684,30.49757003,0.1899999976,0,-88.78958893,39.92370224,-152.881424,0.003506153356,48.15172628,20.32961845,7.051286697,10.9568758
SMINH,0,0.001,14,none,0.1983625,0.2808333337,0.2808333337,0,0,-11.30452061,9.790353775,-33.57014084,0.1227060854,25.37619684,0.2700000107,0,-99.5830307,44.01942825,-197.5783081,0.00175215723,45.95523675,20.95152664,7.244222164,10.9360981
SMINH,0,0.001,15,none,0.1347604167,0.164166674,0.164166674,0,0,-12.92834854,9.836950302,-25.22912979,0.09764412791,17.46377431,0.5099999905,0,-134.9132538,52.41012192,-256.7659912,3.678587712e-10,28.01112324,21.23310661,7.367066383,10.96563148
SMINH,0,0.001,16,none,0.1560645833,0.2074999958,0.2074999958,0,0,-12.41043663,10.30504036,-37.56065369,0.1110171005,17.87223566,0.5299999714,0,-154.9632568,56.97606659,-282.1983337,1.35846074e-11,23.01247204,22.11859131,7.433398247,11.05554676
SMINH,0,0.001,17,none,0.1366729167,0.1716666669,0.1716666669,0,0,-13.14569664,10.3723774,-34.41896439,0.09573359042,16.31438046,0.6100000143,0,-174.6986694,65.72879791,-312.9331055,8.459313978e-12,19.70673947,22.50366211,7.521494389,10.9441185
SMINH,0,0.001,18,none,0.1127458333,0.1324999928,0.1324999928,0,0,-13.94962883,10.56243896,-30.72774506,0.09712143987,13.26448438,0.8199999928,0,-206.5196381,73.69667053,-347.335144,1.501903599e-20,11.84317779,22.64117813,7.494964123,10.95255661
SMINH,0,0.001,19,none,0.1146104167,0.1316666603,0.1316666603,0,0,-15.01867008,10.637887,-29.57936287,0.09061955661,13.02821005,0.7699999809,0,-209.4479523,76.15755463,-353.9367676,1.445367922e-17,11.03230449,22.86567497,7.521494389,10.92856216
SMINH,0,0.001,20,none,0.09880625,0.1083333343,0.1083333343,0,0,-15.71755028,10.7975235,-33.37612152,0.08119580895,11.83844293,0.8600000143,0,-229.4447174,78.06329346,-382.4361572,3.905897097e-23,6.147387896,22.90801811,7.591124535,10.90518856
SMINH,0,0.001,21,none,0.1035291667,0.113333337,0.113333337,0,0,-16.29553795,10.7176733,-37.21127319,0.08206474781,11.81129802,0.9200000167,0,-228.2296906,80.54117584,-393.171814,3.044085254e-24,4.739651278,22.90998459,7.586682796,10.8819828
SMINH,0,0.001,22,none,0.1080979167,0.1183333322,0.1183333322,0,0,-14.92844105,10.7875061,-37.78232193,0.09020521492,11.9382452,0.8999999762,0,-242.0019226,82.89502716,-413.0195618,9.54493888e-25,5.459903215,22.99168587,7.571946621,10.87391663
SMINH,0,0.001,23,none,0.1153145833,0.1283333302,0.1283333302,0,0,-14.87808895,10.94207001,-32.47283173,0.0962568,11.99206486,0.8799999952,0,-259.7940063,86.82415771,-428.9036865,2.139763057e-28,6.006351946,22.95320702,7.521494389,10.8339119
SMINH,0,0.001,24,none,0.1181666667,0.1266666651,0.1266666651,0,0,-15.26807594,11.00567055,-34.52890015,0.09479483217,11.62139152,0.9700000286,0,-265.7987061,87.20346069,-440.0402527,1.057091624e-31,2.964968369,23.01226807,7.521494389,10.83542633
SMINH,0,0.001,25,none,0.1054645833,0.113333337,0.113333337,0,0,-13.24875641,10.88608265,-35.7551384,0.109215878,11.42949316,1,0,-269.0195923,90.03017426,-446.2954102,6.929711408e-32,1.000000559,22.93985939,7.521494389,10.84261227
SMINH,0,0.001,26,none,0.09835625,0.1075000018,0.1075000018,0,0,-13.09257793,10.88713169,-35.76403809,0.100433059,11.60447675,1,0,-269.7478638,90.24343872,-447.3954773,1.520852945e-31,1.000000559,22.92950821,7.521494389,10.83936214
SMINH,0,0.001,27,none,0.10206875,0.1141666695,0.1141666695,0,0,-13.55615711,10.88797665,-36.62540436,0.1004701555,11.33263244,1,0,-271.5786743,89.99377441,-446.0105591,3.019827061e-32,1.000000559,22.93122673,7.521494389,10.81644535
SMINH,0,0.001,28,none,0.098875,0.1083333343,0.1083333343,0,0,-13.6624918,10.88797665,-36.62152863,0.1004707962,11.1818892,1,0,-271.9069214,90.76080322,-450.5641785,1.043441373e-32,1.000000649,22.92777824,7.521494389,10.81231213
SMINH,0,0.001,29,none,0.09919583333,0.1116666645,0.1116666645,0,0,-13.42681599,10.88905239,-34.19681168,0.09584067762,11.12853424,0.9700000286,0,-270.888855,89.46450043,-451.8448486,7.791046518e-33,2.681282968,22.93956566,7.586682796,10.79087162
SMINH,0,0.001,30,none,0.1096645833,0.1191666648,0.1191666648,0,0,-14.27988815,11.00636387,-35.68920517,0.09133233875,10.79581145,1,0,-274.1691589,90.1095047,-456.9242249,3.535391096e-33,1.000000559,22.93980217,7.586682796,10.78768539
SMINH,0,0.001,31,none,0.09697291667,0.1075000018,0.1075000018,0,0,-14.47199535,11.01081371,-33.5365448,0.08321763575,10.81460168,0.9800000191,0,-271.8088074,90.36966705,-459.5964966,1.493193593e-32,1.955837259,22.93959427,7.586682796,10.77280712
SMINH,0,0.001,32,none,0.11753125,0.1266666651,0.1266666651,0,0,-15.48225117,11.00269699,-35.25928879,0.08845791221,11.15313155,0.9599999785,0,-273.2566528,92.89309692,-457.3108215,2.210497002e-30,3.104497597,23.37765503,7.586682796,10.76763821
SMINH,0,0.001,33,none,0.1100895833,0.125,0.125,0,0,-13.42146969,11.05807018,-35.10855103,0.110519357,11.63554295,0.9300000072,0,-283.5133667,95.35382843,-462.2411499,2.636439205e-27,5.389584756,23.29281425,7.59709549,10.76111889
SMINH,0,0.001,34,none,0.1078541667,0.1158333346,0.1158333346,0,0,-12.98773766,11.20863342,-35.17406845,0.1056078002,11.0588657,0.9300000072,0,-291.065094,94.14839935,-474.6029053,8.091122308e-33,2.187552042,23.46298409,7.59709549,10.75385857
SMINH,0,0.001,35,none,0.1046541667,0.09916666895,0.09916666895,0,0,-13.19683456,10.97750568,-35.1796608,0.1159372181,11.1856951,0.9800000191,0,-293.4920654,96.83522034,-485.9814148,1.439053526e-36,1.749629422,23.36138916,7.59709549,10.76080418
SMINH,0,0.001,36,none,0.1027708333,0.1150000021,0.1150000021,0,0,-13.2008009,11.04868507,-35.1796608,0.1034351215,10.77983666,1,0,-298.8852234,96.38513947,-489.1202087,1.031214279e-38,1.000000559,23.36504745,7.59709549,10.72506809
SMINH,0,0.001,37,none,0.1062041667,0.1183333322,0.1183333322,0,0,-13.2008009,11.04868507,-35.1796608,0.1034351215,10.77984907,1,0,-298.8848877,96.38512421,-489.1203613,1.030790386e-38,1.000000559,23.36504745,7.59709549,10.72856522
SMINH,0,0.001,38,none,0.1095208333,0.1208333299,0.1208333299,0,0,-13.2008028,11.04868889,-35.1796608,0.1034351215,10.7799419,1,0,-298.8818054,96.38489532,-489.1208191,1.02670476e-38,1.000000559,23.36504745,7.59709549,10.73077679
SMINH,0,0.001,39,none,0.1058958333,0.1191666648,0.1191666648,0,0,-13.68113422,11.02445507,-35.18094254,0.1101310253,11.36929915,0.9499999881,0,-298.0570374,96.18928528,-489.1717224,2.181090881e-35,3.582852558,23.38601685,7.59709549,10.71660519
SMINH,0,0.001,40,none,0.09908958333,0.1108333319,0.1108333319,0,0,-14.40306664,11.09703827,-35.76359177,0.09250335395,10.40999591,0.9700000286,0,-303.7662048,95.1855545,-504.1662598,9.924092414e-39,1.994944944,23.35301208,7.59709549,10.70346546
SMINH,0,0.001,41,none,0.1050104167,0.1033333316,0.1033333316,0,0,-14.54133129,11.07484341,-35.76359177,0.08379586786,10.2256545,0.9800000191,0,-304.6200562,94.89396667,-501.2168274,2.272185842e-39,1.786280113,23.30674362,7.59709549,10.69663429
SMINH,0,0.001,42,none,0.1036083333,0.1024999991,0.1024999991,0,0,-15.10388184,11.06677055,-35.76359177,0.08328973502,9.908671122,1,0,-305.1440735,96.22692871,-502.6958923,1.281711653e-40,1.000000559,23.25050354,7.59709549,10.69239712
SMINH,0,0.001,43,none,0.09628125,0.09250000119,0.09250000119,0,0,-15.10388184,11.06677055,-35.76359177,0.08328973502,9.90867572,1,0,-305.1440125,96.22693634,-502.6958923,1.28211803e-40,1.000000559,23.25050354,7.59709549,10.69110298
SMINH,0,0.001,44,none,0.09659791667,0.1016666666,0.1016666666,0,0,-15.10369968,11.06677055,-35.76359177,0.08328973502,9.908785976,1,0,-305.1433716,96.22709656,-502.6957397,1.290399704e-40,1.000000559,23.25050926,7.59709549,10.67396641
SMINH,0,0.001,45,none,0.11019375,0.1208333299,0.1208333299,0,0,-15.46081066,11.17407703,-35.76359177,0.08151117712,9.670045953,1,0,-304.5018616,95.51052094,-504.8136902,9.443350351e-42,1.000000559,23.2068882,7.59709549,10.68207741
