arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,steps,stop_step,tc,hit99,hit999,correct_at_hit_plus_500,hit_plus_500_observed,min_correct_after_hit
LR,std,0,0,0.001,1,none,0.8676,1,1,0,0,-3.591340303,23.74650955,-9.286658287,0.4885000587,75.69950608,0,0,-24.49862671,21.53146362,-44.22075653,0.1907499731,75.72441754,5.88539362,1.293668985,1.162612677,2500,1800,62500,1000,1300,1200,1,1200
LR,std,1,1,0.001,1,none,0.882425,1,1,0,0,-3.63248229,23.09196281,-12.08861256,0.4862501025,75.98068557,0,0,-22.31645203,19.65393257,-36.64385605,0.1914999634,75.99576944,5.700492859,1.265942931,1.130781889,2500,1500,62500,900,1000,1200,1,1199
LR,std,2,2,0.001,1,none,0.87745,1,1,0,0,-3.886956453,24.76860237,-11.89480591,0.4877500534,75.39074447,0,0,-25.8325386,20.50760651,-48.32893753,0.1689999551,72.19480799,5.909692764,1.271809816,1.207297683,2500,1800,62500,1200,1300,1200,1,1200
LR,std,3,3,0.001,1,none,0.872175,1,1,0,0,-4.393931389,24.73560715,-10.9470005,0.4847500622,75.23954705,0,0,-27.11352348,21.3895874,-43.82756805,0.1712499559,74.57640817,5.970147133,1.293000698,1.223134518,2500,1700,62500,1100,1200,1200,1,1200
LR,std,4,4,0.001,1,none,0.866175,1,1,0,0,-2.529914618,23.31201553,-9.037283897,0.4982501268,76.0514875,0,0,-27.21589851,20.75470161,-46.51680374,0.1779999584,73.54226594,5.981807232,1.290438056,1.174855232,2500,2000,62500,1200,1500,1200,1,1193
LR,std,5,5,0.001,1,none,0.864375,1,1,0,0,-2.837932825,23.17397881,-11.51580715,0.4952501059,75.88284211,0,0,-25.24965668,20.76026344,-41.77024078,0.1802499741,74.04432301,5.782845974,1.272970557,1.211192727,2500,2000,62500,1200,1500,1200,1,1200
LR,std,6,6,0.001,1,none,0.87465,1,1,0,0,-2.272266865,22.59095192,-10.12166977,0.5095001459,75.47205621,0,0,-25.41855621,19.85350609,-44.24240112,0.1779999584,73.51128072,5.683925152,1.258711457,1.149577022,2500,1700,62500,1000,1200,1200,1,1200
LR,std,7,7,0.001,1,none,0.873975,1,1,0,0,-3.491058826,23.52802086,-10.75813293,0.4892500937,76.43529326,0,0,-25.11613655,21.11879349,-43.40260696,0.1944999695,76.18764367,5.975623608,1.294526696,1.146553516,2500,1800,62500,1000,1300,1200,1,1200
LR,std,8,8,0.001,1,none,0.867725,1,1,0,0,-2.8798244,23.78299713,-11.27225876,0.4967500865,76.892477,0,0,-27.15822601,21.0520401,-49.34654236,0.1719999462,76.46516648,6.101100445,1.317162514,1.209289193,2500,2500,62500,900,2000,1200,1,1200
LR,std,9,9,0.001,1,none,0.884775,1,1,0,0,-2.881485224,24.53868294,-12.63375473,0.503500104,74.9347251,0,0,-28.89908028,23.60844612,-47.31458664,0.1757499576,73.60443082,6.078783512,1.336692095,1.170455933,2500,1700,62500,1000,1200,1200,1,1197
