arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,steps,stop_step,tc,hit99,hit999,acc_at_hit_plus_500,min_correct_after_hit
LR,std,0,0,0.001,1,none,0.815475,1,1,0,0,-0.8273983598,12.32494164,-5.983228683,0.5170001388,71.49898962,0,0,-1.970420122,8.121396065,-7.590724468,0.4472500682,72.61316269,2.629899979,0.8348721862,1.027954817,2500,2500,2500,1600,2000,1200,1200
LR,std,0,0,0.001,2,none,0.8032692308,1,1,0,0,-1.901384473,18.02834511,-7.816722393,0.4990001619,72.74458023,0,0,-12.08483505,13.14432621,-23.0906105,0.2529999912,78.48584588,3.817604065,1.021952868,1.147075772,2600,2600,5100,1500,2100,1200,1200
LR,std,0,0,0.001,3,none,0.8154910714,0.9991666675,0.9991666675,0,0,-1.855798602,17.29244804,-8.367424965,0.500500083,74.76645207,0,0,-13.02093601,14.2327776,-24.87069511,0.2469999939,77.75816924,4.19080162,1.062077522,1.087299347,1400,1400,6500,700,900,1199,1188
LR,std,0,0,0.001,4,none,0.8551136364,1,1,0,0,-2.406997681,19.2576046,-8.995093346,0.4945000708,74.00523481,0,0,-14.45108795,14.89464951,-26.80867958,0.2372499853,77.94951251,4.420323849,1.085452914,1.042687058,1100,1100,7600,500,600,1200,1200
LR,std,0,0,0.001,5,none,0.8922727273,1,1,0,0,-2.343963623,18.81882095,-9.477679253,0.4945001304,75.54960297,0,0,-14.89761734,15.44958496,-26.27451324,0.2342499793,77.79138928,4.672463894,1.10854423,1.012193441,1100,1100,8700,500,600,1200,1200
LR,std,0,0,0.001,6,none,0.9011458333,1,1,0,0,-2.525022507,19.92402458,-9.807230949,0.4930000901,74.87361918,0,0,-15.65309906,16.39782715,-30.01886177,0.2312499732,79.44687153,4.891243935,1.125916958,0.9822900295,1200,1200,9900,400,700,1200,1200
LR,std,0,0,0.001,7,none,0.898875,1,1,0,0,-2.500981092,19.75758553,-9.040250778,0.4907500744,75.69932723,0,0,-17.68581772,17.06441879,-28.25916672,0.2252499908,77.57160602,5.066455364,1.148470998,0.9592710137,1000,1000,10900,300,500,1200,1200
LR,std,0,0,0.001,8,none,0.90075,1,1,0,0,-3.036194563,20.72776985,-9.672327995,0.4930000901,75.60229642,0,0,-17.49781227,17.23015785,-28.56774139,0.2192499787,79.52532737,5.286065102,1.164190888,0.9393020868,1000,1000,11900,400,500,1200,1200
LR,std,0,0,0.001,9,none,0.9085625,1,1,0,0,-2.704349995,20.71758842,-9.780446053,0.4930000901,76.74852464,0,0,-18.17811012,18.23427391,-29.639925,0.2184999883,78.86954658,5.429968357,1.185136199,0.8988387585,1000,1000,12900,400,500,1200,1200
LR,std,0,0,0.001,10,none,0.911,1,1,0,0,-3.318113565,21.61218071,-10.2060051,0.4825001061,75.65151361,0,0,-19.63672256,19.5707016,-31.23321724,0.2102499753,78.62792552,5.629598618,1.202999115,0.8888016939,1000,1000,13900,400,500,1200,1200
