arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,steps,stop_step,tc,hit99,hit999,acc_at_hit_plus_500,min_correct_after_hit
LR,std,3,0,0.001,1,none,0.8116346154,1,1,0,0,-1.043966651,12.94441986,-5.436458111,0.5095000863,72.76165621,0,0,-2.76616168,8.424185753,-9.941488266,0.418000102,73.54495425,2.797203064,0.8503113389,1.038404584,2600,2600,2600,1900,2100,1200,1200
LR,std,3,0,0.001,2,none,0.7663068182,1,1,0,0,-1.676073194,17.66281509,-7.262593746,0.5095001459,72.45446172,0,0,-10.22970676,12.15886021,-20.76098442,0.2620000243,80.53989651,3.665029764,0.9900233746,1.137220263,2200,2200,4800,1600,1700,1200,1197
LR,std,3,0,0.001,3,none,0.8189166667,1,1,0,0,-2.984576702,21.19295692,-8.525856018,0.491500169,73.83398121,0,0,-17.12341118,16.16637421,-30.76288414,0.2147499919,80.84600148,4.648255348,1.142985106,1.224037409,3000,3000,7800,1700,2500,1200,1198
LR,std,3,0,0.001,4,none,0.8192456897,1,1,0,0,-3.03832984,23.40356445,-11.30644703,0.4922501147,74.9828659,0,0,-21.54823303,18.79369736,-39.24502563,0.192999959,80.62771028,5.324145317,1.224514365,1.17480278,2900,2900,10700,1500,2400,1200,1200
LR,std,3,0,0.001,5,none,0.7836458333,1,1,0,0,-2.932444334,23.64932632,-10.49231339,0.4982501268,75.93468757,0,0,-25.23605156,19.59551048,-40.97735596,0.1749999523,75.89624066,5.780629635,1.276503921,1.106432438,2400,2400,13100,1500,1900,1200,1200
LR,std,3,0,0.001,6,none,0.8037980769,1,1,0,0,-4.011492729,25.43899155,-11.43633938,0.4922501147,76.28931054,0,0,-25.31717873,21.37092209,-40.60081482,0.1704999655,77.73229644,6.222802162,1.338859677,1.082844734,2600,2600,15700,1600,2100,1200,1200
LR,std,3,0,0.001,7,none,0.7726902174,1,1,0,0,-3.834075689,25.45364571,-13.51192284,0.4945000708,77.08027396,0,0,-25.58818054,21.16410065,-48.84749985,0.1704999655,79.48814622,6.543325901,1.350772381,0.9954717755,2300,2300,18000,1600,1800,1200,1200
LR,std,3,0,0.001,8,none,0.7876442308,1,1,0,0,-4.694978237,28.08739281,-15.88003254,0.4870001376,76.54875743,0,0,-30.25127983,24.34981346,-44.20427704,0.1787499636,78.98664309,6.955224514,1.411864996,0.9815458655,2600,2600,20600,1600,2100,1200,1199
LR,std,3,0,0.001,9,none,0.7640340909,1,1,0,0,-4.594642639,28.18372917,-17.78065109,0.4855000973,76.64942768,0,0,-28.32821083,24.26654625,-49.72145844,0.1824999601,80.86914895,7.21029377,1.406316996,0.9143902659,2200,2200,22800,1500,1700,1200,1200
LR,std,3,0,0.001,10,none,0.7801302083,1,1,0,0,-4.926540852,29.26630402,-13.50422096,0.4847501218,76.69352021,0,0,-31.93817139,25.50348854,-51.14585495,0.1764999628,79.87801384,7.540873051,1.451613545,0.8829334378,2400,2400,25200,1600,1900,1200,1200
LR,std,3,0,0.001,11,none,0.775923913,1,1,0,0,-5.121819973,30.52101517,-17.80747795,0.4847500622,77.12308059,0,0,-31.93264008,26.72595787,-52.50028229,0.1832499653,80.41330607,7.811261654,1.483218312,0.8807159662,2300,2300,27500,1500,1800,1200,1200
LR,std,3,0,0.001,12,none,0.776925,1,1,0,0,-5.125960827,31.18021393,-15.84237385,0.4817501307,77.56208269,0,0,-34.55964661,27.16184425,-53.94743729,0.1749999523,81.29925614,8.155591011,1.51736474,0.8462097049,2500,2500,30000,1600,2000,1200,1200
LR,std,3,0,0.001,13,none,0.7797135417,1,1,0,0,-5.891924858,31.07378769,-15.27649784,0.4705001414,77.71256064,0,0,-35.14109421,28.32661438,-61.74240494,0.1742499769,79.65069438,8.449652672,1.558619499,0.8240817785,2400,2400,32400,1500,1900,1200,1200
LR,std,3,0,0.001,14,none,0.7900543478,1,1,0,0,-6.663361549,32.9968071,-18.88500977,0.4765001535,77.47477248,0,0,-35.6278801,29.25734329,-55.21595764,0.1847499758,81.80467744,8.644057274,1.572317123,0.8114017844,2300,2300,34700,1400,1800,1200,1200
LR,std,3,0,0.001,15,none,0.7658967391,1,1,0,0,-6.715184689,32.54151535,-15.27863312,0.4742500782,78.2048009,0,0,-35.97370529,29.25590324,-55.36121368,0.1772499681,82.48374114,8.908582687,1.602818012,0.8046183586,2300,2300,37000,1500,1800,1200,1200
LR,std,3,0,0.001,16,none,0.769375,1,1,0,0,-6.367946625,32.77741623,-16.75115204,0.4712501168,78.67428473,0,0,-35.86576462,30.64116669,-55.34954453,0.1824999601,83.10750229,9.139722824,1.628851771,0.7835621834,2300,2300,39300,1500,1800,1200,1199
LR,std,3,0,0.001,17,none,0.792425,1,1,0,0,-6.152927399,33.86930084,-18.44437027,0.4750001132,78.26112176,0,0,-39.67667007,32.20246887,-64.69361877,0.1817499548,82.36082039,9.355066299,1.659928918,0.7799112201,2500,2500,41800,1700,2000,1200,1200
LR,std,3,0,0.001,18,none,0.760625,1,1,0,0,-6.779598236,34.11116791,-15.57446671,0.4727501571,77.98827502,0,0,-38.85723114,32.41332626,-68.50962067,0.1817499548,82.9063106,9.58665657,1.662968636,0.7669262886,2300,2300,44100,1600,1800,1200,1200
LR,std,3,0,0.001,19,none,0.7571195652,1,1,0,0,-6.851588726,34.62750244,-17.70535278,0.4712501168,78.021985,0,0,-41.04596329,33.62622452,-62.29452133,0.1704999655,83.35095011,9.818211555,1.689151764,0.7575057149,2300,2300,46400,1600,1800,1200,1200
LR,std,3,0,0.001,20,none,0.7991346154,1,1,0,0,-7.481769562,35.35671997,-17.75879288,0.4720000923,78.69690231,0,0,-41.40568542,34.13518906,-64.02272034,0.1757499725,83.70711786,10.0213089,1.712666631,0.7709380984,2600,2600,49000,1700,2100,1200,1199
LR,std,3,0,0.001,21,none,0.801,1,1,0,0,-6.299329758,35.68772888,-18.75259209,0.477250129,78.96319193,0,0,-43.3797226,35.22442245,-66.79434204,0.1764999628,83.94085859,10.18439484,1.750939965,0.7562634349,2500,2500,51500,1500,2000,1200,1200
LR,std,3,0,0.001,22,none,0.7549728261,1,1,0,0,-7.809951305,37.09436035,-18.83584023,0.4750001132,78.83752316,0,0,-45.46100235,35.46696472,-66.15143585,0.1674999595,82.65572314,10.39199066,1.756999493,0.7377585769,2300,2300,53800,1600,1800,1200,1200
LR,std,3,0,0.001,23,none,0.782725,1,1,0,0,-7.699663162,38.15388489,-20.61527443,0.4660001099,78.59658806,0,0,-45.52895355,37.83470154,-73.65601349,0.1697499603,82.9104672,10.62205124,1.772486687,0.7419907451,2500,2500,56300,1600,2000,1200,1200
LR,std,3,0,0.001,24,none,0.78525,1,1,0,0,-7.595705986,38.94686508,-19.91601181,0.4705000818,78.54182968,0,0,-47.5968895,37.52953339,-68.9209671,0.1637499481,82.79478722,10.86850739,1.805075526,0.7506304383,2500,2500,58800,1500,2000,1200,1199
LR,std,3,0,0.001,25,none,0.7962980769,1,1,0,0,-8.628284454,39.29642487,-21.49825096,0.4727501571,78.90747016,0,0,-47.93937302,38.19587708,-72.31578827,0.1697499603,82.40966368,11.06064129,1.831172943,0.7664764524,2600,2600,61400,1600,2100,1200,1200
LR,std,3,0,0.001,26,none,0.7848958333,1,1,0,0,-8.533815384,37.89582825,-22.32063293,0.4660001099,79.41405277,0,0,-46.63114929,38.44760895,-75.47801971,0.1719999462,83.54086177,11.15919018,1.840472102,0.75004673,2400,2400,63800,1600,1900,1200,1200
LR,std,3,0,0.001,27,none,0.7630113636,0.9983333349,0.9983333349,0,0,-8.867233276,37.75343704,-20.1816597,0.4697501361,79.73133619,0,0,-45.96620178,38.10470581,-74.34481812,0.1787499487,83.94360383,11.27572346,1.839843154,0.725265801,2200,2200,66000,1500,1700,1198,1198
LR,std,3,0,0.001,28,none,0.7763858696,1,1,0,0,-8.11274147,38.84360886,-19.40815926,0.4720001221,79.70543612,0,0,-48.82784653,39.4834938,-74.59597015,0.1659999639,84.46973865,11.4229908,1.86026454,0.7445589304,2300,2300,68300,1500,1800,1200,1200
LR,std,3,0,0.001,29,none,0.7855288462,1,1,0,0,-8.964016914,39.66012955,-20.2485714,0.4577500522,79.30427786,0,0,-51.20184708,40.42845154,-82.99324036,0.1682499647,82.07203839,11.64552784,1.878383994,0.769392252,2600,2600,70900,1900,2100,1200,1200
