dtype,check,count,failed,max_abs_error,max_tolerance_fraction
float64,autograd_W,30720000,0,2.1240821601598014e-14,0.00021153927480661657
float64,autograd_b,1536000,0,1.9713397581000436e-14,0.00018969580824458146
float64,autograd_v,1536000,0,5.3984594572398237e-14,0.0004649611367135001
float64,autograd_c,15360,0,1.1546319456101628e-14,0.00011520594748747385
float64,row_centered/expanded_gradient,30720000,0,1.2296587359461597e-14,0.00012267415446909485
float64,row_centered/A_vs_autograd,1536000,0,1.5187850976872141e-13,0.0011664274359152258
float64,row_centered/Q_vs_autograd,1536000,0,2.8421709430404007e-13,0.00031702111718361634
float64,whole/expanded_gradient,30720000,0,2.1240821601598014e-14,0.00021153927480661657
float64,whole/A_vs_autograd,1536000,0,8.643086246706844e-14,0.0007375457784173985
float64,whole/Q_vs_autograd,1536000,0,7.389644451905042e-13,0.0004992444090602433
float64,free5/expanded_gradient,7680000,0,2.1240821601598014e-14,0.00021153927480661657
float64,free5/A_vs_autograd,1536000,0,8.08242361927114e-14,0.0007629338924054019
float64,free5/Q_vs_autograd,1536000,0,2.7000623958883807e-13,0.0002931561930823455
float64,row_centered/A_SHBC,1536000,0,5.329070518200751e-15,1.922146971268832e-05
float64,batch32/Q_pair_vs_mean_gradient,16000,0,5.329070518200751e-15,5.722863376442398e-06
float64,batch32/gradient_vs_autograd,320000,0,1.801510329801914e-15,1.7986858216954486e-05
float64,batch32/Q_vs_autograd,16000,0,1.5987211554602254e-14,3.526760696660121e-05
float64,row_centered/norm_budget,2560000,0,1.8611489137664646e-14,0.02349398487633574
float64,row_centered/actual_displacement_geometry,2560000,0,1.4865607848237348e-14,0.01883091196533436
float64,row_centered/actual_linear,2560000,0,1.0043589172303811e-14,0.012599930643560013
float64,row_centered/actual_quadratic,2560000,0,2.5153490401663703e-17,9.352361529994652e-05
float64,row_centered/radial_orthogonal,2560000,0,1.486560779529779e-14,0.01883091196533436
float64,row_centered/sign_mismatch,2560000,0,0.0,0.0
float64,whole/norm_budget,2560000,0,1.9113752464453015e-14,0.020478179510023405
float64,whole/actual_displacement_geometry,2560000,0,1.6443267645931126e-14,0.01991071623179052
float64,whole/actual_linear,2560000,0,5.074879318861525e-15,0.0056992467828392394
float64,whole/actual_quadratic,2560000,0,2.211772431870429e-17,6.771440070499818e-05
float64,whole/radial_orthogonal,2560000,0,1.6443281198458282e-14,0.01991071623179052
float64,whole/sign_mismatch,2560000,0,0.0,0.0
float64,free5/norm_budget,2560000,0,1.0830156487329906e-14,0.019079063455611174
float64,free5/actual_displacement_geometry,2560000,0,1.0339859936141227e-14,0.015935973097114135
float64,free5/actual_linear,2560000,0,4.583139423530724e-15,0.0065747719783181445
float64,free5/actual_quadratic,2560000,0,2.211772431870429e-17,9.236339399776722e-05
float64,free5/radial_orthogonal,2560000,0,1.0339873488668383e-14,0.015935973097114135
float64,free5/sign_mismatch,2560000,0,0.0,0.0
float32,autograd_W,30720000,0,1.1106021702289581e-05,0.5479241486762132
float32,autograd_b,1536000,0,1.0192394256591797e-05,0.4966743763049473
float32,autograd_v,1536000,1,4.242360591888428e-05,2.0174225661561187
float32,autograd_c,15360,0,6.198883056640625e-06,0.307632455886689
float32,row_centered/expanded_gradient,30720000,0,6.023836301882746e-06,0.27927087332021316
float32,row_centered/A_vs_autograd,1536000,28,6.534871660290875e-05,2.8305380268833793
float32,row_centered/Q_vs_autograd,1536000,1,0.00022352546901061032,1.0347622344189216
float32,whole/expanded_gradient,30720000,0,1.110658474311188e-05,0.5479519267295521
float32,whole/A_vs_autograd,1536000,8,4.1799220696248085e-05,1.948618226169402
float32,whole/Q_vs_autograd,1536000,20,0.0005498275291415666,1.6106961129197022
float32,free5/expanded_gradient,7680000,0,1.110658474311188e-05,0.5479519267295521
float32,free5/A_vs_autograd,1536000,42,6.943912976473121e-05,3.2023970700519304
float32,free5/Q_vs_autograd,1536000,0,0.00019966961663442362,0.7987100134209801
float32,row_centered/A_SHBC,1536000,0,1.1920226938855194e-06,0.02750402862523574
float32,batch32/Q_pair_vs_mean_gradient,16000,0,1.7763568394002505e-15,1.9039033079739216e-11
float32,batch32/gradient_vs_autograd,320000,0,8.397211621324896e-07,0.038450388493482854
float32,batch32/Q_vs_autograd,16000,0,3.3311151854675813e-06,0.07917459679570717
float32,row_centered/norm_budget,2560000,0,2.839804643007102e-06,0.0058586150233570665
float32,row_centered/actual_displacement_geometry,2560000,0,1.5140666498325572e-14,0.019778587243936514
float32,row_centered/actual_linear,2560000,0,2.8398044443040043e-06,0.005858621229471004
float32,row_centered/actual_quadratic,2560000,0,5.43687897090403e-09,4.508034596630881e-05
float32,row_centered/radial_orthogonal,2560000,0,1.5140666498325572e-14,0.019778587243936514
float32,row_centered/sign_mismatch,2560000,0,0.0,0.0
float32,whole/norm_budget,2560000,0,2.9593328158526106e-06,0.005524034221052892
float32,whole/actual_displacement_geometry,2560000,0,1.3771481784802253e-14,0.017216736190505566
float32,whole/actual_linear,2560000,0,2.959332522068008e-06,0.00552404351260389
float32,whole/actual_quadratic,2560000,0,1.2939581113188825e-08,6.3122859943075e-05
float32,whole/radial_orthogonal,2560000,0,1.3771481784802253e-14,0.017216736190505566
float32,whole/sign_mismatch,2560000,0,0.0,0.0
float32,free5/norm_budget,2560000,0,2.940000280386451e-06,0.006387559633269968
float32,free5/actual_displacement_geometry,2560000,0,4.076600168545497e-15,0.010860346034491675
float32,free5/actual_linear,2560000,0,2.9399999831934507e-06,0.006389942861294694
float32,free5/actual_quadratic,2560000,0,1.3695395049148976e-08,7.276518250692011e-05
float32,free5/radial_orthogonal,2560000,0,4.076600168545497e-15,0.010860346034491675
float32,free5/sign_mismatch,2560000,0,0.0,0.0
float64,row_centered/cumulative_budget,4000,0,2.3926173542410112e-14,0.00032732085728901097
float64,whole/cumulative_budget,4000,0,2.4686849786625942e-14,0.00033367929999973163
float64,free5/cumulative_budget,4000,0,2.531308496145357e-14,0.0004226954027433943
float32,row_centered/cumulative_budget,4000,0,1.7356437857356764e-05,0.0002733592814805331
float32,whole/cumulative_budget,4000,0,1.8763424880068394e-05,0.000286708775168576
float32,free5/cumulative_budget,4000,0,1.9040512894797496e-05,0.0003316777180362463
