arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_c1,zeroout_c1,zbar_c1,zsd_c1,zbar_min_c1,mob_c1,mob_pool_c1,eff_rank_c1,dead_frac_c2,zeroout_c2,zbar_c2,zsd_c2,zbar_min_c2,mob_c2,mob_pool_c2,eff_rank_c2,dead_frac_f1,zeroout_f1,zbar_f1,zsd_f1,zbar_min_f1,mob_f1,eff_rank_f1,dead_frac_f2,zeroout_f2,zbar_f2,zsd_f2,zbar_min_f2,mob_f2,eff_rank_f2,w_norm_c1,w_norm_c2,w_norm_f1,w_norm_f2,w_norm_f3,pool
SN3_avg,7,0.001,1,none,0.9616854167,1,1,0,0,-0.05639331415,0.1354196072,-0.1037486866,0.7914048433,0.9920204878,12.79338848,0,0,-0.1068693846,0.1969998628,-0.1314148754,0.7058998942,1.085886002,15.17629245,0,0,-0.01241745707,0.4624636769,-0.4097470045,0.9497700334,79.99628147,0,0,0.1999731809,0.9981093407,-0.9048110247,0.9836570621,44.06142559,0.6371562481,1.22030282,2.356030226,1.43525219,2.382158518,avg
SN3_avg,7,0.001,2,none,0.9524375,1,1,0,0,-0.06705047935,0.1228376254,-0.2489448041,0.7724497914,0.9996605515,13.31638313,0,0,-0.131556496,0.1932564825,-0.206397742,0.6222468615,1.03337872,15.09316309,0,0,-0.2787792385,0.4202323556,-2.199212074,0.8982787132,61.55509875,0,0,0.3376773298,1.001795888,-3.277210474,0.9920040369,34.16769089,0.6665682793,1.529662132,3.013886213,1.625822425,2.624586821,avg
SN3_avg,7,0.001,3,none,0.9484979167,1,1,0,0,-0.06073225662,0.1343170702,-0.1982774287,0.7417043447,1.008733511,14.05682526,0,0,-0.1379172057,0.1828691214,-0.2548964918,0.5902639627,0.9837902188,15.11958334,0,0,-0.2556504905,0.4371799827,-3.501127243,0.9128586054,54.93981038,0,0,0.1945135593,1.181069851,-6.130042553,0.9981271625,25.39833981,0.6940646768,1.653809786,3.556510925,1.798654318,2.37569046,avg
SN3_avg,7,0.001,4,none,0.93816875,1,1,0,0,-0.0580682382,0.1346512884,-0.2596840858,0.7907419205,1.009673834,14.16115559,0,0,-0.1368833631,0.2053353041,-0.2437339872,0.6275356412,1.048987985,15.39280583,0,0,-0.2301217169,0.5035301447,-2.981615782,0.9437801242,56.47272024,0,0,0.3342427611,1.446721435,-6.328771114,0.9917836785,26.83124936,0.7359464169,1.838002801,3.971366167,1.965134621,2.073508263,avg
SN3_avg,7,0.001,5,none,0.93975,1,1,0,0,-0.08426076174,0.1408703029,-0.2129483372,0.7154211402,0.9368347526,14.05234486,0,0,-0.1453505307,0.2165750861,-0.2845736742,0.6191045046,1.029022217,15.43643253,0,0,-0.1724750102,0.5606589913,-3.555179834,0.9638168812,54.31040036,0,0,0.6276801825,1.792505622,-7.702213764,0.9971353412,26.54814198,0.7647203207,2.039697886,4.385041237,2.132502556,1.788171172,avg
SN3_avg,7,0.001,6,none,0.9625166667,1,1,0,0,-0.05566059425,0.1330138594,-0.1088630185,0.7550251484,0.9951348305,14.31840715,0,0,-0.115603283,0.2061332762,-0.175260365,0.6482227445,1.125436425,15.63763084,0,0,-0.2813244164,0.5643718839,-1.349172354,0.9680019617,71.14065386,0,0,0.2303767204,1.954183936,-3.855196714,0.9922061563,35.86380082,0.7961847782,2.139649868,4.734464169,2.33335495,1.687575698,avg
SN3_avg,7,0.001,7,none,0.9569979167,1,1,0,0,-0.08161477745,0.1448357254,-0.1929914653,0.6647136211,0.9846042991,14.23850586,0,0,-0.1416181177,0.2037738413,-0.283149004,0.5816887021,1.018432498,15.59399884,0,0,-0.3575508595,0.574072659,-2.293662071,0.9646564722,66.88064563,0,0,-0.2137154639,2.001166105,-4.678377151,0.9961320162,37.69180219,0.8244373798,2.211036921,5.104875088,2.51794982,1.835659027,avg
SN3_avg,7,0.001,8,none,0.9488104167,1,1,0,0,-0.09210598469,0.1514069885,-0.2357982993,0.6472507119,0.8518286347,13.96067338,0,0,-0.1376299113,0.2216437608,-0.2205247879,0.6440446377,1.100201607,15.56020696,0,0,-0.2256850749,0.6252893209,-2.71164608,0.9679895043,65.41086485,0,0,0.09952715784,2.360161304,-4.502782345,0.9891960025,38.11929753,0.8532866836,2.310498953,5.425895214,2.649014473,1.745624423,avg
SN3_avg,7,0.001,9,none,0.9637604167,1,1,0,0,-0.08929876983,0.1421086788,-0.1449905485,0.6921372414,0.8968436718,14.04205747,0,0,-0.1360428333,0.2184618711,-0.2347063273,0.6307232976,1.10068202,15.61766974,0,0,-0.1951921433,0.6571418643,-2.404886484,0.9720611572,70.3095616,0,0,0.3243695796,2.518811226,-3.982194901,0.9999859929,40.24252773,0.8867031932,2.404196024,5.679715157,2.735996962,1.670902729,avg
SN3_avg,7,0.001,10,none,0.95650625,1,1,0,0,-0.07051917911,0.1317074001,-0.212043494,0.7166178823,0.9636780024,14.264389,0,0,-0.1327541173,0.2160237432,-0.2416960746,0.6105669141,1.092391968,15.6260093,0,0,-0.1262069941,0.6388550997,-2.851661205,0.9740875363,68.64287271,0,0,0.2321270257,2.471185207,-4.809054375,0.9946606755,41.80799509,0.8899347782,2.500908613,6.00803709,2.847350121,1.671189308,avg
SN3_avg,7,0.001,11,none,0.9547083333,1,1,0,0,-0.1034950316,0.1394727528,-0.2714374959,0.5961030126,0.8309490085,14.13004804,0,0,-0.1510104537,0.2055603564,-0.1983159781,0.6088117957,1.030128002,15.69775246,0,0,-0.1513117254,0.6467977762,-3.275887489,0.9759332538,64.95162287,0,0,0.193080619,2.562990904,-13.61346912,0.9925859571,38.72271631,0.921795845,2.564315319,6.256109715,2.975007057,1.781107187,avg
SN3_avg,7,0.001,12,none,0.9613041667,1,1,0,0,-0.08600130677,0.1415073127,-0.2152767926,0.664904058,0.9452374578,14.11350224,0,0,-0.125181973,0.216282323,-0.2352918535,0.6427906156,1.161954522,15.5984449,0,0,-0.2574450374,0.6664341092,-2.654205561,0.9759580493,70.00275931,0,0,0.5112629533,2.71145153,-10.51788139,0.9926674366,41.88257107,0.8946243525,2.614286661,6.49610424,3.045516253,1.664426565,avg
SN3_avg,7,0.001,13,none,0.9578791667,1,1,0,0,-0.113028124,0.1412437707,-0.1884339899,0.6017274857,0.877445519,14.07706882,0,0,-0.1605389118,0.2249050736,-0.1969431043,0.6174321175,1.034687161,15.6603107,0,0,-0.1181719527,0.7120795846,-2.642276764,0.9815143347,68.45948422,0,0,0.09477439523,2.956280947,-6.166892052,0.992457211,44.04863128,0.9374963641,2.731155396,6.745777607,3.119080305,1.640698195,avg
SN3_avg,7,0.001,14,none,0.9589604167,1,1,0,0,-0.1105229184,0.1520474255,-0.2125920355,0.5927650332,0.8916123509,14.17525873,0,0,-0.1612586528,0.2234628052,-0.225520283,0.5792835951,0.9970296621,15.64754116,0,0,-0.1238197982,0.7329489589,-2.623862743,0.9820475578,72.001622,0,0,0.2343758941,3.137274742,-5.255961895,0.9903718233,46.48233036,0.9338007569,2.817610979,6.991316795,3.205363989,1.591557026,avg
SN3_avg,7,0.001,15,none,0.9636020833,1,1,0,0,-0.07778313756,0.1392984241,-0.2277373523,0.6427688599,0.9456818104,14.07124743,0,0,-0.1271764338,0.2262314856,-0.2040991187,0.6809808016,1.164890528,15.69503059,0,0,-0.2756018639,0.7632348537,-3.073600292,0.9813733101,74.50646768,0,0,0.2661639452,3.284731627,-4.560339928,0.9925535321,47.84455209,0.952275157,2.822305202,7.217741966,3.270390749,1.604704618,avg
SN3_avg,7,0.001,16,none,0.9542041667,1,1,0,0,-0.135151729,0.1518621147,-0.2357096374,0.5268636346,0.784288466,14.10116907,0,0,-0.1422399133,0.2341900915,-0.2224277109,0.6487604976,1.136188149,15.65293136,0,0,-0.2876753211,0.8162776232,-3.644554615,0.984244585,69.54803711,0,0,-0.1509396881,3.526788712,-7.608100891,0.9914907813,46.74387454,0.9862612486,2.918751955,7.455369949,3.327373505,1.599665046,avg
SN3_avg,7,0.001,17,none,0.9520270833,1,1,0,0,-0.1229784265,0.1434991211,-0.219178021,0.5546205044,0.7911456227,14.08830308,0,0,-0.1383364946,0.2439625412,-0.2540291846,0.6682525277,1.148833394,15.70069247,0,0,-0.2963984609,0.8686656356,-3.835568905,0.9863879681,71.66223714,0,0,0.254738152,3.819571733,-9.431096077,0.9955245256,45.92802627,1.025511384,2.969790936,7.736856461,3.407994032,1.617490411,avg
SN3_avg,7,0.001,18,none,0.9616791667,1,1,0,0,-0.1161053479,0.1422153115,-0.2136031836,0.5494220853,0.8104228973,14.1604341,0,0,-0.1307382286,0.2202833891,-0.2392827719,0.6545131803,1.121293187,15.68411838,0,0,-0.3494722545,0.8104428053,-3.770854473,0.98439008,68.50050031,0,0,0.05558419228,3.556547165,-7.490358353,0.993416965,48.38204455,1.02456069,2.984545231,7.905032158,3.477412701,1.604280233,avg
SN3_avg,7,0.001,19,none,0.95784375,1,1,0,0,-0.1185890734,0.1451417804,-0.2822986841,0.5655266643,0.8568276167,13.97001023,0,0,-0.1324982345,0.2361214906,-0.1911509484,0.6837441325,1.167397261,15.71346305,0,0,-0.144052431,0.8975014091,-1.69463408,0.9913246632,78.87011934,0,0,0.2781762779,4.070603371,-7.147706985,0.9905959368,50.1313922,1.03763473,3.051315784,8.105387688,3.517217636,1.568276525,avg
SN3_avg,7,0.001,20,none,0.9633770833,1,1,0,0,-0.1023562923,0.1446544379,-0.1470894516,0.5985429883,0.8771766424,14.13851644,0,0,-0.1333775073,0.2494614422,-0.2115526944,0.6815886497,1.160548568,15.74618514,0,0,-0.2120692134,0.9873815775,-1.709914446,0.9913588762,81.80964065,0,0,0.1584141552,4.392390728,-7.616105556,0.9916178584,53.3990542,1.062152505,3.110620975,8.312271118,3.534301281,1.565238595,avg
SN3_avg,7,0.001,21,none,0.9573729167,1,1,0,0,-0.09631394595,0.1439136714,-0.1659207493,0.6401794553,0.8595300317,14.27448804,0,0,-0.1505001038,0.2375199348,-0.1939881593,0.6718075871,1.132790327,15.71638783,0,0,0.0618391633,0.9565318227,-1.556956768,0.9870045185,80.42588282,0,0,0.006972179748,4.294070721,-3.972833872,0.9927565455,53.55239664,1.073613524,3.143841028,8.56829834,3.590204954,1.55171299,avg
SN3_avg,7,0.001,22,none,0.9481375,1,1,0,0,-0.1080439687,0.1483987421,-0.218919456,0.6399664283,0.9391107559,14.26058229,0,0,-0.1345314085,0.2514334321,-0.2035066038,0.6821630001,1.157223344,15.73316391,0,0,-0.1455188096,1.045459986,-2.141413212,0.998093307,82.22150123,0,0,0.3543586731,4.655137539,-4.727805614,0.9946733117,54.12358819,1.118264914,3.279828072,8.782534599,3.548917055,1.486576796,avg
SN3_avg,7,0.001,23,none,0.95068125,1,1,0,0,-0.1065550297,0.156068936,-0.1882417649,0.6236326098,0.8804726601,14.3758694,0,0,-0.1121614873,0.2698807716,-0.2480098456,0.7281344533,1.192018032,15.74110176,0,0,-0.1293831766,1.193954825,-2.572267294,0.9982479215,83.97779253,0,0,0.7516087294,5.226534367,-4.262419701,0.9904282093,55.60534472,1.1395576,3.363895655,9.064408302,3.604240179,1.503809929,avg
SN3_avg,7,0.001,24,none,0.9553708333,1,1,0,0,-0.09833019227,0.1533331573,-0.170597896,0.6353912354,0.9446974993,14.25431301,0,0,-0.1473346055,0.2749038339,-0.2490884513,0.6970273256,1.12947607,15.73945414,0,0,-0.02554685622,1.211789727,-2.95498395,0.9959713221,83.58116573,0,0,0.5916125774,5.394222736,-8.512096405,0.9984400868,55.95516416,1.141436934,3.399645329,9.319955826,3.613995552,1.581285119,avg
SN3_avg,7,0.001,25,none,0.95040625,1,1,0,0,-0.1298897117,0.1479798257,-0.1772207469,0.5029969215,0.7806652784,14.32476206,0,0,-0.1307471693,0.2821952105,-0.2237014771,0.7402488589,1.210208893,15.73838645,0,0,-0.1066297293,1.303105593,-1.517825723,0.9935196042,86.45563014,0,0,0.3753307164,5.749602795,-6.107204437,0.9921668768,58.60842044,1.151420951,3.461884499,9.570501328,3.652288198,1.475855231,avg
SN3_avg,7,0.001,26,none,0.9522041667,1,1,0,0,-0.1290002018,0.1553857028,-0.2798054516,0.5369098186,0.8113662004,13.90476747,0,0,-0.1446380466,0.2760072052,-0.2926802337,0.7144528627,1.161099315,15.71390633,0,0,-0.07789773494,1.301834583,-1.821476698,0.9971414208,85.12632936,0,0,0.6515504718,5.734965801,-5.410175323,0.9914963841,58.73592616,1.158672094,3.526573181,9.755888939,3.637957573,1.493689895,avg
SN3_avg,7,0.001,27,none,0.9469958333,1,1,0,0,-0.1159296185,0.1607904285,-0.2355896086,0.5915109515,0.8483794332,14.1899918,0,0,-0.1905912459,0.3029608727,-0.2438288629,0.6944099069,1.046906948,15.66783014,0,0,-0.1477151215,1.420276761,-2.183154345,0.9980662465,85.79893505,0,0,0.6519261003,6.015093803,-7.259474277,0.9947341084,59.60703734,1.194630146,3.599562168,10.00902843,3.619287729,1.477562785,avg
SN3_avg,7,0.001,28,none,0.9509729167,1,1,0,0,-0.1249370202,0.1599290669,-0.2135528177,0.5387324095,0.8026011586,14.23726298,0,0,-0.1128784493,0.2930864692,-0.2179245353,0.7862759829,1.236538529,15.78201765,0,0,-0.1294158697,1.452293396,-1.367209077,1.001136065,88.95753938,0,0,0.7488860488,6.207891464,-4.600446701,0.9950600266,61.86369374,1.214792252,3.589915037,10.22982121,3.604492188,1.474149466,avg
SN3_avg,7,0.001,29,none,0.9555895833,1,1,0,0,-0.1207575351,0.1550064534,-0.252607882,0.5502437353,0.8079330921,14.28343969,0,0,-0.1495590806,0.2902529836,-0.2546495497,0.7186298966,1.13470459,15.73972156,0,0,-0.07768499851,1.498021603,-1.719060063,0.9954935908,87.22168326,0,0,0.6148573756,6.357633114,-5.261837482,0.9930946827,63.36139941,1.240929127,3.665138245,10.50997639,3.613929987,1.465448618,avg
SN3_avg,7,0.001,30,none,0.9501041667,1,1,0,0,-0.1152592227,0.1515587866,-0.2011291683,0.5580511093,0.838352561,14.00928494,0,0,-0.1508635879,0.2939386666,-0.2105717212,0.7228499651,1.132365584,15.73970456,0,0,-0.03204313293,1.480904579,-1.55426228,0.9977694154,88.33372658,0,0,0.4011664093,6.262711525,-5.445331097,0.9930769205,63.44488842,1.252229095,3.74129343,10.74422359,3.622411728,1.435769081,avg
SN3_avg,7,0.001,31,none,0.9501375,1,1,0,0,-0.1218853816,0.1602339894,-0.251418978,0.5374031663,0.7958346605,14.18955624,0,0,-0.1332201213,0.2922554612,-0.2216635495,0.7544919252,1.199006319,15.7609838,0,0,0.03087707981,1.563008547,-2.698598385,1.000727534,86.61224586,0,0,-0.1476174444,6.656819344,-7.440183163,0.9935021996,63.87872377,1.26602304,3.769289255,10.93498898,3.618218184,1.425899625,avg
SN3_avg,7,0.001,32,none,0.9511708333,1,1,0,0,-0.1224382296,0.1717625558,-0.3090504408,0.5462649465,0.8281615973,14.20939,0,0,-0.1427549869,0.3117172718,-0.2704661489,0.7448336482,1.157448769,15.76542478,0,0,-0.1150736511,1.629537582,-2.419420719,1.002966285,88.00225938,0,0,0.2744268179,6.895324707,-6.705411911,0.9964417815,64.39296623,1.291798234,3.818925381,11.15947342,3.61195302,1.451452613,avg
SN3_avg,7,0.001,33,none,0.9550958333,1,1,0,0,-0.1027054489,0.1732018888,-0.1752170026,0.5798883438,0.8213652968,14.21522793,0,0,-0.1301644444,0.3284100592,-0.3192583919,0.7768502235,1.191277146,15.76217195,0,0,-0.1012201756,1.796524882,-2.280713797,1.000453472,89.06759359,0,0,0.2029846311,7.40969038,-5.505646229,0.9958100915,66.50956002,1.295476079,3.927640438,11.44839287,3.595439672,1.439612746,avg
SN3_avg,7,0.001,34,none,0.95219375,1,1,0,0,-0.1024227813,0.1572468877,-0.211134851,0.604231596,0.8519684076,14.31603535,0,0,-0.1448928118,0.3239488602,-0.1922840327,0.7698306441,1.190970182,15.76536576,0,0,-0.2020773143,1.749269843,-1.417190433,1.001778603,90.22814824,0,0,0.8190718889,7.147370338,-10.2602911,0.9918019772,66.2179447,1.309983611,3.899122,11.67150211,3.604196072,1.453469753,avg
SN3_avg,7,0.001,35,none,0.95286875,1,1,0,0,-0.1220066622,0.1661966443,-0.2372070104,0.5532023311,0.7818342447,14.3132674,0,0,-0.1561906487,0.3297538757,-0.2549151778,0.7388590574,1.118063331,15.72322706,0,0,-0.03590518609,1.773633957,-2.46135664,1.000435352,89.73347576,0,0,0.7490336895,7.25702095,-4.124466896,0.9941273332,67.78314156,1.316647649,3.951136827,11.88509369,3.567418814,1.435031056,avg
SN3_avg,7,0.001,36,none,0.9527520833,1,1,0,0,-0.1420693249,0.1724940985,-0.2581933439,0.4812027514,0.7373737693,14.23946085,0,0,-0.1404259503,0.3354764879,-0.2462449223,0.7470908165,1.171387553,15.70312511,0,0,-0.2822493613,1.894392967,-2.174937487,0.9973084927,89.27147748,0,0,0.4886684418,7.590547562,-5.466585636,0.994102478,67.90305088,1.335613132,3.976660252,12.10340309,3.528040648,1.416778684,avg
SN3_avg,7,0.001,37,none,0.9535604167,1,1,0,0,-0.1256201416,0.1639770567,-0.2410924584,0.5732218623,0.8807566762,14.33756843,0,0,-0.149870947,0.3321050704,-0.2229107171,0.7324595451,1.143986583,15.76873622,0,0,-0.1854332089,1.890784383,-1.532244325,0.99687922,90.56111462,0,0,0.9423537254,7.616846561,-6.855633259,0.9945145845,68.41617035,1.354356647,4.040952206,12.25360012,3.537387848,1.451714754,avg
SN3_avg,7,0.001,38,none,0.9468395833,1,1,0,0,-0.1288793981,0.1625025421,-0.2514328659,0.521844089,0.7744833827,14.31209617,0,0,-0.1813557297,0.338514328,-0.2653147578,0.7546312809,1.100426674,15.74361206,0,0,-0.1068207547,1.982356548,-3.238401413,1.000723958,88.77877447,0,0,0.7394760251,7.812987328,-8.775103569,0.9932723045,68.82596057,1.346481681,4.088233948,12.45235538,3.548992395,1.409705639,avg
SN3_avg,7,0.001,39,none,0.9481666667,1,1,0,0,-0.1392930448,0.1599562913,-0.2059494257,0.5422438979,0.789319694,14.23761635,0,0,-0.1821059138,0.326482892,-0.2921709716,0.736435473,1.102054715,15.75088082,0,0,-0.1615199894,1.856701493,-2.518422127,1.002542377,88.1264642,0,0,-0.1338149607,7.416632652,-7.50813961,0.9913765788,68.84972479,1.35465467,4.055735111,12.66966629,3.54391551,1.428002834,avg
SN3_avg,7,0.001,40,none,0.94820625,1,1,0,0,-0.1302461326,0.1568754017,-0.2566170096,0.5495228171,0.7949054241,14.07687889,0,0,-0.1282591224,0.3281840682,-0.2651990652,0.7749304175,1.195742369,15.76566777,0,0,0.1081556976,1.900084496,-2.143586397,0.9972545505,90.31540235,0,0,0.6949665546,7.504162788,-10.20498276,0.9968270063,69.36794648,1.368332624,4.097234726,12.88919258,3.520744085,1.444988489,avg
SN3_avg,7,0.001,41,none,0.94930625,1,1,0,0,-0.1239108145,0.1535252184,-0.2705453932,0.5387620926,0.8236430287,14.14024506,0,0,-0.1309247911,0.3312421143,-0.2310785949,0.7489752173,1.185053945,15.78257619,0,0,-0.3748266697,1.985055923,-2.080782413,1.000943184,90.43322098,0,0,0.7726535797,7.894358158,-10.24528122,0.997148037,68.88788206,1.357846975,4.131165504,13.03615665,3.493177652,1.448135257,avg
SN3_avg,7,0.001,42,none,0.9545833333,1,1,0,0,-0.1354635209,0.1701704115,-0.2317204922,0.5282930732,0.8264740705,14.2454491,0,0,-0.1523739994,0.3401858211,-0.2481617033,0.7638403773,1.141098022,15.80259905,0,0,-0.2416282743,2.088451862,-2.962512732,1.00185585,89.30893911,0,0,0.1561861932,7.977211952,-7.265058994,0.988969028,71.13775331,1.403332114,4.14862442,13.19864464,3.479109526,1.43287015,avg
SN3_avg,7,0.001,43,none,0.9528125,1,1,0,0,-0.1344001144,0.1699883491,-0.2410527319,0.5217395425,0.7554926276,14.10461184,0,0,-0.1621912718,0.3405505419,-0.303108871,0.7406221628,1.101442695,15.75455064,0,0,-0.09915262461,2.053681135,-2.025737762,0.9968412519,90.79042852,0,0,0.8727836609,7.7702384,-6.028196812,0.9897873998,72.01731502,1.392340899,4.138319016,13.3793087,3.433247328,1.429152369,avg
SN3_avg,7,0.001,44,none,0.95270625,1,1,0,0,-0.12695916,0.1575028449,-0.2636684477,0.4930385947,0.7521332502,13.94191193,0,0,-0.1663541943,0.3326265514,-0.2694170177,0.7496911287,1.125809193,15.7495193,0,0,-0.06477105618,2.045779467,-2.681449413,1.002093077,90.46883962,0,0,0.3972966075,7.58383894,-5.702272892,0.9888807535,71.89319322,1.405909419,4.175721169,13.54078197,3.444658041,1.414223194,avg
SN3_avg,7,0.001,45,none,0.9548979167,1,1,0,0,-0.1451241076,0.1600001454,-0.2031203955,0.507075727,0.7680773139,13.96911579,0,0,-0.1370181739,0.3546608686,-0.2193515599,0.7984652519,1.22280705,15.77218261,0,0,-0.07636713237,2.147562504,-1.694079995,0.9987072945,92.20102753,0,0,0.9571954608,7.951234818,-7.536255836,0.9849019647,72.48844246,1.453175545,4.182285309,13.71647263,3.395953894,1.423528314,avg
SN3_avg,7,0.001,46,none,0.9500958333,1,1,0,0,-0.1429445446,0.1644817293,-0.2124523222,0.4914146662,0.7292233706,13.79804672,0,0,-0.1418461353,0.3525348604,-0.2315082848,0.7932204604,1.206893802,15.72484697,0,0,0.02086655051,2.07602644,-2.92905283,1.002366424,90.7927949,0,0,0.4608460665,7.874914169,-9.951925278,0.9968565106,71.13751025,1.455820322,4.30753994,13.92917919,3.419296503,1.468323231,avg
SN3_avg,7,0.001,47,none,0.9547541667,1,1,0,0,-0.1351045519,0.1581845433,-0.2261036485,0.529953301,0.7737143636,14.07591778,0,0,-0.1795363873,0.3565894961,-0.245664686,0.7821648121,1.14164114,15.6928453,0,0,-0.3623605072,2.18824625,-2.218959808,0.9943621159,90.09829237,0,0,0.2768822908,8.055672646,-9.481827736,0.9898151755,73.37285341,1.447835326,4.255740166,14.0528841,3.436298847,1.461473465,avg
SN3_avg,7,0.001,48,none,0.952125,1,1,0,0,-0.1644184142,0.1645297259,-0.2556992173,0.464384079,0.7106698751,13.77546958,0,0,-0.1353849769,0.35368523,-0.2827612758,0.8057200313,1.217726469,15.68198266,0,0,-0.125799641,2.189088106,-2.356375217,1.004014134,91.15105915,0,0,1.591692805,7.967851162,-8.036124229,0.9927809834,72.66029383,1.469016314,4.319818974,14.24716282,3.41500926,1.44638145,avg
SN3_avg,7,0.001,49,none,0.9538145833,1,1,0,0,-0.1288391203,0.1665327549,-0.2067157328,0.536295414,0.8394550681,13.83743058,0,0,-0.1430677325,0.3564395607,-0.2585303783,0.7847054601,1.191536546,15.7280779,0,0,-0.3849928975,2.186124563,-1.720373631,0.9990724921,92.34163901,0,0,0.5650567412,8.103321075,-6.746395111,0.9924399853,74.35177744,1.455706716,4.329836845,14.40872765,3.400992393,1.462507725,avg
SN3_avg,7,0.001,50,none,0.9518208333,1,1,0,0,-0.1502687037,0.1669534892,-0.1997190714,0.4981333613,0.7464576364,13.97216864,0,0,-0.173361212,0.3446918428,-0.2485404462,0.750626862,1.098595977,15.67837936,0,0,-0.2166611552,2.154021025,-2.743563414,0.9977160692,91.44385645,0,0,0.7536981106,7.853673935,-8.132896423,0.9923707247,72.6020702,1.462693334,4.295238018,14.57485867,3.396870375,1.456213713,avg
