arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_c1,zeroout_c1,zbar_c1,zsd_c1,zbar_min_c1,mob_c1,mob_pool_c1,eff_rank_c1,dead_frac_c2,zeroout_c2,zbar_c2,zsd_c2,zbar_min_c2,mob_c2,mob_pool_c2,eff_rank_c2,dead_frac_f1,zeroout_f1,zbar_f1,zsd_f1,zbar_min_f1,mob_f1,eff_rank_f1,dead_frac_f2,zeroout_f2,zbar_f2,zsd_f2,zbar_min_f2,mob_f2,eff_rank_f2,w_norm_c1,w_norm_c2,w_norm_f1,w_norm_f2,w_norm_f3,alpha_med_c1,alpha_min_c1,alpha_max_c1,alpha_clip_frac_c1,two_alpha_W_med_c1,alpha_med_c2,alpha_min_c2,alpha_max_c2,alpha_clip_frac_c2,two_alpha_W_med_c2,alpha_med_f1,alpha_min_f1,alpha_max_f1,alpha_clip_frac_f1,two_alpha_W_med_f1,alpha_med_f2,alpha_min_f2,alpha_max_f2,alpha_clip_frac_f2,two_alpha_W_med_f2,pool
SNA_avg,8,0.001,1,none,0.97055,1,1,0,0,0.07914961874,0.212021485,-0.08067632467,1.104546309,1.258248687,10.74957089,0,0,-0.4692438841,1.074718833,-0.9581642151,0.7780506611,1.187039614,14.2138242,0,0,-2.300113678,5.507012844,-10.48169994,0.7643757463,82.79993206,0,0,-1.056492329,7.131131649,-9.934966087,0.8848134279,72.05102856,0.7683813572,1.659404755,2.766452789,1.07750833,1.157508254,2.837948322,1.01597321,3,0.375,1.199999928,0.4916457534,0.2752750218,0.72625947,0,1.200000048,0.1125347018,0.06902533025,0.1506804973,0,1.200000048,0.08655063808,0.05951062962,0.1164406016,0,1.200000048,avg
SNA_avg,8,0.001,2,none,0.97196875,1,1,0,0,-0.01167501509,0.3104642332,-0.4113046825,1.002523065,1.173034549,12.52298917,0,0,-0.3860918283,1.06572783,-0.7274369597,0.769425571,1.179587007,14.48517985,0,0,-2.573403358,4.909980297,-12.65969563,0.7117012739,82.11054844,0,0,-2.233800888,7.295034885,-18.47352982,0.8196730018,73.53530112,0.8593354225,2.054650545,3.674234629,1.348870397,1.296391964,1.887726188,1.214131355,3,0.25,1.200000048,0.5606642962,0.4215875566,0.8739683032,0,1.200000048,0.126246959,0.09074084461,0.1711496413,0,1.200000048,0.08488735557,0.05523105338,0.1203972176,0,1.200000048,avg
SNA_avg,8,0.001,3,none,0.9654895833,1,1,0,0,-0.02734806389,0.2548003793,-0.271112293,0.9826684594,1.187761307,12.24299914,0,0,-0.3397178352,1.027120352,-0.6730754972,0.8352813721,1.280465961,14.80485078,0,0,-4.149278641,5.19820261,-13.67914104,0.6257670522,82.79614893,0,0,-4.78430891,8.630009651,-22.11807632,0.7067974806,76.07150525,0.8579614758,2.294981956,4.458582401,1.562393188,1.403545737,2.347047091,1.405105591,3,0.1875,1.200000048,0.5402471423,0.3724268377,0.7755793929,0,1.200000048,0.1198991761,0.08379694074,0.1516016722,0,1.200000048,0.07205845416,0.05431313068,0.1002457812,0,1.200000048,avg
SNA_avg,8,0.001,4,none,0.96114375,1,1,0,0,0.04706995934,0.2259316444,-0.1630924791,1.194963455,1.367883801,11.59036199,0,0,-0.7183043361,1.262791991,-1.087414026,0.6598482132,1.094375253,15.00496268,0,0,-5.05026865,5.764998913,-17.06030655,0.6523809433,81.30398877,0,0,-8.695429802,10.29766846,-26.01441383,0.6039170623,76.5568496,0.9224783182,2.659096479,5.096774101,1.739451528,1.477812529,2.433434486,1.245810747,3,0.25,1.200000048,0.4493116438,0.3509832919,0.645624876,0,1.200000048,0.1073204875,0.08325243741,0.1381550133,0,1.200000048,0.06012110785,0.04580901936,0.08984348923,0,1.200000048,avg
SNA_avg,8,0.001,5,none,0.9691833333,1,1,0,0,-0.02897915244,0.2374948561,-0.2185666412,0.9019083977,1.137687802,13.03782742,0,0,-0.4214634299,0.9502152205,-0.7499851584,0.767046988,1.212233305,15.07528252,0,0,-3.981963873,4.991701126,-14.13315964,0.6603357792,83.45769053,0,0,-8.06371212,9.857946396,-26.18246841,0.6204420924,78.1028035,0.9092214108,2.756027222,5.605269909,1.919484973,1.552468061,2.288701057,1.539775014,3,0.375,1.200000048,0.5994787812,0.4146743715,0.8186917901,0,1.200000048,0.1239940375,0.0944672823,0.1483888924,0,1.200000048,0.06286274642,0.04916096851,0.1017709598,0,1.200000048,avg
SNA_avg,8,0.001,6,none,0.9664,1,1,0,0,-0.08938742429,0.2383154333,-0.4397386909,0.797942102,1.021844506,12.74024825,0,0,-0.5322875977,0.9745682478,-0.7926008105,0.696844399,1.061043978,15.35751228,0,0,-4.123892307,4.642089367,-13.78681183,0.6539382935,80.11325427,0,0,-8.745218277,9.751387596,-25.54141426,0.603374958,77.37703277,0.9185435772,2.935751438,6.026327133,2.005053997,1.599299788,2.390283108,1.583320975,3,0.25,1.200000048,0.6103329659,0.4731783569,0.8262024522,0,1.200000048,0.1325598061,0.1020304039,0.1702456176,0,1.200000048,0.06363923103,0.04318200052,0.08823700994,0,1.200000048,avg
SNA_avg,8,0.001,7,none,0.9693333333,1,1,0,0,-0.07465391606,0.2290320843,-0.4245613217,0.7931253314,1.021429777,13.33740842,0,0,-0.4011519551,0.8650041223,-0.7098584175,0.7260328531,1.154026866,15.28284625,0,0,-3.910845518,4.617276669,-14.85124016,0.6801245213,82.42982589,0,0,-7.386149406,9.887858391,-29.43820953,0.6296798587,77.58178913,0.9468494654,2.980548859,6.418172836,2.110008955,1.643629432,2.513875723,1.340634465,3,0.3125,1.200000048,0.6930400729,0.5489989519,0.9430901408,0,1.200000048,0.1340156794,0.1033125296,0.1700889766,0,1.200000048,0.0619876571,0.04790277407,0.09131221473,0,1.200000048,avg
SNA_avg,8,0.001,8,none,0.9701583333,1,1,0,0,-0.06884107739,0.205941394,-0.4408096969,0.8055143356,1.045802116,13.26202818,0,0,-0.3596809208,0.8410276175,-0.6731726527,0.7042781711,1.140199065,15.36689671,0,0,-3.95931983,4.785372257,-12.02615929,0.6769363284,80.85193291,0,0,-10.23075104,10.60040855,-29.26752663,0.6123472452,77.95684816,0.9115174413,2.954063416,6.799607277,2.232190847,1.665096879,2.606716156,1.441859603,3,0.4375,1.200000048,0.7143232226,0.5461513996,0.8555532098,0,1.200000048,0.1293900162,0.09717357904,0.159435153,0,1.200000048,0.05835451558,0.04631223902,0.0902864337,0,1.200000048,avg
SNA_avg,8,0.001,9,none,0.9653270833,1,1,0,0,-0.07675197721,0.2109109014,-0.2726111114,0.7740154862,1.013246894,12.83155027,0,0,-0.4266114831,0.7742311954,-0.6802044511,0.6827932,1.146678209,15.43089634,0,0,-4.052414417,4.427243233,-12.82243538,0.6459648609,81.61764325,0,0,-10.6691885,10.19355297,-27.74554062,0.6039915681,78.43170383,0.9911782146,3.054629803,7.145781994,2.350347996,1.75743711,2.753021479,1.364203691,3,0.4375,1.199999928,0.7560144067,0.5528053641,0.8470236659,0,1.200000048,0.1405487657,0.1127204448,0.175363794,0,1.200000048,0.06090025604,0.04776941985,0.08231391013,0,1.200000048,avg
SNA_avg,8,0.001,10,none,0.9680708333,1,1,0,0,-0.1406519711,0.1822720021,-0.4090656638,0.6519464254,0.8107344508,13.30511904,0,0,-0.3845937848,0.726754427,-0.783634305,0.6762270927,1.139746308,15.46809363,0,0,-3.170561314,4.071695328,-11.76476383,0.7362057567,82.39583246,0,0,-8.883229256,9.658032417,-25.81546021,0.604336381,79.92569588,1.009302855,3.115125418,7.512221336,2.423310757,1.80879724,3,1.407301903,3,0.5625,1.083665848,0.7996577621,0.6568706632,0.9558752179,0,1.200000048,0.1512378156,0.09141857922,0.1945845932,0,1.200000048,0.06428042054,0.04828713089,0.07973936945,0,1.200000048,avg
