step,run_id,loss
1000,B_w20_K10000_c0.0_lr0.01_s0,1.58251
1000,B_w20_K10000_c0.0_lr0.01_s1,1.78447
1000,B_w20_K10000_c0.0_lr0.01_s2,1.50933
1000,B_w20_K10000_c0.0_lr0.01_s3,1.63776
1000,B_w20_K10000_c0.0_lr0.01_s4,1.75986
2000,B_w20_K10000_c0.0_lr0.01_s0,1.42281
2000,B_w20_K10000_c0.0_lr0.01_s1,1.57893
2000,B_w20_K10000_c0.0_lr0.01_s2,1.39026
2000,B_w20_K10000_c0.0_lr0.01_s3,1.46841
2000,B_w20_K10000_c0.0_lr0.01_s4,1.51286
3000,B_w20_K10000_c0.0_lr0.01_s0,1.44239
3000,B_w20_K10000_c0.0_lr0.01_s1,1.441
3000,B_w20_K10000_c0.0_lr0.01_s2,1.27238
3000,B_w20_K10000_c0.0_lr0.01_s3,1.50458
3000,B_w20_K10000_c0.0_lr0.01_s4,1.44198
4000,B_w20_K10000_c0.0_lr0.01_s0,1.26303
4000,B_w20_K10000_c0.0_lr0.01_s1,1.32306
4000,B_w20_K10000_c0.0_lr0.01_s2,1.21575
4000,B_w20_K10000_c0.0_lr0.01_s3,1.39893
4000,B_w20_K10000_c0.0_lr0.01_s4,1.41723
5000,B_w20_K10000_c0.0_lr0.01_s0,1.22443
5000,B_w20_K10000_c0.0_lr0.01_s1,1.30427
5000,B_w20_K10000_c0.0_lr0.01_s2,1.30464
5000,B_w20_K10000_c0.0_lr0.01_s3,1.2678
5000,B_w20_K10000_c0.0_lr0.01_s4,1.29583
6000,B_w20_K10000_c0.0_lr0.01_s0,1.45237
6000,B_w20_K10000_c0.0_lr0.01_s1,1.29586
6000,B_w20_K10000_c0.0_lr0.01_s2,1.27339
6000,B_w20_K10000_c0.0_lr0.01_s3,1.32581
6000,B_w20_K10000_c0.0_lr0.01_s4,1.34615
7000,B_w20_K10000_c0.0_lr0.01_s0,1.31697
7000,B_w20_K10000_c0.0_lr0.01_s1,1.37895
7000,B_w20_K10000_c0.0_lr0.01_s2,1.19401
7000,B_w20_K10000_c0.0_lr0.01_s3,1.31605
7000,B_w20_K10000_c0.0_lr0.01_s4,1.29999
8000,B_w20_K10000_c0.0_lr0.01_s0,1.25218
8000,B_w20_K10000_c0.0_lr0.01_s1,1.24846
8000,B_w20_K10000_c0.0_lr0.01_s2,1.35167
8000,B_w20_K10000_c0.0_lr0.01_s3,1.22833
8000,B_w20_K10000_c0.0_lr0.01_s4,1.22694
9000,B_w20_K10000_c0.0_lr0.01_s0,1.25848
9000,B_w20_K10000_c0.0_lr0.01_s1,1.21045
9000,B_w20_K10000_c0.0_lr0.01_s2,1.21637
9000,B_w20_K10000_c0.0_lr0.01_s3,1.26698
9000,B_w20_K10000_c0.0_lr0.01_s4,1.40718
10000,B_w20_K10000_c0.0_lr0.01_s0,1.27242
10000,B_w20_K10000_c0.0_lr0.01_s1,1.20012
10000,B_w20_K10000_c0.0_lr0.01_s2,1.23673
10000,B_w20_K10000_c0.0_lr0.01_s3,1.15887
10000,B_w20_K10000_c0.0_lr0.01_s4,1.36026
11000,B_w20_K10000_c0.0_lr0.01_s0,1.50763
11000,B_w20_K10000_c0.0_lr0.01_s1,1.35161
11000,B_w20_K10000_c0.0_lr0.01_s2,1.43104
11000,B_w20_K10000_c0.0_lr0.01_s3,1.37732
11000,B_w20_K10000_c0.0_lr0.01_s4,1.55652
12000,B_w20_K10000_c0.0_lr0.01_s0,1.32895
12000,B_w20_K10000_c0.0_lr0.01_s1,1.24251
12000,B_w20_K10000_c0.0_lr0.01_s2,1.23002
12000,B_w20_K10000_c0.0_lr0.01_s3,1.29274
12000,B_w20_K10000_c0.0_lr0.01_s4,1.32713
13000,B_w20_K10000_c0.0_lr0.01_s0,1.25165
13000,B_w20_K10000_c0.0_lr0.01_s1,1.33733
13000,B_w20_K10000_c0.0_lr0.01_s2,1.33996
13000,B_w20_K10000_c0.0_lr0.01_s3,1.3206
13000,B_w20_K10000_c0.0_lr0.01_s4,1.3545
14000,B_w20_K10000_c0.0_lr0.01_s0,1.27808
14000,B_w20_K10000_c0.0_lr0.01_s1,1.18286
14000,B_w20_K10000_c0.0_lr0.01_s2,1.22957
14000,B_w20_K10000_c0.0_lr0.01_s3,1.19059
14000,B_w20_K10000_c0.0_lr0.01_s4,1.32291
15000,B_w20_K10000_c0.0_lr0.01_s0,1.38584
15000,B_w20_K10000_c0.0_lr0.01_s1,1.2538
15000,B_w20_K10000_c0.0_lr0.01_s2,1.24833
15000,B_w20_K10000_c0.0_lr0.01_s3,1.2537
15000,B_w20_K10000_c0.0_lr0.01_s4,1.20793
16000,B_w20_K10000_c0.0_lr0.01_s0,1.45521
16000,B_w20_K10000_c0.0_lr0.01_s1,1.20784
16000,B_w20_K10000_c0.0_lr0.01_s2,1.30009
16000,B_w20_K10000_c0.0_lr0.01_s3,1.33486
16000,B_w20_K10000_c0.0_lr0.01_s4,1.35249
17000,B_w20_K10000_c0.0_lr0.01_s0,1.23398
