arm,iv,bin,window,mean_median,mean_min,mean_max,mean_n_down,star_median,star_min,star_max,star_n_down,star_W_median,star_W_min,star_W_max,star_W_n_down,bias_median,bias_min,bias_max,bias_n_down
LR,l2,12-20,0-100,-0.15144165146620875,-0.17166729053263033,-0.14877224434731373,3,-0.04498502529051781,-0.056523681395072835,-0.04169854964090991,3,-0.045329308933571955,-0.056529528796375406,-0.04247124143224704,3,0.0003442836430541416,5.847401302566977e-06,0.0007726917913371124,0
LR,l2,12-20,0-20,-0.2672219124010107,-0.2723596089661603,-0.23481500311209538,3,-0.09458785145731197,-0.09578402917761655,-0.07998496976436226,3,-0.09299789150143746,-0.09401034982079337,-0.07858017771458059,3,-0.0015899599558744956,-0.0017736793568231708,-0.0014047920497816653,3
LR,l2,12-20,0-625,-0.09611398747832355,-0.10649856265593002,-0.08503006843227053,3,-0.0020056530915746637,-0.01099259349242608,0.004191313472088361,2,-0.002945483707270798,-0.011269081147765503,0.003964466831055303,2,0.0002764876553394259,0.00022684664103306043,0.0009398306156961351,0
LR,l2,12-20,100-625,0.06516872787670029,0.052658256868990186,0.0664115830339382,0,0.04553108790264676,0.03969289654933525,0.049176338762606166,0,0.0452604476486099,0.03952575772497623,0.04929377576462726,0,0.00016713882435902272,-0.00011743700202108116,0.00027064025403685893,1
LR,l2,12-20,20-100,0.10069231843352999,0.08337335164588669,0.11844966805369693,0,0.039260347782543704,0.034999944473844455,0.05288930181640205,0,0.037480821024417965,0.03325086878100864,0.050526650069190424,0,0.0017795267581257378,0.0017490756928358068,0.002362651747211608,0
LR,l2,2-6,0-100,-0.05798416720609338,-0.08696956084970159,-0.01043679938399365,3,-0.02427349404416551,-0.048892598803947786,-0.011784069401131983,3,-0.02495236801334928,-0.048602372972970945,-0.012174684606412457,3,0.00039061520528048296,-0.0002902258309768514,0.0006788739691837679,1
LR,l2,2-6,0-20,-0.3109861215161613,-0.35101475938685656,-0.2472600712454626,3,-0.12391501488850679,-0.1277449116016502,-0.09643838858057377,3,-0.12144547334164724,-0.12525824402563704,-0.09472746619166088,3,-0.002469541546859546,-0.0024866675760131336,-0.0017109223889128773,3
LR,l2,2-6,0-625,-0.05346680381247641,-0.05641347586831904,-0.03317935759199349,3,-0.047419178345060306,-0.06233730450620535,-0.04549392444037564,3,-0.04906407478439514,-0.06359664262940534,-0.047549878350251464,3,0.001644896439334843,0.0012593381231999954,0.0020559539098758245,0
LR,l2,2-6,100-625,0.004517363393616969,-0.022742558207999832,0.03055608498138255,1,-0.021220430396210126,-0.035635108943928316,-0.013444705702257564,3,-0.02259751033690218,-0.036889390177982685,-0.014994269656434406,3,0.0013770799406920566,0.00125428123405436,0.0015495639541768468,0
LR,l2,2-6,20-100,0.23682327186146898,0.2240165606664597,0.29303059218076316,0,0.08465431917944179,0.075022416084559,0.10347141755748465,0,0.08255278158524844,0.07284310036867629,0.10030587601228776,0,0.0021793157158826945,0.0021015375941933604,0.0031655415451969015,0
LR,l2,7-11,0-100,-0.12926866478682547,-0.14475515266342978,-0.11914849946764239,3,-0.04232764928424646,-0.05136694890845056,-0.03572953713419373,3,-0.04254431134196553,-0.051775895648964364,-0.036174804772443524,3,0.0004089467405137853,0.00021666205771907616,0.0004452676382497883,0
LR,l2,7-11,0-20,-0.28848854420326425,-0.356034822984308,-0.2258906648183827,3,-0.10044555166229649,-0.13159902014694452,-0.08014080051793859,3,-0.09837344477018442,-0.1290329807736031,-0.07863256301253418,3,-0.0020721068921120606,-0.0025660393733414827,-0.0015082375054043951,3
