step,mean,within,between,total,within_flow,between_flow,arm,iv,seed,task
0,0.05840907165053741,0.0404403904168649,0.07577769361134372,0.11621808402820819,0.0,0.0,SNA,l2,0,2
1,0.044791939946696696,0.039124288323161345,0.065701483426953,0.10482577175011563,-0.0013161020937035577,-0.010076210184390713,SNA,l2,0,2
2,0.02323061492199103,0.040465463128388925,0.061508157830022656,0.10197362095841196,0.0013411748052275876,-0.004193325596930365,SNA,l2,0,2
3,0.004954147748535202,0.04447893509929697,0.06643891955568537,0.11091785465498198,0.00401347197090803,0.00493076172566272,SNA,l2,0,2
4,-0.013865774744865863,0.0510219445594918,0.07665405771083154,0.12767600227032402,0.006543009460194843,0.010215138155146183,SNA,l2,0,2
5,-0.037448817969936536,0.05884058307983673,0.08470417433756663,0.14354475741740297,0.007818638520344924,0.008050116626735108,SNA,l2,0,2
6,-0.0530172404677929,0.06957209244945557,0.09539094226275541,0.16496303471221097,0.010731509369618841,0.010686767925188728,SNA,l2,0,2
7,-0.056947008911976946,0.08190905929395338,0.10515132700952949,0.18706038630348285,0.012336966844497801,0.009760384746774063,SNA,l2,0,2
8,-0.06737983177199683,0.0948879855553822,0.10558438818291388,0.20047237373829715,0.012978926261428854,0.00043306117338443354,SNA,l2,0,2
9,-0.06963246414969468,0.10912283952016053,0.10832067265136747,0.21744351217152683,0.014234853964778287,0.002736284468453566,SNA,l2,0,2
10,-0.07261023574249262,0.12403402800283686,0.11454490531579914,0.23857893331863742,0.014911188482676323,0.006224232664431678,SNA,l2,0,2
11,-0.07555936494038502,0.14024329766688853,0.1296357356314269,0.2698790332983143,0.016209269664051715,0.015090830315627782,SNA,l2,0,2
12,-0.07795660193637238,0.15711608698646531,0.15226616407278004,0.30938225105924483,0.016872789319576788,0.022630428441353104,SNA,l2,0,2
13,-0.07278757674804175,0.17442801628715673,0.1784115974099977,0.3528396136971547,0.017311929300691406,0.026145433337217604,SNA,l2,0,2
14,-0.060939484038841404,0.19191684221848873,0.20453533143087782,0.3964521736493708,0.01748882593133195,0.02612373402088016,SNA,l2,0,2
15,-0.050694587331035094,0.20910818132049971,0.22936892066151301,0.4384771019820144,0.01719133910201103,0.02483358923063522,SNA,l2,0,2
16,-0.03978586555913015,0.2262201551221883,0.25256206655215524,0.47878222167434303,0.017111973801688562,0.023193145890642183,SNA,l2,0,2
17,-0.026766593010134745,0.24426331991442343,0.27452979211640816,0.518793112030831,0.01804316479223512,0.021967725564252954,SNA,l2,0,2
18,-0.010824882930520965,0.26195845053024647,0.29278145745233447,0.5547399079825837,0.017695130615823052,0.018251665335926405,SNA,l2,0,2
19,0.0073252029103591555,0.27903804307972707,0.3008725286666859,0.5799105717464124,0.017079592549480632,0.008091071214351316,SNA,l2,0,2
20,0.026440017756198655,0.2962473784859063,0.31120008088278167,0.607447459368689,0.017209335406179277,0.010327552216095815,SNA,l2,0,2
0,-0.015643340445970946,0.06699572770373152,0.2012821480769467,0.26827787578067996,0.0,0.0,SNA,l2,0,3
1,-0.03388309878635611,0.06549430403129927,0.19417560454550223,0.25966990857679884,-0.001501423672432231,-0.00710654353144452,SNA,l2,0,3
2,-0.05571190156424942,0.06491278697158573,0.1878433163268375,0.25275610329842185,-0.0005815170597135476,-0.006332288218664575,SNA,l2,0,3
3,-0.08240639613037533,0.06579514081404138,0.18977761082225555,0.2555727516362963,0.0008823538424556351,0.0019342944954179445,SNA,l2,0,3
4,-0.10963990275361846,0.0679842286613078,0.18779200054110184,0.2557762292024082,0.002189087847266416,-0.001985610281153625,SNA,l2,0,3
5,-0.13578161708735298,0.07180407271064457,0.18235660560458616,0.2541606783152304,0.0038198440493367822,-0.005435394936515788,SNA,l2,0,3
6,-0.16181901714092053,0.07687967402231105,0.17614306654097528,0.25302274056328594,0.005075601311666494,-0.0062135390636109036,SNA,l2,0,3
7,-0.18809187430888458,0.08369776150053458,0.17330701978587373,0.2570047812864074,0.006818087478223528,-0.0028360467551014007,SNA,l2,0,3
8,-0.20918593473951325,0.09266172485181069,0.1750841996741766,0.2677459245259881,0.00896396335127609,0.0017771798883028209,SNA,l2,0,3
9,-0.22836053089693953,0.10350839849869663,0.17808345275202278,0.28159185125072134,0.010846673646885954,0.002999253077846134,SNA,l2,0,3
10,-0.2455799352847786,0.11655140329887807,0.1839455394978647,0.30049694279674494,0.013043004800181404,0.005862086745841968,SNA,l2,0,3
11,-0.25551116375283545,0.13145645698748262,0.1953203617195235,0.32677681870700626,0.014905053688604593,0.01137482222165872,SNA,l2,0,3
12,-0.26451715245050317,0.14753865776949604,0.2062849932044542,0.353823650973948,0.01608220078201341,0.010964631484930718,SNA,l2,0,3
13,-0.27285572578797107,0.1640466281126622,0.21943387575335238,0.3834805038660145,0.01650797034316614,0.013148882548898268,SNA,l2,0,3
14,-0.28210962046508675,0.18004073141509594,0.2287034419953464,0.40874417341044206,0.01599410330243373,0.009269566241994095,SNA,l2,0,3
15,-0.28711181900729643,0.19633336354854344,0.2399712482392572,0.43630461178779695,0.016292632133447556,0.011267806243910588,SNA,l2,0,3
16,-0.28926098345821855,0.2119811783081805,0.24921967326710256,0.4612008515752882,0.015647814759637044,0.009248425027845323,SNA,l2,0,3
17,-0.2927366196720457,0.2268241115110107,0.25581236211043284,0.48263647362144135,0.014842933202830248,0.006592688843330362,SNA,l2,0,3
18,-0.2957323532595577,0.24006349503626723,0.2603306435681791,0.5003941386044453,0.013239383525256459,0.004518281457746265,SNA,l2,0,3
19,-0.29363546840007954,0.25276930182431,0.26734336651752977,0.52011266834184,0.012705806788042753,0.0070127229493506926,SNA,l2,0,3
20,-0.2903017851408884,0.2651437546753458,0.27631571389146914,0.5414594685668176,0.0123744528510358,0.008972347373939378,SNA,l2,0,3
0,0.008134704408998607,0.0935895706173817,0.20539750043677024,0.2989870710541532,0.0,0.0,SNA,l2,0,4
1,-0.014473599862496326,0.09260086966658414,0.19284892116109473,0.28544979082767685,-0.0009887009507975623,-0.0125485792756755,SNA,l2,0,4
2,-0.04438603610524445,0.09181123281404824,0.18034833971665618,0.2721595725307052,-0.0007896368525358894,-0.012500581444438545,SNA,l2,0,4
3,-0.08842526334393593,0.09136749636642179,0.16878717916391411,0.26015467553033456,-0.00044373644762645437,-0.011561160552741988,SNA,l2,0,4
4,-0.1351149324858298,0.09293583413173924,0.17110270429561705,0.2640385384273569,0.0015683377653174307,0.002315525131702738,SNA,l2,0,4
5,-0.17330368589820191,0.09662238895976355,0.18101542232350795,0.277637811283272,0.0036865548280243243,0.009912718027890847,SNA,l2,0,4
6,-0.20544603324050395,0.10263252342309409,0.1997429798467304,0.3023755032698252,0.006010134463330545,0.018727557523222582,SNA,l2,0,4
7,-0.2355377929134973,0.109716595694491,0.21839391432449973,0.32811051001899316,0.00708407227139691,0.018650934477769467,SNA,l2,0,4
8,-0.2640708067715359,0.1179906825949764,0.23408012062266115,0.35207080321763956,0.0082740869004854,0.015686206298161295,SNA,l2,0,4
9,-0.28988293395837494,0.12702993666896842,0.2503945285716357,0.37742446524059964,0.00903925407399201,0.016314407948974482,SNA,l2,0,4
10,-0.316416042046039,0.13743723991731896,0.26430793364776056,0.4017451735650804,0.010407303248350534,0.013913405076124999,SNA,l2,0,4
11,-0.3496322085009378,0.14838877896911146,0.26921760308831,0.4176063820574249,0.01095153905179251,0.004909669440549438,SNA,l2,0,4
12,-0.3837481915778146,0.15954936495244884,0.2623718643138055,0.42192122926625275,0.011160585983337386,-0.0068457387745046935,SNA,l2,0,4
13,-0.41536377298355115,0.17202873561724352,0.2572314929129154,0.42926022853015394,0.012479370664794699,-0.005140371400889991,SNA,l2,0,4
14,-0.4424913528256324,0.18573468491614079,0.2594696941724662,0.44520437908860827,0.013705949298897242,0.002238201259550877,SNA,l2,0,4
15,-0.46420821705406984,0.1999892709003651,0.2685412295773929,0.4685305004777545,0.014254585984224301,0.009071535404926553,SNA,l2,0,4
16,-0.47835069522905505,0.2141710170846972,0.27913060862709255,0.49330162571178426,0.014181746184332173,0.010589379049699671,SNA,l2,0,4
17,-0.4869455920995632,0.22837278609065428,0.28968370353905226,0.518056489629706,0.014201769005956995,0.010553094911959682,SNA,l2,0,4
18,-0.48962011921057885,0.2424629712789949,0.30149509842639677,0.5439580697053932,0.014090185188340692,0.011811394887344721,SNA,l2,0,4
19,-0.4870486576688603,0.257493755098374,0.31844858054406044,0.575942335642436,0.015030783819379025,0.01695348211766374,SNA,l2,0,4
20,-0.4848608083614013,0.2724311162646558,0.33610370484083274,0.6085348211054925,0.01493736116628186,0.01765512429677224,SNA,l2,0,4
0,-0.07990377152785808,0.09374858670902235,0.27486647006158893,0.368615056770609,0.0,0.0,SNA,l2,0,5
1,-0.09264594577818201,0.09254035891125731,0.2563980009002135,0.34893835981146937,-0.0012082277977650201,-0.018468469161375442,SNA,l2,0,5
2,-0.117919714474333,0.0904054632231551,0.23330144766096694,0.3237069108841175,-0.0021348956881022084,-0.023096553239246597,SNA,l2,0,5
3,-0.15352699025186614,0.08936185259425461,0.2152742974047693,0.30463614999902616,-0.0010436106289004965,-0.018027150256197753,SNA,l2,0,5
4,-0.1824569021997268,0.09034788868104084,0.2092671009309754,0.2996149896120158,0.0009860360867862184,-0.006007196473793797,SNA,l2,0,5
5,-0.20743045875338662,0.09293231576665999,0.21282046286907608,0.3057527786357364,0.0025844270856191713,0.0035533619381007933,SNA,l2,0,5
6,-0.22976448165935742,0.09725321589123989,0.22575588551004133,0.32300910140128086,0.004320900124579898,0.012935422640965229,SNA,l2,0,5
7,-0.24532712161175144,0.10339961534827578,0.2482312782582153,0.3516308936064912,0.006146399457035886,0.02247539274817386,SNA,l2,0,5
8,-0.2626548159660493,0.11039826155875629,0.2643725547399746,0.3747708162987296,0.006998646210480514,0.01614127648175951,SNA,l2,0,5
9,-0.2810873893910422,0.1190726429804856,0.28243319488026186,0.4015058378607496,0.0086743814217293,0.01806064014028712,SNA,l2,0,5
10,-0.30461234360091644,0.12778115888275057,0.289827322635152,0.41760848151790064,0.008708515902264978,0.007394127754890196,SNA,l2,0,5
11,-0.32726726007452056,0.13676903623513234,0.2953560522413618,0.4321250884764949,0.008987877352381778,0.005528729606209654,SNA,l2,0,5
12,-0.34899861097844137,0.14647445152000338,0.29902906187371164,0.4455035133937162,0.00970541528487102,0.003673009632349968,SNA,l2,0,5
13,-0.3632049196959223,0.15589496166783243,0.3034752385286603,0.45937020019649694,0.009420510147829018,0.004446176654948581,SNA,l2,0,5
14,-0.3707960747023467,0.1661340628592528,0.31216986009040304,0.4783039229496629,0.010239101191420416,0.008694621561742945,SNA,l2,0,5
15,-0.3759743274675968,0.17746373214888717,0.3236214612523823,0.5010851934012653,0.011329669289634352,0.011451601161979135,SNA,l2,0,5
16,-0.381308179952462,0.1886197696853852,0.3282292795516149,0.5168490492369984,0.011156037536498034,0.004607818299232794,SNA,l2,0,5
17,-0.3793433486767125,0.19998858088513655,0.3331772184382642,0.5331657993234039,0.011368811199751359,0.004947938886649161,SNA,l2,0,5
18,-0.37489637439580575,0.21198874662637224,0.3388221356488302,0.5508108822752055,0.012000165741235662,0.0056449172105658505,SNA,l2,0,5
19,-0.3707785972499433,0.22426106914647728,0.3451452114886921,0.5694062806351715,0.012272322520105074,0.006323075839861695,SNA,l2,0,5
20,-0.3689275230299507,0.23712861809590133,0.3504420239432968,0.5875706420392014,0.012867548949424093,0.005296812454604949,SNA,l2,0,5
0,-0.09938551646468496,0.09224806414855764,0.1765726773337194,0.26882074148227564,0.0,0.0,SNA,l2,0,6
1,-0.09240791115707978,0.09083832110478175,0.1694810661268794,0.26031938723166265,-0.0014097430437758896,-0.007091611206839877,SNA,l2,0,6
2,-0.08859944222475241,0.09021093902994488,0.1666623215263432,0.2568732605562915,-0.0006273820748368658,-0.0028187446005362945,SNA,l2,0,6
3,-0.08510058910778731,0.09111839597213905,0.17171183185874017,0.2628302278308788,0.0009074569421941645,0.005049510332397046,SNA,l2,0,6
4,-0.08327475555108563,0.09329386467154785,0.18090806498883294,0.2742019296603794,0.002175468699408818,0.009196233130092808,SNA,l2,0,6
5,-0.09172928424330212,0.09753463726926913,0.19101167846447656,0.28854631573374806,0.0042407725977212755,0.010103613475643463,SNA,l2,0,6
6,-0.10546050143361932,0.10228321754086737,0.19569655983058964,0.2979797773714572,0.004748580271598249,0.004684881366113101,SNA,l2,0,6
