arm,iv,seed,window,neg_localup_actualdown,neg_localup_currentdown,local_actual_opposed,n_negative,n_neg_local_up,n_up_actualdown,n_up_currentdown,n_boundaries
SNA,none,0,1-5,0.39572932196622823,0.3463364072228383,0.37262512803123726,105361,55207,21669,19086,19
SNA,none,0,6-10,0.4817925897073319,0.3498611733281449,0.4092323005374004,109328,54889,26295,19201,19
SNA,none,0,11-15,0.5514578768699089,0.39322845555395447,0.4024623170855644,109444,52415,28929,20650,19
SNA,none,0,16-20,0.5468913410178636,0.34966822079690685,0.41166958346191374,111465,53892,29498,18852,19
SNA,none,0,1-20,0.49233624179999663,0.35833891440327453,0.39899656362380315,435598,216403,106391,77789,19
SNA,none,1,1-5,0.37507624496677966,0.33849503913495055,0.37314238579424025,110810,59042,21885,19881,19
SNA,none,1,6-10,0.48872668504463057,0.34730488246046803,0.41488556750043815,114330,57190,27658,19889,19
SNA,none,1,11-15,0.5402422016747337,0.37959921411995073,0.4097838673013305,114909,55595,30026,21140,19
SNA,none,1,16-20,0.5319296305724115,0.37296445832788,0.41268637359878396,116255,56169,29875,20938,19
SNA,none,1,1-20,0.4823437329766934,0.3578540048202414,0.40262330566343263,456304,227996,109444,81848,19
SNA,none,2,1-5,0.4101605904965653,0.35186778221885734,0.37388485918468223,109829,57209,23096,19993,19
SNA,none,2,6-10,0.5072643314934312,0.34590455586516095,0.41641208161955023,114657,57836,29244,20025,19
SNA,none,2,11-15,0.5357173750097349,0.36528210407045786,0.4074650886867516,115463,56017,29962,20418,19
SNA,none,2,16-20,0.5234057079873732,0.3664211140352797,0.4146796476761702,116771,56300,29499,20617,19
SNA,none,2,1-20,0.4930759909277961,0.3560137849757379,0.40310914997954833,456720,227362,111801,81053,19
SNA,l2,0,1-5,0.43944106877810307,0.3367546895998272,0.36406111708847283,91123,46539,20426,15722,19
SNA,l2,0,6-10,0.5718580174489487,0.3094927653171886,0.3876016472705654,99239,47577,27227,14681,19
SNA,l2,0,11-15,0.5999633953686454,0.3168586141110573,0.39162855263087554,102690,47221,28311,14908,19
SNA,l2,0,16-20,0.5204031875434401,0.30043648577063914,0.40049945055977904,105324,47843,24842,14330,19
SNA,l2,0,1-20,0.5325621155950359,0.31487149180634705,0.3859459683509064,398376,189180,100806,59641,19
SNA,l2,1,1-5,0.4287734073136031,0.3223574612281837,0.3677951023735499,92507,47585,20410,15418,19
SNA,l2,1,6-10,0.6122073862143528,0.29456049803197865,0.39697707710615787,100189,48151,29466,14241,19
SNA,l2,1,11-15,0.5977578545801161,0.30330302291793626,0.3906842516798661,103434,48102,28783,14531,19
SNA,l2,1,16-20,0.5381678694971302,0.3322003803667036,0.39428508160157705,104653,47762,25596,15798,19
SNA,l2,1,1-20,0.5442286940363913,0.3120055096280802,0.38743360074557043,400783,191600,104255,59988,19
SNA,l2,2,1-5,0.44993091366601645,0.3516563892505372,0.3664365058892539,95560,48734,21835,17148,19
SNA,l2,2,6-10,0.5994734742475888,0.30862154943778713,0.3924545605291534,103655,49901,29962,15395,19
SNA,l2,2,11-15,0.5822944064290635,0.2994375474664616,0.3874560621264748,106517,49387,28797,14723,19
SNA,l2,2,16-20,0.5126022474244097,0.3124206925414892,0.4023258055358409,106889,49233,25316,15332,19
SNA,l2,2,1-20,0.5363719744768138,0.3168716055818989,0.38716625984799097,412621,197255,105910,62598,19
LR,none,0,1-5,0.3796914619386407,0.3273570937044622,0.3658421052631579,119574,62060,22546,19723,19
LR,none,0,6-10,0.46396138959648087,0.32919015460654394,0.4059407894736842,125268,62147,28291,20514,19
LR,none,0,11-15,0.5402173183549501,0.3479005881298981,0.40848277580750225,126668,61039,32838,21303,19
LR,none,0,16-20,0.5613394380336251,0.33361322472223437,0.4013486842105263,127063,61490,34409,20565,19
LR,none,0,1-20,0.484004115324137,0.33114625668971226,0.3954035972649639,498573,246736,118084,82105,19
LR,none,1,1-5,0.3593002201466156,0.30971683002254,0.355625,121012,63098,21639,18825,19
LR,none,1,6-10,0.4676430490164094,0.32027428630942884,0.41007894736842104,126858,62520,28283,20051,19
LR,none,1,11-15,0.5030532740414806,0.3318670877049438,0.4006274781058159,128570,61247,30516,20435,19
LR,none,1,16-20,0.5313889346089156,0.34038719760955494,0.3910328947368421,128803,60953,32166,20824,19
LR,none,1,1-20,0.46390591398241837,0.3221008163211268,0.38934109885835244,505243,247818,112604,80135,19
LR,none,2,1-5,0.35605288760039594,0.3037973064630929,0.3597236842105263,118768,61971,21044,18270,19
LR,none,2,6-10,0.4621626772413562,0.3202111733023693,0.4104868421052632,123627,61814,27798,19651,19
LR,none,2,11-15,0.5062670062931851,0.33467167746580057,0.39867105263157887,126204,60837,30372,20335,19
LR,none,2,16-20,0.5246503190924274,0.32556600767904276,0.40069078947368425,126933,61725,32148,20166,19
LR,none,2,1-20,0.46117477987087585,0.31785788411975896,0.3923930921052632,495532,246347,111362,78422,19
LR,l2,0,1-5,0.5092348355211908,0.3928398847677889,0.3691842105263158,97211,46355,23342,18173,19
LR,l2,0,6-10,0.6081467346639936,0.3096481057978236,0.396671052631579,107874,51033,31006,15855,19
LR,l2,0,11-15,0.6132285478963976,0.3085655556033216,0.3907631578947368,110684,51108,31383,15695,19
LR,l2,0,16-20,0.5580271459302726,0.2808044427118398,0.39859210526315786,110479,51916,28977,14588,19
LR,l2,0,1-20,0.5725130714344056,0.31945594788039067,0.38880263157894734,426248,200412,114708,64311,19
LR,l2,1,1-5,0.46813977367022125,0.36053069071659016,0.36384868421052624,95896,46454,21688,16806,19
LR,l2,1,6-10,0.6399327247434009,0.3132312381995445,0.3986842105263158,106338,49391,31347,15568,19
LR,l2,1,11-15,0.6279204750545894,0.29482101629222424,0.3897828947368421,109729,50633,31775,14998,19
LR,l2,1,16-20,0.5832618086030666,0.3030022978201729,0.4014868421052632,108709,50521,29345,15274,19
LR,l2,1,1-20,0.5819872133755531,0.31590232018323733,0.3884506578947368,420672,196999,114155,62646,19
LR,l2,2,1-5,0.5055526645732252,0.3900047015628698,0.3694407894736842,95127,46088,22801,17805,19
LR,l2,2,6-10,0.635954179246017,0.31318096234440196,0.398,104965,50051,31790,15710,19
LR,l2,2,11-15,0.6360161524684973,0.3092141737902204,0.39064473684210527,109027,50999,32406,15676,19
LR,l2,2,16-20,0.5700926880943499,0.30109229518964464,0.39680263157894735,109367,51980,29732,15689,19
LR,l2,2,1-20,0.5875018974492411,0.32435313799632487,0.3887220394736842,418486,199118,116729,64880,19
