step,n_negative,n_neg_local_up,n_neg_local_up_actual_down,n_neg_local_up_current_down,n_valid,n_opposed,arm,iv,seed,task
1,1105,555,206,214,1600,539,LR,l2,1,21
2,1096,595,239,162,1600,590,LR,l2,1,21
3,1129,522,255,244,1600,588,LR,l2,1,21
4,1132,584,270,195,1600,529,LR,l2,1,21
5,1196,610,335,163,1600,660,LR,l2,1,21
6,1202,579,294,231,1600,558,LR,l2,1,21
7,1222,583,298,169,1600,578,LR,l2,1,21
8,1237,605,349,139,1600,660,LR,l2,1,21
9,1242,669,355,67,1600,639,LR,l2,1,21
10,1240,563,315,205,1600,630,LR,l2,1,21
11,1291,637,321,205,1600,581,LR,l2,1,21
12,1252,605,330,173,1600,659,LR,l2,1,21
13,1231,584,341,198,1600,705,LR,l2,1,21
14,1257,571,317,236,1600,625,LR,l2,1,21
15,1229,560,324,234,1600,669,LR,l2,1,21
16,1190,587,379,214,1600,725,LR,l2,1,21
17,1235,639,353,205,1600,639,LR,l2,1,21
18,1180,611,390,276,1600,711,LR,l2,1,21
19,1190,531,358,259,1600,667,LR,l2,1,21
20,1150,540,424,200,1600,755,LR,l2,1,21
1,1145,567,212,216,1600,526,LR,l2,1,22
2,1168,560,271,249,1600,612,LR,l2,1,22
3,1176,549,276,168,1600,708,LR,l2,1,22
4,1206,584,234,154,1600,646,LR,l2,1,22
5,1131,587,261,131,1600,642,LR,l2,1,22
6,1167,573,240,195,1600,653,LR,l2,1,22
7,1146,563,245,232,1600,650,LR,l2,1,22
8,1138,555,295,188,1600,681,LR,l2,1,22
9,1120,566,290,163,1600,682,LR,l2,1,22
10,1103,551,269,134,1600,720,LR,l2,1,22
11,1128,558,293,191,1599,680,LR,l2,1,22
12,1124,541,258,138,1600,633,LR,l2,1,22
13,1152,456,266,271,1600,593,LR,l2,1,22
14,1139,570,317,153,1600,631,LR,l2,1,22
15,1126,514,281,192,1600,577,LR,l2,1,22
16,1093,552,307,203,1600,588,LR,l2,1,22
17,1106,558,334,177,1600,609,LR,l2,1,22
18,1098,502,331,214,1600,640,LR,l2,1,22
19,1112,539,323,260,1600,604,LR,l2,1,22
20,1125,526,332,214,1600,628,LR,l2,1,22
1,1106,576,208,209,1600,506,LR,l2,1,23
2,1120,587,255,214,1600,663,LR,l2,1,23
3,1131,472,228,236,1600,614,LR,l2,1,23
4,1128,505,230,178,1600,602,LR,l2,1,23
5,1156,562,261,102,1600,695,LR,l2,1,23
6,1168,543,237,146,1600,630,LR,l2,1,23
7,1150,613,278,139,1600,661,LR,l2,1,23
8,1153,531,263,112,1600,727,LR,l2,1,23
9,1130,498,258,157,1600,667,LR,l2,1,23
10,1138,542,324,245,1600,640,LR,l2,1,23
11,1152,537,371,239,1600,683,LR,l2,1,23
12,1163,506,343,222,1600,637,LR,l2,1,23
13,1144,512,295,147,1600,527,LR,l2,1,23
14,1176,531,345,212,1600,642,LR,l2,1,23
15,1194,551,294,167,1600,588,LR,l2,1,23
16,1186,492,274,262,1600,587,LR,l2,1,23
17,1199,600,366,170,1600,690,LR,l2,1,23
18,1214,638,397,160,1600,712,LR,l2,1,23
19,1206,556,311,205,1600,656,LR,l2,1,23
20,1159,544,348,192,1600,668,LR,l2,1,23
1,1115,562,143,140,1600,558,LR,l2,1,24
2,1103,570,229,225,1600,616,LR,l2,1,24
3,1095,577,160,141,1600,592,LR,l2,1,24
4,1092,498,233,274,1600,669,LR,l2,1,24
5,1105,515,258,182,1600,666,LR,l2,1,24
6,1120,523,242,142,1600,579,LR,l2,1,24
7,1085,486,295,175,1600,669,LR,l2,1,24
8,1111,524,336,190,1600,729,LR,l2,1,24
9,1128,529,337,210,1600,658,LR,l2,1,24
10,1142,557,308,132,1600,686,LR,l2,1,24
11,1091,472,290,145,1600,647,LR,l2,1,24
12,1118,490,338,182,1600,641,LR,l2,1,24
13,1148,556,378,202,1600,612,LR,l2,1,24
14,1158,509,356,205,1600,606,LR,l2,1,24
15,1153,591,369,149,1600,643,LR,l2,1,24
16,1200,548,313,119,1600,623,LR,l2,1,24
17,1183,533,321,209,1600,616,LR,l2,1,24
18,1173,490,310,205,1600,603,LR,l2,1,24
19,1170,581,356,169,1600,656,LR,l2,1,24
20,1181,596,369,174,1600,677,LR,l2,1,24
1,978,454,254,233,1600,541,LR,l2,1,25
2,1005,466,282,196,1600,626,LR,l2,1,25
3,1055,571,296,123,1600,630,LR,l2,1,25
4,1094,608,314,166,1600,686,LR,l2,1,25
5,1108,555,309,150,1600,643,LR,l2,1,25
6,1167,657,277,104,1599,563,LR,l2,1,25
7,1160,579,224,126,1600,565,LR,l2,1,25
8,1165,546,257,183,1600,666,LR,l2,1,25
9,1152,551,208,138,1600,554,LR,l2,1,25
10,1137,520,287,200,1600,719,LR,l2,1,25
11,1142,483,262,194,1600,614,LR,l2,1,25
12,1150,547,311,200,1600,665,LR,l2,1,25
13,1153,535,286,187,1600,631,LR,l2,1,25
14,1139,508,298,189,1600,584,LR,l2,1,25
15,1167,526,306,201,1600,574,LR,l2,1,25
16,1177,574,383,192,1600,686,LR,l2,1,25
17,1161,521,321,125,1600,658,LR,l2,1,25
18,1200,553,344,183,1600,651,LR,l2,1,25
19,1160,606,353,142,1600,665,LR,l2,1,25
20,1163,519,304,210,1600,621,LR,l2,1,25
1,1074,545,217,216,1600,581,LR,l2,1,26
2,1065,535,209,194,1600,598,LR,l2,1,26
3,1094,514,255,277,1600,596,LR,l2,1,26
4,1115,505,203,181,1600,456,LR,l2,1,26
5,1125,576,235,113,1600,561,LR,l2,1,26
6,1137,569,290,150,1600,671,LR,l2,1,26
7,1147,537,262,170,1600,646,LR,l2,1,26
8,1144,455,216,197,1600,577,LR,l2,1,26
9,1178,552,287,154,1600,658,LR,l2,1,26
10,1167,608,274,101,1600,615,LR,l2,1,26
11,1183,539,215,170,1600,607,LR,l2,1,26
12,1168,560,262,231,1600,635,LR,l2,1,26
13,1197,595,226,133,1600,560,LR,l2,1,26
14,1166,575,240,138,1600,629,LR,l2,1,26
15,1151,511,240,151,1600,679,LR,l2,1,26
16,1147,529,222,235,1600,635,LR,l2,1,26
17,1163,604,245,141,1600,688,LR,l2,1,26
18,1132,509,219,205,1600,628,LR,l2,1,26
19,1136,524,244,280,1600,640,LR,l2,1,26
20,1131,557,287,212,1600,655,LR,l2,1,26
1,1068,497,196,179,1600,496,LR,l2,1,27
2,1060,512,226,150,1600,600,LR,l2,1,27
3,1120,562,235,149,1600,650,LR,l2,1,27
4,1103,482,210,181,1600,630,LR,l2,1,27
5,1109,546,266,158,1600,628,LR,l2,1,27
6,1113,548,290,227,1600,636,LR,l2,1,27
7,1129,546,302,131,1600,687,LR,l2,1,27
8,1150,581,342,157,1600,706,LR,l2,1,27
9,1166,551,319,137,1600,666,LR,l2,1,27
10,1148,577,299,122,1600,618,LR,l2,1,27
11,1156,535,304,150,1600,677,LR,l2,1,27
12,1157,521,301,175,1600,687,LR,l2,1,27
13,1149,553,276,198,1600,635,LR,l2,1,27
14,1185,531,299,200,1600,630,LR,l2,1,27
15,1143,541,315,136,1600,677,LR,l2,1,27
16,1171,552,323,175,1600,681,LR,l2,1,27
17,1177,590,350,169,1600,687,LR,l2,1,27
18,1164,545,328,172,1600,646,LR,l2,1,27
19,1158,546,315,148,1600,622,LR,l2,1,27
20,1149,570,325,163,1600,654,LR,l2,1,27
1,1033,505,145,142,1600,416,LR,l2,1,28
2,1051,492,189,196,1600,533,LR,l2,1,28
3,1086,539,234,153,1600,568,LR,l2,1,28
4,1135,565,271,201,1600,638,LR,l2,1,28
5,1141,535,286,106,1600,663,LR,l2,1,28
6,1090,557,337,143,1600,697,LR,l2,1,28
7,1098,509,322,177,1600,658,LR,l2,1,28
8,1090,543,347,146,1600,601,LR,l2,1,28
9,1069,511,354,195,1600,696,LR,l2,1,28
10,1127,481,327,171,1600,645,LR,l2,1,28
11,1105,485,332,155,1600,630,LR,l2,1,28
12,1088,547,359,146,1600,597,LR,l2,1,28
13,1122,526,326,172,1600,607,LR,l2,1,28
14,1118,510,313,179,1600,574,LR,l2,1,28
15,1165,480,291,221,1600,530,LR,l2,1,28
16,1146,567,340,140,1600,639,LR,l2,1,28
17,1140,585,348,170,1600,647,LR,l2,1,28
18,1193,600,348,156,1600,663,LR,l2,1,28
19,1173,571,287,134,1600,622,LR,l2,1,28
20,1171,538,258,136,1600,661,LR,l2,1,28
1,1014,466,226,193,1600,524,LR,l2,1,29
2,1096,535,273,204,1600,597,LR,l2,1,29
3,1099,527,266,235,1600,585,LR,l2,1,29
4,1100,491,270,232,1600,577,LR,l2,1,29
5,1134,529,350,253,1600,650,LR,l2,1,29
6,1170,559,328,189,1600,543,LR,l2,1,29
7,1214,602,377,106,1600,636,LR,l2,1,29
8,1220,597,388,153,1600,695,LR,l2,1,29
9,1218,550,368,213,1600,636,LR,l2,1,29
10,1219,639,404,155,1600,656,LR,l2,1,29
11,1221,631,406,144,1600,682,LR,l2,1,29
12,1213,592,405,187,1600,702,LR,l2,1,29
13,1195,599,426,184,1600,666,LR,l2,1,29
14,1204,617,393,135,1600,680,LR,l2,1,29
15,1206,543,357,197,1600,679,LR,l2,1,29
16,1204,621,349,170,1600,604,LR,l2,1,29
17,1197,536,349,231,1600,630,LR,l2,1,29
18,1209,555,327,159,1600,591,LR,l2,1,29
19,1204,576,376,280,1600,638,LR,l2,1,29
20,1224,589,371,152,1600,667,LR,l2,1,29
1,1116,551,213,209,1600,549,LR,l2,1,30
2,1178,625,217,177,1600,556,LR,l2,1,30
3,1158,541,216,206,1600,503,LR,l2,1,30
4,1116,509,289,230,1600,651,LR,l2,1,30
5,1154,640,300,114,1600,633,LR,l2,1,30
6,1147,600,306,142,1600,623,LR,l2,1,30
7,1159,565,272,184,1600,606,LR,l2,1,30
8,1149,478,303,226,1600,580,LR,l2,1,30
9,1184,530,347,199,1600,632,LR,l2,1,30
10,1226,569,360,217,1600,588,LR,l2,1,30
11,1242,579,390,277,1600,661,LR,l2,1,30
12,1248,600,399,135,1600,676,LR,l2,1,30
13,1239,601,377,88,1600,655,LR,l2,1,30
14,1270,537,378,232,1600,649,LR,l2,1,30
15,1271,593,407,240,1600,667,LR,l2,1,30
16,1259,687,419,120,1600,669,LR,l2,1,30
17,1263,637,330,119,1600,596,LR,l2,1,30
18,1264,615,298,149,1600,622,LR,l2,1,30
19,1272,579,314,248,1600,686,LR,l2,1,30
20,1242,598,302,129,1600,648,LR,l2,1,30
1,1102,648,204,190,1600,495,LR,l2,1,31
2,1104,546,202,200,1600,625,LR,l2,1,31
3,1109,607,215,208,1600,610,LR,l2,1,31
4,1059,544,234,207,1600,606,LR,l2,1,31
5,1072,535,248,170,1600,645,LR,l2,1,31
6,1054,512,263,229,1600,665,LR,l2,1,31
7,1044,463,293,282,1600,686,LR,l2,1,31
8,1027,436,306,211,1600,561,LR,l2,1,31
9,1075,512,368,236,1600,615,LR,l2,1,31
10,1095,470,336,229,1600,578,LR,l2,1,31
11,1125,577,371,164,1600,625,LR,l2,1,31
12,1151,519,333,179,1600,650,LR,l2,1,31
13,1144,532,386,156,1600,718,LR,l2,1,31
14,1130,536,354,159,1600,635,LR,l2,1,31
15,1130,543,384,161,1600,699,LR,l2,1,31
16,1157,524,345,171,1600,625,LR,l2,1,31
17,1145,503,360,246,1600,653,LR,l2,1,31
18,1156,542,395,135,1600,700,LR,l2,1,31
19,1149,572,368,159,1600,679,LR,l2,1,31
20,1159,510,352,193,1600,640,LR,l2,1,31
1,1002,511,213,207,1600,546,LR,l2,1,32
2,1049,513,225,190,1600,543,LR,l2,1,32
3,1089,565,273,268,1600,663,LR,l2,1,32
4,1145,554,305,216,1600,718,LR,l2,1,32
5,1163,583,326,131,1600,715,LR,l2,1,32
6,1185,584,317,189,1600,688,LR,l2,1,32
7,1141,591,304,162,1600,605,LR,l2,1,32
8,1149,492,290,225,1600,663,LR,l2,1,32
9,1170,489,297,222,1600,648,LR,l2,1,32
10,1160,478,324,230,1600,610,LR,l2,1,32
11,1160,506,318,194,1600,596,LR,l2,1,32
12,1192,608,462,134,1600,812,LR,l2,1,32
13,1155,574,412,117,1600,720,LR,l2,1,32
14,1204,506,359,169,1600,624,LR,l2,1,32
15,1213,589,394,119,1600,684,LR,l2,1,32
16,1174,563,373,146,1600,669,LR,l2,1,32
17,1178,582,351,132,1600,637,LR,l2,1,32
18,1185,616,323,137,1600,608,LR,l2,1,32
19,1178,577,303,136,1600,686,LR,l2,1,32
20,1183,543,302,208,1600,684,LR,l2,1,32
1,1078,525,167,185,1600,577,LR,l2,1,33
2,1100,539,242,242,1600,602,LR,l2,1,33
3,1133,529,263,210,1600,600,LR,l2,1,33
4,1150,552,194,162,1600,514,LR,l2,1,33
5,1126,576,234,192,1600,575,LR,l2,1,33
6,1119,516,203,183,1600,535,LR,l2,1,33
7,1147,560,259,192,1600,589,LR,l2,1,33
8,1109,541,246,152,1600,579,LR,l2,1,33
9,1135,494,233,187,1600,543,LR,l2,1,33
10,1138,516,277,197,1600,641,LR,l2,1,33
11,1102,516,224,157,1600,609,LR,l2,1,33
12,1076,453,213,166,1600,647,LR,l2,1,33
13,1134,542,281,172,1600,645,LR,l2,1,33
14,1079,444,256,248,1600,583,LR,l2,1,33
15,1085,488,290,167,1600,607,LR,l2,1,33
16,1104,581,327,108,1600,655,LR,l2,1,33
17,1112,538,276,157,1600,610,LR,l2,1,33
18,1088,532,252,199,1600,636,LR,l2,1,33
19,1083,508,246,168,1600,643,LR,l2,1,33
20,1119,522,265,178,1600,650,LR,l2,1,33
1,1083,557,220,196,1600,578,LR,l2,1,34
2,1078,548,192,139,1600,528,LR,l2,1,34
3,1087,536,188,125,1600,549,LR,l2,1,34
4,1055,529,196,164,1600,677,LR,l2,1,34
5,1078,505,249,236,1600,692,LR,l2,1,34
6,1091,490,201,148,1600,556,LR,l2,1,34
7,1095,425,208,200,1600,608,LR,l2,1,34
8,1077,485,218,131,1600,605,LR,l2,1,34
9,1095,509,270,182,1600,640,LR,l2,1,34
10,1080,518,280,157,1600,699,LR,l2,1,34
11,1096,519,253,183,1600,623,LR,l2,1,34
12,1086,563,288,153,1600,667,LR,l2,1,34
13,1101,434,253,212,1600,673,LR,l2,1,34
14,1118,529,305,210,1600,642,LR,l2,1,34
15,1098,484,252,150,1600,612,LR,l2,1,34
16,1114,498,257,197,1600,657,LR,l2,1,34
17,1102,476,290,241,1600,703,LR,l2,1,34
18,1124,491,322,245,1600,656,LR,l2,1,34
19,1128,437,329,199,1600,610,LR,l2,1,34
20,1160,562,371,153,1600,605,LR,l2,1,34
1,1033,498,209,196,1600,490,LR,l2,1,35
2,1041,517,193,185,1600,500,LR,l2,1,35
3,1033,492,229,201,1600,580,LR,l2,1,35
4,1076,568,243,149,1600,599,LR,l2,1,35
5,1061,548,227,118,1600,601,LR,l2,1,35
6,1084,550,233,142,1600,631,LR,l2,1,35
7,1070,531,196,103,1600,595,LR,l2,1,35
8,1064,474,227,229,1600,658,LR,l2,1,35
9,1063,466,209,157,1600,555,LR,l2,1,35
10,1059,453,257,194,1600,649,LR,l2,1,35
11,1095,492,229,142,1600,608,LR,l2,1,35
12,1074,536,255,152,1600,624,LR,l2,1,35
13,1069,506,252,161,1600,629,LR,l2,1,35
14,1091,544,249,133,1600,653,LR,l2,1,35
15,1064,506,274,240,1600,649,LR,l2,1,35
16,1080,494,243,141,1600,599,LR,l2,1,35
17,1057,477,264,265,1600,575,LR,l2,1,35
18,1061,524,307,155,1600,643,LR,l2,1,35
19,1047,499,257,170,1600,616,LR,l2,1,35
20,1049,479,281,168,1600,701,LR,l2,1,35
1,993,482,208,185,1600,585,LR,l2,1,36
2,974,500,216,187,1600,586,LR,l2,1,36
3,1007,495,170,169,1600,504,LR,l2,1,36
4,1013,492,222,232,1600,596,LR,l2,1,36
5,1028,509,240,152,1600,633,LR,l2,1,36
6,1079,545,252,126,1600,662,LR,l2,1,36
7,1073,539,251,119,1600,604,LR,l2,1,36
8,1063,505,262,182,1600,650,LR,l2,1,36
9,1045,505,290,166,1600,647,LR,l2,1,36
10,1088,526,270,154,1600,607,LR,l2,1,36
11,1079,446,223,186,1600,549,LR,l2,1,36
12,1074,508,292,159,1600,712,LR,l2,1,36
13,1108,457,259,240,1600,586,LR,l2,1,36
14,1122,528,316,184,1600,654,LR,l2,1,36
15,1079,471,260,195,1600,596,LR,l2,1,36
16,1124,559,340,90,1600,656,LR,l2,1,36
17,1109,523,355,177,1600,665,LR,l2,1,36
18,1127,572,333,83,1600,647,LR,l2,1,36
19,1083,509,311,138,1600,655,LR,l2,1,36
20,1120,498,283,195,1600,530,LR,l2,1,36
1,1106,557,185,187,1600,480,LR,l2,1,37
2,1122,603,215,143,1600,495,LR,l2,1,37
3,1130,500,226,207,1600,605,LR,l2,1,37
4,1115,550,243,226,1600,625,LR,l2,1,37
5,1117,525,254,215,1600,617,LR,l2,1,37
6,1112,530,227,193,1600,556,LR,l2,1,37
7,1072,545,282,184,1600,690,LR,l2,1,37
8,1063,540,289,210,1600,643,LR,l2,1,37
9,1033,553,315,185,1600,624,LR,l2,1,37
10,1049,520,319,186,1600,659,LR,l2,1,37
11,1047,466,293,196,1600,595,LR,l2,1,37
12,1086,517,316,161,1600,576,LR,l2,1,37
13,1079,508,314,135,1600,597,LR,l2,1,37
14,1089,555,360,201,1600,625,LR,l2,1,37
15,1114,471,275,181,1600,586,LR,l2,1,37
16,1093,558,300,83,1600,638,LR,l2,1,37
17,1126,535,299,141,1600,672,LR,l2,1,37
18,1106,539,268,130,1600,630,LR,l2,1,37
19,1072,548,234,143,1600,600,LR,l2,1,37
20,1108,554,203,159,1600,608,LR,l2,1,37
1,924,420,191,210,1600,535,LR,l2,1,38
2,959,473,223,215,1600,576,LR,l2,1,38
3,1046,475,283,190,1600,647,LR,l2,1,38
4,1080,514,296,114,1600,626,LR,l2,1,38
5,1110,525,315,196,1600,675,LR,l2,1,38
6,1122,552,334,174,1600,641,LR,l2,1,38
7,1116,512,333,187,1600,646,LR,l2,1,38
8,1088,530,340,168,1600,617,LR,l2,1,38
9,1124,529,365,156,1600,618,LR,l2,1,38
10,1128,538,381,156,1600,629,LR,l2,1,38
11,1123,514,366,176,1600,656,LR,l2,1,38
12,1132,549,394,135,1600,673,LR,l2,1,38
13,1135,565,357,141,1600,681,LR,l2,1,38
14,1136,463,327,281,1600,591,LR,l2,1,38
15,1150,521,316,129,1600,604,LR,l2,1,38
16,1166,564,380,157,1600,664,LR,l2,1,38
17,1166,504,308,143,1600,602,LR,l2,1,38
18,1160,557,350,163,1600,688,LR,l2,1,38
19,1142,469,266,145,1600,631,LR,l2,1,38
20,1173,529,293,155,1600,653,LR,l2,1,38
1,1077,541,181,204,1600,587,LR,l2,1,39
2,1031,528,200,221,1600,588,LR,l2,1,39
3,1081,485,220,188,1600,615,LR,l2,1,39
4,1052,466,235,178,1600,614,LR,l2,1,39
5,1075,491,296,180,1600,700,LR,l2,1,39
6,1093,519,299,166,1600,689,LR,l2,1,39
7,1068,554,298,103,1600,611,LR,l2,1,39
8,1082,503,293,163,1600,688,LR,l2,1,39
9,1068,455,266,171,1600,617,LR,l2,1,39
10,1063,518,291,153,1600,617,LR,l2,1,39
11,1063,501,297,180,1600,677,LR,l2,1,39
12,1065,544,335,139,1599,685,LR,l2,1,39
13,1078,498,280,107,1600,592,LR,l2,1,39
14,1024,527,291,128,1600,583,LR,l2,1,39
15,1050,566,249,75,1600,602,LR,l2,1,39
16,1026,495,176,122,1600,587,LR,l2,1,39
17,1012,452,184,163,1600,633,LR,l2,1,39
18,1050,466,193,156,1600,623,LR,l2,1,39
19,1034,480,213,183,1600,655,LR,l2,1,39
20,992,449,215,157,1600,707,LR,l2,1,39
1,1035,546,217,203,1600,569,LR,l2,1,40
2,1037,516,180,180,1600,580,LR,l2,1,40
3,1015,529,146,136,1600,495,LR,l2,1,40
4,984,463,147,159,1600,514,LR,l2,1,40
5,1003,463,184,161,1600,595,LR,l2,1,40
6,962,450,231,187,1600,666,LR,l2,1,40
7,964,479,257,139,1600,697,LR,l2,1,40
8,989,411,266,227,1600,608,LR,l2,1,40
9,928,378,247,220,1600,571,LR,l2,1,40
10,989,411,295,146,1600,627,LR,l2,1,40
11,995,463,311,126,1600,608,LR,l2,1,40
12,1026,494,342,102,1600,689,LR,l2,1,40
13,1043,480,354,238,1600,655,LR,l2,1,40
14,1083,515,371,129,1600,683,LR,l2,1,40
15,1100,529,372,64,1600,643,LR,l2,1,40
16,1102,545,352,115,1600,589,LR,l2,1,40
17,1082,549,365,105,1600,640,LR,l2,1,40
18,1091,479,278,166,1600,556,LR,l2,1,40
19,1090,540,320,133,1600,643,LR,l2,1,40
