step,mean,within,between,total,within_flow,between_flow,arm,iv,seed,task
0,-0.13923309799965006,0.10515081564985283,0.2215857141361728,0.32673652978602774,0.0,0.0,LR,l2,1,21
1,-0.15285844016345224,0.10382752056347197,0.21588136802736826,0.3197088885908407,-0.0013232950863808681,-0.005704346108804462,LR,l2,1,21
2,-0.16474487098414986,0.10295744704859933,0.21118350812374642,0.31414095517234314,-0.0008700735148726386,-0.004697859903621813,LR,l2,1,21
3,-0.18566232118939316,0.1029344235507295,0.20849244812585307,0.3114268716765798,-2.3023497869847572e-05,-0.002691059997893379,LR,l2,1,21
4,-0.2072824375431199,0.10387151015835809,0.2082996623724269,0.3121711725307847,0.0009370866076285835,-0.00019278575342622072,LR,l2,1,21
5,-0.22665311883091582,0.10558703746537025,0.20879801337363674,0.3143850508390089,0.0017155273070121868,0.0004983510012098779,LR,l2,1,21
6,-0.2522839153728106,0.10845736502032668,0.20991740609544987,0.31837477111577583,0.0028703275549564304,0.001119392721813055,LR,l2,1,21
7,-0.2740211904550424,0.11298878102431037,0.21446020963060058,0.32744899065490835,0.00453141600398368,0.004542803535150812,LR,l2,1,21
8,-0.2915198093737723,0.11897037265434168,0.22570587057650712,0.34467624323084683,0.005981591630031291,0.011245660945906467,LR,l2,1,21
9,-0.3008134895929816,0.12604602916818974,0.23929399566502824,0.3653400248332179,0.007075656513848074,0.013588125088521053,LR,l2,1,21
10,-0.31391134621718847,0.1342116193767162,0.2539491894317319,0.3881608088084427,0.008165590208526424,0.01465519376670379,LR,l2,1,21
11,-0.3260074442507612,0.14294229164900016,0.2700142190816714,0.41295651073066736,0.008730672272284011,0.016065029649939444,LR,l2,1,21
12,-0.3333175058248403,0.15233816119553695,0.2893541715728193,0.4416923327683478,0.00939586954653676,0.019339952491147974,LR,l2,1,21
13,-0.3386038276534725,0.1630494184641427,0.3097120274155955,0.4727614458797351,0.01071125726860577,0.02035785584277604,LR,l2,1,21
14,-0.3424668243929243,0.17432128365644037,0.3320545588611355,0.506375842517577,0.011271865192297654,0.022342531445540176,LR,l2,1,21
15,-0.34706475815466314,0.18580592356943157,0.3536144796793023,0.5394204032487323,0.011484639912991208,0.021559920818166888,LR,l2,1,21
16,-0.3515216943147505,0.19746074422282742,0.37337090603212103,0.5708316502549418,0.011654820653395822,0.01975642635281876,LR,l2,1,21
17,-0.35317800365285806,0.20917490794297222,0.39249070947263925,0.6016656174156081,0.011714163720144865,0.019119803440518078,LR,l2,1,21
