step,n_negative,n_neg_local_up,n_neg_local_up_actual_down,n_neg_local_up_current_down,n_valid,n_opposed,arm,iv,seed,task
1,1401,887,149,143,1600,443,LR,none,1,21
2,1395,819,167,178,1600,582,LR,none,1,21
3,1402,742,165,198,1600,638,LR,none,1,21
4,1359,827,174,180,1600,556,LR,none,1,21
5,1394,716,189,243,1600,642,LR,none,1,21
6,1380,755,211,277,1600,590,LR,none,1,21
7,1376,723,233,252,1600,638,LR,none,1,21
8,1407,707,238,203,1600,651,LR,none,1,21
9,1369,762,236,153,1600,593,LR,none,1,21
10,1411,676,246,321,1600,661,LR,none,1,21
11,1398,724,241,241,1600,627,LR,none,1,21
12,1366,724,267,291,1600,609,LR,none,1,21
13,1371,611,271,340,1600,614,LR,none,1,21
14,1385,641,311,255,1600,638,LR,none,1,21
15,1372,648,301,279,1600,581,LR,none,1,21
16,1354,721,368,327,1600,612,LR,none,1,21
17,1391,738,380,243,1600,610,LR,none,1,21
18,1335,765,353,270,1600,544,LR,none,1,21
19,1377,704,379,347,1600,577,LR,none,1,21
20,1365,656,427,372,1600,652,LR,none,1,21
1,1408,794,176,189,1600,492,LR,none,1,22
2,1436,774,176,217,1600,570,LR,none,1,22
3,1431,750,181,216,1600,633,LR,none,1,22
4,1427,807,179,173,1600,586,LR,none,1,22
5,1379,785,167,133,1600,634,LR,none,1,22
6,1381,746,178,273,1600,603,LR,none,1,22
7,1386,708,197,227,1600,686,LR,none,1,22
8,1382,700,196,226,1600,671,LR,none,1,22
9,1352,774,226,183,1600,649,LR,none,1,22
10,1373,680,209,190,1600,727,LR,none,1,22
11,1295,666,210,281,1600,712,LR,none,1,22
12,1327,633,195,228,1600,716,LR,none,1,22
13,1342,595,223,247,1600,726,LR,none,1,22
14,1355,665,266,392,1600,660,LR,none,1,22
15,1317,642,281,257,1600,628,LR,none,1,22
16,1283,655,283,327,1600,658,LR,none,1,22
17,1303,606,301,287,1600,644,LR,none,1,22
18,1325,590,361,355,1600,663,LR,none,1,22
19,1344,688,432,224,1600,727,LR,none,1,22
20,1309,678,406,251,1600,722,LR,none,1,22
1,1427,820,178,194,1600,537,LR,none,1,23
2,1408,830,183,178,1600,553,LR,none,1,23
3,1409,703,177,222,1600,614,LR,none,1,23
4,1404,797,187,169,1600,533,LR,none,1,23
5,1403,769,177,158,1600,580,LR,none,1,23
6,1440,721,199,224,1600,643,LR,none,1,23
7,1400,802,228,140,1600,633,LR,none,1,23
8,1421,683,228,237,1600,788,LR,none,1,23
9,1382,665,209,245,1600,723,LR,none,1,23
10,1378,686,236,376,1600,649,LR,none,1,23
11,1392,672,276,234,1600,729,LR,none,1,23
12,1391,717,284,230,1600,673,LR,none,1,23
13,1373,703,264,237,1600,659,LR,none,1,23
14,1419,700,295,273,1600,669,LR,none,1,23
15,1362,729,300,271,1600,630,LR,none,1,23
16,1395,612,291,337,1600,628,LR,none,1,23
17,1382,744,331,184,1600,653,LR,none,1,23
18,1398,705,293,213,1600,618,LR,none,1,23
19,1410,626,334,350,1600,654,LR,none,1,23
20,1408,656,362,298,1600,634,LR,none,1,23
1,1412,763,202,194,1600,482,LR,none,1,24
2,1415,808,261,215,1600,588,LR,none,1,24
3,1396,749,237,157,1600,628,LR,none,1,24
4,1377,710,247,292,1600,624,LR,none,1,24
5,1411,803,305,163,1600,674,LR,none,1,24
6,1431,822,245,194,1600,544,LR,none,1,24
7,1371,708,246,274,1600,632,LR,none,1,24
8,1423,699,287,248,1600,731,LR,none,1,24
9,1432,742,285,188,1600,693,LR,none,1,24
10,1429,758,267,182,1600,636,LR,none,1,24
11,1365,728,248,156,1600,622,LR,none,1,24
12,1398,641,237,265,1600,658,LR,none,1,24
13,1422,655,258,187,1600,611,LR,none,1,24
