step,n_negative,n_neg_local_up,n_neg_local_up_actual_down,n_neg_local_up_current_down,n_valid,n_opposed,arm,iv,seed,task
1,1149,609,204,207,1600,563,SNA,none,2,101
2,1161,603,237,206,1598,654,SNA,none,2,101
3,1157,612,246,244,1598,692,SNA,none,2,101
4,1188,651,213,179,1599,591,SNA,none,2,101
5,1202,664,223,184,1599,645,SNA,none,2,101
6,1191,590,226,259,1600,687,SNA,none,2,101
7,1119,572,243,219,1599,702,SNA,none,2,101
8,1167,579,216,232,1599,670,SNA,none,2,101
9,1130,543,198,269,1598,652,SNA,none,2,101
10,1191,601,254,247,1599,652,SNA,none,2,101
11,1171,575,224,215,1600,656,SNA,none,2,101
12,1172,575,266,301,1598,685,SNA,none,2,101
13,1145,568,233,196,1600,653,SNA,none,2,101
14,1198,603,289,268,1600,707,SNA,none,2,101
15,1179,563,303,283,1595,701,SNA,none,2,101
16,1153,542,264,243,1598,654,SNA,none,2,101
17,1187,557,298,259,1598,716,SNA,none,2,101
18,1193,563,293,271,1598,600,SNA,none,2,101
19,1194,636,366,247,1596,676,SNA,none,2,101
20,1220,633,356,254,1600,648,SNA,none,2,101
1,1131,600,225,218,1600,593,SNA,none,2,102
2,1169,598,197,169,1600,625,SNA,none,2,102
3,1142,587,234,288,1600,613,SNA,none,2,102
4,1139,659,258,176,1600,641,SNA,none,2,102
5,1134,594,237,224,1598,697,SNA,none,2,102
6,1162,558,200,217,1599,627,SNA,none,2,102
7,1109,532,215,262,1599,614,SNA,none,2,102
8,1160,586,228,210,1600,645,SNA,none,2,102
9,1162,583,274,247,1600,662,SNA,none,2,102
10,1194,602,260,197,1598,713,SNA,none,2,102
11,1174,606,226,220,1599,683,SNA,none,2,102
12,1156,588,215,196,1598,663,SNA,none,2,102
13,1183,601,226,234,1599,630,SNA,none,2,102
14,1172,545,209,194,1599,695,SNA,none,2,102
15,1154,579,245,288,1600,710,SNA,none,2,102
16,1159,573,236,202,1600,634,SNA,none,2,102
17,1132,579,233,210,1598,612,SNA,none,2,102
18,1203,567,254,272,1600,717,SNA,none,2,102
19,1136,603,238,173,1600,675,SNA,none,2,102
20,1209,590,280,228,1599,722,SNA,none,2,102
1,1132,556,233,231,1600,561,SNA,none,2,103
2,1177,638,277,249,1598,631,SNA,none,2,103
3,1149,646,295,235,1600,655,SNA,none,2,103
4,1178,660,240,191,1600,641,SNA,none,2,103
5,1146,585,216,193,1598,650,SNA,none,2,103
6,1189,612,229,224,1598,673,SNA,none,2,103
7,1158,608,212,212,1600,630,SNA,none,2,103
8,1215,622,222,246,1598,639,SNA,none,2,103
9,1174,584,244,259,1599,655,SNA,none,2,103
10,1156,528,293,268,1600,693,SNA,none,2,103
11,1183,588,339,283,1599,676,SNA,none,2,103
12,1181,570,332,177,1600,672,SNA,none,2,103
13,1165,574,321,236,1598,665,SNA,none,2,103
14,1196,596,338,259,1600,647,SNA,none,2,103
15,1232,620,341,240,1599,622,SNA,none,2,103
16,1155,571,334,305,1599,621,SNA,none,2,103
17,1221,627,362,226,1600,664,SNA,none,2,103
18,1194,626,315,207,1599,635,SNA,none,2,103
19,1206,591,333,192,1597,716,SNA,none,2,103
20,1193,590,341,280,1600,696,SNA,none,2,103
1,1234,632,246,251,1600,650,SNA,none,2,104
2,1227,640,209,218,1600,554,SNA,none,2,104
3,1202,638,272,270,1600,670,SNA,none,2,104
4,1237,657,248,234,1600,581,SNA,none,2,104
5,1209,620,265,225,1599,664,SNA,none,2,104
6,1230,609,272,241,1600,669,SNA,none,2,104
7,1204,625,298,304,1599,698,SNA,none,2,104
8,1209,636,271,222,1599,624,SNA,none,2,104
9,1219,646,305,244,1600,679,SNA,none,2,104
10,1291,647,298,246,1599,674,SNA,none,2,104
11,1263,639,300,245,1598,699,SNA,none,2,104
12,1273,667,297,191,1598,716,SNA,none,2,104
13,1252,648,278,173,1599,671,SNA,none,2,104
14,1241,613,271,316,1596,696,SNA,none,2,104
15,1283,627,270,231,1599,628,SNA,none,2,104
16,1228,622,291,198,1600,685,SNA,none,2,104
17,1238,607,285,276,1598,684,SNA,none,2,104
18,1252,574,281,274,1600,655,SNA,none,2,104
19,1237,592,302,243,1587,696,SNA,none,2,104
20,1269,625,343,236,1600,644,SNA,none,2,104
1,1180,628,262,277,1600,572,SNA,none,2,105
2,1123,614,181,168,1599,508,SNA,none,2,105
3,1167,631,200,196,1599,571,SNA,none,2,105
4,1160,602,199,238,1600,548,SNA,none,2,105
5,1123,609,234,191,1600,655,SNA,none,2,105
6,1192,627,238,182,1600,675,SNA,none,2,105
7,1180,558,285,249,1600,816,SNA,none,2,105
8,1178,604,296,205,1599,747,SNA,none,2,105
9,1176,596,269,177,1599,641,SNA,none,2,105
10,1181,589,253,211,1600,643,SNA,none,2,105
11,1210,579,255,200,1600,685,SNA,none,2,105
12,1171,578,252,212,1599,691,SNA,none,2,105
13,1164,548,273,271,1597,701,SNA,none,2,105
14,1172,590,265,206,1597,648,SNA,none,2,105
15,1206,576,293,256,1598,743,SNA,none,2,105
16,1179,570,294,280,1597,732,SNA,none,2,105
17,1221,583,290,312,1598,709,SNA,none,2,105
18,1182,529,286,283,1598,712,SNA,none,2,105
19,1210,595,294,212,1600,717,SNA,none,2,105
20,1228,604,272,256,1598,666,SNA,none,2,105
1,1130,630,210,204,1600,562,SNA,none,2,106
2,1142,638,173,185,1600,491,SNA,none,2,106
3,1121,601,177,187,1600,583,SNA,none,2,106
4,1148,623,207,161,1599,638,SNA,none,2,106
5,1110,572,213,201,1599,696,SNA,none,2,106
6,1122,591,223,271,1600,693,SNA,none,2,106
7,1154,577,216,233,1599,663,SNA,none,2,106
8,1180,613,259,302,1599,688,SNA,none,2,106
9,1188,595,260,238,1599,690,SNA,none,2,106
10,1168,552,257,242,1600,711,SNA,none,2,106
11,1151,562,244,248,1600,645,SNA,none,2,106
12,1173,575,300,278,1599,709,SNA,none,2,106
13,1193,606,288,236,1600,650,SNA,none,2,106
14,1167,596,303,228,1600,701,SNA,none,2,106
15,1184,564,311,295,1600,696,SNA,none,2,106
16,1187,568,317,259,1597,686,SNA,none,2,106
17,1179,566,338,271,1599,694,SNA,none,2,106
18,1225,572,344,196,1599,684,SNA,none,2,106
19,1244,589,378,269,1598,751,SNA,none,2,106
20,1178,604,391,201,1600,739,SNA,none,2,106
1,1154,624,197,191,1600,490,SNA,none,2,107
2,1168,635,220,193,1600,584,SNA,none,2,107
3,1179,646,248,203,1600,666,SNA,none,2,107
4,1189,646,223,226,1599,594,SNA,none,2,107
5,1136,617,265,254,1599,698,SNA,none,2,107
6,1183,586,243,210,1599,646,SNA,none,2,107
7,1176,603,277,209,1598,618,SNA,none,2,107
8,1191,586,292,216,1600,665,SNA,none,2,107
9,1171,621,252,176,1599,605,SNA,none,2,107
10,1160,623,271,180,1599,685,SNA,none,2,107
11,1151,570,253,235,1599,658,SNA,none,2,107
12,1164,606,216,174,1599,586,SNA,none,2,107
13,1198,601,217,158,1600,611,SNA,none,2,107
14,1180,590,249,194,1598,639,SNA,none,2,107
15,1168,572,273,292,1597,677,SNA,none,2,107
16,1174,577,270,207,1600,737,SNA,none,2,107
17,1190,589,272,230,1598,693,SNA,none,2,107
18,1158,566,267,271,1598,674,SNA,none,2,107
19,1174,589,302,297,1599,716,SNA,none,2,107
20,1185,579,288,255,1599,676,SNA,none,2,107
1,1082,559,235,233,1599,519,SNA,none,2,108
2,1124,551,259,235,1600,586,SNA,none,2,108
3,1114,515,225,221,1599,593,SNA,none,2,108
4,1131,561,245,245,1600,598,SNA,none,2,108
5,1153,585,319,312,1599,704,SNA,none,2,108
6,1183,593,327,202,1600,673,SNA,none,2,108
7,1144,591,359,173,1599,728,SNA,none,2,108
8,1173,602,311,149,1599,652,SNA,none,2,108
9,1251,640,326,237,1600,658,SNA,none,2,108
10,1197,594,306,194,1600,657,SNA,none,2,108
