exp,width,period,enc,c,kappa,lr,batch,seed,method,method_cfg,run_id,route,noise_sd,K_cell,rho
B,20,10000,std,0.0,1,0.01,1,0,none,{'name': 'none'},B_w20_K10000_c0.0_lr0.01_s0,N,1.0,10000,0.0
B,20,10000,std,0.0,1,0.01,1,0,cbp1e-5,"{'name': 'cbp', 'rho': 1e-05, 'maturity': 100, 'decay': 0.99}",B_w20_K10000_c0.0_lr0.01_cbp1e-5_s0,N,1.0,10000,1e-05
B,20,10000,std,0.0,1,0.01,1,0,cbp1e-4,"{'name': 'cbp', 'rho': 0.0001, 'maturity': 100, 'decay': 0.99}",B_w20_K10000_c0.0_lr0.01_cbp1e-4_s0,N,1.0,10000,0.0001
B,20,10000,std,0.0,1,0.01,1,1,none,{'name': 'none'},B_w20_K10000_c0.0_lr0.01_s1,N,1.0,10000,0.0
B,20,10000,std,0.0,1,0.01,1,1,cbp1e-5,"{'name': 'cbp', 'rho': 1e-05, 'maturity': 100, 'decay': 0.99}",B_w20_K10000_c0.0_lr0.01_cbp1e-5_s1,N,1.0,10000,1e-05
B,20,10000,std,0.0,1,0.01,1,1,cbp1e-4,"{'name': 'cbp', 'rho': 0.0001, 'maturity': 100, 'decay': 0.99}",B_w20_K10000_c0.0_lr0.01_cbp1e-4_s1,N,1.0,10000,0.0001
B,20,10000,std,0.0,1,0.01,1,2,none,{'name': 'none'},B_w20_K10000_c0.0_lr0.01_s2,N,1.0,10000,0.0
B,20,10000,std,0.0,1,0.01,1,2,cbp1e-5,"{'name': 'cbp', 'rho': 1e-05, 'maturity': 100, 'decay': 0.99}",B_w20_K10000_c0.0_lr0.01_cbp1e-5_s2,N,1.0,10000,1e-05
B,20,10000,std,0.0,1,0.01,1,2,cbp1e-4,"{'name': 'cbp', 'rho': 0.0001, 'maturity': 100, 'decay': 0.99}",B_w20_K10000_c0.0_lr0.01_cbp1e-4_s2,N,1.0,10000,0.0001
B,20,10000,std,0.0,1,0.01,1,3,none,{'name': 'none'},B_w20_K10000_c0.0_lr0.01_s3,N,1.0,10000,0.0
B,20,10000,std,0.0,1,0.01,1,3,cbp1e-5,"{'name': 'cbp', 'rho': 1e-05, 'maturity': 100, 'decay': 0.99}",B_w20_K10000_c0.0_lr0.01_cbp1e-5_s3,N,1.0,10000,1e-05
B,20,10000,std,0.0,1,0.01,1,3,cbp1e-4,"{'name': 'cbp', 'rho': 0.0001, 'maturity': 100, 'decay': 0.99}",B_w20_K10000_c0.0_lr0.01_cbp1e-4_s3,N,1.0,10000,0.0001
B,20,10000,std,0.0,1,0.01,1,4,none,{'name': 'none'},B_w20_K10000_c0.0_lr0.01_s4,N,1.0,10000,0.0
B,20,10000,std,0.0,1,0.01,1,4,cbp1e-5,"{'name': 'cbp', 'rho': 1e-05, 'maturity': 100, 'decay': 0.99}",B_w20_K10000_c0.0_lr0.01_cbp1e-5_s4,N,1.0,10000,1e-05
B,20,10000,std,0.0,1,0.01,1,4,cbp1e-4,"{'name': 'cbp', 'rho': 0.0001, 'maturity': 100, 'decay': 0.99}",B_w20_K10000_c0.0_lr0.01_cbp1e-4_s4,N,1.0,10000,0.0001
