step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss,cos_e1W_e1Sig,cos_e1W_e1M2,cos_e1W_e1Sig_pca,cos_e1W_mu,cos_e1W_e1Sig_signed,top1_frac_alive,w_norm_mean,e1_stability
0,B_w20_K10000_c0.0_lr0.003_s0,0,0,0,17.4291,12.9493,0.175026,0.502005,0,1.30456,72.6228,0.0179634,15.8604,0.160165,6.24356,6.24356,0,1.75835,nan,nan,nan,nan,nan,0.160165,1.42435,nan
0,B_w20_K10000_c0.0_lr0.003_s1,0,0,0,17.5853,13.4348,0.165956,0.49599,0,1.10086,61.8203,0.0178074,16.2619,0.164284,6.08702,6.08702,0,1.57037,nan,nan,nan,nan,nan,0.164284,1.47408,nan
0,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.1729,12.3856,0.182472,0.500752,0,0.902166,54.1482,0.0166611,15.9634,0.17297,5.78134,5.78134,0,1.47019,nan,nan,nan,nan,nan,0.17297,1.4355,nan
0,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,17.3608,12.2915,0.18365,0.49198,0,1.41731,78.8898,0.0179657,15.8899,0.192786,5.18711,5.18711,0,1.7143,nan,nan,nan,nan,nan,0.192786,1.38228,nan
0,B_w20_K10000_c0.0_k16_lr0.003_s0,0,0,0,16.3416,6.72737,0.171746,0.518546,0,14.1679,350.886,0.0403774,16.4541,0.159907,6.25362,6.25362,0,3.70496,0.259574,0.259574,0.173931,nan,0.259574,0.159907,1.43532,nan
0,B_w20_K10000_c0.0_k16_lr0.003_s1,0,0,0,16.7278,8.16445,0.174636,0.500501,0,5.1785,122.567,0.0422505,15.6786,0.164771,6.06902,6.06902,0,1.92718,0.219578,0.219578,0.202312,nan,0.219578,0.164771,1.409,nan
0,B_w20_K10000_c0.0_k16_lr0.01_s0,0,0,0,16.5518,6.53759,0.161415,0.508271,0,27.5257,322.324,0.0853977,16.4722,0.161061,6.20882,6.20882,0,4.42852,0.117737,0.117737,0.115754,nan,0.117737,0.161061,1.3794,nan
0,B_w20_K10000_c0.0_k16_lr0.01_s1,0,0,0,15.5953,5.17817,0.166491,0.509524,0,4.21865,169.168,0.0249377,15.9394,0.145041,6.89459,6.89459,0,1.66026,0.121705,0.121705,0.101367,nan,-0.121705,0.145041,1.42106,nan
1000,B_w20_K10000_c0.0_lr0.003_s0,0,0,0,17.3868,12.87,0.173505,0.5,0,0.0387752,8.07244,0.00480341,15.8883,0.158272,6.31825,6.31825,0,0.301009,nan,nan,nan,nan,nan,0.158272,1.41495,0.991003
1000,B_w20_K10000_c0.0_lr0.003_s1,0,0,0,17.6016,13.4655,0.163171,0.49599,0,0.063294,11.1785,0.00566215,16.2528,0.163146,6.1295,6.1295,0,0.387864,nan,nan,nan,nan,nan,0.163146,1.46553,0.996866
