step,run_id,loss
1000,B_w20_K10000_c0.0_lr0.003_s0,0.453501
1000,B_w20_K10000_c0.0_lr0.003_s1,0.536219
1000,B_w20_K10000_c0.0_lr0.01_s0,0.461722
1000,B_w20_K10000_c0.0_lr0.01_s1,0.384961
1000,B_w20_K10000_c0.0_k16_lr0.003_s0,0.641406
1000,B_w20_K10000_c0.0_k16_lr0.003_s1,0.420585
1000,B_w20_K10000_c0.0_k16_lr0.01_s0,0.470601
1000,B_w20_K10000_c0.0_k16_lr0.01_s1,0.793273
2000,B_w20_K10000_c0.0_lr0.003_s0,0.261835
2000,B_w20_K10000_c0.0_lr0.003_s1,0.30911
2000,B_w20_K10000_c0.0_lr0.01_s0,0.212361
2000,B_w20_K10000_c0.0_lr0.01_s1,0.193746
2000,B_w20_K10000_c0.0_k16_lr0.003_s0,0.360574
2000,B_w20_K10000_c0.0_k16_lr0.003_s1,0.27623
2000,B_w20_K10000_c0.0_k16_lr0.01_s0,0.201629
2000,B_w20_K10000_c0.0_k16_lr0.01_s1,0.295593
3000,B_w20_K10000_c0.0_lr0.003_s0,0.224984
3000,B_w20_K10000_c0.0_lr0.003_s1,0.277551
3000,B_w20_K10000_c0.0_lr0.01_s0,0.165059
3000,B_w20_K10000_c0.0_lr0.01_s1,0.15178
3000,B_w20_K10000_c0.0_k16_lr0.003_s0,0.275138
3000,B_w20_K10000_c0.0_k16_lr0.003_s1,0.217864
3000,B_w20_K10000_c0.0_k16_lr0.01_s0,0.181686
3000,B_w20_K10000_c0.0_k16_lr0.01_s1,0.220704
4000,B_w20_K10000_c0.0_lr0.003_s0,0.233414
4000,B_w20_K10000_c0.0_lr0.003_s1,0.212561
4000,B_w20_K10000_c0.0_lr0.01_s0,0.163982
4000,B_w20_K10000_c0.0_lr0.01_s1,0.142872
4000,B_w20_K10000_c0.0_k16_lr0.003_s0,0.230766
4000,B_w20_K10000_c0.0_k16_lr0.003_s1,0.181093
4000,B_w20_K10000_c0.0_k16_lr0.01_s0,0.151624
4000,B_w20_K10000_c0.0_k16_lr0.01_s1,0.24255
5000,B_w20_K10000_c0.0_lr0.003_s0,0.201247
5000,B_w20_K10000_c0.0_lr0.003_s1,0.219087
5000,B_w20_K10000_c0.0_lr0.01_s0,0.149296
5000,B_w20_K10000_c0.0_lr0.01_s1,0.141749
5000,B_w20_K10000_c0.0_k16_lr0.003_s0,0.218275
5000,B_w20_K10000_c0.0_k16_lr0.003_s1,0.151269
5000,B_w20_K10000_c0.0_k16_lr0.01_s0,0.11784
5000,B_w20_K10000_c0.0_k16_lr0.01_s1,0.180861
6000,B_w20_K10000_c0.0_lr0.003_s0,0.195008
6000,B_w20_K10000_c0.0_lr0.003_s1,0.195484
6000,B_w20_K10000_c0.0_lr0.01_s0,0.132305
6000,B_w20_K10000_c0.0_lr0.01_s1,0.121879
6000,B_w20_K10000_c0.0_k16_lr0.003_s0,0.186789
6000,B_w20_K10000_c0.0_k16_lr0.003_s1,0.143671
6000,B_w20_K10000_c0.0_k16_lr0.01_s0,0.116696
6000,B_w20_K10000_c0.0_k16_lr0.01_s1,0.179924
7000,B_w20_K10000_c0.0_lr0.003_s0,0.162106
7000,B_w20_K10000_c0.0_lr0.003_s1,0.183056
7000,B_w20_K10000_c0.0_lr0.01_s0,0.116591
7000,B_w20_K10000_c0.0_lr0.01_s1,0.112336
7000,B_w20_K10000_c0.0_k16_lr0.003_s0,0.186015
7000,B_w20_K10000_c0.0_k16_lr0.003_s1,0.135115
7000,B_w20_K10000_c0.0_k16_lr0.01_s0,0.101488
7000,B_w20_K10000_c0.0_k16_lr0.01_s1,0.157518
8000,B_w20_K10000_c0.0_lr0.003_s0,0.155111
8000,B_w20_K10000_c0.0_lr0.003_s1,0.169661
8000,B_w20_K10000_c0.0_lr0.01_s0,0.105854
8000,B_w20_K10000_c0.0_lr0.01_s1,0.105768
8000,B_w20_K10000_c0.0_k16_lr0.003_s0,0.172442
8000,B_w20_K10000_c0.0_k16_lr0.003_s1,0.124698
8000,B_w20_K10000_c0.0_k16_lr0.01_s0,0.0940346
8000,B_w20_K10000_c0.0_k16_lr0.01_s1,0.135478
9000,B_w20_K10000_c0.0_lr0.003_s0,0.17246
9000,B_w20_K10000_c0.0_lr0.003_s1,0.163854
9000,B_w20_K10000_c0.0_lr0.01_s0,0.0924173
9000,B_w20_K10000_c0.0_lr0.01_s1,0.0964882
9000,B_w20_K10000_c0.0_k16_lr0.003_s0,0.179528
9000,B_w20_K10000_c0.0_k16_lr0.003_s1,0.113586
9000,B_w20_K10000_c0.0_k16_lr0.01_s0,0.090713
9000,B_w20_K10000_c0.0_k16_lr0.01_s1,0.121099
10000,B_w20_K10000_c0.0_lr0.003_s0,0.149457
10000,B_w20_K10000_c0.0_lr0.003_s1,0.148502
10000,B_w20_K10000_c0.0_lr0.01_s0,0.0989224
10000,B_w20_K10000_c0.0_lr0.01_s1,0.0860192
10000,B_w20_K10000_c0.0_k16_lr0.003_s0,0.169045
10000,B_w20_K10000_c0.0_k16_lr0.003_s1,0.11919
10000,B_w20_K10000_c0.0_k16_lr0.01_s0,0.0914134
10000,B_w20_K10000_c0.0_k16_lr0.01_s1,0.127014
11000,B_w20_K10000_c0.0_lr0.003_s0,0.433121
11000,B_w20_K10000_c0.0_lr0.003_s1,0.659465
11000,B_w20_K10000_c0.0_lr0.01_s0,0.414701
11000,B_w20_K10000_c0.0_lr0.01_s1,0.441844
11000,B_w20_K10000_c0.0_k16_lr0.003_s0,0.431116
11000,B_w20_K10000_c0.0_k16_lr0.003_s1,0.755371
11000,B_w20_K10000_c0.0_k16_lr0.01_s0,0.424414
11000,B_w20_K10000_c0.0_k16_lr0.01_s1,0.349585
12000,B_w20_K10000_c0.0_lr0.003_s0,0.298869
12000,B_w20_K10000_c0.0_lr0.003_s1,0.300572
12000,B_w20_K10000_c0.0_lr0.01_s0,0.193627
12000,B_w20_K10000_c0.0_lr0.01_s1,0.209553
12000,B_w20_K10000_c0.0_k16_lr0.003_s0,0.257911
12000,B_w20_K10000_c0.0_k16_lr0.003_s1,0.360646
12000,B_w20_K10000_c0.0_k16_lr0.01_s0,0.22675
12000,B_w20_K10000_c0.0_k16_lr0.01_s1,0.17785
13000,B_w20_K10000_c0.0_lr0.003_s0,0.2561
13000,B_w20_K10000_c0.0_lr0.003_s1,0.238926
13000,B_w20_K10000_c0.0_lr0.01_s0,0.180637
13000,B_w20_K10000_c0.0_lr0.01_s1,0.196231
13000,B_w20_K10000_c0.0_k16_lr0.003_s0,0.211218
13000,B_w20_K10000_c0.0_k16_lr0.003_s1,0.259744
13000,B_w20_K10000_c0.0_k16_lr0.01_s0,0.15698
13000,B_w20_K10000_c0.0_k16_lr0.01_s1,0.140854
14000,B_w20_K10000_c0.0_lr0.003_s0,0.215815
