step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss,cos_e1W_e1Sig,cos_e1W_e1M2,cos_e1W_e1Sig_pca,cos_e1W_mu,cos_e1W_e1Sig_signed,top1_frac_alive,w_norm_mean,e1_stability
0,B_w5_K10000_c0.0_lr0.003_s0,0,0,0,4.78134,4.64318,0.145198,0.447619,0,3.04951,154.225,0.0197731,4.89262,0.294081,3.40042,3.40042,0,2.40362,nan,nan,nan,nan,nan,0.294081,1.28823,nan
0,B_w5_K10000_c0.0_lr0.003_s1,0,0,0,4.71433,4.08547,0.214882,0.466667,0,0.790057,45.4611,0.0173787,4.77728,0.409443,2.44235,2.44235,0,1.01772,nan,nan,nan,nan,nan,0.409443,1.41198,nan
0,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.81032,4.32302,0.22194,0.47619,0,1.03741,53.0734,0.0195466,4.75321,0.397315,2.51689,2.51689,0,1.38063,nan,nan,nan,nan,nan,0.397315,1.44951,nan
0,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.75828,4.58784,0.184264,0.485714,0,2.77462,158.92,0.0174593,4.87876,0.318008,3.14458,3.14458,0,2.45545,nan,nan,nan,nan,nan,0.318008,1.43589,nan
0,B_w5_K10000_c0.0_k16_lr0.003_s0,0,0,0,4.55347,3.48645,0.188289,0.561905,0,34.1027,503.69,0.0677057,4.7976,0.323628,3.08997,3.08997,0,2.93976,0.157645,0.157645,0.0643373,nan,0.157645,0.323628,1.32736,nan
0,B_w5_K10000_c0.0_k16_lr0.003_s1,0,0,0,4.60252,3.55722,0.242791,0.504762,0,1.06081,47.3857,0.0223867,4.80209,0.412837,2.42226,2.42226,0,1.86974,0.0122534,0.0122534,0.0280174,nan,0.0122534,0.412837,1.41793,nan
0,B_w5_K10000_c0.0_k16_lr0.01_s0,0,0,0,4.69462,3.97227,0.29777,0.466667,0,2.73425,56.2368,0.0486202,4.67154,0.425345,2.35103,2.35103,0,1.33263,0.111082,0.111082,0.112889,nan,0.111082,0.425345,1.36777,nan
0,B_w5_K10000_c0.0_k16_lr0.01_s1,0,0,0,4.74744,4.30386,0.196463,0.485714,0,29.0719,785.481,0.0370116,4.87848,0.366942,2.72523,2.72523,0,5.4921,0.0660988,0.0660988,0.0620527,nan,-0.0660988,0.366942,1.46926,nan
1000,B_w5_K10000_c0.0_lr0.003_s0,0,0,0,4.76846,4.45236,0.162227,0.466667,0,0.141754,10.1532,0.0139615,4.87253,0.319005,3.13475,3.13475,0,0.378228,nan,nan,nan,nan,nan,0.319005,1.24176,0.857898
1000,B_w5_K10000_c0.0_lr0.003_s1,0,0,0,4.70733,3.92492,0.2407,0.457143,0,0.0745023,6.53,0.0114092,4.73626,0.448391,2.2302,2.2302,0,0.32245,nan,nan,nan,nan,nan,0.448391,1.37327,0.928185
1000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.71713,4.3937,0.135054,0.466667,0,0.0115449,2.16941,0.00532167,4.89263,0.307797,3.2489,3.2489,0,0.0750583,nan,nan,nan,nan,nan,0.307797,1.44076,0.265845
1000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.68689,4.3224,0.180861,0.495238,0,0.0208336,3.17109,0.00656984,4.84818,0.317792,3.14671,3.14671,0,0.268784,nan,nan,nan,nan,nan,0.317792,1.33599,0.922793
1000,B_w5_K10000_c0.0_k16_lr0.003_s0,0,0,0,4.49047,3.63898,0.194228,0.580952,0,0.110266,8.7757,0.012565,4.75788,0.364185,2.74586,2.74586,0,0.344804,0.114424,0.114424,0.0781109,nan,0.114424,0.364185,1.24957,0.905558
1000,B_w5_K10000_c0.0_k16_lr0.003_s1,0,0,0,4.56394,3.3692,0.225851,0.52381,0,0.0405261,4.63955,0.00873492,4.82265,0.40294,2.48176,2.48176,0,0.640844,0.00529916,0.00529916,0.0127993,nan,0.00529916,0.40294,1.38884,0.997467
1000,B_w5_K10000_c0.0_k16_lr0.01_s0,0,0,0,4.53165,3.3558,0.225972,0.514286,0,0.0394071,4.67738,0.00842503,4.76988,0.350494,2.85312,2.85312,0,0.205039,0.024213,0.024213,0.045102,nan,0.024213,0.350494,1.35638,0.873222
1000,B_w5_K10000_c0.0_k16_lr0.01_s1,0,0,0,4.463,2.78542,0.210312,0.447619,0,0.0297652,1.3132,0.0226661,4.86572,0.372592,2.6839,2.6839,0,0.15051,0.410053,0.410053,0.42005,nan,0.410053,0.372592,1.34157,0.815046
2000,B_w5_K10000_c0.0_lr0.003_s0,0,0,0,4.74455,4.30187,0.16586,0.466667,0,0.0310552,5.63693,0.00550924,4.88366,0.342276,2.92162,2.92162,0,0.192664,nan,nan,nan,nan,nan,0.342276,1.25271,0.922213
2000,B_w5_K10000_c0.0_lr0.003_s1,0,0,0,4.70865,3.77087,0.270166,0.438095,0,0.0287659,3.82263,0.00752515,4.6699,0.487175,2.05265,2.05265,0,0.177163,nan,nan,nan,nan,nan,0.487175,1.37768,0.975015
2000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.70581,4.31284,0.140823,0.47619,0,0.00850366,1.36784,0.00621683,4.88682,0.300568,3.32703,3.32703,0,0.0411562,nan,nan,nan,nan,nan,0.300568,1.45021,0.509182
2000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.70351,4.08031,0.249173,0.47619,0,0.0110965,1.63373,0.00679209,4.77471,0.389905,2.56473,2.56473,0,0.0804492,nan,nan,nan,nan,nan,0.389905,1.33239,0.56343
2000,B_w5_K10000_c0.0_k16_lr0.003_s0,0,0,0,4.43488,3.45498,0.175443,0.580952,0,0.0647606,7.73034,0.00837745,4.80321,0.353038,2.83256,2.83256,0,0.204631,0.140282,0.140282,0.0645886,nan,-0.140282,0.353038,1.26609,0.979469
2000,B_w5_K10000_c0.0_k16_lr0.003_s1,0,0,0,4.64196,3.83679,0.194453,0.495238,0,0.176124,10.4372,0.0168747,4.84834,0.374073,2.67328,2.67328,0,0.448682,0.0373967,0.0373967,0.0385224,nan,0.0373967,0.374073,1.39674,0.985889
2000,B_w5_K10000_c0.0_k16_lr0.01_s0,0,0,0,4.47601,3.17814,0.224382,0.52381,0,0.0461848,2.71144,0.0170333,4.70087,0.373367,2.67833,2.67833,0,0.144844,0.154596,0.154596,0.121637,nan,0.154596,0.373367,1.3391,0.748262
2000,B_w5_K10000_c0.0_k16_lr0.01_s1,0,0,0,4.43682,2.70262,0.200726,0.457143,0,0.00860716,0.639407,0.0134612,4.86253,0.355429,2.8135,2.8135,0,0.0722139,0.432734,0.432734,0.444568,nan,0.432734,0.355429,1.32109,0.977956
3000,B_w5_K10000_c0.0_lr0.003_s0,0,0,0,4.7194,4.26914,0.168137,0.47619,0,0.0196966,4.3286,0.00455034,4.88969,0.353114,2.83194,2.83194,0,0.134394,nan,nan,nan,nan,nan,0.353114,1.25558,0.98965
3000,B_w5_K10000_c0.0_lr0.003_s1,0,0,0,4.68299,3.62966,0.293359,0.438095,0,0.0160224,2.77444,0.005775,4.62281,0.506586,1.974,1.974,0,0.117843,nan,nan,nan,nan,nan,0.506586,1.37817,0.990106
3000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.70382,4.31032,0.138932,0.485714,0,0.00377504,0.943313,0.00400189,4.88811,0.302562,3.30511,3.30511,0,0.0307282,nan,nan,nan,nan,nan,0.302562,1.4486,0.992882
3000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.69114,3.98863,0.260538,0.466667,0,0.00691888,0.987737,0.00700478,4.74169,0.419407,2.38432,2.38432,0,0.0469458,nan,nan,nan,nan,nan,0.419407,1.3318,0.993765
3000,B_w5_K10000_c0.0_k16_lr0.003_s0,0,0,0,4.43301,3.38612,0.198871,0.571429,0,0.0149834,6.19738,0.00241769,4.79823,0.353608,2.82799,2.82799,0,0.149846,0.131796,0.131796,0.0534584,nan,-0.131796,0.353608,1.27599,0.991993
3000,B_w5_K10000_c0.0_k16_lr0.003_s1,0,0,0,4.66764,4.08972,0.190862,0.52381,0,0.0239574,7.7635,0.00308589,4.85054,0.364235,2.74548,2.74548,0,0.28813,0.05639,0.05639,0.0563424,nan,0.05639,0.364235,1.4043,0.937697
3000,B_w5_K10000_c0.0_k16_lr0.01_s0,0,0,0,4.45169,3.14182,0.238743,0.552381,0,0.124963,3.23544,0.0386232,4.66073,0.401171,2.49271,2.49271,0,0.0896984,0.147974,0.147974,0.12272,nan,0.147974,0.40117,1.34989,0.968501
3000,B_w5_K10000_c0.0_k16_lr0.01_s1,0,0,0,4.47333,2.82011,0.199176,0.457143,0,0.00565582,0.565196,0.0100068,4.85551,0.338566,2.95364,2.95364,0,0.0480933,0.431168,0.431168,0.446183,nan,0.431168,0.338566,1.31178,0.993771
4000,B_w5_K10000_c0.0_lr0.003_s0,0,0,0,4.69264,4.21696,0.194055,0.476191,0,0.0157807,3.22302,0.00489623,4.87767,0.36475,2.7416,2.7416,0,0.0910665,nan,nan,nan,nan,nan,0.36475,1.25856,0.990724
4000,B_w5_K10000_c0.0_lr0.003_s1,0,0,0,4.67848,3.61124,0.297916,0.447619,0,0.0107808,2.02771,0.00531675,4.61291,0.506467,1.97446,1.97446,0,0.0806224,nan,nan,nan,nan,nan,0.506467,1.37851,0.996518
4000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.68564,4.23157,0.150728,0.485714,0,0.00205473,0.892211,0.00230296,4.87112,0.312167,3.20341,3.20341,0,0.028719,nan,nan,nan,nan,nan,0.312167,1.45183,0.990927
4000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.67415,3.93036,0.271806,0.457143,0,0.00256273,0.67403,0.00380211,4.73481,0.430938,2.32052,2.32052,0,0.0353204,nan,nan,nan,nan,nan,0.430938,1.32826,0.992215
4000,B_w5_K10000_c0.0_k16_lr0.003_s0,0,0,0,4.43806,3.39279,0.208813,0.561905,0,0.0145632,4.6872,0.00310702,4.79338,0.352738,2.83496,2.83496,0,0.128728,0.107656,0.107656,0.0428657,nan,-0.107656,0.352738,1.27204,0.994418
4000,B_w5_K10000_c0.0_k16_lr0.003_s1,0,0,0,4.66541,4.03496,0.20879,0.533333,0,0.0450809,7.97138,0.00565534,4.84244,0.379652,2.63399,2.63399,0,0.266215,0.0732843,0.0732843,0.0741776,nan,0.0732843,0.379652,1.40454,0.986232
4000,B_w5_K10000_c0.0_k16_lr0.01_s0,0,0,0,4.37543,2.84555,0.243373,0.52381,0,0.13438,2.9572,0.0454414,4.62317,0.402426,2.48493,2.48493,0,0.092008,0.198053,0.198053,0.176994,nan,0.198053,0.402426,1.34888,0.992289
4000,B_w5_K10000_c0.0_k16_lr0.01_s1,0,0,0,4.47708,2.84879,0.199946,0.476191,0,0.00337865,0.479619,0.00704444,4.84552,0.329666,3.03337,3.03337,0,0.0402248,0.434442,0.434442,0.461419,nan,0.434442,0.329666,1.30701,0.991436
5000,B_w5_K10000_c0.0_lr0.003_s0,0,0,0,4.65698,4.1013,0.212054,0.504762,0,0.0108106,2.37425,0.00455325,4.84425,0.375472,2.66331,2.66331,0,0.0626614,nan,nan,nan,nan,nan,0.375472,1.26424,0.99478
5000,B_w5_K10000_c0.0_lr0.003_s1,0,0,0,4.66107,3.5966,0.301953,0.457143,0,0.00686807,1.44671,0.00474737,4.62491,0.502257,1.99101,1.99101,0,0.0579529,nan,nan,nan,nan,nan,0.502257,1.37778,0.997855
5000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.67612,4.19953,0.150855,0.485714,0,0.00350943,0.960789,0.00365265,4.86357,0.308638,3.24004,3.24004,0,0.0290837,nan,nan,nan,nan,nan,0.308638,1.45542,0.982656
5000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.64548,3.86781,0.284494,0.495238,0,0.00253969,0.660568,0.00384471,4.72068,0.439261,2.27655,2.27655,0,0.0308197,nan,nan,nan,nan,nan,0.439261,1.33298,0.996735
5000,B_w5_K10000_c0.0_k16_lr0.003_s0,0,0,0,4.47431,3.53018,0.216671,0.561905,0,0.0229529,4.65839,0.00492722,4.77985,0.361357,2.76735,2.76735,0,0.106271,0.0149881,0.0149881,0.0587274,nan,-0.0149881,0.361357,1.27186,0.960924
5000,B_w5_K10000_c0.0_k16_lr0.003_s1,0,0,0,4.6593,4.02501,0.229215,0.542857,0,0.151794,8.00072,0.0189726,4.82843,0.395905,2.52586,2.52586,0,0.254882,0.0626703,0.0626703,0.0694202,nan,0.0626703,0.395905,1.40037,0.996672
5000,B_w5_K10000_c0.0_k16_lr0.01_s0,0,0,0,4.30631,2.643,0.246608,0.52381,0,0.103078,2.59935,0.0396555,4.57855,0.411541,2.42989,2.42989,0,0.0586247,0.227898,0.227898,0.204194,nan,0.227898,0.411541,1.35968,0.996862
5000,B_w5_K10000_c0.0_k16_lr0.01_s1,0,0,0,4.45347,2.81096,0.200583,0.495238,0,0.00452827,0.476218,0.00950882,4.83537,0.317708,3.14754,3.14754,0,0.0348506,0.429846,0.429846,0.487936,nan,0.429846,0.317708,1.30185,0.985363
6000,B_w5_K10000_c0.0_lr0.003_s0,0,0,0,4.63004,4.02887,0.21056,0.533333,0,0.00617822,1.69032,0.00365506,4.81641,0.372595,2.68388,2.68388,0,0.0446641,nan,nan,nan,nan,nan,0.372595,1.27035,0.990844
6000,B_w5_K10000_c0.0_lr0.003_s1,0,0,0,4.65409,3.61604,0.293571,0.466667,0,0.00473232,1.17199,0.00403784,4.63944,0.490582,2.0384,2.0384,0,0.0432425,nan,nan,nan,nan,nan,0.490582,1.38145,0.998776
6000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.66784,4.15942,0.159074,0.485714,0,0.00417206,0.939068,0.00444277,4.85738,0.317963,3.14502,3.14502,0,0.0301174,nan,nan,nan,nan,nan,0.317963,1.45566,0.942971
6000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.61816,3.82312,0.289258,0.514286,0,0.00372864,0.612019,0.00609235,4.7175,0.435572,2.29583,2.29583,0,0.0322565,nan,nan,nan,nan,nan,0.435572,1.32693,0.997288
6000,B_w5_K10000_c0.0_k16_lr0.003_s0,0,0,0,4.47773,3.53893,0.227667,0.561905,0,0.0231285,4.27007,0.00541642,4.75749,0.366846,2.72594,2.72594,0,0.0937199,0.0140078,0.0140078,0.0370858,nan,0.0140078,0.366846,1.27139,0.973377
6000,B_w5_K10000_c0.0_k16_lr0.003_s1,0,0,0,4.62463,3.71783,0.241308,0.542857,0,0.0184221,8.09012,0.00227711,4.82147,0.403786,2.47656,2.47656,0,0.244394,0.0999913,0.0999913,0.10237,nan,0.0999913,0.403786,1.40343,0.998008
6000,B_w5_K10000_c0.0_k16_lr0.01_s0,0,0,0,4.33879,2.8819,0.230862,0.533333,0,0.0672395,2.12472,0.0316463,4.58962,0.405605,2.46545,2.46545,0,0.0494596,0.204805,0.204805,0.180663,nan,0.204805,0.405605,1.36205,0.996445
6000,B_w5_K10000_c0.0_k16_lr0.01_s1,0,0,0,4.39879,2.68266,0.206208,0.504762,0,0.0187351,0.616005,0.0304138,4.82952,0.316588,3.15868,3.15868,0,0.0363471,0.414706,0.414706,0.52711,nan,-0.414706,0.316588,1.29793,0.386612
7000,B_w5_K10000_c0.0_lr0.003_s0,0,0,0,4.59561,3.91655,0.218842,0.552381,0,0.00318096,1.22808,0.0025902,4.77825,0.379905,2.63224,2.63224,0,0.0344449,nan,nan,nan,nan,nan,0.379905,1.27029,0.995105
7000,B_w5_K10000_c0.0_lr0.003_s1,0,0,0,4.6508,3.66434,0.282483,0.466667,0,0.00382208,0.999143,0.00382535,4.6519,0.476263,2.09968,2.09968,0,0.0339973,nan,nan,nan,nan,nan,0.476263,1.38503,0.999371
7000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.66188,4.15062,0.160796,0.495238,0,0.00443486,0.951475,0.00466103,4.85229,0.309812,3.22776,3.22776,0,0.0304658,nan,nan,nan,nan,nan,0.309812,1.45434,0.992835
7000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.59135,3.70297,0.300973,0.504762,0,0.00306254,0.588371,0.00520512,4.68523,0.449523,2.22458,2.22458,0,0.0281516,nan,nan,nan,nan,nan,0.449523,1.33043,0.99757
7000,B_w5_K10000_c0.0_k16_lr0.003_s0,0,0,0,4.44149,3.43272,0.232706,0.542857,0,0.00543352,2.90038,0.00187338,4.73894,0.371301,2.69323,2.69323,0,0.0839774,0.00704449,0.00704449,0.0200208,nan,0.00704449,0.371301,1.26807,0.997847
7000,B_w5_K10000_c0.0_k16_lr0.003_s1,0,0,0,4.61526,3.67714,0.230927,0.52381,0,0.00993354,6.986,0.00142192,4.8262,0.392006,2.55098,2.55098,0,0.234808,0.0697092,0.0697092,0.0753575,nan,0.0697092,0.392006,1.39868,0.998183
7000,B_w5_K10000_c0.0_k16_lr0.01_s0,0,0,0,4.31381,2.76368,0.222499,0.52381,0,0.00388391,1.09401,0.00355015,4.57847,0.406235,2.46163,2.46163,0,0.0362331,0.219469,0.219469,0.184792,nan,0.219469,0.406235,1.36295,0.995427
7000,B_w5_K10000_c0.0_k16_lr0.01_s1,0,0,0,4.36687,2.59275,0.214594,0.504762,0,0.00139229,0.373377,0.00372892,4.82202,0.325223,3.07481,3.07481,0,0.0306286,0.378973,0.378973,0.545784,nan,-0.378973,0.325223,1.28797,0.988859
8000,B_w5_K10000_c0.0_lr0.003_s0,0,0,0,4.56979,3.85351,0.217852,0.561905,0,0.00277671,1.07002,0.00259499,4.74675,0.379755,2.63328,2.63328,0,0.0297633,nan,nan,nan,nan,nan,0.379755,1.27206,0.996554
