exp,width,period,enc,c,kappa,lr,batch,seed,method,method_cfg,run_id
A,5,10000,std,,1,0.01,1,0,none,{'name': 'none'},A_w5_T10000_std_lr0.01_s0
A,5,10000,std,,1,0.01,1,1,none,{'name': 'none'},A_w5_T10000_std_lr0.01_s1
A,5,10000,std,,1,0.01,1,2,none,{'name': 'none'},A_w5_T10000_std_lr0.01_s2
A,5,10000,std,,1,0.01,1,3,none,{'name': 'none'},A_w5_T10000_std_lr0.01_s3
A,5,10000,std,,1,0.01,1,4,none,{'name': 'none'},A_w5_T10000_std_lr0.01_s4
A,5,10000,centered,,1,0.01,1,0,none,{'name': 'none'},A_w5_T10000_centered_lr0.01_s0
A,5,10000,centered,,1,0.01,1,1,none,{'name': 'none'},A_w5_T10000_centered_lr0.01_s1
A,5,10000,centered,,1,0.01,1,2,none,{'name': 'none'},A_w5_T10000_centered_lr0.01_s2
A,5,10000,centered,,1,0.01,1,3,none,{'name': 'none'},A_w5_T10000_centered_lr0.01_s3
A,5,10000,centered,,1,0.01,1,4,none,{'name': 'none'},A_w5_T10000_centered_lr0.01_s4
A,100,10000,std,,1,0.01,1,0,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s0
A,100,10000,std,,1,0.01,1,1,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s1
A,100,10000,std,,1,0.01,1,2,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s2
A,100,10000,std,,1,0.01,1,3,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s3
A,100,10000,std,,1,0.01,1,4,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s4
A,100,10000,centered,,1,0.01,1,0,none,{'name': 'none'},A_w100_T10000_centered_lr0.01_s0
A,100,10000,centered,,1,0.01,1,1,none,{'name': 'none'},A_w100_T10000_centered_lr0.01_s1
A,100,10000,centered,,1,0.01,1,2,none,{'name': 'none'},A_w100_T10000_centered_lr0.01_s2
A,100,10000,centered,,1,0.01,1,3,none,{'name': 'none'},A_w100_T10000_centered_lr0.01_s3
A,100,10000,centered,,1,0.01,1,4,none,{'name': 'none'},A_w100_T10000_centered_lr0.01_s4
B,5,10000,std,0.0,1,0.01,1,0,none,{'name': 'none'},B_w5_K10000_c0.0_lr0.01_s0
B,5,10000,std,0.0,1,0.01,1,1,none,{'name': 'none'},B_w5_K10000_c0.0_lr0.01_s1
B,5,10000,std,0.0,1,0.01,1,2,none,{'name': 'none'},B_w5_K10000_c0.0_lr0.01_s2
B,5,10000,std,0.0,1,0.01,1,3,none,{'name': 'none'},B_w5_K10000_c0.0_lr0.01_s3
B,5,10000,std,0.0,1,0.01,1,4,none,{'name': 'none'},B_w5_K10000_c0.0_lr0.01_s4
B,5,10000,std,0.0,4,0.01,1,0,none,{'name': 'none'},B_w5_K10000_c0.0_k4_lr0.01_s0
B,5,10000,std,0.0,4,0.01,1,1,none,{'name': 'none'},B_w5_K10000_c0.0_k4_lr0.01_s1
B,5,10000,std,0.0,4,0.01,1,2,none,{'name': 'none'},B_w5_K10000_c0.0_k4_lr0.01_s2
B,5,10000,std,0.0,4,0.01,1,3,none,{'name': 'none'},B_w5_K10000_c0.0_k4_lr0.01_s3
B,5,10000,std,0.0,4,0.01,1,4,none,{'name': 'none'},B_w5_K10000_c0.0_k4_lr0.01_s4
B,5,10000,std,0.0,16,0.01,1,0,none,{'name': 'none'},B_w5_K10000_c0.0_k16_lr0.01_s0
B,5,10000,std,0.0,16,0.01,1,1,none,{'name': 'none'},B_w5_K10000_c0.0_k16_lr0.01_s1
B,5,10000,std,0.0,16,0.01,1,2,none,{'name': 'none'},B_w5_K10000_c0.0_k16_lr0.01_s2
B,5,10000,std,0.0,16,0.01,1,3,none,{'name': 'none'},B_w5_K10000_c0.0_k16_lr0.01_s3
B,5,10000,std,0.0,16,0.01,1,4,none,{'name': 'none'},B_w5_K10000_c0.0_k16_lr0.01_s4
B,5,10000,std,2.0,1,0.01,1,0,none,{'name': 'none'},B_w5_K10000_c2.0_lr0.01_s0
B,5,10000,std,2.0,1,0.01,1,1,none,{'name': 'none'},B_w5_K10000_c2.0_lr0.01_s1
B,5,10000,std,2.0,1,0.01,1,2,none,{'name': 'none'},B_w5_K10000_c2.0_lr0.01_s2
B,5,10000,std,2.0,1,0.01,1,3,none,{'name': 'none'},B_w5_K10000_c2.0_lr0.01_s3
B,5,10000,std,2.0,1,0.01,1,4,none,{'name': 'none'},B_w5_K10000_c2.0_lr0.01_s4
B,5,10000,std,2.0,4,0.01,1,0,none,{'name': 'none'},B_w5_K10000_c2.0_k4_lr0.01_s0
B,5,10000,std,2.0,4,0.01,1,1,none,{'name': 'none'},B_w5_K10000_c2.0_k4_lr0.01_s1
B,5,10000,std,2.0,4,0.01,1,2,none,{'name': 'none'},B_w5_K10000_c2.0_k4_lr0.01_s2
B,5,10000,std,2.0,4,0.01,1,3,none,{'name': 'none'},B_w5_K10000_c2.0_k4_lr0.01_s3
B,5,10000,std,2.0,4,0.01,1,4,none,{'name': 'none'},B_w5_K10000_c2.0_k4_lr0.01_s4
B,5,10000,std,2.0,16,0.01,1,0,none,{'name': 'none'},B_w5_K10000_c2.0_k16_lr0.01_s0
B,5,10000,std,2.0,16,0.01,1,1,none,{'name': 'none'},B_w5_K10000_c2.0_k16_lr0.01_s1
B,5,10000,std,2.0,16,0.01,1,2,none,{'name': 'none'},B_w5_K10000_c2.0_k16_lr0.01_s2
B,5,10000,std,2.0,16,0.01,1,3,none,{'name': 'none'},B_w5_K10000_c2.0_k16_lr0.01_s3
B,5,10000,std,2.0,16,0.01,1,4,none,{'name': 'none'},B_w5_K10000_c2.0_k16_lr0.01_s4
