arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,m_l1,m_l2
CH,raw,0,0,0.0001,1,1,5,0.5893028846,0.7360000014,0.7100000381,0.7360000014,0,0,0.1488814652,4.189208508,-0.9344261289,0.491599977,22.40941997,0,0,0.002005786169,4.116497517,-0.4694665968,0.4831999838,22.17674006,1.06415987,0.687335372,0.670892477,1.982961655,2.264196634
CH,raw,0,0,0.0001,2,0,1,0.7040865385,0.7180000544,0.7299999595,0.7180000544,0,0,-0.2226651609,0.9143648148,-0.9952095151,0.3120000064,9.796790109,0,0,-0.3406839669,0.3177253604,-1.211328626,0.09600000083,5.053384265,0.8033479452,0.6508731246,0.8475247025,2.107482672,1.441040158
CH,raw,0,0,0.0001,3,1,5,0.5514823718,0.6071999669,0.5500000119,0.6071999669,0,0,-0.03662821651,9.197068214,-1.866792321,0.4684000015,15.12213484,0,0,0.9430400133,20.72319984,-3.110538483,0.5935999751,12.63580418,1.492683053,0.8353790641,0.8498592973,3.936757088,7.453503132
CH,raw,0,0,0.0001,4,0,1,0.673838141,0.6000000238,0.5099999905,0.6000000238,0,0,-0.6666494608,0.7704030275,-12.85754395,0.1319999993,6.678678295,0,0,-0.4783020914,4.545735836,-2.649326801,0.4220000207,7.824783373,0.925909102,0.9318732619,0.9733994603,1.787671566,3.776534319
CH,raw,0,0,0.0001,5,1,5,0.552724359,0.6859999895,0.6380000114,0.6859999895,0,0,-0.191692993,3.027454853,-4.020244598,0.4384000003,14.59611573,0,0,-0.1162842289,17.39987946,-1.004245639,0.5776000023,15.35420282,1.046178341,0.977786839,0.9654158354,2.853687763,6.576906681
CH,raw,0,0,0.0001,6,0,1,0.8453125,0.9200000167,0.8599999547,0.9200000167,0,0,-0.5451203585,2.845477819,-5.362760067,0.3200000226,9.802293019,0,0,-0.4197928607,17.93412209,-2.415078878,0.5860000253,8.847413776,1.176882982,1.074338317,1.024667144,2.764357805,7.664727211
CH,raw,0,0,0.0001,7,1,5,0.5353766026,0.62439996,0.6020000577,0.62439996,0,0,-0.2011923939,3.511155605,-4.687819481,0.4403999746,11.9992522,0,0,0.5686320662,25.8870697,-1.874017,0.6031999588,12.58480691,1.127080917,1.123191833,1.031066537,3.707338095,11.58964539
CH,raw,0,0,0.0001,8,0,1,0.8192307692,0.8480000496,0.8100000024,0.8480000496,0,0,-1.019955039,6.885869503,-14.372962,0.3920000196,15.86151947,0,0,-1.271342158,20.05107307,-7.458109856,0.5240000486,11.27474358,1.791854024,1.162019253,1.087163448,5.538644791,9.198156357
CH,raw,0,0,0.0001,9,1,5,0.3984775641,0.4583999813,0.4080000222,0.4583999813,0,0,-0.1131784916,9.229021072,-3.212234259,0.4883999825,16.54992122,0,0,0.2491730899,30.90568161,-2.930135965,0.6287999749,14.20793203,1.829528809,1.210818291,1.090715408,4.535368443,13.02704525
CH,raw,0,0,0.0001,10,0,1,0.9455128205,0.9940000176,0.8999999762,0.9940000176,0,0,-0.1304335594,10.25689793,-3.447165728,0.4860000312,16.04387964,0,0,-0.3468093574,29.8944912,-2.360726118,0.6000000238,13.05445497,1.960338116,1.207807899,1.135008454,4.973962307,12.7541151
CH,raw,0,0,0.0001,11,1,5,0.5200320513,0.6043999791,0.5720000267,0.6043999791,0,0,-0.03547572345,10.16745663,-1.897634506,0.4875999987,16.110903,0,0,0.08025532216,35.91360092,-1.142969489,0.6071999669,12.5714467,1.896829963,1.280288815,1.152821779,5.037185669,15.57713985
CH,raw,0,0,0.0001,12,0,1,0.962099359,0.9700000286,0.9599999785,0.9700000286,0,0,-1.038495898,7.285079956,-13.89609718,0.3200000226,13.84783234,0,0,0.1839801669,25.20088577,-3.79792881,0.5879999995,12.33263522,1.722405076,1.330501437,1.209650159,3.306498051,9.979516983
CH,raw,0,0,0.0001,13,1,5,0.5418269231,0.6467999816,0.6020000577,0.6467999816,0,0,-0.1354412287,10.40807724,-7.15265131,0.480799973,14.96723193,0,0,0.04921501502,43.75501633,-3.918769121,0.6335999966,11.05775872,1.803056955,1.315621972,1.230021,6.100407124,20.16132355
CH,raw,0,0,0.0001,14,0,1,0.9381009615,0.8920000196,0.8199999928,0.8920000196,0,0,-2.573148489,7.569502354,-37.35372162,0.1380000114,17.78819838,0,0,-3.053950787,17.5342865,-15.80263424,0.4320000112,15.86083725,1.933357596,1.381070614,1.297777772,5.147783279,7.119484901
CH,raw,0,0,0.0001,15,1,5,0.4744391026,0.5327999592,0.4860000312,0.5327999592,0,0,-0.23736386,14.14314461,-2.820826054,0.4391999841,14.28628904,0,0,0.8712898493,34.13540649,-7.006499767,0.6247999668,13.51743196,2.071176291,1.42799902,1.310818911,5.795207977,16.08193779
CH,raw,0,0,0.0001,16,0,1,0.9389423077,0.9760000706,0.7799999714,0.9760000706,0,0,-0.5704518557,6.614526272,-3.924412012,0.4620000124,14.24367667,0,0,0.1350657791,33.07072449,-3.612619162,0.5860000253,11.39085227,1.594987035,1.442105174,1.32369709,4.460454464,15.01073933
CH,raw,0,0,0.0001,17,1,5,0.5072916667,0.565599978,0.5240000486,0.565599978,0,0,-0.004741555545,10.00220776,-1.651393533,0.4955999851,20.92725278,0,0,0.1882134527,22.99869537,-6.558531761,0.6067999601,20.21834485,2.100695133,1.485436082,1.349672079,4.591611385,10.68760967
CH,raw,0,0,0.0001,18,0,1,0.8350961538,0.6220000386,0.5600000024,0.6220000386,0,0,-1.843894839,5.803818226,-39.30688095,0.1180000082,13.21074717,0,0,0.419282198,22.35814857,-12.58993816,0.5580000281,11.51836393,1.790224671,1.529987812,1.3656106,4.321243286,11.66191292
CH,raw,0,0,0.0001,19,1,5,0.361338141,0.443599999,0.4200000167,0.443599999,0,0,-0.1968933493,8.851045609,-1.168816209,0.4483999908,17.27778985,0,0,0.1429311633,30.11992645,-7.286232471,0.611199975,14.5099982,1.913375258,1.583845139,1.397980094,4.598304749,12.32115173
CH,raw,0,0,0.0001,20,0,1,0.8866185897,0.932000041,0.9199999571,0.932000041,0,0,-1.350476503,7.83464241,-7.00241518,0.3980000317,15.77073348,0,0,0.04075573757,36.89935303,-2.334315062,0.584000051,10.52499138,1.915609717,1.612446904,1.406750917,4.061729908,15.5780201
CH,raw,0,0,0.0001,21,1,5,0.3582532051,0.4632000029,0.4420000315,0.4632000029,0,0,-0.2249185443,7.48535347,-2.575945616,0.4679999948,13.47508464,0,0,0.3754585981,41.26483917,-1.829848528,0.6039999723,11.01941076,1.721822143,1.659186482,1.456929207,4.625366211,17.74632072
CH,raw,0,0,0.0001,22,0,1,0.9478365385,0.986000061,0.9899999499,0.986000061,0,0,-0.4250658751,13.40679264,-4.797980785,0.4860000312,7.892981297,0,0,-0.72592628,58.99409485,-5.741022587,0.5760000348,8.661426998,1.704901695,1.668370366,1.477811694,7.199576378,26.87892532
CH,raw,0,0,0.0001,23,1,5,0.5393429487,0.6015999913,0.6160000563,0.6015999913,0,0,-0.08262676001,10.80617809,-12.85052681,0.4759999812,16.25283285,0,0,-0.377800554,28.78672028,-6.459597588,0.5595999956,15.83175155,2.062823296,1.673298478,1.53019166,5.899848461,12.96922493
CH,raw,0,0,0.0001,24,0,1,0.9335336538,0.9900000691,0.9399999976,0.9900000691,0,0,-0.9160351753,4.840182304,-7.358192921,0.3920000196,11.55795789,0,0,0.3080739975,42.58411407,-4.418011665,0.5640000105,9.358176018,1.448998332,1.711859584,1.529135466,5.267132282,19.4575367
CH,raw,0,0,0.0001,25,1,5,0.420713141,0.523999989,0.4880000353,0.523999989,0,0,-0.4819126427,9.204037666,-17.52298737,0.4387999773,15.43787833,0,0,0.8761021495,49.59455109,-6.296946049,0.6067999601,11.68860399,1.951414824,1.761279464,1.556322455,4.619785786,20.26835251
CH,raw,0,0,0.0001,26,0,1,0.9516025641,0.9920000434,0.8999999762,0.9920000434,0,0,-0.4217248857,11.81088161,-3.790838718,0.4460000098,12.38854677,0,0,-0.1789527684,41.40740967,-7.948233604,0.5860000253,10.33421923,2.225811243,1.779197931,1.607543468,5.195600986,19.05595589
CH,raw,0,0,0.0001,27,1,5,0.4955128205,0.5587999821,0.476000011,0.5587999821,0,0,-0.2249575555,8.863284111,-2.306077003,0.478399992,15.23068993,0,0,1.317422032,41.42730331,-5.778704643,0.6100000143,12.39440321,1.928744078,1.84619081,1.615721941,4.888574123,20.61414337
CH,raw,0,0,0.0001,28,0,1,0.8841746795,0.9060000181,0.8799999952,0.9060000181,0,0,-1.004177332,8.4840765,-9.339055061,0.4240000248,20.96007861,0,0,0.8819764853,26.85154724,-3.257088423,0.6080000401,15.38415823,2.232097626,1.843969345,1.639337897,4.008080482,13.3880806
CH,raw,0,0,0.0001,29,1,5,0.4272836538,0.4883999825,0.4520000219,0.4883999825,0,0,-0.4310833812,8.15718174,-3.539271355,0.4271999896,13.59837222,0,0,2.059723377,77.15949249,-5.713375568,0.6240000129,9.278008291,1.831198812,1.952005148,1.678704023,5.521511078,32.15941238
CH,raw,0,0,0.0001,30,0,1,0.9259214744,0.9660000205,0.8399999738,0.9660000205,0,0,-0.1007409096,13.07686806,-7.895461082,0.4580000341,13.97272953,0,0,0.04829333723,76.96088409,-9.251188278,0.5980000496,10.34186987,2.268514395,2.013295889,1.695643783,7.15060091,33.35164642
CH,raw,1,1,0.0001,1,1,5,0.5216346154,0.663599968,0.6040000319,0.663599968,0,0,0.09463947266,4.110522747,-1.509744525,0.5055999756,19.94168537,0,0,0.09829383343,5.124174118,-0.959856689,0.4663999975,20.2698826,0.9830544591,0.6993432641,0.7423838973,2.146305561,2.700291634
CH,raw,1,1,0.0001,2,0,1,0.8747195513,0.9720000625,0.9599999785,0.9720000625,0,0,-0.8505802155,3.21510601,-3.612455368,0.3740000129,10.75610349,0,0,-0.5229589939,0.6681420207,-2.286377907,0.1120000035,6.445186735,0.9700498581,0.7099189758,0.8638401031,2.804233074,2.374655008
