arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
C,raw,0,0,0.0001,1,1,5,0.6581330128,0.7787999511,0.7400000095,0.7787999511,0,0,0.1032852903,2.657862663,-0.9360394478,0.4979999959,29.99328147,0.009999999776,0.009999999776,1.867363095,1.68423295,-1.710292578,0.9083999991,17.12837944,0.8949688673,0.624622941,0.6571221352
C,raw,0,0,0.0001,2,0,1,0.9150641026,1,1,1,0,0,-0.3521071672,1.595844865,-1.723819613,0.40200001,31.65172859,0.02999999933,0.02999999933,0.01682373136,0.9277240038,-1.918478489,0.4980000257,13.22644021,0.8678555489,0.6149559617,0.7550378442
C,raw,0,0,0.0001,3,1,5,0.5577724359,0.7235999703,0.6620000601,0.7235999703,0,0,-0.07673703879,1.809527874,-0.8423907161,0.4751999974,37.01762632,0,0,0.8627224565,1.280771732,-1.962302685,0.7719999552,20.34184493,0.9127797484,0.6377061009,0.9616653919
C,raw,0,0,0.0001,4,0,1,0.8937099359,1,1,1,0,0,-0.2462628633,1.349832058,-2.539334059,0.3880000114,26.46308162,0.009999999776,0.009999999776,0.2759616077,1.119876266,-3.019251108,0.5820000172,9.896789188,0.9029241204,0.633512795,1.103782535
C,raw,0,0,0.0001,5,1,5,0.6097355769,0.7815999985,0.7320000529,0.7815999985,0,0,-0.1408651024,2.00135541,-2.15523982,0.4451999962,36.42508989,0,0,0.2662132382,1.36305964,-1.957700729,0.5839999914,20.63209001,0.9437981844,0.6466764212,1.321812987
C,raw,0,0,0.0001,6,0,1,0.8656650641,1,1,1,0,0,-0.5682951212,1.59491241,-2.852843285,0.2960000038,25.02160455,0.02999999933,0.02999999933,-0.6975699663,1.082458138,-2.998162746,0.1420000046,10.01335587,0.9586405754,0.6539034843,1.486440063
C,raw,0,0,0.0001,7,1,5,0.5293269231,0.743999958,0.6920000315,0.743999958,0,0,-0.1223771945,2.523737669,-1.379268646,0.489199996,33.80033307,0,0,-0.5974523425,1.628535867,-3.165633917,0.2820000052,16.25455403,1.016613007,0.6638716459,1.703691244
C,raw,0,0,0.0001,8,0,1,0.8760016026,1,1,1,0,0,-1.027119994,1.433529019,-4.719129086,0.202000007,22.00691205,0.1599999964,0.1599999964,-1.46922636,1.074240446,-4.311126232,0.02400000021,6.567860514,0.9772588015,0.6714816093,1.820682168
C,raw,0,0,0.0001,9,1,5,0.3725160256,0.5703999996,0.5360000134,0.5703999996,0,0,-0.002910556039,2.679807663,-1.333774209,0.4948000014,39.10966352,0.009999999776,0.009999999776,-1.42761755,1.488699436,-3.563431978,0.07919999957,14.56616303,1.100202203,0.6790676713,2.01672554
C,raw,0,0,0.0001,10,0,1,0.8234375,1,1,1,0,0,-0.2489599288,2.008826971,-1.757729411,0.4520000219,33.01747166,0.1499999911,0.1499999911,-1.584914684,1.366294861,-4.026171207,0.02200000174,8.584120759,1.020707488,0.6872423887,2.145707607
C,raw,0,0,0.0001,11,1,5,0.4375801282,0.6444000006,0.6320000291,0.6444000006,0,0,-0.02709931508,2.582891226,-0.8590508699,0.4863999784,35.14042911,0.05999999866,0.05999999866,-1.667381644,1.770494223,-4.282009602,0.05719999969,12.6773418,1.085294008,0.6918674111,2.343558311
C,raw,0,0,0.0001,12,0,1,0.8379407051,1,1,1,0,0,-0.2134227157,1.844045281,-2.986696482,0.4260000288,31.25186947,0.1899999976,0.1899999976,-1.554203391,1.453740358,-5.000522614,0.02600000054,8.476129583,1.071659684,0.7019807696,2.470815659
C,raw,0,0,0.0001,13,1,5,0.4032051282,0.6735999584,0.6220000386,0.6735999584,0,0,-0.2414662242,2.610291958,-2.398935556,0.467599988,34.92787887,0.09999999404,0.09999999404,-2.273907661,1.809150815,-5.100534439,0.01840000041,10.8240328,1.10893929,0.7082336545,2.645742893
C,raw,0,0,0.0001,14,0,1,0.8128605769,1,1,1,0,0,-0.8506285548,1.856542945,-7.993057251,0.2700000107,19.85043207,0.349999994,0.349999994,-2.687332153,1.786870599,-8.458740234,0.006000000052,3.59478146,1.048923612,0.7113234997,2.727144241
C,raw,0,0,0.0001,15,1,5,0.3454326923,0.5767999887,0.5640000105,0.5767999887,0,0,0.05746280402,2.782758474,-0.8687316179,0.4860000014,27.15213279,0.1799999923,0.1799999923,-2.44969821,2.258811235,-6.016821861,0.009999999776,7.105115385,1.116277337,0.7199013829,2.876666307
