arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2
KKT1,std,0,0,0.0001,1,1,5,0.7673076923,0.9031999707,0.7340000272,0.9031999707,0,0,0.159748137,3.355763435,-2.576379299,1.02724278,37.5742454,0,0,0.4686786532,3.137630701,-5.788673401,1.082239389,34.66274322,0.652272284,0.5954220295,0.6085079908,0.1864398122,0.04803540558,0.6114454269,0,1.200000048,0.2041646391,0.06899999827,0.4979214668,0,1.200000048
KKT1,std,0,0,0.0001,2,0,1,0.9703926282,1,0.969999969,1,0,0,-0.9322737455,2.586096287,-4.500139713,0.7127583027,34.3442685,0,0,-0.1767269373,2.179491758,-6.54389143,0.8870486617,30.43167924,0.6491702199,0.5949910879,0.6289696693,0.2347276658,0.05424299836,0.7720122933,0,1.200000048,0.2683641613,0.09145775437,0.7464773059,0,1.200000048
KKT1,std,0,0,0.0001,3,1,5,0.7103766026,0.8651999831,0.6600000262,0.8651999831,0,0,-0.6045238972,4.169128418,-4.726967335,0.8633749485,38.69923139,0,0,-0.2402862757,3.81543541,-5.690693855,0.9279279113,37.30199668,0.7303341031,0.6039091945,0.6738477945,0.1539638937,0.03319874406,0.5322865844,0,1.200000048,0.1643433571,0.05271811411,0.4172005951,0,1.200000048
KKT1,std,0,0,0.0001,4,0,1,0.9693509615,1,0.9899999499,1,0,0,-0.6204454899,4.024951935,-4.775486946,0.8293210864,34.65210112,0,0,-0.5232513547,3.379892826,-5.420379162,0.8381929398,30.90932379,0.7335473299,0.6063469052,0.6987532377,0.1478585452,0.04449502006,0.6203743219,0,1.200000048,0.1793714762,0.05597601831,0.4916239977,0,1.200000048
KKT1,std,0,0,0.0001,5,1,5,0.7665865385,0.8887999654,0.7300000191,0.8887999654,0,0,-1.3683604,4.650355816,-6.571073055,0.7908424139,43.51650494,0,0,-1.509565234,3.435540199,-5.594447613,0.8028259277,44.1906641,0.7630704045,0.6065257192,0.7373262048,0.1347972155,0.03609188274,0.3572026491,0,1.200000048,0.1826556027,0.06398671865,0.348107934,0,1.200000048
KKT1,std,0,0,0.0001,6,0,1,0.9737179487,1,0.9799999595,1,0,0,-1.508432388,3.927640676,-5.889189243,0.7566415071,33.80974785,0,0,-1.927368999,3.300115585,-7.515535355,0.6740733981,33.46094177,0.7602911592,0.6082642078,0.7445433736,0.154852286,0.03207158297,0.3302028179,0,1.200000048,0.1852380931,0.07316660881,0.5076467395,0,1.200000048
KKT1,std,0,0,0.0001,7,1,5,0.7566907051,0.8768000007,0.7400000095,0.8768000007,0,0,-0.3967851996,5.899382114,-2.929516792,0.9723536968,43.20142974,0,0,-1.495193839,4.400564194,-8.803080559,0.8401942849,44.72114132,0.8206331134,0.6130921841,0.7587976456,0.1062230542,0.02621366829,0.3870031834,0,1.200000048,0.1384956837,0.04234738275,0.2676772773,0,1.200000048
KKT1,std,0,0,0.0001,8,0,1,0.975400641,0.9980000257,1,0.9980000257,0,0,-2.501535654,4.650192738,-8.877849579,0.6513028741,37.25645363,0,0,-2.564350843,3.616564274,-9.963389397,0.755857408,36.67842942,0.8160618544,0.6148200035,0.7614201903,0.1314516068,0.04943015799,0.3777116239,0,1.200000048,0.1706601679,0.06307320297,0.3466485143,0,1.200000048
KKT1,std,0,0,0.0001,9,1,5,0.6159455128,0.784799993,0.5760000348,0.784799993,0,0,-0.690523982,5.662118435,-3.647497177,0.9217612147,47.83200391,0,0,-1.902358532,3.873013258,-7.383213043,0.7272545099,47.5185041,0.8541718125,0.6156743765,0.7570889592,0.1066922918,0.0287740957,0.407030493,0,1.200000048,0.1579706669,0.05851250514,0.3116984367,0,1.200000048
KKT1,std,0,0,0.0001,10,0,1,0.9618589744,1,0.9599999785,1,0,0,-1.384135127,4.954510689,-4.878865242,0.8660881519,43.02676044,0,0,-2.325698614,4.094141483,-8.513861656,0.7322891951,41.48514618,0.8680808544,0.6163048744,0.7563838959,0.1177406833,0.03978805616,0.3248542547,0,1.200000048,0.1486855596,0.04543408379,0.3151319325,0,1.200000048
