arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2
KKT1,std,0,0,0.0001,1,1,5,0.9682892628,1,0.7540000081,1,0,0,0.6860320568,6.912047386,-5.235383511,1.067444324,40.99470765,0,0,2.341192484,6.395167828,-11.63136959,1.19935441,37.57937463,0.9363061786,0.6643333435,0.6480702162,0.08629455417,0.02486242726,0.2395921201,0,1.200000048,0.09299622476,0.02993083932,0.2236635536,0,1.200000048
KKT1,std,0,0,0.0001,2,0,1,0.9758814103,1,0.9599999785,1,0,0,-2.227344513,4.721174717,-10.81418228,0.6925941706,42.08975948,0,0,-1.121346831,3.540245295,-7.585637093,0.8040674925,38.72718129,0.9010626674,0.6579544544,0.6548520327,0.1283878088,0.03707666695,0.302090317,0,1.200000048,0.1712163538,0.04950334877,0.4011285901,0,1.200000048
KKT1,std,0,0,0.0001,3,1,5,0.9572676282,1,0.6720000505,1,0,0,-0.8725017309,7.267028332,-12.60863113,0.9025507569,45.4267612,0,0,1.713186145,8.613556862,-25.84432983,1.108042955,45.30917075,1.223610997,0.7181523442,0.7514857054,0.07872821391,0.01302889083,0.2190455645,0,1.200000048,0.07072492689,0.0202069059,0.1697790921,0,1.200000048
KKT1,std,0,0,0.0001,4,0,1,0.9762419872,1,0.9499999881,1,0,0,-1.122491717,7.092973232,-7.494146824,0.8859266639,43.7610763,0,0,-1.364205599,6.27971077,-19.37709045,0.8133614659,39.10688782,1.216691494,0.7146861553,0.7815216184,0.084896788,0.02416257747,0.2602481544,0,1.200000048,0.09596766531,0.02599168383,0.197990343,0,1.200000048
KKT1,std,0,0,0.0001,5,1,5,0.9638741987,1,0.736000061,1,0,0,-1.304742932,9.906970024,-17.20001411,0.8714808226,53.3200635,0,0,-1.996144295,9.21504879,-15.54916382,0.9163730145,54.09044759,1.485939264,0.7533724308,0.8346336484,0.05963420495,0.01761540212,0.1573634446,0,1.200000048,0.06593478471,0.02637912147,0.1480957866,0,1.200000048
KKT1,std,0,0,0.0001,6,0,1,0.975400641,1,0.969999969,1,0,0,-2.832151651,8.465247154,-11.51268768,0.7742984295,45.09524963,0,0,-4.531847,6.6990242,-21.77249336,0.645843029,47.90860895,1.470142007,0.7553650141,0.8229048252,0.07147664577,0.02746071666,0.1846535355,0,1.200000048,0.08906798065,0.03462965041,0.1693139374,0,1.200000048
KKT1,std,0,0,0.0001,7,1,5,0.9614383013,1,0.7480000257,1,0,0,-0.2911898494,13.19773388,-5.225142479,1.00250721,50.27364729,0,0,-5.463973999,14.24077129,-24.18933296,0.8195106387,54.7609849,1.772441745,0.7996295691,0.7873292565,0.04389722273,0.01576535404,0.1301457286,0,1.200000048,0.04283988476,0.01689932123,0.09804221243,0,1.200000048
KKT1,std,0,0,0.0001,8,0,1,0.9780448718,1,1,1,0,0,-4.125583172,10.94931221,-33.00340652,0.8444805741,48.16379165,0,0,-5.699663162,9.867387772,-22.93003654,0.7061040401,47.75298084,1.755598426,0.7898196578,0.7806253433,0.05572557077,0.02211645991,0.160390377,0,1.200000048,0.06165490672,0.02604897879,0.1258569062,0,1.200000048
KKT1,std,0,0,0.0001,9,1,5,0.9350721154,1,0.5600000024,1,0,0,-0.7047505975,13.50980091,-10.61220932,0.9670453668,58.30625507,0,0,-3.833177567,13.81762028,-34.95178604,0.834043026,59.95431422,2.106207371,0.8439485431,0.7872421145,0.04443163797,0.01188690867,0.09646514058,0,1.200000048,0.04335119575,0.01932706684,0.1104105338,0,1.200000048
KKT1,std,0,0,0.0001,10,0,1,0.9747996795,1,0.9899999499,1,0,0,-1.95034802,12.11673641,-12.32012749,0.9324126244,55.29031559,0,0,-3.74038744,11.80220509,-23.78027725,0.8197228312,55.70622948,2.055253506,0.8424060941,0.793848455,0.04952069744,0.01550034806,0.11394196,0,1.200000048,0.05101911724,0.02233620733,0.0910673365,0,1.200000048
KKT1,std,0,0,0.0001,11,1,5,0.9408253205,1,0.6420000196,1,0,0,-1.437774181,15.19029427,-14.79410267,0.9581620097,56.66471379,0,0,-4.302026749,16.60574913,-22.77738762,0.8342420459,58.32038843,2.340723991,0.87560004,0.7882633805,0.04008320719,0.01653705351,0.09330831468,0,1.200000048,0.03663702682,0.01857579499,0.06470444053,0,1.200000048
KKT1,std,0,0,0.0001,12,0,1,0.9724759615,1,0.9899999499,1,0,0,-0.1078487784,11.92055511,-11.69800568,0.9869986773,56.57106958,0,0,-3.236305714,14.60762882,-22.92104912,0.9208048582,57.00685188,2.312304258,0.8785408735,0.8013396263,0.05016073957,0.01640349068,0.1252128929,0,1.200000048,0.04159329832,0.02433731779,0.07927606255,0,1.200000048
KKT1,std,0,0,0.0001,13,1,5,0.9455248397,1,0.7160000205,1,0,0,-0.3725663722,15.29283619,-13.72746849,0.9589210749,54.59647777,0,0,-4.895339489,18.81123543,-39.39181137,0.8972390294,59.34240231,2.534018517,0.9118605256,0.8039201498,0.03988084197,0.01414877642,0.09367646277,0,1.200000048,0.03206892312,0.01284674276,0.06945870817,0,1.200000048
KKT1,std,0,0,0.0001,14,0,1,0.977724359,1,0.9899999499,1,0,0,-5.940357685,14.43316746,-26.0711422,0.7003293037,53.45562751,0,0,-6.824902534,14.81346703,-34.80828476,0.736171186,52.09604707,2.514859915,0.9113316536,0.79076159,0.04220886901,0.02376435138,0.1002242193,0,1.200000048,0.04120113701,0.02031126991,0.08642478287,0,1.200000048
KKT1,std,0,0,0.0001,15,1,5,0.9118389423,0.9995999932,0.5860000253,0.9995999932,0,0,-0.2720245421,16.71277428,-10.52227974,0.9934770465,55.00283033,0,0,-3.704787493,21.2854023,-35.42353058,0.9030002952,57.60079654,2.820531368,0.9620871544,0.7989374995,0.03620010987,0.01176643372,0.07723939419,0,1.200000048,0.02820063755,0.009974317625,0.07221246511,0,1.200000048
KKT1,std,0,0,0.0001,16,0,1,0.9670272436,1,0.9300000072,1,0,0,-0.6493878365,16.96308899,-8.920139313,0.9878246188,55.87624059,0,0,-6.556414604,20.12719154,-30.59286499,0.8633345366,55.62769789,2.777009964,0.9590218663,0.8053274155,0.03586033732,0.01413820218,0.07789872587,0,1.200000048,0.02969914116,0.01142801717,0.06031574309,0,1.200000048
KKT1,std,0,0,0.0001,17,1,5,0.9415464744,1,0.65200001,1,0,0,-0.214788273,17.85271072,-12.2740202,0.9852859378,61.68206843,0,0,-3.729245186,22.32414436,-34.05701065,0.9334347248,63.80307801,3.019169331,0.9924375415,0.7892556787,0.03401343152,0.01356843859,0.06615825742,0,1.200000048,0.02752312087,0.01481206436,0.05273798481,0,1.200000048
KKT1,std,0,0,0.0001,18,0,1,0.9772435897,1,0.9799999595,1,0,0,-3.23115468,14.09209824,-22.68707085,0.8269609809,60.52343846,0,0,-4.705929756,14.96875381,-38.55993652,0.7931909561,58.47635746,2.978521109,0.9909056425,0.7916792631,0.04295042157,0.01987477578,0.0763040185,0,1.200000048,0.04009660706,0.01868666336,0.06105273589,0,1.200000048
KKT1,std,0,0,0.0001,19,1,5,0.9213822115,1,0.5820000172,1,0,0,-0.5040686727,17.91139221,-11.6812458,0.9819261432,62.95169241,0,0,-5.926437378,21.83273888,-36.05700302,0.8810991049,65.72351437,3.261733055,1.025312185,0.7827393413,0.03331772238,0.01501087286,0.06855115294,0,1.200000048,0.02781404369,0.01326165628,0.05241349712,0,1.200000048
KKT1,std,0,0,0.0001,20,0,1,0.9697115385,1,0.969999969,1,0,0,-1.613648295,18.2053051,-23.78409576,0.944342792,51.89913751,0,0,-13.23737144,21.5707016,-69.68795776,0.6775261164,56.33063054,3.209348679,1.028534651,0.7729890347,0.03316408023,0.01470853295,0.06997159868,0,1.200000048,0.02802574076,0.01154192537,0.05270231143,0,1.200000048
KKT1,std,0,0,0.0001,21,1,5,0.8877363782,1,0.5660000443,1,0,0,0.6711569428,18.89953804,-17.1399765,1.006744385,60.99768683,0,0,-10.14521408,23.72406769,-65.60605621,0.8114287257,64.6175828,3.466708183,1.063869596,0.7604161501,0.03227130696,0.01302039064,0.06634300202,0,1.200000048,0.02543045767,0.01171813905,0.05751653761,0,1.200000048
