arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
R,std,10,0,0.0001,1,1,5,0.6717147436,0.8055999875,0.6700000167,0.8055999875,0,0,0.3191747963,5.73953104,-2.497648954,0.5243999958,33.7382569,0,0,1.152016521,2.596944332,-4.11898613,0.6976000071,23.80647065,0.7135731578,0.5975763798,0.6046788096
R,std,10,0,0.0001,2,0,1,0.9632211538,1,1,1,0,0,-0.9229314327,3.504374743,-3.807180405,0.400000006,31.28391532,0.009999999776,0.009999999776,0.5563387275,2.401530266,-5.702009678,0.5580000281,19.73309095,0.6830189228,0.5985023379,0.6151114106
R,std,10,0,0.0001,3,1,5,0.5967948718,0.7536000013,0.6240000129,0.7536000013,0,0,-0.03634061664,4.631626129,-3.560940027,0.491599977,40.44810281,0,0,1.260453343,2.727403641,-4.924988747,0.6380000114,29.56011103,0.7606999874,0.6086202264,0.6849433184
R,std,10,0,0.0001,4,0,1,0.9629807692,1,1,1,0,0,-0.1488025039,4.043442726,-2.113125801,0.476000011,33.71226775,0.009999999776,0.009999999776,-0.1783974767,2.537505627,-3.93407774,0.5160000324,17.58344786,0.7371296287,0.6132203937,0.661667943
R,std,10,0,0.0001,5,1,5,0.5664663462,0.7328000069,0.5520000458,0.7328000069,0,0,-0.2227939814,3.991897821,-2.854737759,0.478399992,43.03780998,0,0,1.068299055,2.50576663,-4.255820274,0.6703999639,31.0987128,0.7835662365,0.6134207249,0.7199054956
R,std,10,0,0.0001,6,0,1,0.9534855769,1,1,1,0,0,-0.7763490081,4.099011421,-5.102705002,0.3960000277,36.70515918,0,0,-0.4651961923,2.212412357,-5.021994591,0.3600000143,17.9971256,0.7756614089,0.619587183,0.6879264712
R,std,10,0,0.0001,7,1,5,0.6392628205,0.7967999578,0.6620000601,0.7967999578,0,0,-0.6406970024,5.183187008,-2.779153824,0.4603999853,42.73027817,0,0,0.9515013695,2.583133221,-5.337345123,0.5735999942,32.12097261,0.817076683,0.6252015829,0.7354384661
R,std,10,0,0.0001,8,0,1,0.9552083333,1,1,1,0,0,-0.8978914022,3.228224993,-7.947562695,0.3300000131,34.75016531,0,0,0.1047296822,2.155305624,-4.709583282,0.5480000377,18.47842385,0.7916110754,0.6315120459,0.71418643
R,std,10,0,0.0001,9,1,5,0.65625,0.7971999645,0.6920000315,0.7971999645,0,0,-0.1467262805,5.157529831,-3.493293285,0.4839999974,43.51087557,0,0,0.3333899975,3.011683226,-4.637944221,0.6067999601,32.58339552,0.8378901482,0.6297160983,0.7517737746
R,std,10,0,0.0001,10,0,1,0.9709134615,1,0.9799999595,1,0,0,-4.432180882,4.133012295,-12.60506248,0.1060000062,22.35112565,0.02999999933,0.02999999933,-1.248377323,1.941633463,-7.082752228,0.1740000099,12.86608974,0.8182985783,0.6315610409,0.6948953271
R,std,10,0,0.0001,11,1,5,0.6169871795,0.7683999538,0.6220000386,0.7683999538,0,0,-0.07338722795,4.966914654,-1.82462728,0.4815999866,52.41380521,0,0,0.8776685596,2.547029495,-3.656903505,0.6128000021,38.32789642,0.867610395,0.6437636614,0.7364460826
R,std,10,0,0.0001,12,0,1,0.9604967949,1,1,1,0,0,-5.868114471,5.422872066,-11.68196774,0.1080000028,22.95657991,0,0,-1.518707871,2.521691084,-14.69421768,0.1760000139,14.45325134,0.8423862457,0.6430476308,0.6975236535
R,std,10,0,0.0001,13,1,5,0.7462339744,0.8759999871,0.7740000486,0.8759999871,0,0,0.3439542055,5.718908787,-4.778427124,0.5167999864,45.55311759,0,0,0.4289056957,3.252808809,-6.565376282,0.5615999699,34.88268893,0.8885470629,0.648047626,0.7228794098
R,std,10,0,0.0001,14,0,1,0.9679086538,1,1,1,0,0,-0.7296934128,4.666471481,-7.816148281,0.4280000329,41.48633664,0,0,-0.7199094296,2.716821671,-5.097946644,0.3740000129,26.15146303,0.8501472473,0.6483124495,0.6857284904
R,std,10,0,0.0001,15,1,5,0.6868589744,0.8323999643,0.6760000587,0.8323999643,0,0,-0.4818861783,5.046556473,-4.172670364,0.4463999867,49.70766218,0,0,1.222243547,2.769765854,-4.106628895,0.6451999545,36.31537632,0.8775541186,0.6513012052,0.7464404702
R,std,10,0,0.0001,16,0,1,0.9645432692,1,1,1,0,0,-1.656965375,4.642320633,-6.044624805,0.326000005,37.58104254,0,0,0.2168750465,2.699519634,-6.448138714,0.506000042,23.40491235,0.8349467516,0.6523243189,0.7046974301
R,std,10,0,0.0001,17,1,5,0.6496394231,0.7851999998,0.6560000181,0.7851999998,0,0,-0.3033616543,5.182858467,-3.014307261,0.458799988,49.95412874,0,0,0.706441164,2.774166107,-5.40705061,0.6236000061,37.36185871,0.8720414042,0.6567196846,0.7401405573
R,std,10,0,0.0001,18,0,1,0.9578525641,1,1,1,0,0,-2.855227709,4.038889885,-5.567459106,0.2120000124,37.41599549,0,0,-0.5959622264,2.153027534,-5.590546608,0.3660000265,23.78254059,0.8556727767,0.6563750505,0.7137413621
R,std,10,0,0.0001,19,1,5,0.7497596154,0.8524000049,0.7740000486,0.8524000049,0,0,-0.9823002815,5.925318241,-3.866056919,0.4323999882,41.61846596,0,0,1.143580675,3.390372038,-5.021600723,0.6331999898,30.54653038,0.8648281693,0.6606386304,0.7465671897
R,std,10,0,0.0001,20,0,1,0.9700320513,1,1,1,0,0,-0.8529098034,5.747062206,-7.7714324,0.4340000153,36.51150504,0,0,0.2582410276,3.69935441,-8.36486721,0.5220000148,21.34594191,0.8516618609,0.6658011675,0.7029486299
R,std,10,0,0.0001,21,1,5,0.6354166667,0.7707999945,0.6300000548,0.7707999945,0,0,-0.2212675661,5.186122894,-3.671484232,0.4723999798,45.22979243,0,0,0.8142219186,3.132405281,-4.580632687,0.6263999939,34.3987575,0.8790374398,0.6665741205,0.7457104921
R,std,10,0,0.0001,22,0,1,0.9725961538,1,0.9899999499,1,0,0,-4.793632984,4.312698364,-11.36376381,0.1160000041,25.16848713,0.01999999955,0.01999999955,-0.6725367308,1.867237091,-9.114706993,0.3460000157,15.5886237,0.857324779,0.6686919332,0.7027053833
R,std,10,0,0.0001,23,1,5,0.6655048077,0.7967999578,0.6300000548,0.7967999578,0,0,-0.4854201972,5.90004158,-2.683307409,0.4703999758,47.84182599,0,0,0.6445915103,3.254519701,-4.744653702,0.5731999874,36.46153841,0.8993295431,0.6717407703,0.7494298816
R,std,10,0,0.0001,24,0,1,0.9651041667,1,1,1,0,0,-0.2748275399,4.97499752,-2.705156088,0.4860000312,44.45586117,0,0,0.8685107231,3.120980024,-5.114582062,0.6220000386,28.6421136,0.8526316881,0.6754905581,0.7204887867
R,std,10,0,0.0001,25,1,5,0.6727564103,0.8107999563,0.7000000477,0.8107999563,0,0,-0.1196720675,5.505786419,-2.609474659,0.4975999892,50.62865154,0,0,1.021779299,2.867148638,-5.733999252,0.6395999789,38.66809059,0.8951446414,0.676025331,0.7426118851
R,std,10,0,0.0001,26,0,1,0.96875,1,1,1,0,0,-2.657110929,4.416028976,-6.909853458,0.2420000136,36.79169778,0,0,-0.5378330946,2.201479197,-5.992669106,0.380000025,23.67649597,0.8654406071,0.6753618717,0.7117783427
R,std,10,0,0.0001,27,1,5,0.6953926282,0.8208000064,0.6960000396,0.8208000064,0,0,0.0120046325,5.805417061,-4.522997379,0.4955999851,46.53220169,0,0,1.155184746,3.082631588,-5.981345177,0.6204000115,35.9731442,0.8909990191,0.6796592474,0.7467370629
R,std,10,0,0.0001,28,0,1,0.972275641,1,1,1,0,0,-3.641529083,5.171226501,-12.22216606,0.1880000085,33.2463844,0,0,-1.077690959,2.808064699,-10.18562698,0.2460000068,19.18267484,0.8599466085,0.6785027981,0.6904419065
R,std,10,0,0.0001,29,1,5,0.6446314103,0.7943999767,0.6360000372,0.7943999767,0,0,-0.6502899528,5.221275806,-4.492853165,0.4423999786,46.19132782,0,0,1.115317345,3.07521081,-5.98936224,0.6204000115,35.06380999,0.8945367932,0.6881703138,0.7357373834
R,std,10,0,0.0001,30,0,1,0.9685096154,1,1,1,0,0,-0.03345446289,6.241636276,-2.442253113,0.5,24.69363738,0.009999999776,0.009999999776,-0.1892287135,4.494688988,-11.52004528,0.4740000367,13.43252398,0.8833626509,0.6875208616,0.7300497293
R,std,11,1,0.0001,1,1,5,0.6879407051,0.8079999685,0.6460000277,0.8079999685,0,0,0.4142071605,5.416277885,-1.954159141,0.5199999809,35.44981541,0,0,1.984630466,2.554964304,-3.81280303,0.815599978,22.87582282,0.7034352422,0.5963233113,0.6111448407
R,std,11,1,0.0001,2,0,1,0.9631410256,1,1,1,0,0,-2.094748259,3.312937975,-7.707009315,0.1900000125,23.45865514,0.03999999911,0.03999999911,-0.05441661179,1.8434937,-5.2681036,0.4820000231,13.22889215,0.680942893,0.5888191462,0.6224761605
R,std,11,1,0.0001,3,1,5,0.6733573718,0.79399997,0.6780000329,0.79399997,0,0,0.1610340476,4.755908489,-3.618342876,0.5195999742,39.33720082,0,0,1.219001293,2.703978539,-4.449477196,0.6923999786,27.40545072,0.7352829576,0.6019319892,0.673196137
R,std,11,1,0.0001,4,0,1,0.9677083333,1,0.969999969,1,0,0,-4.556634903,3.237677097,-10.92775345,0.06599999964,18.23548062,0.01999999955,0.01999999955,0.2357355356,1.725822091,-5.979715347,0.5200000405,12.07314304,0.7165542245,0.604121685,0.6672305465
R,std,11,1,0.0001,5,1,5,0.6922275641,0.8208000064,0.6780000329,0.8208000064,0,0,-0.476811111,4.69795084,-3.667358875,0.4495999813,45.22891992,0,0,0.9095413089,2.382386208,-3.740007639,0.6671999693,30.09638154,0.7827275395,0.6117457151,0.7229266763
R,std,11,1,0.0001,6,0,1,0.9522035256,1,1,1,0,0,-1.62574029,4.070113182,-9.543855667,0.2980000079,31.38379897,0,0,0.04580191895,2.144743443,-5.0639081,0.4620000124,15.92842621,0.7624003291,0.6121534705,0.7040801644
R,std,11,1,0.0001,7,1,5,0.6945512821,0.8139999509,0.756000042,0.8139999509,0,0,-1.285519481,4.723662853,-4.088617802,0.3811999857,37.01779995,0,0,0.9885306358,2.849458218,-5.315961361,0.6128000021,28.84445498,0.7835469246,0.6167786121,0.7292143106
R,std,11,1,0.0001,8,0,1,0.9691105769,1,1,1,0,0,-3.609787703,4.010614872,-10.67128563,0.1160000041,22.05126291,0,0,0.7948972583,2.157957077,-7.281713009,0.7100000381,12.0358667,0.776833415,0.6209946275,0.6942713857
R,std,11,1,0.0001,9,1,5,0.666786859,0.7867999673,0.6700000167,0.7867999673,0,0,-0.7845240235,5.355158329,-2.667126656,0.4635999799,39.43814541,0,0,0.8249627948,2.967455864,-5.743756294,0.6015999913,28.49013278,0.8342534304,0.625161469,0.7319998145
R,std,11,1,0.0001,10,0,1,0.9671875,1,1,1,0,0,-0.1538490951,6.434205055,-3.336489916,0.4960000217,22.25697035,0,0,-0.3570726216,4.265759945,-7.739463329,0.4940000176,12.26746084,0.8220322132,0.630289793,0.7188685536
R,std,11,1,0.0001,11,1,5,0.5779246795,0.7251999974,0.6100000143,0.7251999974,0,0,-0.271346122,4.801084518,-6.889510155,0.4651999772,45.11259056,0,0,1.043728709,2.890660763,-3.639643192,0.6699999571,32.53151401,0.8554199934,0.6349474192,0.7648884654
