arm,cond,seed,lr,task,fresh_online_acc,continual_online_acc,fresh_gap
R,std,0,0.001,29,0.8013621795,0.2696714744,0.5316907051
R,std,1,0.001,29,0.6961939103,0.1554487179,0.5407451923
R,std,2,0.001,29,0.7185496795,0.1964342949,0.5221153846
R,std,3,0.001,29,0.8024839744,0.3211137821,0.4813701923
R,std,4,0.001,29,0.7526442308,0.3294070513,0.4232371795
R,std,5,0.001,29,0.7565304487,0.2338541667,0.5226762821
R,std,6,0.001,29,0.7778445513,0.3583333333,0.4195112179
R,std,7,0.001,29,0.8157852564,0.3560496795,0.4597355769
R,std,8,0.001,29,0.7560096154,0.3475560897,0.4084535256
R,std,9,0.001,29,0.8173477564,0.4715544872,0.3457932692
