arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
SL,std,0,0,0.0001,1,1,5,0.7260817308,0.850399971,0.7520000339,0.850399971,0,0,0.3733581007,5.162531376,-3.46959281,0.5815635324,33.99248283,0,0,1.447980881,2.837310314,-4.600895882,0.7128195167,24.37376987,0.7138240933,0.6042497754,0.6243974566
SL,std,0,0,0.0001,2,0,1,0.9592948718,1,0.9899999499,1,0,0,-1.455451012,3.604380369,-4.902725697,0.3686971664,29.24048293,0,0,-0.3099113405,2.08259654,-6.540179253,0.4634400308,17.07486154,0.7046321034,0.6033161879,0.6608549356
SL,std,0,0,0.0001,3,1,5,0.6637820513,0.8172000051,0.6800000072,0.8172000051,0,0,-0.5820670128,4.599938393,-4.051589489,0.4982569218,38.23352526,0,0,-0.1107085571,2.904898167,-8.222460747,0.5271857381,27.51125076,0.7853177786,0.6137756705,0.7418070436
SL,std,0,0,0.0001,4,0,1,0.960536859,1,1,1,0,0,-0.5530673265,4.20791769,-6.941670418,0.4803898335,32.86561158,0,0,-0.1357372701,2.584314346,-5.784729004,0.5164601207,19.04961654,0.7935000062,0.619535327,0.7927291393
SL,std,0,0,0.0001,5,1,5,0.7249599359,0.8488000035,0.7200000286,0.8488000035,0,0,-1.15627265,5.790392876,-6.561965466,0.441290319,40.06263033,0,0,-0.5987514257,3.05868268,-6.405936241,0.473690033,30.02246406,0.8398250341,0.6267352104,0.888905704
SL,std,0,0,0.0001,6,0,1,0.9641826923,1,1,1,0,0,-2.164298296,4.850945473,-8.546133041,0.372582972,30.09472157,0,0,-1.878643155,2.721939802,-6.162997246,0.2603324652,18.50536129,0.8434309959,0.6271559596,0.9278766513
SL,std,0,0,0.0001,7,1,5,0.7139022436,0.8423999548,0.7340000272,0.8423999548,0,0,-0.387281239,6.78428793,-2.382117987,0.5329172015,42.2043526,0,0,-1.011141896,3.830984116,-6.904620171,0.4555550814,31.05167622,0.9109859467,0.6391029954,1.003516674
SL,std,0,0,0.0001,8,0,1,0.958974359,1,1,1,0,0,-3.411430359,5.216554165,-14.65467072,0.305547297,29.73744833,0,0,-3.283067703,2.849008322,-10.32284641,0.1688109785,17.77524136,0.9116376638,0.6348079443,1.029304028
SL,std,0,0,0.0001,9,1,5,0.5366987179,0.6843999624,0.5660000443,0.6843999624,0,0,-0.5556990504,5.745348454,-5.452585697,0.5133607388,44.99197562,0,0,-2.276231527,3.520572186,-8.760988235,0.2829599977,29.93787697,0.9427915215,0.6468940973,1.078883052
SL,std,0,0,0.0001,10,0,1,0.9532852564,1,1,1,0,0,-1.376972556,5.895636082,-5.132361889,0.4499437809,37.74647902,0,0,-3.33165431,3.435831308,-9.953508377,0.1850752681,20.66730372,0.9620993137,0.6536068916,1.108525515
SL,std,0,0,0.0001,11,1,5,0.6106971154,0.743999958,0.6440000534,0.743999958,0,0,-1.014748216,6.165571213,-4.902403831,0.4948837757,42.57341298,0,0,-2.313103676,3.665914536,-10.39379787,0.3537034392,30.01036668,0.9849745035,0.6544913054,1.152192831
SL,std,0,0,0.0001,12,0,1,0.9542467949,1,1,1,0,0,0.2208507508,6.024875164,-6.245718002,0.5544862151,41.84965142,0,0,-1.975786448,3.66924262,-10.85429382,0.405413717,25.3065381,0.9895157218,0.656966269,1.191143274
SL,std,0,0,0.0001,13,1,5,0.6578926282,0.79399997,0.682000041,0.79399997,0,0,-1.083182931,7.528816223,-6.553820133,0.4877634048,41.77186483,0,0,-3.137311459,4.118609428,-11.05628681,0.2578118145,28.01858852,1.066948175,0.6661660671,1.201083302
SL,std,0,0,0.0001,14,0,1,0.9561298077,1,1,1,0,0,-3.296493769,6.603122711,-18.48563957,0.325062871,30.67585456,0,0,-3.95920229,4.06013155,-19.19168091,0.1524780989,19.22728303,1.029472232,0.6655190587,1.214075804
SL,std,0,0,0.0001,15,1,5,0.5680288462,0.6775999665,0.6360000372,0.6775999665,0,0,-0.3968725502,7.717057705,-3.933965206,0.5420869589,38.7624009,0,0,-4.39431572,5.068395138,-12.28322887,0.2188838571,23.27221228,1.066277504,0.6682364345,1.241852283
SL,std,0,0,0.0001,16,0,1,0.9449519231,1,1,1,0,0,-0.6490109563,7.186811924,-8.691473961,0.5170984268,38.9490921,0,0,-2.979792356,4.714157104,-13.99831295,0.2465406805,23.19436355,1.060875297,0.6715626121,1.267751098
SL,std,0,0,0.0001,17,1,5,0.6448317308,0.7879999876,0.6360000372,0.7879999876,0,0,-0.3383574486,7.369058609,-3.936211586,0.5236439109,47.34852802,0,0,-3.132514954,4.143853664,-11.65353203,0.3160497844,33.89360749,1.10879302,0.6781016588,1.288457394
SL,std,0,0,0.0001,18,0,1,0.9508814103,1,1,1,0,0,-2.457314491,5.998967648,-16.14849472,0.36129722,32.4966919,0,0,-3.688592672,3.830644846,-19.51580238,0.225483954,20.18798443,1.09070313,0.6754256487,1.309415698
SL,std,0,0,0.0001,19,1,5,0.5633814103,0.7207999825,0.6060000062,0.7207999825,0,0,-0.3213115931,7.213634014,-3.331062794,0.5397690535,47.76652711,0,0,-2.663964272,4.47791338,-10.44786072,0.3505680859,33.80403588,1.178958535,0.6838887334,1.331920862
SL,std,0,0,0.0001,20,0,1,0.9606971154,1,1,1,0,0,-2.96851635,7.786705017,-9.624840736,0.4116061926,37.92128786,0,0,-2.873786211,4.779235363,-12.01439476,0.2767061293,24.7383764,1.152923703,0.6856890917,1.343242764
SL,std,0,0,0.0001,21,1,5,0.5165064103,0.6592000127,0.5640000105,0.6592000127,0,0,-0.09185443819,7.729679108,-4.511848927,0.5485664606,44.23869433,0,0,-3.462821722,4.65742588,-10.11109066,0.2452367544,28.36309346,1.170915484,0.6877918243,1.369335413
SL,std,0,0,0.0001,22,0,1,0.9540464744,1,1,1,0,0,-0.07501455396,8.738598824,-3.340967894,0.548963666,25.68587067,0,0,-5.312041283,6.711765289,-22.67199898,0.1746131033,13.59345337,1.226362944,0.688945055,1.396875858
SL,std,0,0,0.0001,23,1,5,0.6494391026,0.7820000052,0.7440000176,0.7820000052,0,0,-0.4031993449,7.320320129,-7.806427002,0.5129962564,42.73249271,0,0,-3.415126801,4.711956978,-9.47077179,0.2864342332,33.70714594,1.19491899,0.6933551431,1.415353417
SL,std,0,0,0.0001,24,0,1,0.9524038462,1,1,1,0,0,-1.035659909,7.533726215,-6.143280029,0.4947541952,44.73032352,0,0,-2.941654682,4.463466167,-11.04700661,0.2977218032,32.49728074,1.194094896,0.6927713752,1.445290923
SL,std,0,0,0.0001,25,1,5,0.6220352564,0.7536000013,0.6560000181,0.7536000013,0,0,-0.2013492435,7.389080048,-9.563969612,0.5417432785,48.04475504,0,0,-2.581424475,4.340538979,-8.347593307,0.3006387055,33.96132065,1.227110863,0.7033237219,1.491026282
SL,std,0,0,0.0001,26,0,1,0.9335336538,1,1,1,0,0,-0.2444650978,6.603100777,-2.633155107,0.5293506384,40.11052021,0,0,-2.770946503,4.488535404,-10.62285614,0.236566782,22.69229429,1.22284627,0.7010316253,1.531513691
SL,std,0,0,0.0001,27,1,5,0.6032051282,0.7471999526,0.6200000048,0.7471999526,0,0,-0.1060753912,6.769382477,-2.241748095,0.5397793055,46.15776439,0,0,-1.856221795,4.581279755,-10.38969231,0.3993989825,35.21694784,1.236567497,0.7078803182,1.574426413
SL,std,0,0,0.0001,28,0,1,0.9448317308,1,1,1,0,0,-2.306021452,6.28869772,-8.919330597,0.4344548285,45.14098764,0,0,-2.543640375,3.458511591,-10.68745899,0.2694464028,28.74949162,1.230888844,0.7097942233,1.60800302
SL,std,0,0,0.0001,29,1,5,0.6525240385,0.7827999592,0.7160000205,0.7827999592,0,0,-0.6874310374,7.728878975,-4.576462269,0.514302671,45.54552792,0,0,-3.422485352,4.779259205,-10.43531132,0.3417309225,33.79614554,1.270707369,0.7130303383,1.628641009
SL,std,0,0,0.0001,30,0,1,0.9544871795,1,0.9899999499,1,0,0,-4.935839176,8.504027367,-16.64709854,0.337644875,33.97916775,0,0,-4.008711338,4.771326542,-16.7461338,0.2186732292,23.01573429,1.275534511,0.7173674107,1.644862294
SL,std,1,1,0.0001,1,1,5,0.6675080128,0.7919999957,0.6500000358,0.7919999957,0,0,0.5776875019,6.078226089,-6.176626205,0.5919983387,31.51903268,0,0,1.31717205,2.913242817,-6.546447277,0.697088182,22.07664344,0.7232457399,0.6053065658,0.6288018227
SL,std,1,1,0.0001,2,0,1,0.9577323718,1,0.9899999499,1,0,0,-0.9959896803,4.323716164,-4.640684605,0.4278621972,27.26277072,0,0,-0.5664308071,2.471030235,-7.512267113,0.4993467331,17.4624477,0.717627883,0.6039364338,0.6662701964
SL,std,1,1,0.0001,3,1,5,0.6284054487,0.7671999931,0.6320000291,0.7671999931,0,0,0.2698633373,5.394827366,-3.914235115,0.5758024454,40.09119652,0,0,0.9515548348,2.683402777,-4.397945881,0.6468912363,28.96866845,0.7945122719,0.6132749319,0.7575417757
SL,std,1,1,0.0001,4,0,1,0.9666266026,1,0.9899999499,1,0,0,-3.659272909,4.726689339,-12.10062408,0.2395988554,23.22513811,0,0,-0.8106347919,2.37778616,-10.19906425,0.3423246741,15.24860853,0.8054243326,0.6149998903,0.7892656922
SL,std,1,1,0.0001,5,1,5,0.6427884615,0.7871999741,0.6860000491,0.7871999741,0,0,-0.6961554289,6.206757069,-4.551673412,0.4886875749,36.29384553,0,0,-1.034261346,3.357181549,-5.497395039,0.4804198742,25.80836484,0.8463415504,0.6250437498,0.8940012455
SL,std,1,1,0.0001,6,0,1,0.9626201923,1,1,1,0,0,-1.782910466,5.050422192,-9.396025658,0.3916164935,33.33788567,0,0,0.001002368983,2.731999636,-5.958435535,0.4991163015,20.68902629,0.8471499085,0.6254477501,0.93549788
SL,std,1,1,0.0001,7,1,5,0.6497195513,0.7999999523,0.6840000153,0.7999999523,0,0,-0.1546119303,5.368478775,-3.13297677,0.5297988057,45.82796274,0,0,-1.04254663,2.893564224,-5.814935207,0.3952991068,32.39986369,0.8821467161,0.6316128373,1.043223739
SL,std,1,1,0.0001,8,0,1,0.9543669872,1,1,1,0,0,-0.09665587544,6.713599682,-4.587624073,0.5473530293,27.52106987,0,0,-3.207828045,4.656455994,-10.89313507,0.1888458282,14.53072802,0.8930494785,0.6340108514,1.090200663
SL,std,1,1,0.0001,9,1,5,0.6145833333,0.7559999824,0.6500000358,0.7559999824,0,0,-0.5659660697,5.459889889,-4.511070251,0.5117599368,40.89854864,0,0,-2.783527374,3.290459871,-8.992460251,0.2522244751,26.61138484,0.930262208,0.6442695856,1.142397761
SL,std,1,1,0.0001,10,0,1,0.9482772436,1,1,1,0,0,-3.141382933,6.248796463,-25.16539574,0.3788385987,21.51055273,0,0,-3.900119066,4.269101143,-17.09638214,0.1837015301,11.95082444,0.9530805349,0.6461399794,1.16930449
SL,std,1,1,0.0001,11,1,5,0.6365785256,0.7795999646,0.6920000315,0.7795999646,0,0,-0.2381494045,7.746461868,-2.667123318,0.5293595195,43.94894532,0,0,-2.696692228,4.008577347,-11.54815292,0.3256722987,29.51402957,0.9954999089,0.6561621428,1.210138917
