[18:22:23] CHB/raw task  1/30 hard alive 10/10 online 0.509 test 0.587 0.67 ms/step  0.1 min, ETA 1.5 min
[18:22:23] CHB/raw task  2/30 easy alive 10/10 online 0.849 test 0.796 0.65 ms/step  0.1 min, ETA 0.9 min
[18:22:24] CHB/raw task  3/30 hard alive 10/10 online 0.504 test 0.499 0.65 ms/step  0.1 min, ETA 0.6 min
[18:22:24] CHB/raw task  4/30 easy alive 10/10 online 0.780 test 0.667 0.65 ms/step  0.1 min, ETA 0.5 min
[18:22:25] CHB/raw task  5/30 hard alive 10/10 online 0.434 test 0.480 0.65 ms/step  0.1 min, ETA 0.4 min
[18:22:25] CHB/raw task  6/30 easy alive 10/10 online 0.866 test 0.870 0.65 ms/step  0.1 min, ETA 0.4 min
[18:22:26] CHB/raw task  7/30 hard alive 10/10 online 0.448 test 0.492 0.65 ms/step  0.1 min, ETA 0.3 min
[18:22:26] CHB/raw task  8/30 easy alive 10/10 online 0.890 test 0.841 0.65 ms/step  0.1 min, ETA 0.3 min
[18:22:27] CHB/raw task  9/30 hard alive 10/10 online 0.476 test 0.523 0.65 ms/step  0.1 min, ETA 0.3 min
[18:22:27] CHB/raw task 10/30 easy alive 10/10 online 0.910 test 0.914 0.65 ms/step  0.1 min, ETA 0.3 min
[18:22:28] CHB/raw task 11/30 hard alive 10/10 online 0.473 test 0.491 0.65 ms/step  0.1 min, ETA 0.2 min
[18:22:28] CHB/raw task 12/30 easy alive 10/10 online 0.912 test 0.886 0.65 ms/step  0.1 min, ETA 0.2 min
[18:22:29] CHB/raw task 13/30 hard alive 10/10 online 0.537 test 0.593 0.65 ms/step  0.2 min, ETA 0.2 min
[18:22:29] CHB/raw task 14/30 easy alive 10/10 online 0.917 test 0.889 0.65 ms/step  0.2 min, ETA 0.2 min
[18:22:30] CHB/raw task 15/30 hard alive 10/10 online 0.517 test 0.555 0.65 ms/step  0.2 min, ETA 0.2 min
[18:22:30] CHB/raw task 16/30 easy alive 10/10 online 0.932 test 0.915 0.65 ms/step  0.2 min, ETA 0.2 min
[18:22:31] CHB/raw task 17/30 hard alive 10/10 online 0.515 test 0.551 0.65 ms/step  0.2 min, ETA 0.1 min
[18:22:32] CHB/raw task 18/30 easy alive 10/10 online 0.924 test 0.879 0.65 ms/step  0.2 min, ETA 0.1 min
[18:22:32] CHB/raw task 19/30 hard alive 10/10 online 0.481 test 0.526 0.65 ms/step  0.2 min, ETA 0.1 min
[18:22:33] CHB/raw task 20/30 easy alive 10/10 online 0.921 test 0.873 0.65 ms/step  0.2 min, ETA 0.1 min
[18:22:33] CHB/raw task 21/30 hard alive 10/10 online 0.487 test 0.538 0.65 ms/step  0.2 min, ETA 0.1 min
[18:22:34] CHB/raw task 22/30 easy alive 10/10 online 0.940 test 0.894 0.65 ms/step  0.2 min, ETA 0.1 min
[18:22:34] CHB/raw task 23/30 hard alive 10/10 online 0.530 test 0.580 0.65 ms/step  0.2 min, ETA 0.1 min
[18:22:35] CHB/raw task 24/30 easy alive 10/10 online 0.939 test 0.916 0.65 ms/step  0.3 min, ETA 0.1 min
[18:22:35] CHB/raw task 25/30 hard alive 10/10 online 0.505 test 0.563 0.65 ms/step  0.3 min, ETA 0.1 min
[18:22:36] CHB/raw task 26/30 easy alive 10/10 online 0.935 test 0.886 0.65 ms/step  0.3 min, ETA 0.0 min
[18:22:36] CHB/raw task 27/30 hard alive 10/10 online 0.500 test 0.554 0.65 ms/step  0.3 min, ETA 0.0 min
[18:22:37] CHB/raw task 28/30 easy alive 10/10 online 0.938 test 0.918 0.65 ms/step  0.3 min, ETA 0.0 min
[18:22:37] CHB/raw task 29/30 hard alive 10/10 online 0.470 test 0.509 0.65 ms/step  0.3 min, ETA 0.0 min
[18:22:38] CHB/raw task 30/30 easy alive 10/10 online 0.935 test 0.906 0.65 ms/step  0.3 min, ETA 0.0 min
[18:22:38] CHB/raw fresh control on task 29: gap median -0.002 (4/10 positive)
wrote results/cifar5p1_mlp_0920/CHB_raw_doors/per_task.csv (300 rows, 0.3 min)
