[16:29:29] CR/std task  1/30 hard alive 10/10 online 0.652 test 0.650 0.67 ms/step  0.1 min, ETA 1.5 min
[16:29:30] CR/std task  2/30 easy alive 10/10 online 0.965 test 1.000 0.66 ms/step  0.1 min, ETA 0.9 min
[16:29:30] CR/std task  3/30 hard alive 10/10 online 0.663 test 0.679 0.66 ms/step  0.1 min, ETA 0.6 min
[16:29:31] CR/std task  4/30 easy alive 10/10 online 0.965 test 1.000 0.66 ms/step  0.1 min, ETA 0.5 min
[16:29:31] CR/std task  5/30 hard alive 10/10 online 0.654 test 0.666 0.66 ms/step  0.1 min, ETA 0.4 min
[16:29:32] CR/std task  6/30 easy alive 10/10 online 0.957 test 1.000 0.66 ms/step  0.1 min, ETA 0.4 min
[16:29:32] CR/std task  7/30 hard alive 10/10 online 0.655 test 0.672 0.66 ms/step  0.1 min, ETA 0.4 min
[16:29:33] CR/std task  8/30 easy alive 10/10 online 0.955 test 1.000 0.66 ms/step  0.1 min, ETA 0.3 min
[16:29:33] CR/std task  9/30 hard alive 10/10 online 0.654 test 0.674 0.66 ms/step  0.1 min, ETA 0.3 min
[16:29:34] CR/std task 10/30 easy alive 10/10 online 0.952 test 0.999 0.66 ms/step  0.1 min, ETA 0.3 min
[16:29:34] CR/std task 11/30 hard alive 10/10 online 0.626 test 0.657 0.66 ms/step  0.1 min, ETA 0.2 min
[16:29:35] CR/std task 12/30 easy alive 10/10 online 0.938 test 1.000 0.66 ms/step  0.2 min, ETA 0.2 min
[16:29:36] CR/std task 13/30 hard alive 10/10 online 0.652 test 0.711 0.66 ms/step  0.2 min, ETA 0.2 min
[16:29:36] CR/std task 14/30 easy alive 10/10 online 0.936 test 0.998 0.66 ms/step  0.2 min, ETA 0.2 min
[16:29:37] CR/std task 15/30 hard alive 10/10 online 0.619 test 0.673 0.66 ms/step  0.2 min, ETA 0.2 min
[16:29:37] CR/std task 16/30 easy alive 10/10 online 0.919 test 1.000 0.66 ms/step  0.2 min, ETA 0.2 min
[16:29:38] CR/std task 17/30 hard alive 10/10 online 0.603 test 0.675 0.66 ms/step  0.2 min, ETA 0.2 min
[16:29:38] CR/std task 18/30 easy alive 10/10 online 0.900 test 0.998 0.66 ms/step  0.2 min, ETA 0.1 min
[16:29:39] CR/std task 19/30 hard alive 10/10 online 0.531 test 0.653 0.66 ms/step  0.2 min, ETA 0.1 min
[16:29:39] CR/std task 20/30 easy alive 10/10 online 0.858 test 1.000 0.66 ms/step  0.2 min, ETA 0.1 min
[16:29:40] CR/std task 21/30 hard alive 10/10 online 0.470 test 0.638 0.66 ms/step  0.2 min, ETA 0.1 min
[16:29:40] CR/std task 22/30 easy alive 10/10 online 0.768 test 0.996 0.66 ms/step  0.2 min, ETA 0.1 min
[16:29:41] CR/std task 23/30 hard alive 10/10 online 0.353 test 0.646 0.66 ms/step  0.3 min, ETA 0.1 min
[16:29:42] CR/std task 24/30 easy alive 10/10 online 0.603 test 0.979 0.66 ms/step  0.3 min, ETA 0.1 min
[16:29:42] CR/std task 25/30 hard alive 10/10 online 0.145 test 0.510 0.66 ms/step  0.3 min, ETA 0.1 min
[16:29:43] CR/std task 26/30 easy alive 10/10 online 0.293 test 0.886 0.66 ms/step  0.3 min, ETA 0.0 min
[16:29:43] CR/std task 27/30 hard alive 10/10 online 0.013 test 0.082 0.66 ms/step  0.3 min, ETA 0.0 min
[16:29:44] CR/std task 28/30 easy alive 10/10 online 0.064 test 0.354 0.66 ms/step  0.3 min, ETA 0.0 min
[16:29:44] CR/std task 29/30 hard alive 10/10 online 0.000 test 0.000 0.66 ms/step  0.3 min, ETA 0.0 min
[16:29:45] CR/std task 30/30 easy alive 10/10 online 0.014 test 0.181 0.66 ms/step  0.3 min, ETA 0.0 min
[16:29:45] CR/std fresh control on task 29: gap median +0.622 (10/10 positive)
wrote /home/i_nakatsuka/Projects/lop_analysis/.claude/worktrees/cifar5p1_mlp_0920/results/cifar5p1_mlp_0920/CR_std_lr0.0001_h94/per_task.csv (300 rows, 0.3 min)
