[16:50:03] R/std+l2init:1e-4 task  1/30 hard alive 10/10 online 0.657 test 0.651 0.70 ms/step  0.1 min, ETA 1.6 min
[16:50:04] R/std+l2init:1e-4 task  2/30 easy alive 10/10 online 0.961 test 1.000 0.69 ms/step  0.1 min, ETA 0.9 min
[16:50:04] R/std+l2init:1e-4 task  3/30 hard alive 10/10 online 0.640 test 0.669 0.69 ms/step  0.1 min, ETA 0.6 min
[16:50:05] R/std+l2init:1e-4 task  4/30 easy alive 10/10 online 0.953 test 0.998 0.69 ms/step  0.1 min, ETA 0.5 min
[16:50:05] R/std+l2init:1e-4 task  5/30 hard alive 10/10 online 0.619 test 0.652 0.69 ms/step  0.1 min, ETA 0.5 min
[16:50:06] R/std+l2init:1e-4 task  6/30 easy alive 10/10 online 0.943 test 0.999 0.69 ms/step  0.1 min, ETA 0.4 min
[16:50:07] R/std+l2init:1e-4 task  7/30 hard alive 10/10 online 0.606 test 0.660 0.69 ms/step  0.1 min, ETA 0.4 min
[16:50:07] R/std+l2init:1e-4 task  8/30 easy alive 10/10 online 0.938 test 0.998 0.69 ms/step  0.1 min, ETA 0.3 min
[16:50:08] R/std+l2init:1e-4 task  9/30 hard alive 10/10 online 0.592 test 0.657 0.69 ms/step  0.1 min, ETA 0.3 min
[16:50:08] R/std+l2init:1e-4 task 10/30 easy alive 10/10 online 0.934 test 0.997 0.69 ms/step  0.1 min, ETA 0.3 min
[16:50:09] R/std+l2init:1e-4 task 11/30 hard alive 10/10 online 0.572 test 0.641 0.69 ms/step  0.1 min, ETA 0.3 min
[16:50:09] R/std+l2init:1e-4 task 12/30 easy alive 10/10 online 0.932 test 0.996 0.69 ms/step  0.2 min, ETA 0.2 min
[16:50:10] R/std+l2init:1e-4 task 13/30 hard alive 10/10 online 0.622 test 0.696 0.69 ms/step  0.2 min, ETA 0.2 min
[16:50:10] R/std+l2init:1e-4 task 14/30 easy alive 10/10 online 0.943 test 0.995 0.69 ms/step  0.2 min, ETA 0.2 min
[16:50:11] R/std+l2init:1e-4 task 15/30 hard alive 10/10 online 0.611 test 0.662 0.69 ms/step  0.2 min, ETA 0.2 min
[16:50:12] R/std+l2init:1e-4 task 16/30 easy alive 10/10 online 0.944 test 1.000 0.69 ms/step  0.2 min, ETA 0.2 min
[16:50:12] R/std+l2init:1e-4 task 17/30 hard alive 10/10 online 0.621 test 0.668 0.69 ms/step  0.2 min, ETA 0.2 min
[16:50:13] R/std+l2init:1e-4 task 18/30 easy alive 10/10 online 0.943 test 0.997 0.69 ms/step  0.2 min, ETA 0.1 min
[16:50:13] R/std+l2init:1e-4 task 19/30 hard alive 10/10 online 0.603 test 0.644 0.69 ms/step  0.2 min, ETA 0.1 min
[16:50:14] R/std+l2init:1e-4 task 20/30 easy alive 10/10 online 0.951 test 1.000 0.69 ms/step  0.2 min, ETA 0.1 min
[16:50:14] R/std+l2init:1e-4 task 21/30 hard alive 10/10 online 0.606 test 0.639 0.69 ms/step  0.2 min, ETA 0.1 min
[16:50:15] R/std+l2init:1e-4 task 22/30 easy alive 10/10 online 0.949 test 1.000 0.69 ms/step  0.2 min, ETA 0.1 min
[16:50:16] R/std+l2init:1e-4 task 23/30 hard alive 10/10 online 0.633 test 0.673 0.69 ms/step  0.3 min, ETA 0.1 min
[16:50:16] R/std+l2init:1e-4 task 24/30 easy alive 10/10 online 0.950 test 0.998 0.69 ms/step  0.3 min, ETA 0.1 min
[16:50:17] R/std+l2init:1e-4 task 25/30 hard alive 10/10 online 0.628 test 0.668 0.69 ms/step  0.3 min, ETA 0.1 min
[16:50:17] R/std+l2init:1e-4 task 26/30 easy alive 10/10 online 0.950 test 1.000 0.69 ms/step  0.3 min, ETA 0.0 min
[16:50:18] R/std+l2init:1e-4 task 27/30 hard alive 10/10 online 0.626 test 0.654 0.69 ms/step  0.3 min, ETA 0.0 min
[16:50:18] R/std+l2init:1e-4 task 28/30 easy alive 10/10 online 0.950 test 0.999 0.69 ms/step  0.3 min, ETA 0.0 min
[16:50:19] R/std+l2init:1e-4 task 29/30 hard alive 10/10 online 0.595 test 0.626 0.69 ms/step  0.3 min, ETA 0.0 min
[16:50:19] R/std+l2init:1e-4 task 30/30 easy alive 10/10 online 0.949 test 0.997 0.69 ms/step  0.3 min, ETA 0.0 min
[16:50:20] R/std fresh control on task 29: gap median +0.032 (10/10 positive)
wrote /home/i_nakatsuka/Projects/lop_analysis/.claude/worktrees/cifar5p1_mlp_0920/results/cifar5p1_mlp_0920/R_std_lr0.0001_l2init1e-4/per_task.csv (300 rows, 0.3 min)
