step,run_id,loss
1000,A_w5_T10000_std_lr0.01_s0,1.47897
1000,A_w5_T10000_std_lr0.01_s1,0.956742
1000,A_w5_T10000_std_lr0.01_s2,0.43554
1000,A_w5_T10000_std_lr0.01_s3,1.88094
1000,A_w5_T10000_std_lr0.01_s4,0.992192
2000,A_w5_T10000_std_lr0.01_s0,1.08688
2000,A_w5_T10000_std_lr0.01_s1,0.602938
2000,A_w5_T10000_std_lr0.01_s2,0.262564
2000,A_w5_T10000_std_lr0.01_s3,1.09051
2000,A_w5_T10000_std_lr0.01_s4,0.672076
3000,A_w5_T10000_std_lr0.01_s0,1.06668
3000,A_w5_T10000_std_lr0.01_s1,0.49059
3000,A_w5_T10000_std_lr0.01_s2,0.305575
3000,A_w5_T10000_std_lr0.01_s3,1.04499
3000,A_w5_T10000_std_lr0.01_s4,0.533532
4000,A_w5_T10000_std_lr0.01_s0,1.18733
4000,A_w5_T10000_std_lr0.01_s1,0.453863
4000,A_w5_T10000_std_lr0.01_s2,0.272499
4000,A_w5_T10000_std_lr0.01_s3,0.996536
4000,A_w5_T10000_std_lr0.01_s4,0.520682
5000,A_w5_T10000_std_lr0.01_s0,1.19522
5000,A_w5_T10000_std_lr0.01_s1,0.400452
5000,A_w5_T10000_std_lr0.01_s2,0.266485
5000,A_w5_T10000_std_lr0.01_s3,0.950847
5000,A_w5_T10000_std_lr0.01_s4,0.450535
6000,A_w5_T10000_std_lr0.01_s0,1.16133
6000,A_w5_T10000_std_lr0.01_s1,0.398603
6000,A_w5_T10000_std_lr0.01_s2,0.265321
6000,A_w5_T10000_std_lr0.01_s3,0.920452
6000,A_w5_T10000_std_lr0.01_s4,0.432445
7000,A_w5_T10000_std_lr0.01_s0,1.08024
7000,A_w5_T10000_std_lr0.01_s1,0.385141
7000,A_w5_T10000_std_lr0.01_s2,0.262182
7000,A_w5_T10000_std_lr0.01_s3,0.951954
7000,A_w5_T10000_std_lr0.01_s4,0.444105
8000,A_w5_T10000_std_lr0.01_s0,1.13393
8000,A_w5_T10000_std_lr0.01_s1,0.40629
8000,A_w5_T10000_std_lr0.01_s2,0.263204
8000,A_w5_T10000_std_lr0.01_s3,0.948331
8000,A_w5_T10000_std_lr0.01_s4,0.431044
9000,A_w5_T10000_std_lr0.01_s0,1.1279
9000,A_w5_T10000_std_lr0.01_s1,0.374152
9000,A_w5_T10000_std_lr0.01_s2,0.278117
9000,A_w5_T10000_std_lr0.01_s3,0.907543
9000,A_w5_T10000_std_lr0.01_s4,0.426273
10000,A_w5_T10000_std_lr0.01_s0,1.13537
10000,A_w5_T10000_std_lr0.01_s1,0.378514
10000,A_w5_T10000_std_lr0.01_s2,0.243123
10000,A_w5_T10000_std_lr0.01_s3,1.00286
10000,A_w5_T10000_std_lr0.01_s4,0.440559
11000,A_w5_T10000_std_lr0.01_s0,0.885841
11000,A_w5_T10000_std_lr0.01_s1,0.433963
11000,A_w5_T10000_std_lr0.01_s2,0.518107
11000,A_w5_T10000_std_lr0.01_s3,1.2083
11000,A_w5_T10000_std_lr0.01_s4,0.341262
12000,A_w5_T10000_std_lr0.01_s0,0.743535
12000,A_w5_T10000_std_lr0.01_s1,0.296766
12000,A_w5_T10000_std_lr0.01_s2,0.415625
12000,A_w5_T10000_std_lr0.01_s3,1.10942
12000,A_w5_T10000_std_lr0.01_s4,0.250226
13000,A_w5_T10000_std_lr0.01_s0,0.703379
13000,A_w5_T10000_std_lr0.01_s1,0.239434
13000,A_w5_T10000_std_lr0.01_s2,0.441303
13000,A_w5_T10000_std_lr0.01_s3,1.06933
13000,A_w5_T10000_std_lr0.01_s4,0.223914
14000,A_w5_T10000_std_lr0.01_s0,0.652368
14000,A_w5_T10000_std_lr0.01_s1,0.233933
14000,A_w5_T10000_std_lr0.01_s2,0.418258
14000,A_w5_T10000_std_lr0.01_s3,0.96049
14000,A_w5_T10000_std_lr0.01_s4,0.236319
15000,A_w5_T10000_std_lr0.01_s0,0.708127
15000,A_w5_T10000_std_lr0.01_s1,0.226489
15000,A_w5_T10000_std_lr0.01_s2,0.387172
15000,A_w5_T10000_std_lr0.01_s3,0.941882
15000,A_w5_T10000_std_lr0.01_s4,0.241106
16000,A_w5_T10000_std_lr0.01_s0,0.691876
16000,A_w5_T10000_std_lr0.01_s1,0.186359
16000,A_w5_T10000_std_lr0.01_s2,0.404917
16000,A_w5_T10000_std_lr0.01_s3,0.904221
16000,A_w5_T10000_std_lr0.01_s4,0.237079
17000,A_w5_T10000_std_lr0.01_s0,0.673461
17000,A_w5_T10000_std_lr0.01_s1,0.167937
17000,A_w5_T10000_std_lr0.01_s2,0.434927
17000,A_w5_T10000_std_lr0.01_s3,0.871012
17000,A_w5_T10000_std_lr0.01_s4,0.238569
18000,A_w5_T10000_std_lr0.01_s0,0.63912
18000,A_w5_T10000_std_lr0.01_s1,0.155279
18000,A_w5_T10000_std_lr0.01_s2,0.40035
18000,A_w5_T10000_std_lr0.01_s3,0.937113
18000,A_w5_T10000_std_lr0.01_s4,0.239459
19000,A_w5_T10000_std_lr0.01_s0,0.672319
19000,A_w5_T10000_std_lr0.01_s1,0.165142
19000,A_w5_T10000_std_lr0.01_s2,0.385187
19000,A_w5_T10000_std_lr0.01_s3,0.887743
19000,A_w5_T10000_std_lr0.01_s4,0.223733
20000,A_w5_T10000_std_lr0.01_s0,0.684036
20000,A_w5_T10000_std_lr0.01_s1,0.152458
20000,A_w5_T10000_std_lr0.01_s2,0.469247
20000,A_w5_T10000_std_lr0.01_s3,0.870713
20000,A_w5_T10000_std_lr0.01_s4,0.237543
21000,A_w5_T10000_std_lr0.01_s0,0.885653
21000,A_w5_T10000_std_lr0.01_s1,0.539026
21000,A_w5_T10000_std_lr0.01_s2,0.695709
21000,A_w5_T10000_std_lr0.01_s3,0.92787
21000,A_w5_T10000_std_lr0.01_s4,0.461493
22000,A_w5_T10000_std_lr0.01_s0,0.940282
22000,A_w5_T10000_std_lr0.01_s1,0.38179
22000,A_w5_T10000_std_lr0.01_s2,0.582455
22000,A_w5_T10000_std_lr0.01_s3,0.828003
22000,A_w5_T10000_std_lr0.01_s4,0.417136
23000,A_w5_T10000_std_lr0.01_s0,0.883055
23000,A_w5_T10000_std_lr0.01_s1,0.300234
23000,A_w5_T10000_std_lr0.01_s2,0.478601
23000,A_w5_T10000_std_lr0.01_s3,0.811548
23000,A_w5_T10000_std_lr0.01_s4,0.403804
24000,A_w5_T10000_std_lr0.01_s0,0.840734
24000,A_w5_T10000_std_lr0.01_s1,0.304149
24000,A_w5_T10000_std_lr0.01_s2,0.432372
24000,A_w5_T10000_std_lr0.01_s3,0.754067
24000,A_w5_T10000_std_lr0.01_s4,0.440104
25000,A_w5_T10000_std_lr0.01_s0,0.823153
25000,A_w5_T10000_std_lr0.01_s1,0.265701
25000,A_w5_T10000_std_lr0.01_s2,0.370736
25000,A_w5_T10000_std_lr0.01_s3,0.619051
25000,A_w5_T10000_std_lr0.01_s4,0.38224
26000,A_w5_T10000_std_lr0.01_s0,0.804181
26000,A_w5_T10000_std_lr0.01_s1,0.26365
26000,A_w5_T10000_std_lr0.01_s2,0.284241
26000,A_w5_T10000_std_lr0.01_s3,0.535336
26000,A_w5_T10000_std_lr0.01_s4,0.403369
27000,A_w5_T10000_std_lr0.01_s0,0.801656
27000,A_w5_T10000_std_lr0.01_s1,0.275248
27000,A_w5_T10000_std_lr0.01_s2,0.216697
27000,A_w5_T10000_std_lr0.01_s3,0.484805
27000,A_w5_T10000_std_lr0.01_s4,0.39532
28000,A_w5_T10000_std_lr0.01_s0,0.795589
28000,A_w5_T10000_std_lr0.01_s1,0.265677
28000,A_w5_T10000_std_lr0.01_s2,0.224204
28000,A_w5_T10000_std_lr0.01_s3,0.497373
28000,A_w5_T10000_std_lr0.01_s4,0.378132
29000,A_w5_T10000_std_lr0.01_s0,0.785433
29000,A_w5_T10000_std_lr0.01_s1,0.283988
29000,A_w5_T10000_std_lr0.01_s2,0.200023
