step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss
0,A_w10_T10000_std_lr0.01_s0,0.3,0.0444444,0.3,3.3327,2.51326,0.202636,0.47,0,0.460641,29.2986,0.0157223,9.24997,0.234118,4.27135,3.26988,0.3,1.28589
0,A_w10_T10000_std_lr0.01_s1,0.4,0.0222222,0.2,3.0871,3.69759,0.172762,0.467778,0,18.8292,16.2856,1.15619,9.15716,0.211332,4.73189,3.5467,0.4,1.51444
0,A_w10_T10000_std_lr0.01_s2,0.2,0,0.2,3.76598,3.09201,0.157302,0.502222,0,0.507567,18.064,0.0280982,9.52055,0.200036,4.99911,4.48093,0.2,2.29279
0,A_w10_T10000_std_lr0.01_s3,0.3,0,0.3,4.38165,3.35322,0.190771,0.478889,0,49.7234,66.8579,0.743718,9.31411,0.247196,4.04538,3.42766,0.3,7.53871
0,A_w10_T10000_std_lr0.01_s4,0.3,0,0.3,3.44392,2.75052,0.151301,0.484444,0,14.924,15.3812,0.970272,9.41002,0.214868,4.65402,4.21468,0.3,1.71564
1000,A_w10_T10000_std_lr0.01_s0,0.4,0,0.4,4.15435,2.49216,0.197039,0.471111,0,2.23574,29.543,0.0756777,9.17264,0.263847,3.79008,2.63695,0.4,0.540064
1000,A_w10_T10000_std_lr0.01_s1,0.4,0,0.4,3.83239,2.6375,0.17342,0.464444,0,0.0360188,11.1678,0.00322525,9.14419,0.200684,4.98296,3.72199,0.4,0.396712
1000,A_w10_T10000_std_lr0.01_s2,0.3,0,0.3,5.40646,2.62023,0.190225,0.51,0,0.734892,29.6862,0.0247554,9.24885,0.308032,3.24642,2.66331,0.3,0.873695
1000,A_w10_T10000_std_lr0.01_s3,0.4,0.0222222,0.4,3.09316,1.34254,0.186489,0.481111,0,0.3748,28.3208,0.0132341,9.09186,0.306841,3.25902,2.30031,0.4,0.548041
1000,A_w10_T10000_std_lr0.01_s4,0.3,0,0.3,3.4755,2.94308,0.150007,0.486667,0,1.11208,11.2936,0.0984701,9.43234,0.225056,4.44333,3.7546,0.3,0.547067
2000,A_w10_T10000_std_lr0.01_s0,0.4,0,0.4,4.20103,2.652,0.198318,0.475556,0,0.728946,22.8639,0.031882,9.11186,0.273785,3.65251,2.58745,0.4,0.504519
2000,A_w10_T10000_std_lr0.01_s1,0.4,0,0.4,4.33137,2.82227,0.177939,0.466667,0,0.380813,7.59263,0.0501555,9.11112,0.20361,4.91134,3.64602,0.4,0.378818
2000,A_w10_T10000_std_lr0.01_s2,0.4,0,0.3,5.54034,2.92832,0.188853,0.511111,0,0.327009,30.364,0.0107696,9.14591,0.323062,3.09538,2.46297,0.4,0.610906
2000,A_w10_T10000_std_lr0.01_s3,0.4,0.0222222,0.4,3.32339,1.40923,0.189261,0.481111,0,3.57703,23.7853,0.150388,9.03281,0.331256,3.01882,2.20824,0.4,0.562203
2000,A_w10_T10000_std_lr0.01_s4,0.3,0,0.3,3.85804,2.57782,0.158812,0.484444,0,0.795107,10.8754,0.0731104,9.35514,0.259572,3.8525,3.01332,0.3,0.453953
3000,A_w10_T10000_std_lr0.01_s0,0.4,0,0.4,4.45173,2.84026,0.193663,0.476667,0,4.0814,18.2279,0.22391,9.10938,0.256603,3.89707,2.84777,0.4,0.55142
3000,A_w10_T10000_std_lr0.01_s1,0.4,0,0.4,4.30111,2.70435,0.181634,0.457778,0,0.105808,9.23352,0.0114591,9.07672,0.211629,4.72526,3.51129,0.4,0.321816
3000,A_w10_T10000_std_lr0.01_s2,0.4,0,0.3,5.80979,3.66888,0.192962,0.513333,0,4.65743,31.7332,0.146768,9.0172,0.300116,3.33204,2.83049,0.4,0.563281
