step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss
0,A_w10_T10000_std_lr0.01_bfull_s0,0.3,0.0444444,0.3,3.44102,2.54673,0.201418,0.47,0,2.01773,26.1415,0.077185,9.26285,0.231596,4.31787,3.28474,0.3,1.39426
0,A_w10_T10000_std_lr0.01_bfull_s1,0.4,0.0222222,0.2,3.10338,3.78004,0.172414,0.467778,0,34.6887,21.9303,1.58177,9.1587,0.210876,4.74212,3.55285,0.4,2.17935
0,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0,0.2,3.77535,3.07889,0.157363,0.502222,0,0.274108,16.9975,0.0161264,9.51921,0.200035,4.99912,4.48014,0.2,2.18467
0,A_w10_T10000_std_lr0.01_bfull_s3,0.3,0,0.3,4.32934,3.29205,0.191368,0.478889,0,35.6655,55.9561,0.637384,9.31096,0.247285,4.04392,3.41733,0.3,6.7609
0,A_w10_T10000_std_lr0.01_bfull_s4,0.3,0,0.3,3.42287,2.698,0.151497,0.484444,0,15.3464,15.2359,1.00725,9.40829,0.215316,4.64434,4.20347,0.3,1.79661
1000,A_w10_T10000_std_lr0.01_bfull_s0,0.4,0,0.3,4.09691,2.99708,0.195617,0.468889,0,0.00733152,39.2012,0.000187023,9.26007,0.220212,4.54108,3.30745,0.4,0.461876
1000,A_w10_T10000_std_lr0.01_bfull_s1,0.3,0.0222222,0.3,3.09778,3.39288,0.167413,0.47,0,0.0287059,13.0867,0.00219352,9.16117,0.201785,4.95576,3.79122,0.3,0.358633
1000,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0,0.2,4.38725,2.93828,0.15764,0.5,0,0.0565948,78.5815,0.000720205,9.45017,0.220713,4.53078,4.11537,0.2,0.852598
1000,A_w10_T10000_std_lr0.01_bfull_s3,0.4,0.0222222,0.4,3.46216,2.05942,0.181361,0.481111,0,0.0183268,54.9686,0.000333406,9.27045,0.24384,4.10105,2.81613,0.4,0.52535
1000,A_w10_T10000_std_lr0.01_bfull_s4,0.4,0,0.4,2.87335,3.00827,0.159743,0.485556,0,0.0253967,17.7639,0.00142968,9.39396,0.231722,4.31552,3.30892,0.4,0.45608
2000,A_w10_T10000_std_lr0.01_bfull_s0,0.4,0,0.3,4.21693,3.03836,0.192922,0.47,0,0.0121281,45.2041,0.000268297,9.25955,0.226059,4.42362,3.49635,0.4,0.439272
2000,A_w10_T10000_std_lr0.01_bfull_s1,0.3,0.0222222,0.3,3.28873,3.71355,0.164994,0.468889,0,0.0459885,14.9336,0.00307954,9.15686,0.207506,4.81914,3.81502,0.3,0.324515
2000,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0,0.2,4.52603,3.63285,0.166392,0.5,0,0.0949777,83.6563,0.00113533,9.36835,0.236167,4.23428,3.61081,0.2,0.528352
2000,A_w10_T10000_std_lr0.01_bfull_s3,0.4,0.0222222,0.4,3.62577,2.19735,0.177572,0.477778,0,0.035759,54.9108,0.00065122,9.28073,0.227222,4.40098,3.03618,0.4,0.474206
2000,A_w10_T10000_std_lr0.01_bfull_s4,0.4,0,0.4,2.93087,2.91113,0.168146,0.481111,0,0.0463552,19.908,0.00232847,9.31119,0.267906,3.73265,2.64691,0.4,0.386919
3000,A_w10_T10000_std_lr0.01_bfull_s0,0.4,0,0.4,4.21851,3.04093,0.191141,0.47,0,0.00470477,48.2965,9.74143e-05,9.24024,0.230995,4.32909,3.6634,0.4,0.419188
3000,A_w10_T10000_std_lr0.01_bfull_s1,0.3,0.0222222,0.3,3.40959,3.80123,0.165845,0.468889,0,0.0641395,18.0951,0.00354457,9.15967,0.216093,4.62764,3.77412,0.3,0.307087
3000,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0.0222222,0.2,4.44721,3.5867,0.178772,0.494444,0,0.220927,85.3017,0.00258995,9.28734,0.273616,3.65476,3.1645,0.2,0.393132
3000,A_w10_T10000_std_lr0.01_bfull_s3,0.4,0.0222222,0.4,3.68861,2.119,0.185495,0.473333,0,0.0431667,66.2061,0.000652005,9.20715,0.239233,4.18003,2.96188,0.4,0.424181
3000,A_w10_T10000_std_lr0.01_bfull_s4,0.4,0,0.4,3.00992,3.06038,0.17125,0.477778,0,0.0292091,24.1447,0.00120975,9.27112,0.2867,3.48797,2.46309,0.4,0.36786
4000,A_w10_T10000_std_lr0.01_bfull_s0,0.4,0,0.4,4.22726,2.98866,0.195622,0.47,0,0.0169477,51.684,0.00032791,9.20082,0.235153,4.25256,3.72419,0.4,0.397958
4000,A_w10_T10000_std_lr0.01_bfull_s1,0.3,0,0.3,3.47931,3.76975,0.168006,0.468889,0,0.126102,24.3646,0.00517561,9.15916,0.223255,4.47919,3.71939,0.3,0.298595
4000,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0.0222222,0.2,4.40872,3.50583,0.182232,0.494444,0,0.417626,105.309,0.00396574,9.25959,0.280932,3.55958,3.1125,0.2,0.367781
4000,A_w10_T10000_std_lr0.01_bfull_s3,0.4,0.0222222,0.4,3.89092,2.16061,0.193402,0.474444,0,0.125896,60.7663,0.0020718,9.10031,0.261311,3.82685,2.81225,0.4,0.348362
4000,A_w10_T10000_std_lr0.01_bfull_s4,0.4,0,0.4,3.06827,3.22605,0.171218,0.477778,0,0.0235325,27.5792,0.000853271,9.25905,0.289468,3.45462,2.45101,0.4,0.359561
5000,A_w10_T10000_std_lr0.01_bfull_s0,0.4,0,0.4,4.2193,2.94251,0.197682,0.47,0,0.181019,56.8848,0.0031822,9.15499,0.236212,4.23348,3.66087,0.4,0.368291
5000,A_w10_T10000_std_lr0.01_bfull_s1,0.3,0,0.3,3.51194,3.72827,0.171134,0.468889,0,0.0990709,26.4804,0.00374128,9.15523,0.231778,4.31447,3.61339,0.3,0.293463
5000,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0.0222222,0.2,4.38053,3.42883,0.184134,0.494444,0,0.505537,111.549,0.00453198,9.24782,0.282222,3.54331,3.1154,0.2,0.361283
5000,A_w10_T10000_std_lr0.01_bfull_s3,0.4,0.0222222,0.4,4.01159,2.29942,0.19892,0.474444,0,0.0651237,65.521,0.000993936,8.97032,0.27613,3.62148,2.76261,0.4,0.279634
5000,A_w10_T10000_std_lr0.01_bfull_s4,0.4,0,0.4,3.10614,3.32029,0.170784,0.478889,0,0.0248296,30.5985,0.000811464,9.25271,0.288946,3.46085,2.47417,0.4,0.351171
6000,A_w10_T10000_std_lr0.01_bfull_s0,0.4,0,0.4,4.16718,2.83647,0.200497,0.467778,0,0.120548,64.4308,0.00187097,9.06269,0.240918,4.15078,3.32893,0.4,0.3382
