step,run_id,loss
1000,A_w50_T10000_std_lr0.01_s0,0.835358
1000,A_w50_T10000_std_lr0.01_s1,0.451823
1000,A_w50_T10000_std_lr0.01_s2,0.685131
1000,A_w50_T10000_std_lr0.01_s3,0.800451
1000,A_w50_T10000_std_lr0.01_s4,0.748012
2000,A_w50_T10000_std_lr0.01_s0,0.63398
2000,A_w50_T10000_std_lr0.01_s1,0.252094
2000,A_w50_T10000_std_lr0.01_s2,0.490907
2000,A_w50_T10000_std_lr0.01_s3,0.500151
2000,A_w50_T10000_std_lr0.01_s4,0.260506
3000,A_w50_T10000_std_lr0.01_s0,0.477236
3000,A_w50_T10000_std_lr0.01_s1,0.137085
3000,A_w50_T10000_std_lr0.01_s2,0.374587
3000,A_w50_T10000_std_lr0.01_s3,0.413397
3000,A_w50_T10000_std_lr0.01_s4,0.125314
4000,A_w50_T10000_std_lr0.01_s0,0.398731
4000,A_w50_T10000_std_lr0.01_s1,0.0768031
4000,A_w50_T10000_std_lr0.01_s2,0.301424
4000,A_w50_T10000_std_lr0.01_s3,0.277714
4000,A_w50_T10000_std_lr0.01_s4,0.0652872
5000,A_w50_T10000_std_lr0.01_s0,0.278584
5000,A_w50_T10000_std_lr0.01_s1,0.052886
5000,A_w50_T10000_std_lr0.01_s2,0.208471
5000,A_w50_T10000_std_lr0.01_s3,0.169235
5000,A_w50_T10000_std_lr0.01_s4,0.0367165
6000,A_w50_T10000_std_lr0.01_s0,0.187076
6000,A_w50_T10000_std_lr0.01_s1,0.02877
6000,A_w50_T10000_std_lr0.01_s2,0.166073
6000,A_w50_T10000_std_lr0.01_s3,0.0999356
6000,A_w50_T10000_std_lr0.01_s4,0.0232979
7000,A_w50_T10000_std_lr0.01_s0,0.153041
7000,A_w50_T10000_std_lr0.01_s1,0.0155628
7000,A_w50_T10000_std_lr0.01_s2,0.102754
7000,A_w50_T10000_std_lr0.01_s3,0.0582815
7000,A_w50_T10000_std_lr0.01_s4,0.0144017
8000,A_w50_T10000_std_lr0.01_s0,0.100755
8000,A_w50_T10000_std_lr0.01_s1,0.00645946
8000,A_w50_T10000_std_lr0.01_s2,0.0686238
8000,A_w50_T10000_std_lr0.01_s3,0.0297607
8000,A_w50_T10000_std_lr0.01_s4,0.0107168
9000,A_w50_T10000_std_lr0.01_s0,0.0569963
9000,A_w50_T10000_std_lr0.01_s1,0.00274199
9000,A_w50_T10000_std_lr0.01_s2,0.0417289
9000,A_w50_T10000_std_lr0.01_s3,0.0153634
9000,A_w50_T10000_std_lr0.01_s4,0.00941667
10000,A_w50_T10000_std_lr0.01_s0,0.0278544
10000,A_w50_T10000_std_lr0.01_s1,0.00116816
10000,A_w50_T10000_std_lr0.01_s2,0.0278531
10000,A_w50_T10000_std_lr0.01_s3,0.00459951
10000,A_w50_T10000_std_lr0.01_s4,0.00788918
11000,A_w50_T10000_std_lr0.01_s0,0.731084
11000,A_w50_T10000_std_lr0.01_s1,0.183998
11000,A_w50_T10000_std_lr0.01_s2,0.425094
11000,A_w50_T10000_std_lr0.01_s3,0.214827
11000,A_w50_T10000_std_lr0.01_s4,0.422162
12000,A_w50_T10000_std_lr0.01_s0,0.246083
12000,A_w50_T10000_std_lr0.01_s1,0.0504123
12000,A_w50_T10000_std_lr0.01_s2,0.192712
12000,A_w50_T10000_std_lr0.01_s3,0.0594607
12000,A_w50_T10000_std_lr0.01_s4,0.265942
13000,A_w50_T10000_std_lr0.01_s0,0.17477
13000,A_w50_T10000_std_lr0.01_s1,0.0217016
13000,A_w50_T10000_std_lr0.01_s2,0.124834
13000,A_w50_T10000_std_lr0.01_s3,0.0322334
13000,A_w50_T10000_std_lr0.01_s4,0.19164
14000,A_w50_T10000_std_lr0.01_s0,0.0942635
14000,A_w50_T10000_std_lr0.01_s1,0.00770711
14000,A_w50_T10000_std_lr0.01_s2,0.0981289
14000,A_w50_T10000_std_lr0.01_s3,0.0194138
14000,A_w50_T10000_std_lr0.01_s4,0.128625
15000,A_w50_T10000_std_lr0.01_s0,0.0599184
15000,A_w50_T10000_std_lr0.01_s1,0.00508048
15000,A_w50_T10000_std_lr0.01_s2,0.0717736
15000,A_w50_T10000_std_lr0.01_s3,0.0104226
15000,A_w50_T10000_std_lr0.01_s4,0.0971013
16000,A_w50_T10000_std_lr0.01_s0,0.0483654
16000,A_w50_T10000_std_lr0.01_s1,0.00216633
16000,A_w50_T10000_std_lr0.01_s2,0.0518797
16000,A_w50_T10000_std_lr0.01_s3,0.0069855
16000,A_w50_T10000_std_lr0.01_s4,0.0671662
17000,A_w50_T10000_std_lr0.01_s0,0.0295766
17000,A_w50_T10000_std_lr0.01_s1,0.000843747
17000,A_w50_T10000_std_lr0.01_s2,0.0395194
17000,A_w50_T10000_std_lr0.01_s3,0.00438648
17000,A_w50_T10000_std_lr0.01_s4,0.0418335
18000,A_w50_T10000_std_lr0.01_s0,0.0243357
18000,A_w50_T10000_std_lr0.01_s1,0.000498669
18000,A_w50_T10000_std_lr0.01_s2,0.0301645
18000,A_w50_T10000_std_lr0.01_s3,0.00283215
18000,A_w50_T10000_std_lr0.01_s4,0.0305676
19000,A_w50_T10000_std_lr0.01_s0,0.0150828
19000,A_w50_T10000_std_lr0.01_s1,0.000343359
19000,A_w50_T10000_std_lr0.01_s2,0.0212901
19000,A_w50_T10000_std_lr0.01_s3,0.00169006
19000,A_w50_T10000_std_lr0.01_s4,0.0167914
20000,A_w50_T10000_std_lr0.01_s0,0.00839559
20000,A_w50_T10000_std_lr0.01_s1,0.000177105
20000,A_w50_T10000_std_lr0.01_s2,0.0165436
20000,A_w50_T10000_std_lr0.01_s3,0.00124954
20000,A_w50_T10000_std_lr0.01_s4,0.0126133
21000,A_w50_T10000_std_lr0.01_s0,1.55014
21000,A_w50_T10000_std_lr0.01_s1,0.347685
21000,A_w50_T10000_std_lr0.01_s2,0.314576
21000,A_w50_T10000_std_lr0.01_s3,0.298462
21000,A_w50_T10000_std_lr0.01_s4,0.356228
22000,A_w50_T10000_std_lr0.01_s0,1.02434
22000,A_w50_T10000_std_lr0.01_s1,0.0993373
22000,A_w50_T10000_std_lr0.01_s2,0.144128
22000,A_w50_T10000_std_lr0.01_s3,0.162824
22000,A_w50_T10000_std_lr0.01_s4,0.0985408
23000,A_w50_T10000_std_lr0.01_s0,0.643355
23000,A_w50_T10000_std_lr0.01_s1,0.0406835
23000,A_w50_T10000_std_lr0.01_s2,0.0967268
23000,A_w50_T10000_std_lr0.01_s3,0.0974679
23000,A_w50_T10000_std_lr0.01_s4,0.0611147
24000,A_w50_T10000_std_lr0.01_s0,0.425628
24000,A_w50_T10000_std_lr0.01_s1,0.0213472
24000,A_w50_T10000_std_lr0.01_s2,0.0806843
24000,A_w50_T10000_std_lr0.01_s3,0.0462889
24000,A_w50_T10000_std_lr0.01_s4,0.0374726
25000,A_w50_T10000_std_lr0.01_s0,0.335124
25000,A_w50_T10000_std_lr0.01_s1,0.00997251
25000,A_w50_T10000_std_lr0.01_s2,0.0586602
25000,A_w50_T10000_std_lr0.01_s3,0.0278898
25000,A_w50_T10000_std_lr0.01_s4,0.0208382
26000,A_w50_T10000_std_lr0.01_s0,0.269812
26000,A_w50_T10000_std_lr0.01_s1,0.00323461
26000,A_w50_T10000_std_lr0.01_s2,0.0468726
26000,A_w50_T10000_std_lr0.01_s3,0.0152341
26000,A_w50_T10000_std_lr0.01_s4,0.00887033
27000,A_w50_T10000_std_lr0.01_s0,0.197937
27000,A_w50_T10000_std_lr0.01_s1,0.0013352
27000,A_w50_T10000_std_lr0.01_s2,0.0337964
27000,A_w50_T10000_std_lr0.01_s3,0.0126888
27000,A_w50_T10000_std_lr0.01_s4,0.00459032
28000,A_w50_T10000_std_lr0.01_s0,0.198593
28000,A_w50_T10000_std_lr0.01_s1,0.000512044
28000,A_w50_T10000_std_lr0.01_s2,0.026141
28000,A_w50_T10000_std_lr0.01_s3,0.00683099
28000,A_w50_T10000_std_lr0.01_s4,0.00207522
29000,A_w50_T10000_std_lr0.01_s0,0.139499
29000,A_w50_T10000_std_lr0.01_s1,0.000172932
29000,A_w50_T10000_std_lr0.01_s2,0.0245449
29000,A_w50_T10000_std_lr0.01_s3,0.00511477
29000,A_w50_T10000_std_lr0.01_s4,0.000834376
30000,A_w50_T10000_std_lr0.01_s0,0.141618
30000,A_w50_T10000_std_lr0.01_s1,7.04918e-05
30000,A_w50_T10000_std_lr0.01_s2,0.0127214
30000,A_w50_T10000_std_lr0.01_s3,0.00316761
30000,A_w50_T10000_std_lr0.01_s4,0.000266255
31000,A_w50_T10000_std_lr0.01_s0,0.796483
31000,A_w50_T10000_std_lr0.01_s1,0.193141
31000,A_w50_T10000_std_lr0.01_s2,0.870936
31000,A_w50_T10000_std_lr0.01_s3,0.714145
31000,A_w50_T10000_std_lr0.01_s4,0.472422
32000,A_w50_T10000_std_lr0.01_s0,0.446703
32000,A_w50_T10000_std_lr0.01_s1,0.0390745
32000,A_w50_T10000_std_lr0.01_s2,0.511494
32000,A_w50_T10000_std_lr0.01_s3,0.408391
32000,A_w50_T10000_std_lr0.01_s4,0.198061
33000,A_w50_T10000_std_lr0.01_s0,0.323945
33000,A_w50_T10000_std_lr0.01_s1,0.0170812
33000,A_w50_T10000_std_lr0.01_s2,0.370567
33000,A_w50_T10000_std_lr0.01_s3,0.323319
33000,A_w50_T10000_std_lr0.01_s4,0.149341
34000,A_w50_T10000_std_lr0.01_s0,0.263635
34000,A_w50_T10000_std_lr0.01_s1,0.00923483
34000,A_w50_T10000_std_lr0.01_s2,0.312936
34000,A_w50_T10000_std_lr0.01_s3,0.262969
34000,A_w50_T10000_std_lr0.01_s4,0.112088
35000,A_w50_T10000_std_lr0.01_s0,0.261799
35000,A_w50_T10000_std_lr0.01_s1,0.00439578
35000,A_w50_T10000_std_lr0.01_s2,0.275667
35000,A_w50_T10000_std_lr0.01_s3,0.215456
35000,A_w50_T10000_std_lr0.01_s4,0.0784293
36000,A_w50_T10000_std_lr0.01_s0,0.21787
36000,A_w50_T10000_std_lr0.01_s1,0.00196822
36000,A_w50_T10000_std_lr0.01_s2,0.200272
36000,A_w50_T10000_std_lr0.01_s3,0.157794
36000,A_w50_T10000_std_lr0.01_s4,0.0572299
37000,A_w50_T10000_std_lr0.01_s0,0.219207
37000,A_w50_T10000_std_lr0.01_s1,0.00121936
37000,A_w50_T10000_std_lr0.01_s2,0.207652
37000,A_w50_T10000_std_lr0.01_s3,0.134556
37000,A_w50_T10000_std_lr0.01_s4,0.0374567
38000,A_w50_T10000_std_lr0.01_s0,0.238802
38000,A_w50_T10000_std_lr0.01_s1,0.000729377
38000,A_w50_T10000_std_lr0.01_s2,0.147966
38000,A_w50_T10000_std_lr0.01_s3,0.0886672
38000,A_w50_T10000_std_lr0.01_s4,0.0182595
39000,A_w50_T10000_std_lr0.01_s0,0.186446
39000,A_w50_T10000_std_lr0.01_s1,0.00046382
39000,A_w50_T10000_std_lr0.01_s2,0.120471
39000,A_w50_T10000_std_lr0.01_s3,0.0586645
39000,A_w50_T10000_std_lr0.01_s4,0.0123886
40000,A_w50_T10000_std_lr0.01_s0,0.173378
40000,A_w50_T10000_std_lr0.01_s1,0.000233808
40000,A_w50_T10000_std_lr0.01_s2,0.0961437
40000,A_w50_T10000_std_lr0.01_s3,0.0376182
40000,A_w50_T10000_std_lr0.01_s4,0.00549119
41000,A_w50_T10000_std_lr0.01_s0,0.301991
