switch_step,run_id,post_err
10000,A_w100_T10000_std_lr0.01_bfull_s0,2.11496
10000,A_w100_T10000_std_lr0.01_bfull_s1,0.701248
10000,A_w100_T10000_std_lr0.01_bfull_s2,0.928534
10000,A_w100_T10000_std_lr0.01_bfull_s3,0.654091
10000,A_w100_T10000_std_lr0.01_bfull_s4,0.844693
20000,A_w100_T10000_std_lr0.01_bfull_s0,2.4889
20000,A_w100_T10000_std_lr0.01_bfull_s1,1.93789
20000,A_w100_T10000_std_lr0.01_bfull_s2,6.50852
20000,A_w100_T10000_std_lr0.01_bfull_s3,0.54347
20000,A_w100_T10000_std_lr0.01_bfull_s4,0.883367
30000,A_w100_T10000_std_lr0.01_bfull_s0,13.4438
30000,A_w100_T10000_std_lr0.01_bfull_s1,3.65043
30000,A_w100_T10000_std_lr0.01_bfull_s2,3.1301
30000,A_w100_T10000_std_lr0.01_bfull_s3,1.07708
30000,A_w100_T10000_std_lr0.01_bfull_s4,0.98806
40000,A_w100_T10000_std_lr0.01_bfull_s0,2.02247
40000,A_w100_T10000_std_lr0.01_bfull_s1,1.16037
40000,A_w100_T10000_std_lr0.01_bfull_s2,3.46489
40000,A_w100_T10000_std_lr0.01_bfull_s3,0.893976
40000,A_w100_T10000_std_lr0.01_bfull_s4,0.528588
50000,A_w100_T10000_std_lr0.01_bfull_s0,3.21442
50000,A_w100_T10000_std_lr0.01_bfull_s1,4.00371
50000,A_w100_T10000_std_lr0.01_bfull_s2,1.65709
50000,A_w100_T10000_std_lr0.01_bfull_s3,1.66897
50000,A_w100_T10000_std_lr0.01_bfull_s4,0.772687
60000,A_w100_T10000_std_lr0.01_bfull_s0,5.44677
60000,A_w100_T10000_std_lr0.01_bfull_s1,1.67515
60000,A_w100_T10000_std_lr0.01_bfull_s2,1.43726
60000,A_w100_T10000_std_lr0.01_bfull_s3,1.60692
60000,A_w100_T10000_std_lr0.01_bfull_s4,1.26431
70000,A_w100_T10000_std_lr0.01_bfull_s0,5.76642
70000,A_w100_T10000_std_lr0.01_bfull_s1,1.5467
70000,A_w100_T10000_std_lr0.01_bfull_s2,9.40098
70000,A_w100_T10000_std_lr0.01_bfull_s3,0.479358
70000,A_w100_T10000_std_lr0.01_bfull_s4,2.86568
80000,A_w100_T10000_std_lr0.01_bfull_s0,2.69556
80000,A_w100_T10000_std_lr0.01_bfull_s1,9.71779
80000,A_w100_T10000_std_lr0.01_bfull_s2,0.987017
80000,A_w100_T10000_std_lr0.01_bfull_s3,7.30903
80000,A_w100_T10000_std_lr0.01_bfull_s4,1.84828
90000,A_w100_T10000_std_lr0.01_bfull_s0,1.99387
90000,A_w100_T10000_std_lr0.01_bfull_s1,1.26378
90000,A_w100_T10000_std_lr0.01_bfull_s2,1.86622
90000,A_w100_T10000_std_lr0.01_bfull_s3,5.25651
90000,A_w100_T10000_std_lr0.01_bfull_s4,1.88777
100000,A_w100_T10000_std_lr0.01_bfull_s0,1.97244
100000,A_w100_T10000_std_lr0.01_bfull_s1,7.38403
100000,A_w100_T10000_std_lr0.01_bfull_s2,3.34163
100000,A_w100_T10000_std_lr0.01_bfull_s3,1.55756
100000,A_w100_T10000_std_lr0.01_bfull_s4,6.00343
110000,A_w100_T10000_std_lr0.01_bfull_s0,1.61126
110000,A_w100_T10000_std_lr0.01_bfull_s1,1.26088
110000,A_w100_T10000_std_lr0.01_bfull_s2,9.41164
110000,A_w100_T10000_std_lr0.01_bfull_s3,3.69257
110000,A_w100_T10000_std_lr0.01_bfull_s4,0.566251
120000,A_w100_T10000_std_lr0.01_bfull_s0,1.11846
120000,A_w100_T10000_std_lr0.01_bfull_s1,6.05741
120000,A_w100_T10000_std_lr0.01_bfull_s2,11.4116
120000,A_w100_T10000_std_lr0.01_bfull_s3,0.979205
120000,A_w100_T10000_std_lr0.01_bfull_s4,0.540301
130000,A_w100_T10000_std_lr0.01_bfull_s0,2.71998
130000,A_w100_T10000_std_lr0.01_bfull_s1,5.44775
130000,A_w100_T10000_std_lr0.01_bfull_s2,5.66393
130000,A_w100_T10000_std_lr0.01_bfull_s3,5.76943
130000,A_w100_T10000_std_lr0.01_bfull_s4,0.704446
140000,A_w100_T10000_std_lr0.01_bfull_s0,2.26053
