exp,width,batch,c,seed,run_id,t50_dead,t50_srank_alive_drop,t50_eval_loss_rise,dt50
A,100,full,,0,A_w100_T10000_std_lr0.01_bfull_s0,400200.0,190400.0,970200.0,209800.0
A,100,full,,1,A_w100_T10000_std_lr0.01_bfull_s1,190300.0,62900.0,0.0,127400.0
A,100,full,,2,A_w100_T10000_std_lr0.01_bfull_s2,240300.0,110400.0,0.0,129900.0
A,100,full,,3,A_w100_T10000_std_lr0.01_bfull_s3,250100.0,120500.0,0.0,129600.0
A,100,full,,4,A_w100_T10000_std_lr0.01_bfull_s4,660200.0,90100.0,0.0,570100.0
A,100,1,,0,A_w100_T10000_std_lr0.01_s0,90200.0,102100.0,550300.0,-11900.0
A,100,1,,1,A_w100_T10000_std_lr0.01_s1,60200.0,69000.0,350300.0,-8800.0
A,100,1,,2,A_w100_T10000_std_lr0.01_s2,50200.0,51900.0,380300.0,-1700.0
A,100,1,,3,A_w100_T10000_std_lr0.01_s3,91500.0,110500.0,440300.0,-19000.0
A,100,1,,4,A_w100_T10000_std_lr0.01_s4,60100.0,67000.0,700300.0,-6900.0
A,10,full,,0,A_w10_T10000_std_lr0.01_bfull_s0,350300.0,9000.0,130300.0,341300.0
A,10,full,,1,A_w10_T10000_std_lr0.01_bfull_s1,740100.0,12700.0,0.0,727400.0
A,10,full,,2,A_w10_T10000_std_lr0.01_bfull_s2,160200.0,110700.0,760100.0,49500.0
A,10,full,,3,A_w10_T10000_std_lr0.01_bfull_s3,900000.0,19000.0,0.0,881000.0
A,10,full,,4,A_w10_T10000_std_lr0.01_bfull_s4,295000.0,31800.0,320200.0,263200.0
A,10,1,,0,A_w10_T10000_std_lr0.01_s0,40100.0,11700.0,60100.0,28400.0
A,10,1,,1,A_w10_T10000_std_lr0.01_s1,30100.0,16000.0,510300.0,14100.0
A,10,1,,2,A_w10_T10000_std_lr0.01_s2,30000.0,20200.0,40200.0,9800.0
A,10,1,,3,A_w10_T10000_std_lr0.01_s3,50200.0,60200.0,0.0,-10000.0
A,10,1,,4,A_w10_T10000_std_lr0.01_s4,19900.0,6000.0,50100.0,13900.0
A,20,full,,0,A_w20_T10000_std_lr0.01_bfull_s0,771100.0,17000.0,0.0,754100.0
A,20,full,,1,A_w20_T10000_std_lr0.01_bfull_s1,120300.0,14000.0,0.0,106300.0
A,20,full,,2,A_w20_T10000_std_lr0.01_bfull_s2,650200.0,96000.0,0.0,554200.0
A,20,full,,3,A_w20_T10000_std_lr0.01_bfull_s3,60600.0,8000.0,0.0,52600.0
A,20,full,,4,A_w20_T10000_std_lr0.01_bfull_s4,439900.0,12400.0,0.0,427500.0
A,20,1,,0,A_w20_T10000_std_lr0.01_s0,40300.0,20000.0,110300.0,20300.0
A,20,1,,1,A_w20_T10000_std_lr0.01_s1,40600.0,10500.0,870000.0,30100.0
