step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss
500000,A_w100_T10000_std_lr0.01_s0_A1,0.45,0.0109091,0.87,21.021,5.56633,0.259554,0.591232,0.0020202,2.04103e-12,3.3281e-11,0.0613271,15.9599,0.226097,4.42288,3.50749,0.45,9.58238e-14
500000,A_w100_T10000_std_lr0.01_s1_A1,0.69,0.0167677,0.49,12.2189,1.67628,0.264827,0.591939,0.000808081,0.00503867,1.4467,0.00348287,15.241,0.247929,4.03342,3.73688,0.69,0.0190645
500000,A_w100_T10000_std_lr0.01_s2_A1,0.53,0.010101,0.87,18.5653,3.3477,0.250686,0.589354,0.00040404,1.25122e-12,5.21217e-11,0.0240058,16.0577,0.195971,5.1028,3.69675,0.53,1.11201e-13
500000,A_w100_T10000_std_lr0.01_s3_A1,0.59,0.0139394,0.7,19.2887,3.84943,0.261369,0.589818,0.000808081,0.0146355,10.4296,0.00140326,16.0487,0.194957,5.12932,3.98445,0.59,0.0474576
500000,A_w100_T10000_std_lr0.01_s4_A1,0.58,0.0119192,0.2,16.058,3.6206,0.253941,0.584162,0.00040404,0.0280824,6.63097,0.00423504,15.7931,0.186184,5.37104,4.24873,0.58,0.0322735
500000,A_w100_T10000_std_lr0.01_s5_A1,0.53,0.0105051,0.84,16.2692,4.19569,0.242824,0.561374,0.00040404,1.02101e-12,3.0995e-11,0.032941,16.9288,0.187167,5.34281,3.87738,0.53,9.23421e-14
500000,A_w100_T10000_std_lr0.01_s6_A1,0.66,0.0216162,0.12,16.3433,3.86258,0.273513,0.602354,0.00222222,1.90975e-08,2.65288e-06,0.00719878,15.9488,0.227294,4.39958,3.39336,0.66,1.24164e-08
500000,A_w100_T10000_std_lr0.01_s7_A1,0.49,0.0119192,0.76,17.0879,3.79379,0.257176,0.589848,0.000606061,4.77428e-12,3.94091e-11,0.121147,16.2611,0.217754,4.59233,4.41363,0.49,1.29051e-13
500000,A_w100_T10000_std_lr0.01_s8_A1,0.48,0.00989899,0.92,21.6988,8.14444,0.266982,0.58403,0.000808081,3.43245e-13,1.32411e-11,0.0259226,16.3801,0.224613,4.45211,4.40205,0.48,4.07159e-14
500000,A_w100_T10000_std_lr0.01_s9_A1,0.65,0.0147475,0.13,13.9525,2.31984,0.267894,0.587788,0.000606061,0.0441052,5.45254,0.00808891,16.2891,0.21488,4.65376,3.73742,0.65,0.0744061
501000,A_w100_T10000_std_lr0.01_s0_A1,0.78,0.000606061,0.71,16.3589,6.94707,0.265332,0.596818,0.00242424,1.53633,11.4224,0.134501,15.9278,0.231413,4.32129,2.93359,0.78,0.0892248
501000,A_w100_T10000_std_lr0.01_s1_A1,0.88,0.000808081,0.79,7.9741,2.81384,0.296228,0.634404,0.0020202,3.29506,18.7693,0.175555,15.0922,0.276174,3.62091,2.27808,0.88,0.574909
501000,A_w100_T10000_std_lr0.01_s2_A1,0.82,0.0010101,0.69,10.4141,2.65764,0.272123,0.618828,0.000808081,13.5802,76.648,0.177176,15.9582,0.209829,4.76579,2.43077,0.82,0.562089
501000,A_w100_T10000_std_lr0.01_s3_A1,0.7,0.00424242,0.47,15.4158,2.68579,0.266779,0.602556,0.000808081,0.0384945,2.54918,0.0151007,16.0432,0.204282,4.89519,3.51827,0.7,0.0392866
501000,A_w100_T10000_std_lr0.01_s4_A1,0.78,0.00141414,0.64,12.2915,2.80563,0.267414,0.597909,0.000606061,6.56671,21.8614,0.300379,15.7246,0.192369,5.19833,4.12978,0.78,0.237782
501000,A_w100_T10000_std_lr0.01_s5_A1,0.81,0.00020202,0.75,11.1893,3.86471,0.249402,0.567778,0.000606061,17.7116,78.9597,0.224312,16.8666,0.179829,5.56085,3.28261,0.81,0.699792
501000,A_w100_T10000_std_lr0.01_s6_A1,0.85,0.00040404,0.8,8.99708,2.4075,0.274542,0.603899,0.0020202,0.477486,21.6578,0.0220468,15.9341,0.226683,4.41144,2.76247,0.85,0.281967
501000,A_w100_T10000_std_lr0.01_s7_A1,0.63,0.00363636,0.48,15.3598,3.46029,0.263396,0.601283,0.00181818,0.0922603,1.63472,0.0564381,16.2326,0.225864,4.42744,4.22598,0.63,0.0141296
501000,A_w100_T10000_std_lr0.01_s8_A1,0.71,0.00484848,0.43,19.6544,5.12411,0.26951,0.583323,0.000808081,0.0796027,1.27236,0.0625632,16.3612,0.230302,4.34212,4.02472,0.71,0.0197785
501000,A_w100_T10000_std_lr0.01_s9_A1,0.83,0.00020202,0.77,9.26558,3.70878,0.27635,0.605869,0.000808081,12.9925,52.727,0.24641,16.2339,0.231931,4.31164,4.20716,0.83,0.458621
502000,A_w100_T10000_std_lr0.01_s0_A1,0.8,0.00040404,0.72,16.053,6.65764,0.265243,0.596838,0.00222222,0.308098,2.72618,0.113014,15.9178,0.231085,4.32741,2.63834,0.8,0.0237457
502000,A_w100_T10000_std_lr0.01_s1_A1,0.87,0.000808081,0.79,8.91547,2.80619,0.296167,0.633606,0.0020202,0.335371,11.2466,0.0298197,15.0901,0.275284,3.63261,2.32734,0.87,0.259728
