step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss
500000,A_w100_T10000_std_lr0.01_s0_A1_lo,0.65,0.0127273,0.86,17.8261,4.41625,0.259554,0.591232,0.0020202,7.35364e-13,2.38904e-11,0.0307808,15.9599,0.226097,4.42288,2.88619,0.65,8.49845e-14
500000,A_w100_T10000_std_lr0.01_s1_A1_lo,0.81,0.0131313,0.25,8.74151,1.31037,0.264827,0.591939,0.000808081,0.0037346,0.909998,0.00410397,15.241,0.247929,4.03342,3.56656,0.81,0.0257599
500000,A_w100_T10000_std_lr0.01_s2_A1_lo,0.74,0.0151515,0.16,13.8927,2.23169,0.250686,0.589354,0.00040404,0.000305436,0.296157,0.00103133,16.0577,0.195971,5.1028,2.83792,0.74,0.00186132
500000,A_w100_T10000_std_lr0.01_s3_A1_lo,0.74,0.0123232,0.29,15.3041,2.86901,0.261369,0.589818,0.000808081,0.00257311,2.16706,0.00118738,16.0487,0.194957,5.12932,3.44534,0.74,0.0296143
500000,A_w100_T10000_std_lr0.01_s4_A1_lo,0.78,0.0113131,0.34,12.3204,2.24396,0.253941,0.584162,0.00040404,0.0418912,8.44551,0.00496018,15.7931,0.186184,5.37104,3.90989,0.78,0.146863
500000,A_w100_T10000_std_lr0.01_s5_A1_lo,0.75,0.0161616,0.16,10.8724,3.10169,0.242824,0.561374,0.00040404,0.00115242,0.321094,0.00358906,16.9288,0.187167,5.34281,2.94309,0.75,0.00426308
500000,A_w100_T10000_std_lr0.01_s6_A1_lo,0.64,0.0185859,0.64,15.9857,3.61461,0.273513,0.602354,0.00222222,2.4807e-12,4.94525e-11,0.0501633,15.9488,0.227294,4.39958,3.62216,0.64,1.20004e-13
500000,A_w100_T10000_std_lr0.01_s7_A1_lo,0.7,0.0137374,0.22,12.6036,2.92435,0.257176,0.589848,0.000606061,6.07234e-05,0.0349993,0.00173499,16.2611,0.217754,4.59233,3.75467,0.7,0.000300328
500000,A_w100_T10000_std_lr0.01_s8_A1_lo,0.67,0.0155556,0.78,19.0347,7.30412,0.266982,0.58403,0.000808081,1.32235e-12,1.59374e-11,0.0829715,16.3801,0.224613,4.45211,3.84698,0.67,6.04965e-14
500000,A_w100_T10000_std_lr0.01_s9_A1_lo,0.8,0.0159596,0.27,9.61728,1.54274,0.267894,0.587788,0.000606061,0.0940418,16.2348,0.0057926,16.2891,0.21488,4.65376,3.04375,0.8,0.193917
501000,A_w100_T10000_std_lr0.01_s0_A1_lo,0.84,0.00040404,0.76,12.9691,2.99434,0.26378,0.594626,0.00242424,1.06945,34.4738,0.0310221,15.915,0.223074,4.48282,2.67496,0.84,0.372632
501000,A_w100_T10000_std_lr0.01_s1_A1_lo,0.86,0.0010101,0.78,10.1064,2.73203,0.280214,0.618414,0.0010101,2.49002,23.6922,0.105099,15.1347,0.264498,3.78075,3.44859,0.86,0.258702
501000,A_w100_T10000_std_lr0.01_s2_A1_lo,0.8,0.0030303,0.57,14.2865,4.59443,0.258985,0.600232,0.000808081,1.06411,24.2686,0.0438473,16.022,0.19514,5.12454,3.43333,0.8,0.209628
501000,A_w100_T10000_std_lr0.01_s3_A1_lo,0.71,0.00343434,0.47,16.9608,3.67147,0.263899,0.594929,0.000606061,0.0721739,2.14405,0.0336624,16.0559,0.200138,4.99655,4.16039,0.71,0.0425829
501000,A_w100_T10000_std_lr0.01_s4_A1_lo,0.81,0.000808081,0.68,12.5383,2.28681,0.261452,0.594141,0.00141414,0.616153,9.31473,0.0661482,15.7513,0.18479,5.41156,3.993,0.81,0.0937171
501000,A_w100_T10000_std_lr0.01_s5_A1_lo,0.87,0,0.85,7.90762,3.41031,0.246654,0.563354,0.00040404,2.28481,41.9812,0.0544247,16.8813,0.178191,5.61197,3.91615,0.87,0.468348
501000,A_w100_T10000_std_lr0.01_s6_A1_lo,0.87,0.0010101,0.77,8.2333,2.37963,0.274105,0.605071,0.00222222,1.2743,31.0763,0.0410056,15.9246,0.225633,4.43199,2.70371,0.87,0.3287
501000,A_w100_T10000_std_lr0.01_s7_A1_lo,0.7,0.00525253,0.54,13.7669,3.4984,0.260685,0.598303,0.0020202,0.157546,3.81202,0.0413288,16.2594,0.220571,4.53368,3.79305,0.7,0.0366028
501000,A_w100_T10000_std_lr0.01_s8_A1_lo,0.79,0.00343434,0.57,15.8166,4.837,0.267742,0.583838,0.000808081,0.106674,2.45931,0.0433757,16.368,0.230075,4.3464,3.51814,0.79,0.0345571
501000,A_w100_T10000_std_lr0.01_s9_A1_lo,0.89,0.00020202,0.84,6.31138,1.7567,0.273742,0.598192,0.000606061,4.10477,67.0791,0.0611929,16.2475,0.224457,4.45519,2.56361,0.89,0.638282
502000,A_w100_T10000_std_lr0.01_s0_A1_lo,0.81,0.000606061,0.76,12.8299,2.49701,0.264353,0.593737,0.00242424,7.92776,80.6888,0.0982511,15.8994,0.221073,4.5234,2.70062,0.81,0.68071
502000,A_w100_T10000_std_lr0.01_s1_A1_lo,0.86,0.000808081,0.78,10.7715,3.14669,0.279933,0.618162,0.0010101,0.823699,13.8912,0.0592964,15.1367,0.263281,3.79823,3.43835,0.86,0.15131
502000,A_w100_T10000_std_lr0.01_s2_A1_lo,0.78,0.0030303,0.62,14.5018,4.87201,0.259377,0.601778,0.000808081,0.62624,9.07837,0.0689816,16.0027,0.195096,5.12567,3.50423,0.78,0.0911322
502000,A_w100_T10000_std_lr0.01_s3_A1_lo,0.75,0.0030303,0.48,16.94,3.73356,0.263795,0.595121,0.000606061,0.392281,3.18092,0.123323,16.0539,0.200065,4.99838,3.9649,0.75,0.0295588
502000,A_w100_T10000_std_lr0.01_s4_A1_lo,0.81,0.000808081,0.68,12.7578,2.31151,0.261722,0.594253,0.00141414,0.5708,5.18411,0.110106,15.744,0.185309,5.39638,4.04068,0.81,0.0496011
502000,A_w100_T10000_std_lr0.01_s5_A1_lo,0.87,0,0.85,7.76076,3.3245,0.247585,0.563576,0.00040404,3.07133,33.6912,0.0911611,16.8653,0.177455,5.63522,3.97285,0.87,0.39262
502000,A_w100_T10000_std_lr0.01_s6_A1_lo,0.89,0.000808081,0.79,8.40693,2.30384,0.274549,0.605384,0.00222222,0.962604,16.7795,0.0573679,15.9175,0.225827,4.42816,2.49017,0.89,0.207386
502000,A_w100_T10000_std_lr0.01_s7_A1_lo,0.71,0.0040404,0.57,14.3425,3.63327,0.260831,0.59903,0.0020202,0.0501532,1.99626,0.0251236,16.2598,0.220514,4.53485,3.74569,0.71,0.0135739
502000,A_w100_T10000_std_lr0.01_s8_A1_lo,0.79,0.00343434,0.57,15.9578,4.93218,0.267867,0.583283,0.000808081,0.0394209,0.775835,0.0508109,16.3619,0.229879,4.35012,3.52339,0.79,0.0106275
502000,A_w100_T10000_std_lr0.01_s9_A1_lo,0.9,0,0.87,5.92101,1.86039,0.275515,0.600172,0.000606061,7.6471,41.3372,0.184993,16.2238,0.225368,4.43718,2.55498,0.9,0.671711
503000,A_w100_T10000_std_lr0.01_s0_A1_lo,0.82,0.000606061,0.76,12.8789,2.44076,0.264735,0.593869,0.00242424,9.22726,44.5709,0.207024,15.8891,0.220605,4.53298,2.51375,0.82,0.495947
503000,A_w100_T10000_std_lr0.01_s1_A1_lo,0.86,0.0010101,0.78,10.8835,3.13125,0.280138,0.61896,0.0010101,0.114569,6.21176,0.0184439,15.1354,0.263231,3.79894,3.40964,0.86,0.111822
503000,A_w100_T10000_std_lr0.01_s2_A1_lo,0.81,0.00282828,0.64,14.3717,4.79372,0.259581,0.601465,0.000808081,1.66024,14.6032,0.113691,15.9859,0.194709,5.13587,3.43878,0.81,0.0708943
503000,A_w100_T10000_std_lr0.01_s3_A1_lo,0.75,0.00262626,0.49,16.8544,3.7379,0.263829,0.595505,0.000606061,0.0106923,0.52944,0.0201955,16.0513,0.200071,4.99824,3.87295,0.75,0.00756424
