arm,seed,unit,step,utility_nmse
A0,0,0,500000,0
A0,0,0,500001,0
A0,0,0,510001,0
A0,0,0,520001,0
A0,0,0,530001,0
A0,0,0,540001,0
A0,0,0,550001,0
A0,0,0,560001,0
A0,0,0,570001,0
A0,0,0,580001,0
A0,0,0,590001,0
A0,0,0,600001,0
A0,0,0,610001,0
A0,0,0,620001,0
A0,0,0,630001,0
A0,0,0,640001,0
A0,0,0,650001,0
A0,0,0,660001,0
A0,0,0,670001,0
A0,0,0,680001,0
A0,0,0,690001,0
A0,0,1,500000,0
A0,0,1,500001,0
A0,0,1,510001,0
A0,0,1,520001,0
A0,0,1,530001,0
A0,0,1,540001,0
A0,0,1,550001,0
A0,0,1,560001,0
A0,0,1,570001,0
A0,0,1,580001,0
A0,0,1,590001,0
A0,0,1,600001,0
A0,0,1,610001,0
A0,0,1,620001,0
A0,0,1,630001,0
A0,0,1,640001,0
A0,0,1,650001,0
A0,0,1,660001,0
A0,0,1,670001,0
A0,0,1,680001,0
A0,0,1,690001,0
A0,0,2,500000,0
A0,0,2,500001,0
A0,0,2,510001,0
A0,0,2,520001,0
A0,0,2,530001,0
A0,0,2,540001,0
A0,0,2,550001,0
A0,0,2,560001,0
A0,0,2,570001,0
A0,0,2,580001,0
A0,0,2,590001,0
A0,0,2,600001,0
A0,0,2,610001,0
A0,0,2,620001,0
A0,0,2,630001,0
A0,0,2,640001,0
A0,0,2,650001,0
A0,0,2,660001,0
A0,0,2,670001,0
A0,0,2,680001,0
A0,0,2,690001,0
A0,0,3,500000,0
A0,0,3,500001,0
A0,0,3,510001,0
A0,0,3,520001,0
A0,0,3,530001,0
A0,0,3,540001,0
A0,0,3,550001,0
A0,0,3,560001,0
A0,0,3,570001,0
A0,0,3,580001,0
A0,0,3,590001,0
A0,0,3,600001,0
A0,0,3,610001,0
A0,0,3,620001,0
A0,0,3,630001,0
A0,0,3,640001,0
A0,0,3,650001,0
A0,0,3,660001,0
A0,0,3,670001,0
A0,0,3,680001,0
A0,0,3,690001,0
A0,0,4,500000,0.046640697459828351
A0,0,4,500001,0.093484821792814934
A0,0,4,510001,0.09359354008785345
A0,0,4,520001,0
A0,0,4,530001,0
A0,0,4,540001,0
A0,0,4,550001,0
A0,0,4,560001,0
A0,0,4,570001,0
A0,0,4,580001,0
A0,0,4,590001,0
A0,0,4,600001,0
A0,0,4,610001,0
A0,0,4,620001,0
A0,0,4,630001,0
A0,0,4,640001,0
A0,0,4,650001,0
A0,0,4,660001,0
A0,0,4,670001,0
A0,0,4,680001,0
A0,0,4,690001,-0.074950749460735669
A0,0,5,500000,0
A0,0,5,500001,0
A0,0,5,510001,0
A0,0,5,520001,0
