task,step,ce,acc,arm,seed,checkpoint,branch,n_frozen,heldout_ce,heldout_acc
101,0,4.5369415283203125,0.107421875,ELU1,0,100,TARGET,4,,
101,20,1.8398503065109253,0.341796875,ELU1,0,100,TARGET,4,,
101,100,0.7002213597297668,0.759765625,ELU1,0,100,TARGET,4,,
101,300,0.4494847059249878,0.853515625,ELU1,0,100,TARGET,4,,
101,625,0.28919947147369385,0.919921875,ELU1,0,100,TARGET,4,0.2931913435459137,0.9100969433784485
102,0,4.579765796661377,0.142578125,ELU1,0,100,TARGET,4,,
102,20,1.4906703233718872,0.517578125,ELU1,0,100,TARGET,4,,
102,100,0.5781772136688232,0.810546875,ELU1,0,100,TARGET,4,,
102,300,0.36924827098846436,0.88671875,ELU1,0,100,TARGET,4,,
102,625,0.2855139970779419,0.921875,ELU1,0,100,TARGET,4,0.30740463733673096,0.9058811068534851
103,0,3.8792803287506104,0.099609375,ELU1,0,100,TARGET,4,,
103,20,1.7011537551879883,0.4375,ELU1,0,100,TARGET,4,,
103,100,0.5946393013000488,0.791015625,ELU1,0,100,TARGET,4,,
103,300,0.3916827142238617,0.869140625,ELU1,0,100,TARGET,4,,
103,625,0.3006734251976013,0.921875,ELU1,0,100,TARGET,4,0.3113088011741638,0.905248761177063
104,0,5.074038028717041,0.12890625,ELU1,0,100,TARGET,4,,
104,20,1.6779615879058838,0.44140625,ELU1,0,100,TARGET,4,,
104,100,0.6356989145278931,0.783203125,ELU1,0,100,TARGET,4,,
104,300,0.4183598756790161,0.865234375,ELU1,0,100,TARGET,4,,
104,625,0.3028256893157959,0.908203125,ELU1,0,100,TARGET,4,0.3242855370044708,0.9017706513404846
105,0,4.349752902984619,0.0625,ELU1,0,100,TARGET,4,,
105,20,1.8716092109680176,0.357421875,ELU1,0,100,TARGET,4,,
105,100,0.6672949194908142,0.771484375,ELU1,0,100,TARGET,4,,
105,300,0.3801158368587494,0.89453125,ELU1,0,100,TARGET,4,,
105,625,0.27933573722839355,0.9140625,ELU1,0,100,TARGET,4,0.31022462248802185,0.9024030566215515
106,0,4.024420261383057,0.07421875,ELU1,0,100,TARGET,4,,
106,20,1.565181851387024,0.447265625,ELU1,0,100,TARGET,4,,
106,100,0.6952271461486816,0.79296875,ELU1,0,100,TARGET,4,,
106,300,0.3862023651599884,0.880859375,ELU1,0,100,TARGET,4,,
106,625,0.3150234520435333,0.912109375,ELU1,0,100,TARGET,4,0.3308814764022827,0.9013490676879883
107,0,3.564546823501587,0.17578125,ELU1,0,100,TARGET,4,,
107,20,1.6756418943405151,0.43359375,ELU1,0,100,TARGET,4,,
107,100,0.7139673233032227,0.75390625,ELU1,0,100,TARGET,4,,
107,300,0.4235607981681824,0.87109375,ELU1,0,100,TARGET,4,,
107,625,0.34260106086730957,0.888671875,ELU1,0,100,TARGET,4,0.34909650683403015,0.8911256194114685
108,0,4.1404194831848145,0.13671875,ELU1,0,100,TARGET,4,,
108,20,1.5786770582199097,0.4765625,ELU1,0,100,TARGET,4,,
108,100,0.6271354556083679,0.80078125,ELU1,0,100,TARGET,4,,
108,300,0.42456546425819397,0.853515625,ELU1,0,100,TARGET,4,,
108,625,0.3420528769493103,0.896484375,ELU1,0,100,TARGET,4,0.3420802354812622,0.8931281566619873
109,0,5.422990798950195,0.09765625,ELU1,0,100,TARGET,4,,
109,20,1.6338119506835938,0.453125,ELU1,0,100,TARGET,4,,
109,100,0.7436516284942627,0.744140625,ELU1,0,100,TARGET,4,,
109,300,0.3955767750740051,0.87890625,ELU1,0,100,TARGET,4,,
109,625,0.3029022812843323,0.91015625,ELU1,0,100,TARGET,4,0.30934712290763855,0.9012436866760254
110,0,3.769514322280884,0.130859375,ELU1,0,100,TARGET,4,,
110,20,1.5466742515563965,0.431640625,ELU1,0,100,TARGET,4,,
110,100,0.5703492164611816,0.80859375,ELU1,0,100,TARGET,4,,
110,300,0.417892187833786,0.865234375,ELU1,0,100,TARGET,4,,
110,625,0.2987070083618164,0.9140625,ELU1,0,100,TARGET,4,0.3098166882991791,0.9036678075790405
