task,step,ce,acc,arm,seed,checkpoint,branch,n_frozen,heldout_ce,heldout_acc
101,0,4.013286590576172,0.130859375,LR,2,100,SHALLOW,25,,
101,20,2.085568904876709,0.33984375,LR,2,100,SHALLOW,25,,
101,100,0.827934980392456,0.720703125,LR,2,100,SHALLOW,25,,
101,300,0.4934510290622711,0.83203125,LR,2,100,SHALLOW,25,,
101,625,0.3594817519187927,0.8984375,LR,2,100,SHALLOW,25,0.3640274703502655,0.8917580246925354
102,0,4.191469192504883,0.130859375,LR,2,100,SHALLOW,25,,
102,20,2.0011463165283203,0.333984375,LR,2,100,SHALLOW,25,,
102,100,0.7588894963264465,0.7578125,LR,2,100,SHALLOW,25,,
102,300,0.4305054545402527,0.876953125,LR,2,100,SHALLOW,25,,
102,625,0.33570775389671326,0.8984375,LR,2,100,SHALLOW,25,0.35145214200019836,0.8909148573875427
103,0,3.3919997215270996,0.08984375,LR,2,100,SHALLOW,25,,
103,20,1.7624142169952393,0.423828125,LR,2,100,SHALLOW,25,,
103,100,0.7042424082756042,0.779296875,LR,2,100,SHALLOW,25,,
103,300,0.41402775049209595,0.880859375,LR,2,100,SHALLOW,25,,
103,625,0.32900470495224,0.88671875,LR,2,100,SHALLOW,25,0.3408765196800232,0.8967116475105286
104,0,4.079710006713867,0.103515625,LR,2,100,SHALLOW,25,,
104,20,1.6356308460235596,0.44140625,LR,2,100,SHALLOW,25,,
104,100,0.7007675170898438,0.7890625,LR,2,100,SHALLOW,25,,
104,300,0.4709254503250122,0.876953125,LR,2,100,SHALLOW,25,,
104,625,0.31897681951522827,0.900390625,LR,2,100,SHALLOW,25,0.332001656293869,0.8975548148155212
105,0,3.8377625942230225,0.109375,LR,2,100,SHALLOW,25,,
105,20,1.7750133275985718,0.3828125,LR,2,100,SHALLOW,25,,
105,100,0.6987249255180359,0.751953125,LR,2,100,SHALLOW,25,,
105,300,0.4230939745903015,0.875,LR,2,100,SHALLOW,25,,
105,625,0.33120545744895935,0.884765625,LR,2,100,SHALLOW,25,0.3590043783187866,0.8853288292884827
106,0,4.520443916320801,0.1171875,LR,2,100,SHALLOW,25,,
106,20,1.7736992835998535,0.3671875,LR,2,100,SHALLOW,25,,
106,100,0.7909645438194275,0.72265625,LR,2,100,SHALLOW,25,,
106,300,0.45357546210289,0.8671875,LR,2,100,SHALLOW,25,,
106,625,0.3577169179916382,0.896484375,LR,2,100,SHALLOW,25,0.37172749638557434,0.8852234482765198
107,0,4.420657157897949,0.076171875,LR,2,100,SHALLOW,25,,
107,20,1.9785280227661133,0.275390625,LR,2,100,SHALLOW,25,,
107,100,0.6901187896728516,0.759765625,LR,2,100,SHALLOW,25,,
107,300,0.3736238181591034,0.880859375,LR,2,100,SHALLOW,25,,
107,625,0.2961597740650177,0.904296875,LR,2,100,SHALLOW,25,0.3667484521865845,0.8899662494659424
108,0,3.9677951335906982,0.146484375,LR,2,100,SHALLOW,25,,
108,20,1.5689057111740112,0.47265625,LR,2,100,SHALLOW,25,,
108,100,0.6349235773086548,0.783203125,LR,2,100,SHALLOW,25,,
108,300,0.425030916929245,0.85546875,LR,2,100,SHALLOW,25,,
108,625,0.30992016196250916,0.90234375,LR,2,100,SHALLOW,25,0.32870110869407654,0.8955522775650024
109,0,3.7336394786834717,0.103515625,LR,2,100,SHALLOW,25,,
109,20,1.7404332160949707,0.412109375,LR,2,100,SHALLOW,25,,
109,100,0.6590133309364319,0.78515625,LR,2,100,SHALLOW,25,,
109,300,0.42089444398880005,0.875,LR,2,100,SHALLOW,25,,
109,625,0.32172924280166626,0.8984375,LR,2,100,SHALLOW,25,0.361837774515152,0.8881745338439941
110,0,3.6068906784057617,0.083984375,LR,2,100,SHALLOW,25,,
110,20,1.6026097536087036,0.4375,LR,2,100,SHALLOW,25,,
110,100,0.6763332486152649,0.759765625,LR,2,100,SHALLOW,25,,
110,300,0.4611264765262604,0.873046875,LR,2,100,SHALLOW,25,,
110,625,0.3415164351463318,0.908203125,LR,2,100,SHALLOW,25,0.3416563868522644,0.9005059003829956
