task,step,ce,acc,arm,seed,checkpoint,branch,n_frozen,heldout_ce,heldout_acc
101,0,4.013286590576172,0.130859375,LR,2,100,TARGET,9,,
101,20,1.8502267599105835,0.361328125,LR,2,100,TARGET,9,,
101,100,0.7698478102684021,0.7578125,LR,2,100,TARGET,9,,
101,300,0.4529666304588318,0.841796875,LR,2,100,TARGET,9,,
101,625,0.3441239595413208,0.89453125,LR,2,100,TARGET,9,0.36297446489334106,0.8908094167709351
102,0,3.922450304031372,0.12890625,LR,2,100,TARGET,9,,
102,20,1.7418705224990845,0.419921875,LR,2,100,TARGET,9,,
102,100,0.6680381894111633,0.7890625,LR,2,100,TARGET,9,,
102,300,0.4092031419277191,0.875,LR,2,100,TARGET,9,,
102,625,0.3128427267074585,0.9140625,LR,2,100,TARGET,9,0.34179922938346863,0.8912310004234314
103,0,3.7879552841186523,0.08203125,LR,2,100,TARGET,9,,
103,20,1.7202415466308594,0.435546875,LR,2,100,TARGET,9,,
103,100,0.6500547528266907,0.791015625,LR,2,100,TARGET,9,,
103,300,0.40087324380874634,0.876953125,LR,2,100,TARGET,9,,
103,625,0.327279657125473,0.90625,LR,2,100,TARGET,9,0.3183685541152954,0.9048271775245667
104,0,3.9712209701538086,0.08984375,LR,2,100,TARGET,9,,
104,20,1.5468910932540894,0.453125,LR,2,100,TARGET,9,,
104,100,0.594030499458313,0.814453125,LR,2,100,TARGET,9,,
104,300,0.44469502568244934,0.876953125,LR,2,100,TARGET,9,,
104,625,0.2916903793811798,0.908203125,LR,2,100,TARGET,9,0.3149343729019165,0.9020868539810181
105,0,3.626028060913086,0.111328125,LR,2,100,TARGET,9,,
105,20,1.684462070465088,0.41015625,LR,2,100,TARGET,9,,
105,100,0.6863171458244324,0.77734375,LR,2,100,TARGET,9,,
105,300,0.4316708445549011,0.869140625,LR,2,100,TARGET,9,,
105,625,0.34388911724090576,0.8828125,LR,2,100,TARGET,9,0.3532377779483795,0.8876475691795349
106,0,4.351646423339844,0.123046875,LR,2,100,TARGET,9,,
106,20,1.693390965461731,0.361328125,LR,2,100,TARGET,9,,
106,100,0.7467882037162781,0.736328125,LR,2,100,TARGET,9,,
106,300,0.4452926516532898,0.875,LR,2,100,TARGET,9,,
106,625,0.35015711188316345,0.89453125,LR,2,100,TARGET,9,0.3538679778575897,0.8907040357589722
107,0,4.125661849975586,0.1015625,LR,2,100,TARGET,9,,
107,20,1.7070426940917969,0.404296875,LR,2,100,TARGET,9,,
107,100,0.6415321826934814,0.7890625,LR,2,100,TARGET,9,,
107,300,0.37541326880455017,0.88671875,LR,2,100,TARGET,9,,
107,625,0.3068022131919861,0.900390625,LR,2,100,TARGET,9,0.3278137147426605,0.8971332311630249
108,0,3.8516359329223633,0.158203125,LR,2,100,TARGET,9,,
108,20,1.480440616607666,0.47265625,LR,2,100,TARGET,9,,
108,100,0.5743905901908875,0.80859375,LR,2,100,TARGET,9,,
108,300,0.3620057702064514,0.876953125,LR,2,100,TARGET,9,,
108,625,0.2793957591056824,0.890625,LR,2,100,TARGET,9,0.3133414685726166,0.9016652703285217
109,0,3.6487393379211426,0.140625,LR,2,100,TARGET,9,,
109,20,1.7094619274139404,0.41796875,LR,2,100,TARGET,9,,
109,100,0.6802570223808289,0.787109375,LR,2,100,TARGET,9,,
109,300,0.4000914692878723,0.884765625,LR,2,100,TARGET,9,,
109,625,0.30853742361068726,0.9140625,LR,2,100,TARGET,9,0.3280755579471588,0.8956576585769653
110,0,3.345632791519165,0.130859375,LR,2,100,TARGET,9,,
110,20,1.5201700925827026,0.443359375,LR,2,100,TARGET,9,,
110,100,0.6554073691368103,0.78125,LR,2,100,TARGET,9,,
110,300,0.4175676107406616,0.87890625,LR,2,100,TARGET,9,,
110,625,0.33041173219680786,0.912109375,LR,2,100,TARGET,9,0.33240872621536255,0.900822103023529
