task,step,ce,acc,arm,seed,checkpoint,branch,n_frozen,heldout_ce,heldout_acc
21,0,3.3911919593811035,0.08984375,LR,2,20,MATCHED,2,,
21,20,1.4847089052200317,0.46484375,LR,2,20,MATCHED,2,,
21,100,0.5307756066322327,0.83984375,LR,2,20,MATCHED,2,,
21,300,0.33460932970046997,0.896484375,LR,2,20,MATCHED,2,,
21,625,0.272848516702652,0.91796875,LR,2,20,MATCHED,2,0.27470633387565613,0.9120994806289673
22,0,3.8829472064971924,0.048828125,LR,2,20,MATCHED,2,,
22,20,1.5147888660430908,0.484375,LR,2,20,MATCHED,2,,
22,100,0.5064110159873962,0.857421875,LR,2,20,MATCHED,2,,
22,300,0.3373592793941498,0.90234375,LR,2,20,MATCHED,2,,
22,625,0.2543211281299591,0.931640625,LR,2,20,MATCHED,2,0.25837960839271545,0.91852867603302
23,0,3.8589398860931396,0.06640625,LR,2,20,MATCHED,2,,
23,20,1.528213620185852,0.47265625,LR,2,20,MATCHED,2,,
23,100,0.5935884714126587,0.8203125,LR,2,20,MATCHED,2,,
23,300,0.31735959649086,0.900390625,LR,2,20,MATCHED,2,,
23,625,0.22299771010875702,0.9296875,LR,2,20,MATCHED,2,0.2603311538696289,0.917263925075531
24,0,3.559143543243408,0.07421875,LR,2,20,MATCHED,2,,
24,20,1.3229354619979858,0.5078125,LR,2,20,MATCHED,2,,
24,100,0.48852258920669556,0.8359375,LR,2,20,MATCHED,2,,
24,300,0.27485617995262146,0.908203125,LR,2,20,MATCHED,2,,
24,625,0.25178229808807373,0.921875,LR,2,20,MATCHED,2,0.272543340921402,0.9161045551300049
25,0,3.7576823234558105,0.123046875,LR,2,20,MATCHED,2,,
25,20,1.6082260608673096,0.416015625,LR,2,20,MATCHED,2,,
25,100,0.5646265745162964,0.830078125,LR,2,20,MATCHED,2,,
25,300,0.3668990135192871,0.90625,LR,2,20,MATCHED,2,,
25,625,0.2551168203353882,0.912109375,LR,2,20,MATCHED,2,0.2622278332710266,0.9170531034469604
26,0,5.030346870422363,0.078125,LR,2,20,MATCHED,2,,
26,20,1.5253396034240723,0.470703125,LR,2,20,MATCHED,2,,
26,100,0.5198928713798523,0.830078125,LR,2,20,MATCHED,2,,
26,300,0.3824172019958496,0.890625,LR,2,20,MATCHED,2,,
26,625,0.2610965073108673,0.92578125,LR,2,20,MATCHED,2,0.28048235177993774,0.914734423160553
27,0,4.153465270996094,0.08984375,LR,2,20,MATCHED,2,,
27,20,1.4811309576034546,0.51171875,LR,2,20,MATCHED,2,,
27,100,0.4899165630340576,0.828125,LR,2,20,MATCHED,2,,
27,300,0.3302121162414551,0.90625,LR,2,20,MATCHED,2,,
27,625,0.24782328307628632,0.92578125,LR,2,20,MATCHED,2,0.25738266110420227,0.9214797616004944
28,0,3.9707887172698975,0.091796875,LR,2,20,MATCHED,2,,
28,20,1.432693362236023,0.486328125,LR,2,20,MATCHED,2,,
28,100,0.5904524326324463,0.78125,LR,2,20,MATCHED,2,,
28,300,0.3344869017601013,0.890625,LR,2,20,MATCHED,2,,
28,625,0.2753835618495941,0.9140625,LR,2,20,MATCHED,2,0.26113325357437134,0.9180017113685608
29,0,3.2241456508636475,0.15625,LR,2,20,MATCHED,2,,
29,20,1.3061861991882324,0.55859375,LR,2,20,MATCHED,2,,
29,100,0.5445489287376404,0.818359375,LR,2,20,MATCHED,2,,
29,300,0.39674046635627747,0.88671875,LR,2,20,MATCHED,2,,
29,625,0.267925888299942,0.916015625,LR,2,20,MATCHED,2,0.2563893795013428,0.921058177947998
30,0,4.323715686798096,0.0546875,LR,2,20,MATCHED,2,,
30,20,1.6008024215698242,0.470703125,LR,2,20,MATCHED,2,,
30,100,0.5636774897575378,0.810546875,LR,2,20,MATCHED,2,,
30,300,0.30195608735084534,0.904296875,LR,2,20,MATCHED,2,,
30,625,0.21172505617141724,0.923828125,LR,2,20,MATCHED,2,0.2409784346818924,0.924220085144043
