arm,mode,seed,task,step,global_step,window_start,window_steps,loss,acc,advantage,confidence,online_acc_window,initial_positive_count,observed,down,up,net,conf,hist,label,correction,roundoff,conf_common,correction_common,zmean_l1,zsd_l1,outputsd_l1,gain_l1,ppos_l1,dead_l1,output_sd_ratio_l1,output_sd_ratio_n_l1,eff_rank_l1,zmean_l2,zsd_l2,outputsd_l2,gain_l2,ppos_l2,dead_l2,output_sd_ratio_l2,output_sd_ratio_n_l2,eff_rank_l2
ELU,early,1001,1,0,0,0,0,2.312064648,0.1000000015,0.002156399889,2.314221144,nan,3285,True,0,0,0,0,0,0,0,0,0,0,0.002915133024,0.1344939023,0.1165788397,0.9105581045,0.5099416375,0,1,100,47.32392596,-0.03182598948,0.06912785023,0.06437337399,0.9195802212,0.4349083304,0,1,100,35.29605137
ELU,early,1002,1,0,0,0,0,2.304445982,0.1058333367,0.00404163776,2.308487892,nan,2812,True,0,0,0,0,0,0,0,0,0,0,-0.07532576472,0.1381797642,0.1202014163,0.8452202082,0.4403500259,0,1,100,50.4588512,0.01151590887,0.06921538711,0.06371433288,0.9667627215,0.5079666376,0,1,100,36.99244766
ELU,early,1003,1,0,0,0,0,2.309784651,0.09750000387,0.002038096078,2.311822653,nan,3529,True,0,0,0,0,0,0,0,0,0,0,0.06789471209,0.1295589507,0.1190366223,0.960098505,0.5523416996,0,1,100,47.57388222,-0.002606437076,0.07206371427,0.06785807014,0.9511253834,0.5024999976,0,1,100,34.87786975
ELU,early,1004,1,0,0,0,0,2.309794188,0.1016666666,-0.0008344927919,2.308959723,nan,2895,True,0,0,0,0,0,0,0,0,0,0,-0.02965964749,0.1370248497,0.1195281222,0.9010818601,0.4538916647,0,1,100,47.50369404,-0.02897294983,0.0692589283,0.06406062841,0.9173029065,0.4387333691,0,1,100,37.85960403
ELU,early,1005,1,0,0,0,0,2.304292917,0.1024999991,0.0002273837745,2.30452013,nan,3581,True,0,0,0,0,0,0,0,0,0,0,0.02931751311,0.1314351708,0.1198214889,0.9350270629,0.5594667196,0,1,100,49.16029102,-0.01914692298,0.07250379771,0.0651968047,0.926297009,0.4168166518,0,1,100,38.47809992
ELU,early,1001,1,1,1,0,1,2.962954044,0.09666667134,0.03886023909,3.001814365,0,3285,True,3.359178066,12.92207336,9.562895775,-5.63306427,0,5.087282658,10.10867786,-9.536743164e-07,-0.3880615532,1.125778198,1.111885548,0.3714872599,0.3215972781,1,0.586591661,0,2.373681545,100,,0.1873279065,0.3819001615,0.1002515405,0.9996218085,0.5469999909,0,1.607255697,100,
ELU,early,1002,1,1,1,0,1,2.834268093,0.09833333641,-0.006296536885,2.827971697,0.0625,2812,True,3.393791676,8.131871223,4.738079548,4.994835377,0,-4.873611927,4.616854668,1.430511475e-06,0.4937261045,0.5662459731,0.9246101975,0.3612853289,0.2762934864,0.9999861717,0.6330583692,0,2.46754837,100,,-0.05083549023,0.2456618547,0.1075310931,0.8944376111,0.4882166684,0,1.571603894,100,
ELU,early,1003,1,1,1,0,1,2.962322712,0.09916666895,0.003167212475,2.965489864,0,3529,True,3.264927864,7.37544775,4.110519409,1.21514082,0,-1.984897494,4.880273342,2.861022949e-06,0.458286047,0.5707390904,0.4575671554,0.3162096143,0.1984113008,0.9979637861,0.60286659,0,1.651069164,100,,-0.2274504602,0.2047492862,0.09933776408,0.6404563785,0.4241583049,0,1.522313714,100,
ELU,early,1004,1,1,1,0,1,2.943897009,0.1066666692,0.02859789692,2.972495079,0.0625,2895,True,2.953770161,7.910158157,4.95638752,2.34689045,0,-3.726467848,6.335963726,1.430511475e-06,0.1807915121,1.005956888,0.5837908387,0.3301983774,0.2198839486,0.9998735785,0.6103083491,0,1.633507371,100,,0.1779583097,0.5071182847,0.1258883029,0.9971743226,0.5400249958,0,1.873286843,100,
ELU,early,1005,1,1,1,0,1,2.707814693,0.09833333641,-0.009476677515,2.698337793,0.0625,3581,True,2.84463501,7.977375031,5.132740021,-0.7481282353,0,2.257671118,3.623193741,3.576278687e-06,-0.04275625199,0.422021538,1.174314618,0.396568954,0.3553499579,1,0.6734333634,0,2.5145998,100,,0.07013505697,0.1700938493,0.1020102054,0.9772844911,0.5173999667,0,1.559309006,100,
