arm,mode,seed,cond,slot,lr,task,iv,steps,complete_task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
GELU,early,1001,raw,0,0.001,1,early,30000,True,0.11480625,0.1150000021,0.1150000021,0.2299999893,0.2199999988,-11.01251888,4.947838306,-57.25893402,-1.454777075e-15,1.568795219,1,1,-66.34000397,16.57756996,-169.5578156,0,0,1.418674231,0.6068267226,0.5381006598
GELU,early,1002,raw,1,0.001,1,early,30000,True,0.1130916667,0.113333337,0.113333337,0,0,49.36930466,17.32359886,-66.79325867,1,1.392288074,0.6999999881,0.6999999881,-131.6984711,35.25350189,-373.5241699,-1.078091695e-21,1.000000221,2.854251862,0.6342352629,0.5429965258
GELU,early,1003,raw,2,0.001,1,early,30000,True,0.1064083333,0.1066666692,0.1066666692,0.1899999976,0.1899999976,-5.104294777,8.469937325,-49.74016953,0.004362976644,1.499828434,1,1,-58.30421448,15.40628624,-161.7751465,0,0,1.493695498,0.5945906043,0.5531194806
GELU,early,1004,raw,3,0.001,1,early,30000,True,0.1012333333,0.1075000018,0.1075000018,0.05999999866,0.04999999702,14.2925005,12.66679287,-50.85441589,1,1.429560888,1,1,-126.8128052,34.05351257,-264.2503662,0,0,1.960060835,0.6363485456,0.5334255099
GELU,early,1005,raw,4,0.001,1,early,30000,True,0.1113791667,0.1116666719,0.1116666719,0.009999999776,0.009999999776,38.82986069,10.7645483,-37.22718048,1,1.435022891,1,1,-59.63811493,16.26868629,-221.7017212,-2.006929587e-32,0,1.670388103,0.5880066752,0.5295231938
GELU,early,1001,raw,0,0.001,2,early,30000,True,0.1100125,0.1099999994,0.1099999994,0.2599999905,0.25,-13.00704479,5.614359379,-57.25893402,-1.566110768e-15,1.463656831,1,1,-80.70546722,20.99604416,-189.039978,0,0,1.430433512,0.6079135537,0.5348738432
GELU,early,1002,raw,1,0.001,2,early,30000,True,0.12230625,0.1225000024,0.1225000024,0.02999999933,0.02999999933,-9.823822975,14.92137432,-135.3318024,0.005498636048,1.349632675,1,1,-206.4007416,55.06485367,-475.512085,-4.549305823e-37,0,2.364639997,0.6618509889,0.565700531
GELU,early,1003,raw,2,0.001,2,early,30000,True,0.1101583333,0.1116666719,0.1116666719,0.1899999976,0.1899999976,-5.103960991,8.469937325,-49.74016953,0.00436192425,1.49981511,1,1,-58.30324173,15.40604305,-161.7755432,0,0,1.493671298,0.5945906043,0.5532043576
GELU,early,1004,raw,3,0.001,2,early,30000,True,0.1064979167,0.1066666692,0.1066666692,0.05999999866,0.04999999702,12.13232899,12.66679287,-50.85441589,0.9997116327,1.436173157,1,1,-130.2159576,35.14643097,-264.3775024,0,0,1.993713856,0.6363485456,0.5367052555
GELU,early,1005,raw,4,0.001,2,early,30000,True,0.1108229167,0.1108333394,0.1108333394,0.09999999404,0.09999999404,30.26427841,10.39866257,-45.32739258,1,1.422877215,1,1,-72.52359772,19.99461365,-250.5956879,0,0,1.65325439,0.5926249027,0.5365163684
