quantity,k,level,n,mean,sd,lo,hi,sign
R_none,1,0.975,10,0.11198645833333332,0.04382181937183215,0.07477844784688159,0.14919446881978504,+
R_none,1,0.95,10,0.11198645833333332,0.04382181937183215,0.08063821721349873,0.1433346994531679,+
R_c12,1,0.975,10,0.06601770833333334,0.029546759493656885,0.040930294053420746,0.09110512261324594,+
R_c12,1,0.95,10,0.06601770833333334,0.029546759493656885,0.044881229880494686,0.087154186786172,+
dR,1,0.975,10,0.045968749999999996,0.017709202729203042,0.030932309014657648,0.06100519098534234,+
dR,1,0.95,10,0.045968749999999996,0.017709202729203042,0.033300349528431916,0.058637150471568075,+
R_c1,1,0.975,10,0.08788020833333333,0.03546608046937177,0.05776684670357969,0.11799356996308698,+
R_c1,1,0.95,10,0.08788020833333333,0.03546608046937177,0.06250930274186065,0.11325111392480602,+
R_c2,1,0.975,10,0.09536249999999999,0.039895098629730515,0.061488569856259896,0.1292364301437401,+
R_c2,1,0.95,10,0.09536249999999999,0.039895098629730515,0.06682326568084565,0.12390173431915433,+
R_c12b,1,0.975,10,0.06296666666666666,0.02803786390414039,0.03916041788199086,0.08677291545134246,+
R_c12b,1,0.95,10,0.06296666666666666,0.02803786390414039,0.04290958709417715,0.08302374623915616,+
R_frz,1,0.975,10,0.0,0.0,0.0,0.0,0
R_frz,1,0.95,10,0.0,0.0,0.0,0.0,0
dclimb,1,0.975,10,0.5419216920138951,1.449600731876749,-0.6888980230504161,1.7727414070782062,0
dclimb,1,0.95,10,0.5419216920138951,1.449600731876749,-0.49506020243411497,1.5789035864619052,0
I,1,0.975,10,-0.016766666666666662,0.015790743004112037,-0.030174191495805223,-0.003359141837528102,-
I,1,0.95,10,-0.016766666666666662,0.015790743004112037,-0.028062683725064513,-0.005470649608268813,-
dR_fix,1,0.975,10,0.07421770833333333,0.017552438416839084,0.05931437200366141,0.08912104466300524,+
dR_fix,1,0.95,10,0.07421770833333333,0.017552438416839084,0.06166145029522453,0.08677396637144212,+
dR_b,1,0.975,10,0.0030510416666666706,0.002134857368038272,0.0012383876857115735,0.004863695647621768,+
dR_b,1,0.95,10,0.0030510416666666706,0.002134857368038272,0.0015238567051783598,0.0045782266281549815,+
R_none,2,0.975,10,0.08119479166666667,0.021807025146205455,0.06267899218710697,0.09971059114622637,+
R_none,2,0.95,10,0.08119479166666667,0.021807025146205455,0.06559498562965493,0.0967945977036784,+
R_c12,2,0.975,10,0.04529895833333334,0.009798073467906053,0.03697965928170133,0.053618257384965354,+
R_c12,2,0.95,10,0.04529895833333334,0.009798073467906053,0.038289838812859835,0.052308077853806846,+
dR,2,0.975,10,0.035895833333333335,0.016082150395472384,0.022240881778673314,0.04955078488799336,+
dR,2,0.95,10,0.035895833333333335,0.016082150395472384,0.024391355985074997,0.04740031068159167,+
R_c1,2,0.975,10,0.06813333333333334,0.017230402962944077,0.05350342925082267,0.082763237415844,+
R_c1,2,0.95,10,0.06813333333333334,0.017230402962944077,0.0558074455811357,0.08045922108553098,+
R_c2,2,0.975,10,0.0761875,0.016865652417901934,0.06186729647988979,0.09050770352011023,+
R_c2,2,0.95,10,0.0761875,0.016865652417901934,0.06412253906915479,0.08825246093084523,+
R_c12b,2,0.975,10,0.04373333333333333,0.009498230981735883,0.03566862303519508,0.051798043631471585,+
R_c12b,2,0.95,10,0.04373333333333333,0.009498230981735883,0.036938708206045036,0.05052795846062163,+
R_frz,2,0.975,10,0.0,0.0,0.0,0.0,0
R_frz,2,0.95,10,0.0,0.0,0.0,0.0,0
dclimb,2,0.975,10,-4.739901149278245,1.7119616027313185,-6.1934849159936425,-3.2863173825628467,-
dclimb,2,0.95,10,-4.739901149278245,1.7119616027313185,-5.964564704548521,-3.515237594007968,-
I,2,0.975,10,-0.09339583333333333,0.0457920149933673,-0.13227668763132158,-0.054514979035345086,-
I,2,0.95,10,-0.09339583333333333,0.0457920149933673,-0.12615346749714604,-0.06063819916952062,-
dR_fix,2,0.975,10,0.03622187499999998,0.015161455092910319,0.02334866279262448,0.04909508720737548,+
dR_fix,2,0.95,10,0.03622187499999998,0.015161455092910319,0.025376023394724067,0.04706772660527589,+
dR_b,2,0.975,10,0.0015656250000000039,0.004121149092169793,-0.001933539590511009,0.005064789590511017,0
dR_b,2,0.95,10,0.0015656250000000039,0.004121149092169793,-0.0013824674636179603,0.004513717463617968,0
