quantity,k,seed,value
R_none,1,10,0.11357291666666663
R_none,1,11,0.1626979166666667
R_none,1,12,0.13381249999999997
R_none,1,13,0.11058333333333331
R_none,1,14,0.1251875
R_none,1,15,0.12516666666666665
R_none,1,16,0.09780208333333335
R_none,1,17,0.12259375
R_none,1,18,0.15601041666666665
R_none,1,19,0.13321875
R_c12,1,10,0.06738541666666664
R_c12,1,11,0.08737500000000001
R_c12,1,12,0.07225000000000001
R_c12,1,13,0.0511145833333333
R_c12,1,14,0.06306250000000002
R_c12,1,15,0.10138541666666667
R_c12,1,16,0.06852083333333331
R_c12,1,17,0.0771041666666667
R_c12,1,18,0.09958333333333336
R_c12,1,19,0.07856249999999998
dR,1,10,0.04618749999999999
dR,1,11,0.07532291666666668
dR,1,12,0.061562499999999964
dR,1,13,0.059468750000000015
dR,1,14,0.062124999999999986
dR,1,15,0.023781249999999976
dR,1,16,0.029281250000000036
dR,1,17,0.045489583333333306
dR,1,18,0.056427083333333294
dR,1,19,0.05465625000000002
R_c1,1,10,0.09738541666666667
R_c1,1,11,0.12176041666666668
R_c1,1,12,0.09641666666666668
R_c1,1,13,0.08318749999999997
R_c1,1,14,0.08947916666666667
R_c1,1,15,0.11764583333333334
R_c1,1,16,0.08706249999999999
R_c1,1,17,0.09458333333333335
R_c1,1,18,0.13667708333333334
R_c1,1,19,0.11515624999999996
R_c2,1,10,0.10031249999999997
R_c2,1,11,0.1311354166666667
R_c2,1,12,0.10868749999999996
R_c2,1,13,0.09158333333333335
R_c2,1,14,0.11090625000000004
R_c2,1,15,0.11002083333333335
R_c2,1,16,0.08452083333333332
R_c2,1,17,0.11927083333333333
R_c2,1,18,0.12613541666666667
R_c2,1,19,0.11208333333333331
R_c12b,1,10,0.06216666666666665
R_c12b,1,11,0.08811458333333336
R_c12b,1,12,0.06994791666666664
R_c12b,1,13,0.04638541666666668
R_c12b,1,14,0.06292708333333336
R_c12b,1,15,0.10005208333333332
R_c12b,1,16,0.06712499999999999
R_c12b,1,17,0.07126041666666666
R_c12b,1,18,0.09670833333333334
R_c12b,1,19,0.07541666666666663
R_frz,1,10,0.0
R_frz,1,11,0.0
R_frz,1,12,0.0
R_frz,1,13,0.0
R_frz,1,14,0.0
R_frz,1,15,0.0
R_frz,1,16,0.0
R_frz,1,17,0.0
R_frz,1,18,0.0
R_frz,1,19,0.0
dclimb,1,10,0.4992281140009651
dclimb,1,11,-1.1841518352638718
dclimb,1,12,-0.7725086110072135
dclimb,1,13,-0.28381274678946955
dclimb,1,14,0.2781736320663626
dclimb,1,15,-1.4117565910842733
dclimb,1,16,-1.3705351720817953
dclimb,1,17,-0.6031080989566806
dclimb,1,18,0.4613878751860976
dclimb,1,19,0.13464470324241962
dneff,1,10,0.0027809596059838425
dneff,1,11,0.006268701862609747
dneff,1,12,0.0035087610459133573
dneff,1,13,0.003139645005603704
dneff,1,14,0.003661494167343784
dneff,1,15,0.0006519345582578061
dneff,1,16,0.0014707756237062105
dneff,1,17,0.0032364138426819586
dneff,1,18,0.004202819099054091
dneff,1,19,0.004312790954353299
I,1,10,-0.02129166666666671
I,1,11,-0.03198958333333335
I,1,12,-0.0316249999999999
I,1,13,-0.046520833333333345
I,1,14,-0.006552083333333236
I,1,15,-0.01635416666666667
I,1,16,-0.016135416666666735
I,1,17,-0.008604166666666746
I,1,18,-0.0313020833333334
I,1,19,-0.014125000000000054
dR_fix,1,10,0.06840625
dR_fix,1,11,0.10344791666666667
dR_fix,1,12,0.0683333333333333
dR_fix,1,13,0.05414583333333334
dR_fix,1,14,0.08908333333333335
dR_fix,1,15,0.08168749999999997
dR_fix,1,16,0.10077083333333331
dR_fix,1,17,0.07646875000000003
dR_fix,1,18,0.10284374999999996
dR_fix,1,19,0.08896874999999999
dR_b,1,10,0.005218749999999994
dR_b,1,11,-0.000739583333333349
dR_b,1,12,0.0023020833333333712
dR_b,1,13,0.004729166666666618
dR_b,1,14,0.00013541666666666563
dR_b,1,15,0.001333333333333353
dR_b,1,16,0.0013958333333333184
dR_b,1,17,0.005843750000000036
dR_b,1,18,0.0028750000000000164
dR_b,1,19,0.0031458333333333477
R_none,2,10,0.029885416666666692
R_none,2,11,0.078375
R_none,2,12,0.06969791666666669
R_none,2,13,0.0584375
R_none,2,14,0.0786041666666667
R_none,2,15,0.07245833333333332
R_none,2,16,0.06818750000000001
R_none,2,17,0.11583333333333337
R_none,2,18,0.11617708333333332
R_none,2,19,0.10988541666666665
R_c12,2,10,0.04188541666666665
R_c12,2,11,0.057249999999999995
R_c12,2,12,0.042114583333333344
R_c12,2,13,0.03926041666666666
R_c12,2,14,0.06695833333333334
R_c12,2,15,0.045302083333333326
R_c12,2,16,0.03519791666666666
R_c12,2,17,0.0912604166666667
R_c12,2,18,0.06952083333333331
R_c12,2,19,0.07475000000000001
dR,2,10,-0.011999999999999955
dR,2,11,0.021125000000000005
dR,2,12,0.02758333333333335
dR,2,13,0.019177083333333345
dR,2,14,0.011645833333333355
dR,2,15,0.027156249999999993
dR,2,16,0.03298958333333335
dR,2,17,0.024572916666666667
dR,2,18,0.04665625000000001
dR,2,19,0.03513541666666664
R_c1,2,10,0.04947916666666666
R_c1,2,11,0.07695833333333332
R_c1,2,12,0.06983333333333336
R_c1,2,13,0.058000000000000024
R_c1,2,14,0.08490625000000002
R_c1,2,15,0.06678124999999999
R_c1,2,16,0.04295833333333332
R_c1,2,17,0.09976041666666666
R_c1,2,18,0.09277083333333336
R_c1,2,19,0.11280208333333333
R_c2,2,10,0.04152083333333331
R_c2,2,11,0.09433333333333335
R_c2,2,12,0.08921875000000001
R_c2,2,13,0.06879166666666667
R_c2,2,14,0.10352083333333334
R_c2,2,15,0.06391666666666665
R_c2,2,16,0.06832291666666668
R_c2,2,17,0.08695833333333333
R_c2,2,18,0.11478125
R_c2,2,19,0.09179166666666669
R_c12b,2,10,0.038437499999999986
