seed,arm,k,s,neffT2,zero2,gtr2,zarm2,dmean2,effbar2
13,S2dyn_10r,1,0,0.0038976475542947695,0.9766666666666667,0.002978544812897841,-0.6501475129303314,-62.30907484219866,-62.95922235512899
13,S2dyn_10r,1,750,0.000696110066972517,0.9950666666666667,0.00031581767449776334,0.5893319371244521,-77.50756141891877,-76.91822948179431
13,S2dyn_10r,1,1500,0.0038357344392455158,0.980775,0.0032029760604103405,2.156558904105844,-75.91655620138347,-73.75999729727762
13,S2dyn_10r,1,2250,0.006213772945474314,0.9743583333333333,0.005544002535442512,2.690718602945678,-75.78562676918209,-73.09490816623641
13,S2dyn_10r,1,3000,0.008841430779127918,0.9676916666666666,0.008017424617211024,3.1247689228680295,-74.88312722691347,-71.75835830404544
13,S2dyn_10r,1,3750,0.008980009265936605,0.9686,0.008218445507188638,2.61719574421242,-75.1720327933401,-72.55483704912767
13,S2dyn_10r,1,4500,0.011095251721112524,0.965425,0.010178859289487203,2.737250011669984,-75.10374464851121,-72.36649463684122
13,S2dyn_10r,1,5250,0.010803389880633672,0.9654916666666666,0.010057137860854467,2.5181734882244498,-74.40062857198393,-71.88245508375948
13,S2dyn_10r,1,6000,0.012791375581137725,0.9609083333333334,0.011947135650118191,3.087210705511435,-73.49276176800181,-70.40555106249037
13,S2dyn_10r,2,0,0.012791375581137725,0.9609083333333334,0.011947135650118191,3.087210705511435,-73.49276176800181,-70.40555106249037
13,S2dyn_10r,2,750,0.0007030706560014345,0.996325,0.0005023316850264867,-1.678592773208969,-83.88094015460486,-85.55953292781382
13,S2dyn_10r,2,1500,0.0010248822543132536,0.9949333333333333,0.0007745169371366501,-1.389136351255019,-82.3221491058973,-83.71128545715231
13,S2dyn_10r,2,2250,0.0014822933893778867,0.9933416666666667,0.0012102799579501152,-0.909257837963729,-81.84853754123947,-82.7577953792032
13,S2dyn_10r,2,3000,0.002411999410140979,0.9875416666666667,0.002096961687505245,-0.5256446558812594,-80.25340614239374,-80.77905079827501
13,S2dyn_10r,2,3750,0.0038047559238491807,0.9808916666666667,0.003400037275751432,0.009260996264750914,-78.89117537994832,-78.88191438368357
13,S2dyn_10r,2,4500,0.005613395208440084,0.97585,0.0050980438182751334,0.10171795212147797,-77.74173906108737,-77.6400211089659
13,S2dyn_10r,2,5250,0.00807758192048504,0.9698666666666667,0.007394045736889045,0.6001599126111289,-77.5313611503072,-76.93120123769607
13,S2dyn_10r,2,6000,0.010110041778066141,0.9645083333333333,0.009388670593003433,0.6258996959497337,-76.06496411797902,-75.43906442202929
