metric,value
p_hat.min,0.0625
p_hat.median,0.1875
p_hat.max,1.0
pre_max.min,0.0011596176773309708
pre_max.median,1.2098586484789848
pre_max.max,7.725211859680712
x.min,-1.611123354871602
x.median,-0.22178846097513621
x.max,1.3351465693452296
r.min,1.006075404548027
r.median,2.7281443615317493
r.max,7.648819829290748
w_norm.min,1.0151530647613325
w_norm.median,2.7559941694087517
w_norm.max,7.6516062188634955
b.min,-2.697089433670044
b.median,-0.27838918566703796
b.max,0.9742822647094727
v.min,-2.7424447536468506
v.median,0.05221494659781456
v.max,2.872546672821045
utility_raw.min,-4.696182515847114
utility_raw.median,0.012267065153825245
utility_raw.max,14.946443215650495
utility_nmse.min,-4.233178605834019
utility_nmse.median,0.008331997274292393
utility_nmse.max,33.93983901525706
utility_nmse.frac_positive,0.569581031927792
utility_nmse.frac_negative,0.430418968072208
event.strict_dead,0.2544793210292335
event.dead_0_05,0.3595581301360636
spearman.utility_nmse.p_hat,0.23155283504542823
spearman.utility_nmse.pre_max,0.2776442151022927
spearman.utility_nmse.x,0.14500242261796234
spearman.utility_nmse.r,0.17868649053023697
spearman.utility_nmse.w_norm,0.17660342962950654
spearman.utility_nmse.b,0.07777600209883839
spearman.utility_nmse.v,0.02464561905775924
