arm,seed,is_control,source,median_s,median_M,median_B,median_denom,median_zbar,n_na_M,n_na_B,n_records,median_M_plus_median_B
S_b1_1216,0,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/S_b1_1216_seed0.npz,-5.344770202040673,-4.56096510887146,-0.8862551510334015,3.127770960330963,-16.940843391418458,0,0,10,-5.447220259904861
S_b1_1216,1,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/S_b1_1216_seed1.npz,-5.269893223047257,-4.406515717506409,-0.800751930475235,3.5175780773162844,-17.799102687835692,0,0,10,-5.207267647981643
S_b1_1216,2,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/S_b1_1216_seed2.npz,-4.449111035466194,-3.824405336380005,-0.6516991406679153,3.3308082818984985,-14.657342910766602,0,0,10,-4.476104477047921
S_b1_1216,3,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/S_b1_1216_seed3.npz,-4.86774317920208,-4.137972450256347,-0.7218942165374755,3.3481824159622193,-16.382849597930907,0,0,10,-4.859866666793823
S_b1_1216,4,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/S_b1_1216_seed4.npz,-5.764190974831581,-4.846335005760193,-0.9382621616125106,3.2421041131019592,-18.389045429229736,0,0,10,-5.784597167372704
S_b1_1216,5,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/S_b1_1216_seed5.npz,-4.674568404257298,-3.9470017313957215,-0.7452655136585236,3.2260987639427183,-14.714530420303344,0,0,10,-4.692267245054245
S_b1_1216,6,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/S_b1_1216_seed6.npz,-4.559655643999577,-3.8789836764335632,-0.7104757159948349,3.2734088778495787,-14.9538019657135,0,0,10,-4.589459392428398
S_b1_1216,7,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/S_b1_1216_seed7.npz,-5.189227047562599,-4.4130088806152346,-0.8426232635974884,3.459928333759308,-18.070922374725342,0,0,10,-5.255632144212723
S_b1_1216,8,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/S_b1_1216_seed8.npz,-5.145847323536873,-4.299483442306519,-0.8787699639797211,3.238228476047516,-16.692579650878905,0,0,10,-5.17825340628624
S_b1_1216,9,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/S_b1_1216_seed9.npz,-4.5507945030927655,-3.8791548013687134,-0.7058420240879059,3.4498406529426573,-15.392901611328124,0,0,10,-4.584996825456619
G_b1_1216,0,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/G_b1_1216_seed0.npz,-8.163163676857948,-6.959860873222351,-1.1986942887306213,1.476526916027069,-11.629061031341553,0,0,10,-8.158555161952972
